,Recovered,Deceased,Infected,I_c
0,0,0,2.4285714285714284,3
1,0,0,2.5714285714285716,3
2,0,0,3.1428571428571432,6
3,0,0,3.7142857142857135,6
4,0,0,4.285714285714286,6
5,0,0,4.714285714285714,6
6,0,0,5.142857142857143,6
7,0,0,5.571428571428571,6
8,0,0,6.0,6
9,0,0,6.0,6
10,0,0,6.0,6
11,0,0,6.0,6
12,0,0,6.0,6
13,0,0,6.0,6
14,1,0,5.857142857142858,6
15,1,0,5.857142857142858,7
16,2,0,5.7142857142857135,7
17,2,0,5.857142857142858,9
18,3,1,5.7142857142857135,9
19,3,1,5.7142857142857135,10
20,4,1,5.571428571428571,10
21,4,1,5.7142857142857135,11
22,5,1,5.571428571428571,11
23,5,1,5.7142857142857135,12
24,6,2,5.428571428571429,13
25,6,2,5.7142857142857135,15
26,6,2,5.857142857142858,15
27,6,2,6.142857142857142,15
28,6,3,6.285714285714287,16
29,6,3,6.857142857142858,18
30,6,3,7.2857142857142865,18
31,6,3,7.857142857142858,18
32,6,3,8.142857142857142,18
33,6,3,8.571428571428571,19
34,7,3,9.285714285714286,22
35,7,3,10.0,22
36,7,3,10.428571428571429,22
37,7,3,11.285714285714285,25
38,7,3,12.142857142857142,25
39,7,3,13.0,25
40,7,3,14.0,27
41,8,4,14.571428571428573,28
42,10,5,14.714285714285715,28
43,10,5,17.142857142857142,44
44,10,5,19.142857142857142,44
45,10,5,21.428571428571427,46
46,11,5,23.857142857142854,48
47,11,5,26.0,48
48,11,5,28.42857142857143,49
49,14,5,31.714285714285715,55
50,15,5,32.714285714285715,56
51,15,5,34.142857142857146,59
52,15,5,35.42857142857143,60
53,15,5,37.142857142857146,64
54,15,5,39.285714285714285,67
55,15,5,42.857142857142854,78
56,27,5,47.714285714285715,102
57,27,5,52.57142857142857,102
58,29,5,58.714285714285715,116
59,38,5,65.42857142857143,130
60,37,5,71.57142857142857,129
61,37,5,77.28571428571429,129
62,46,5,80.42857142857143,131
63,57,5,80.85714285714286,135
64,57,5,82.42857142857143,143
65,72,5,83.57142857142857,167
66,76,5,85.85714285714286,184
67,75,5,88.7142857142857,187
68,85,5,93.42857142857143,210
69,95,5,98.28571428571428,214
70,96,5,104.28571428571428,216
71,113,5,109.14285714285714,233
72,117,5,116.42857142857143,263
73,128,6,120.85714285714286,268
74,134,6,127.14285714285714,291
75,145,6,141.28571428571428,370
76,145,6,157.42857142857142,378
77,151,6,175.85714285714286,401
78,197,6,189.57142857142856,414
79,201,6,199.57142857142856,418
80,227,6,207.85714285714286,425
81,244,6,213.0,437
82,246,7,209.14285714285717,445
83,246,7,205.85714285714286,457
84,334,8,191.57142857142856,486
85,366,8,182.14285714285717,519
86,374,8,178.5714285714286,568
87,380,11,190.28571428571428,665
88,384,12,206.57142857142856,697
89,385,12,228.28571428571428,741
90,402,13,257.7142857142857,825
91,436,16,303.2857142857143,915
92,487,16,355.28571428571433,1012
93,513,20,407.8571428571428,1087
94,549,20,463.71428571428567,1234
95,624,22,509.57142857142856,1268
96,650,22,557.4285714285714,1351
97,650,23,621.8571428571429,1534
98,686,23,697.4285714285713,1701
99,732,31,778.5714285714287,1840
100,746,36,877.1428571428571,2026
101,760,41,985.1428571428572,2222
102,821,41,1109.2857142857142,2353
103,886,45,1228.4285714285713,2444
104,907,45,1329.4285714285713,2520
105,946,52,1439.142857142857,2758
106,1038,53,1529.0,2797
107,1061,60,1663.4285714285709,3306
108,1151,61,1800.2857142857142,3591
109,1151,68,1938.857142857143,3680
110,1180,73,2090.714285714286,3829
111,1231,76,2250.1428571428573,3991
112,1532,83,2369.285714285714,4209
113,1771,89,2486.857142857143,4389
114,1911,97,2546.0,4607
115,2058,104,2583.857142857143,4806
116,2138,113,2614.285714285714,4925
117,2338,116,2624.0,5098
118,2456,123,2630.142857142857,5306
119,2561,130,2661.428571428572,5504
120,2626,140,2720.428571428572,5708
121,2680,148,2780.4285714285716,5847
122,2725,158,2849.4285714285716,6010
123,2849,165,2917.285714285714,6163
124,2918,178,3009.857142857143,6388
125,3000,188,3098.714285714286,6537
126,3107,199,3183.142857142857,6710
127,3295,206,3245.0,6876
128,3478,212,3296.5714285714284,7070
129,3673,218,3322.857142857143,7202
130,4206,226,3289.5714285714284,7348
131,4725,235,3195.142857142857,7591
132,5223,242,3053.142857142857,7820
133,5864,248,2846.0,8066
134,6106,254,2651.428571428572,8373
135,6308,260,2465.142857142857,8644
136,6436,267,2302.142857142857,8873
137,6645,275,2185.1428571428573,9017
138,6818,284,2122.714285714286,9296
139,6933,288,2116.1428571428573,9530
140,7120,294,2164.5714285714284,9707
141,7184,299,2223.5714285714284,9909
142,7504,303,2259.857142857143,10137
143,7668,308,2286.142857142857,10330
144,7909,314,2316.285714285714,10531
145,8127,317,2336.285714285714,10778
146,8423,328,2340.857142857143,11092
147,8680,335,2352.428571428572,11389
148,8973,341,2366.285714285714,11837
149,9209,348,2398.0,12109
150,9422,354,2442.714285714286,12443
151,9789,366,2478.428571428572,12713
