,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2250950.0,580.393,6025.73,17307.1,527.116,23862.8,0.012271623877317062
1,2250620.0,608.1519999999999,6133.15,17478.4,533.932,24148.4,0.0124164295656356
2,2250280.0,630.099,6249.1,17652.8,540.874,24445.8,0.012565623305115237
3,2249940.0,648.658,6371.22,17830.6,547.9490000000001,24752.8,0.012714817044594873
4,2249590.0,665.289,6498.1,18011.8,555.163,25068.3,0.012868398835235717
5,2249230.0,680.868,6628.91,18196.7,562.5219999999999,25391.4,0.013026368677037659
6,2248860.0,695.927,6763.17,18385.4,570.03,25721.9,0.013188726570000808
7,2248490.0,710.785,6900.62,18577.8,577.69,26059.5,0.013351084462963958
8,2248110.0,725.6360000000001,7041.12,18774.2,585.506,26404.3,0.013517830407088316
9,2247720.0,740.6,7184.62,18974.6,593.482,26756.2,0.013688964402373771
10,2247330.0,755.7510000000001,7331.1,19179.1,601.62,27115.4,0.013860098397659226
11,2246930.0,771.133,7480.56,19387.7,609.923,27481.9,0.01403562044410589
12,2246510.0,786.779,7633.05,19600.6,618.396,27855.8,0.014219918592874858
13,2246100.0,802.707,7788.6,19817.8,627.0419999999999,28237.3,0.014399828690482619
14,2245670.0,818.932,7947.27,20039.5,635.864,28626.5,0.014588514890412796
15,2245230.0,835.466,8109.1,20265.6,644.865,29023.6,0.01478158914150407
16,2244780.0,852.317,8274.16,20496.4,654.05,29428.7,0.014979051443756553
17,2244330.0,869.492,8442.5,20731.9,663.422,29842.0,0.015176513746009035
18,2243870.0,887.0,8614.18,20972.1,672.9839999999999,30263.6,0.015378364099422726
19,2243390.0,904.847,8789.26,21217.3,682.7410000000001,30693.6,0.015588990555158722
20,2242910.0,923.039,8967.82,21467.4,692.696,31132.3,0.015799617010894607
21,2242420.0,941.5830000000001,9149.91,21722.6,702.8530000000001,31579.9,0.01601463151779181
22,2241920.0,960.4839999999999,9335.59,21983.0,713.216,32036.4,0.016234034075850112
23,2241400.0,979.75,9524.95,22248.7,723.79,32502.1,0.01646221273623072
24,2240880.0,999.387,9718.03,22519.7,734.578,32977.1,0.016690391396611326
25,2240350.0,1019.4,9914.92,22796.3,745.585,33461.7,0.01692295810815314
26,2239800.0,1039.8,10115.7,23078.4,756.814,33955.9,0.01716430092201726
27,2239250.0,1060.59,10320.4,23366.3,768.2710000000001,34460.0,0.017405643735881493
28,2238690.0,1081.78,10529.1,23660.0,779.96,34974.2,0.01765137460090671
29,2238110.0,1103.37,10741.9,23959.6,791.885,35498.7,0.017905881568254345
30,2237520.0,1125.37,10958.9,24265.3,804.051,36033.6,0.018164776586763187
31,2236920.0,1147.79,11180.2,24577.1,816.4630000000001,36579.2,0.018428059656433127
32,2236310.0,1170.64,11405.7,24895.3,829.125,37135.7,0.018695730777264274
33,2235680.0,1193.92,11635.6,25219.8,842.0419999999999,37703.2,0.018972178000417728
34,2235050.0,1217.64,11870.1,25550.9,855.22,38282.0,0.01924862522357118
35,2234400.0,1241.8,12109.0,25888.7,868.663,38872.4,0.01953384854904705
36,2233740.0,1266.43,12352.7,26233.3,882.377,39474.4,0.019823459925684017
37,2233060.0,1291.51,12601.0,26584.8,896.367,40088.3,0.02012184740464329
38,2232370.0,1317.07,12854.1,26943.3,910.637,40714.4,0.02042462293476377
39,2231670.0,1343.1,13112.2,27309.1,925.195,41352.9,0.020731786516045347
40,2230960.0,1369.62,13375.2,27682.2,940.044,42004.0,0.021043338148488133
41,2230230.0,1396.63,13643.3,28062.8,955.191,42667.9,0.021363665883253224
42,2229480.0,1424.14,13916.5,28451.0,970.6419999999999,43345.0,0.021692769720340732
43,2228720.0,1452.16,14195.0,28847.0,986.4019999999999,44035.3,0.022026261608589337
44,2227950.0,1480.7,14478.8,29250.9,1002.48,44739.3,0.02236414154799915
45,2227160.0,1509.77,14768.1,29662.8,1018.87,45457.0,0.02271079758973127
46,2226360.0,1539.37,15062.9,30083.0,1035.6,46188.9,0.023061841682624595
47,2225540.0,1569.51,15363.3,30511.6,1052.66,46935.0,0.023421661877840116
48,2224700.0,1600.2,15669.4,30948.7,1070.05,47695.8,0.023790258175378165
49,2223850.0,1631.45,15981.3,31394.6,1087.8,48471.5,0.0241632425240772
50,2222980.0,1663.27,16299.1,31849.3,1105.89,49262.3,0.02454500297509865
51,2222090.0,1695.67,16623.0,32313.0,1124.35,50068.5,0.02493553952844252
52,2221190.0,1728.65,16952.9,32786.0,1143.17,50890.4,0.025330464132947372
53,2220270.0,1762.23,17289.1,33268.3,1162.37,51728.2,0.025734164839774754
54,2219330.0,1796.4,17631.6,33760.2,1181.95,52582.4,0.02614664164892433
55,2218380.0,1831.19,17980.5,34261.8,1201.91,53453.0,0.026563506509235113
56,2217400.0,1866.6,18336.0,34773.4,1222.27,54340.6,0.02699353552302941
57,2216410.0,1902.64,18698.1,35295.0,1243.04,55245.2,0.027427952587984805
58,2215390.0,1939.31,19066.9,35827.0,1264.21,56167.4,0.027875533806423713
59,2214360.0,1976.64,19442.6,36369.4,1285.8,57107.3,0.02832750307602383
60,2213310.0,2014.62,19825.2,36922.6,1307.81,58065.2,0.028788248447946252
