,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2096770.0,0.546768,1.07503,0.047827800000000004,0.00265692,1.12563,1.907692483760215e-06
1,2096770.0,0.5957979999999999,1.15771,0.0992918,0.00551584,1.26274,1.907692483760215e-06
2,2096770.0,0.647656,1.2482600000000001,0.154749,0.00859662,1.41196,1.907692483760215e-06
3,2096770.0,0.702863,1.34704,0.21457199999999998,0.0119199,1.57402,1.907692483760215e-06
4,2096770.0,0.761904,1.45449,0.279148,0.0155072,1.74978,1.907692483760215e-06
5,2096770.0,0.825255,1.5711700000000002,0.348892,0.0193816,1.94022,1.907692483760215e-06
6,2096770.0,0.893386,1.6976900000000001,0.424241,0.023567400000000002,2.14644,1.907692483760215e-06
7,2096770.0,0.966777,1.83476,0.505666,0.0280907,2.36964,1.907692483760215e-06
8,2096770.0,1.0459200000000002,1.98317,0.593673,0.0329796,2.6111400000000002,1.907692483760215e-06
9,2096770.0,1.13135,2.1438,0.6888029999999999,0.0382643,2.8723799999999997,1.907692483760215e-06
10,2096770.0,1.22359,2.31759,0.791641,0.0439771,3.1549400000000003,1.907692483760215e-06
11,2096770.0,1.32324,2.50558,0.902819,0.050153300000000005,3.4605300000000003,1.907692483760215e-06
12,2096770.0,1.43092,2.70891,1.02302,0.05683049999999999,3.7909900000000003,1.907692483760215e-06
13,2096770.0,1.5473,2.9288,1.15297,0.0640497,4.14834,1.907692483760215e-06
14,2096770.0,1.6731,3.1665900000000002,1.29348,0.0718549,4.53474,1.907692483760215e-06
15,2096770.0,1.80908,3.4237300000000004,1.44539,0.0802939,4.95255,1.907692483760215e-06
16,2096770.0,1.95609,3.70177,1.60964,0.0894183,5.404319999999999,1.907692483760215e-06
17,2096770.0,2.11503,4.00241,1.78722,0.0992836,5.8928,1.907692483760215e-06
18,2096760.0,2.28686,4.32749,1.97924,0.10995,6.42096,6.676923693271775e-06
19,2096760.0,2.47265,4.67898,2.18684,0.121483,6.992039999999999,6.676923693271775e-06
20,2096760.0,2.67352,5.059019999999999,2.41131,0.133953,7.6095,6.676923693271775e-06
21,2096760.0,2.8907,5.46995,2.65401,0.14743499999999998,8.27713,6.676923693271775e-06
22,2096760.0,3.12551,5.91425,2.91643,0.16201300000000002,8.99899,6.676923693271775e-06
23,2096760.0,3.3794,6.39465,3.20016,0.177775,9.77949,6.676923693271775e-06
24,2096760.0,3.6539099999999998,6.914060000000001,3.50694,0.19481700000000002,10.6234,6.676923693271775e-06
25,2096760.0,3.95071,7.4756800000000005,3.83863,0.213243,11.5358,6.676923693271775e-06
26,2096760.0,4.2716199999999995,8.08291,4.19727,0.23316599999999998,12.5224,6.676923693271775e-06
27,2096750.0,4.61859,8.739460000000001,4.58504,0.254707,13.5891,1.1446154902672312e-05
28,2096750.0,4.99375,9.44935,5.00431,0.277999,14.7424,1.1446154902672312e-05
29,2096750.0,5.399380000000001,10.2169,5.45763,0.303181,15.9895,1.1446154902672312e-05
30,2096750.0,5.83795,11.0468,5.947780000000001,0.33041,17.3378,1.1446154902672312e-05
31,2096750.0,6.31215,11.9441,6.47774,0.35985,18.7956,1.1446154902672312e-05
32,2096740.0,6.82486,12.9143,7.050739999999999,0.39168200000000003,20.3719,1.621538611218387e-05
33,2096740.0,5.4138,13.7266,7.66666,0.425897,21.831,1.621538611218387e-05
34,2096740.0,4.34551,14.2117,8.3122,0.461758,22.9949,1.621538611218387e-05
35,2096740.0,3.5348300000000004,14.455,8.97432,0.49854,23.9351,1.621538611218387e-05
36,2096740.0,2.9178,14.5204,9.6434,0.535709,24.7053,1.621538611218387e-05
37,2096740.0,2.4464099999999998,14.4561,10.3124,0.572871,25.346,1.621538611218387e-05
38,2096740.0,2.0846,14.2977,10.9761,0.609743,25.8874,1.621538611218387e-05
39,2096740.0,1.80532,14.0722,11.6309,0.646119,26.3524,1.621538611218387e-05
40,2096740.0,1.58822,13.7996,12.2742,0.6818529999999999,26.7583,1.621538611218387e-05
41,2096740.0,1.41803,13.4949,12.9041,0.716845,27.118000000000002,1.621538611218387e-05
42,2096740.0,1.28328,13.1691,13.5194,0.751027,27.4414,1.621538611218387e-05
43,2096740.0,1.17535,12.8305,14.1194,0.784356,27.7358,1.621538611218387e-05
44,2096740.0,1.0877700000000001,12.4852,14.7035,0.816808,28.0069,1.621538611218387e-05
45,2096740.0,1.01566,12.1377,15.2717,0.8483709999999999,28.259,1.621538611218387e-05
46,2096740.0,0.955369,11.7913,15.8238,0.879044,28.4952,1.621538611218387e-05
47,2096740.0,0.9041389999999999,11.4483,16.3601,0.908833,28.7182,1.621538611218387e-05
48,2096740.0,0.8598950000000001,11.1105,16.8806,0.9377479999999999,28.9297,1.621538611218387e-05
