,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1143870.0,179.68,661.556,8384.45,120.852,9167.57,0.010127443268404535
1,1143780.0,172.37,634.695,8480.84,121.738,9237.95,0.010205326708048745
2,1143690.0,165.356,608.919,8573.31,122.589,9305.48,0.010283210147692956
3,1143610.0,158.627,584.185,8662.03,123.406,9370.25,0.010352439871821217
4,1143530.0,152.172,560.452,8747.14,124.189,9432.39,0.010421669595949368
5,1143450.0,145.97799999999998,537.678,8828.8,124.94,9492.0,0.010490899320077518
6,1143380.0,140.035,515.825,8907.14,125.661,9549.18,0.010551475328689719
7,1143310.0,134.334,494.85699999999997,8982.29,126.352,9604.03,0.01061205133730192
8,1143250.0,128.864,474.73900000000003,9054.39,127.015,9656.66,0.01066397363039806
9,1143180.0,123.617,455.435,9123.56,127.652,9707.13,0.010724549639010261
10,1143120.0,118.583,436.913,9189.91,128.262,9755.56,0.010776471932106402
11,1143060.0,113.75299999999999,419.14099999999996,9253.57,128.84799999999998,9802.01,0.010828394225202542
12,1143010.0,109.119,402.091,9314.63,129.41,9846.57,0.010871662802782733
13,1142950.0,104.67399999999999,385.731,9373.22,129.94899999999998,9889.31,0.010923585095878874
14,1142900.0,100.41,370.035,9429.41,130.466,9930.31,0.010966853673458954
15,1142850.0,96.3193,354.976,9483.32,130.96200000000002,9969.64,0.011010122251039145
16,1142800.0,92.3948,340.528,9535.04,131.438,10007.4,0.011053390828619225
17,1142760.0,88.6299,326.66700000000003,9584.65,131.894,10043.6,0.011088005690683356
18,1142710.0,85.0182,313.368,9632.25,132.332,10078.3,0.011131274268263436
19,1142670.0,81.5535,300.61,9677.9,132.752,10111.6,0.011165889130327566
20,1142630.0,78.2297,288.369,9721.7,133.155,10143.5,0.011200503992391697
21,1142590.0,75.0412,276.626,9763.71,133.542,10174.2,0.011235118854455717
22,1142550.0,71.9825,265.36,9804.01,133.912,10203.6,0.011269733716519847
23,1142520.0,69.0483,254.55200000000002,9842.67,134.268,10231.8,0.011295694863067918
24,1142480.0,66.2336,244.18400000000003,9879.76,134.609,10258.8,0.011330309725132048
25,1142450.0,63.5335,234.236,9915.33,134.937,10284.8,0.011356270871680119
26,1142420.0,60.9433,224.69400000000002,9949.46,135.251,10309.6,0.011382232018228189
27,1142390.0,58.4586,215.53900000000002,9982.19,135.55200000000002,10333.5,0.011408193164776259
28,1142360.0,56.0751,206.757,10013.6,135.841,10356.4,0.01143415431132433
29,1142330.0,53.7887,198.331,10043.7,136.118,10378.4,0.0114601154578724
30,1142300.0,51.5954,190.24900000000002,10072.6,136.384,10399.4,0.01148607660442047
31,1142280.0,49.4915,182.49599999999998,10100.3,136.639,10419.7,0.01150338403545259
32,1142250.0,47.4733,175.058,10126.9,136.88299999999998,10439.0,0.011529345182000661
33,1142230.0,45.5373,167.923,10152.4,137.118,10457.6,0.01154665261303267
34,1142210.0,43.6802,161.078,10176.9,137.343,10475.5,0.01156396004406468
35,1142190.0,41.8988,154.512,10200.4,137.559,10492.6,0.011581267475096801
