,Recovered,Deceased,Infected,I_c
0,0,0,16.428571428571427,30
1,0,0,20.428571428571427,33
2,0,0,26.857142857142854,54
3,0,0,35.142857142857146,67
4,0,0,44.42857142857143,81
5,0,0,53.714285714285715,85
6,0,0,64.14285714285714,99
7,0,0,74.14285714285714,100
8,0,0,85.57142857142857,113
9,0,0,96.14285714285714,128
10,0,0,106.71428571428572,141
11,30,0,111.57142857142857,145
12,30,0,117.71428571428572,158
13,30,0,121.85714285714286,158
14,29,0,128.0,172
15,29,0,133.57142857142858,181
16,57,0,133.14285714285714,182
17,57,0,133.0,197
18,89,0,132.42857142857142,200
19,105,0,128.14285714285714,203
20,105,0,124.57142857142857,208
21,122,0,116.85714285714286,211
22,150,0,103.85714285714286,211
23,150,0,95.14285714285714,214
24,160,0,83.14285714285714,216
25,160,1,76.42857142857143,225
26,174,1,71.14285714285714,236
27,183,1,64.0,237
28,189,1,58.14285714285714,238
29,191,1,56.714285714285715,243
30,191,1,55.57142857142857,248
31,195,1,55.57142857142857,252
32,195,1,57.0,270
33,195,1,61.14285714285714,286
34,201,1,66.28571428571429,291
35,207,1,71.28571428571429,291
36,213,1,76.0,298
37,213,1,80.14285714285714,299
38,230,1,83.57142857142857,311
39,230,1,84.85714285714286,314
40,236,1,85.0,328
41,236,2,89.57142857142857,359
42,238,3,97.71428571428572,381
43,244,3,107.14285714285714,397
44,244,4,120.28571428571428,425
45,244,5,136.14285714285714,440
46,253,6,152.0,453
47,253,7,170.14285714285714,478
48,253,8,185.85714285714286,492
49,253,9,205.7142857142857,541
50,273,10,224.85714285714286,567
51,370,13,229.57142857142856,593
52,386,15,232.7142857142857,614
53,386,15,236.28571428571428,620
54,386,17,241.0,654
55,420,20,243.0,685
56,420,21,241.57142857142856,710
57,437,22,237.42857142857144,714
58,451,22,245.42857142857144,739
59,480,24,253.0,770
60,494,24,260.7142857142857,791
61,540,24,264.57142857142856,842
62,550,26,273.7142857142857,885
63,567,27,286.42857142857144,952
64,582,30,313.85714285714283,1059
65,609,33,345.71428571428567,1131
66,633,35,389.28571428571433,1239
67,699,37,439.0,1357
68,753,39,501.57142857142856,1508
69,753,42,582.7142857142858,1672
70,811,43,657.8571428571429,1738
71,844,48,730.2857142857142,1846
72,844,52,809.7142857142858,1941
73,865,58,887.0,2035
74,884,59,968.5714285714287,2135
75,884,61,1057.142857142857,2281
76,1019,63,1123.4285714285713,2423
77,1019,68,1206.7142857142858,2554
78,1063,70,1300.2857142857142,2742
79,1145,72,1388.4285714285709,2879
80,1160,76,1486.857142857143,3037
81,1171,85,1590.7142857142858,3175
82,1171,91,1692.142857142857,3308
83,1223,98,1808.428571428572,3476
84,1309,104,1911.5714285714291,3602
85,1445,107,1995.428571428572,3748
86,1605,113,2084.8571428571427,4006
87,2177,115,2090.8571428571427,4135
88,2316,117,2082.428571428572,4293
89,2440,121,2059.5714285714284,4447
90,2749,123,1997.428571428572,4592
91,3025,132,1925.428571428572,4842
92,3154,139,1858.2857142857144,5019
93,3302,139,1789.4285714285709,5247
94,3419,146,1794.4285714285709,5443
95,3559,148,1797.2857142857142,5587
96,3804,149,1791.142857142857,5796
97,3932,152,1818.0,5992
98,4083,158,1856.0,6192
99,4227,160,1896.5714285714291,6397
100,4368,164,1927.0,6551
101,4600,167,1961.2857142857144,6885
102,4767,168,2022.2857142857144,7242
103,4985,174,2103.0,7567
104,5175,175,2185.428571428572,7835
105,5313,177,2272.714285714286,8052
