,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1818320.0,572.715,2263.3,4863.73,170.99599999999998,7314.4,0.004851180833457369
1,1817970.0,588.299,2335.25,5072.56,174.56799999999998,7598.82,0.0050427324232261705
2,1817610.0,605.229,2408.47,5287.97,178.253,7891.23,0.005239756915559668
3,1817230.0,623.155,2483.41,5510.11,182.053,8192.19,0.00544772721302289
4,1816840.0,641.887,2560.32,5739.14,185.97,8502.14,0.00566117041305092
5,1816450.0,661.325,2639.38,5975.26,190.00900000000001,8821.45,0.0058746136130789495
6,1816040.0,681.423,2720.71,6218.66,194.173,9150.44,0.006099002618236593
7,1815610.0,702.158,2804.43,6469.55,198.465,9489.45,0.006334337428523851
8,1815180.0,723.529,2890.61,6728.16,202.888,9838.76,0.006569672238811219
9,1814730.0,745.539,2979.34,6994.71,207.44799999999998,10198.7,0.006815952854228091
10,1814270.0,768.2,3070.7,7269.44,212.148,10569.6,0.007067706372209881
11,1813790.0,791.525,3164.75,7552.58,216.99099999999999,10951.8,0.007330405695321285
12,1813300.0,815.53,3261.59,7844.4,221.983,11345.5,0.007598577920997607
13,1812800.0,840.23,3361.28,8145.14,227.127,11751.2,0.007872223049238625
14,1812280.0,865.6439999999999,3463.89,8455.07,232.429,12169.2,0.008156813982609257
15,1811740.0,891.789,3569.52,8774.45,237.892,12599.8,0.008452350721109614
16,1811190.0,918.684,3678.25,9103.57,243.52200000000002,13043.4,0.008753360362174778
17,1810620.0,946.3480000000001,3790.14,9442.7,249.32299999999998,13500.4,0.009065315808369556
18,1810030.0,974.799,3905.3,9792.15,255.301,13971.1,0.00938821705969406
19,1809430.0,1004.06,4023.8,10152.2,261.46,14455.9,0.009716591213583259
20,1808810.0,1034.15,4145.73,10523.2,267.806,14955.3,0.010055911172602183
21,1808160.0,1065.08,4271.18,10905.4,274.344,15469.7,0.010411649839315529
22,1807510.0,1096.88,4400.25,11299.2,281.08,15999.4,0.010767388506028985
23,1806830.0,1129.58,4533.02,11704.8,288.019,16544.9,0.011139545880436752
24,1806130.0,1163.18,4669.59,12122.7,295.16700000000003,17106.7,0.011522649059974244
25,1805410.0,1197.71,4810.05,12553.2,302.531,17685.2,0.01191669804464135
26,1804670.0,1233.2,4954.51,12996.6,310.116,18280.8,0.01232169283443818
27,1803900.0,1269.66,5103.05,13453.3,317.928,18894.0,0.012743106331929321
28,1803120.0,1307.12,5255.79,13923.7,325.975,19525.4,0.01316999273198538
29,1802310.0,1345.6,5412.82,14408.1,334.26199999999994,20175.4,0.01361329783973586
30,1801480.0,1385.12,5574.25,14907.1,342.79699999999997,20844.5,0.014067548752616066
31,1800620.0,1425.7,5740.19,15420.8,351.585,21533.2,0.014538218373190692
32,1799740.0,1467.37,5910.73,15949.9,360.63599999999997,22242.0,0.015019833798894933
33,1798830.0,1510.16,6085.98,16494.7,369.954,22971.6,0.015517867932293594
34,1797900.0,1554.07,6266.06,17055.6,379.54900000000004,23722.4,0.01602684787082198
35,1796940.0,1599.14,6451.08,17633.1,389.42800000000005,24495.0,0.01655224651704479
36,1795950.0,1645.39,6641.14,18227.6,399.598,25290.0,0.01709406387096213
37,1794930.0,1692.85,6836.36,18839.6,410.06699999999995,26107.9,0.01765229993257389
38,1793880.0,1741.52,7036.85,19469.6,420.843,26949.4,0.01822695470188007
39,1792810.0,1791.45,7242.73,20118.0,431.935,27815.0,0.018812555276315868
40,1791700.0,1842.65,7454.1,20785.4,443.352,28705.5,0.019420047461011003
41,1790560.0,1895.13,7671.09,21472.2,455.101,29621.3,0.02004395835340067
42,1789390.0,1948.94,7893.81,22179.1,467.191,30563.2,0.02068428795348476
43,1788190.0,2004.08,8122.37,22906.3,479.63199999999995,31531.7,0.02134103626126327
44,1786950.0,2060.59,8356.89,23654.7,492.43300000000005,32527.7,0.022019676179301007
45,1785680.0,2118.47,8597.48,24424.6,505.603,33551.6,0.022714734805033276
46,1784380.0,2177.76,8844.27,25216.6,519.1519999999999,34604.3,0.02342621213846008
47,1783030.0,2238.47,9097.37,26031.4,533.089,35686.3,0.024165053984710916
48,1781650.0,2300.62,9356.88,26869.4,547.424,36798.5,0.024920314538656174
49,1780240.0,2364.24,9622.93,27731.3,562.1669999999999,37941.5,0.025691993800295965
50,1778780.0,2429.34,9895.62,28617.6,577.3290000000001,39116.0,0.0264910375747599
51,1777280.0,2495.93,10175.1,29529.0,592.92,40322.8,0.027311972959482955
52,1775740.0,2564.04,10461.4,30466.1,608.95,41562.6,0.02815479995446546
53,1774170.0,2633.69,10754.7,31429.6,625.431,42836.2,0.029014045657142384
54,1772540.0,2704.88,11055.1,32420.0,642.373,44144.2,0.02990612877520815
55,1770880.0,2777.63,11362.6,33438.0,659.7869999999999,45487.6,0.03081463060096845
56,1769170.0,2851.96,11677.4,34484.3,677.684,46866.9,0.0317504969395529
57,1767420.0,2927.88,11999.7,35559.5,696.076,48283.1,0.03270825488839657
58,1765620.0,3005.39,12329.4,36664.3,714.975,49736.9,0.03369337735006439
59,1763770.0,3084.51,12666.6,37799.4,734.3919999999999,51229.0,0.034705864324556246
60,1761870.0,3165.24,13011.5,38965.4,754.3389999999999,52760.4,0.03574571581187225
61,1759930.0,3247.59,13364.1,40163.2,774.828,54331.6,0.03680745890944759
62,1757930.0,3331.56,13724.6,41393.3,795.87,55943.7,0.03790203942241177
63,1755890.0,3417.16,14092.9,42656.5,817.4789999999999,57597.2,0.03901851154563529
64,1753790.0,3504.38,14469.2,43953.6,839.666,59293.2,0.04016782108424766
65,1751640.0,3593.22,14853.4,45285.2,862.444,61032.2,0.04134449513568417
66,1749440.0,3683.69,15245.8,46652.0,885.826,62815.2,0.042548533699944824
67,1747180.0,3775.76,15646.2,48054.9,909.823,64642.9,0.043785409679594434
68,1744870.0,3869.44,16054.7,49494.5,934.449,66516.2,0.04504965017206808
69,1742500.0,3964.71,16471.5,50971.6,959.715,68435.7,0.04634672807993068
70,1740070.0,4061.55,16896.4,52486.8,985.6360000000001,70402.3,0.04767664340318212
71,1737580.0,4159.95,17329.5,54041.1,1012.22,72416.8,0.04903939614182262
72,1735040.0,4259.9,17770.8,55635.1,1039.49,74479.8,0.05042951339328716
73,1732430.0,4361.36,18220.3,57269.5,1067.45,76592.2,0.05185794096270546
74,1729770.0,4464.31,18678.0,58945.2,1096.11,78754.7,0.05331373304494791
75,1727040.0,4568.72,19143.8,60662.7,1125.49,80968.0,0.054807835445144004
76,1724250.0,4674.56,19617.7,62423.0,1155.6,83232.8,0.05633477526072905
