,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,2,2
2,0,0,2,2
3,0,0,2,2
4,0,0,2,2
5,0,0,2,2
6,0,0,2,2
7,0,0,3,3
8,0,0,3,3
9,0,0,3,3
10,0,0,3,3
11,0,0,3,3
12,0,0,3,3
13,0,0,3,3
14,0,0,3,3
15,0,0,3,3
16,0,0,3,3
17,0,0,3,3
18,0,0,6,6
19,0,0,6,6
20,1,0,5,6
21,2,0,4,6
22,2,0,4,6
23,3,0,3,6
24,3,0,7,10
25,3,0,7,10
26,3,0,11,14
27,3,0,11,14
28,0,0,15,15
29,3,0,13,16
30,3,0,13,16
31,3,0,14,17
32,3,0,16,19
33,3,0,19,22
34,6,0,16,22
35,11,0,11,22
36,11,0,11,22
37,14,0,8,22
38,14,0,8,22
39,21,0,1,22
40,21,0,3,24
41,21,0,4,25
42,21,0,6,27
43,21,0,6,27
44,21,0,6,27
45,21,0,6,27
46,21,0,6,27
47,21,0,18,39
48,21,0,21,42
49,24,0,18,42
50,25,0,19,44
51,25,0,19,44
52,25,0,29,54
53,25,0,31,56
54,25,0,32,57
55,25,0,44,69
56,25,0,45,70
57,25,2,92,119
58,25,2,92,119
59,33,2,88,123
60,35,2,87,124
61,37,2,113,152
62,37,2,128,167
63,37,2,137,176
64,58,2,122,182
65,66,2,145,213
66,114,2,115,231
67,114,3,156,273
68,118,4,167,289
69,137,6,158,301
70,170,7,130,307
71,182,7,118,307
72,182,7,124,313
73,244,7,80,331
74,275,7,107,389
75,288,9,107,404
76,292,11,155,458
77,292,12,190,494
78,292,15,226,533
79,292,19,272,583
80,326,20,255,601
81,388,21,251,660
82,452,23,237,712
83,457,23,279,759
84,480,24,282,786
85,501,24,301,826
86,503,24,349,876
87,521,25,388,934
88,553,25,413,991
89,565,25,453,1043
90,599,25,565,1189
91,652,27,609,1288
92,668,28,749,1445
93,707,30,779,1516
94,818,31,731,1580
95,910,32,728,1670
96,953,34,778,1765
97,1021,35,789,1845
98,1097,38,755,1890
99,1136,41,749,1926
100,1278,42,738,2058
101,1469,45,640,2154
102,1494,47,751,2292
103,1528,49,831,2408
104,1626,51,807,2484
105,1658,55,814,2527
106,1713,58,865,2636
107,1742,61,970,2773
108,1784,65,1035,2884
109,1884,69,1155,3108
110,1931,69,1249,3249
111,1954,73,1372,3399
112,2174,79,1294,3547
113,2256,84,1285,3625
114,2395,86,1308,3789
115,2504,91,1311,3906
116,2658,91,1289,4038
117,2757,100,1274,4131
118,2868,103,1265,4236
119,2973,108,1218,4299
120,3084,110,1258,4452
121,3151,112,1338,4601
122,3251,116,1373,4740
123,3286,116,1487,4889
124,3445,116,1516,5077
125,3654,116,1602,5372
126,3930,116,1379,5425
127,4312,120,1158,5590
128,4526,122,1111,5759
129,4591,123,1235,5949
130,4677,125,1387,6189
131,4725,126,1551,6402
132,4831,127,1635,6593
133,5016,129,1656,6801
134,5089,132,1760,6981
135,5089,132,1841,7062
136,5089,132,2029,7250
137,5554,138,1674,7366
138,5633,140,1700,7473
139,5912,142,1463,7517
140,6092,145,1383,7620
141,6092,145,1498,7735
142,6092,145,1530,7767
143,6154,147,1576,7877
144,6215,148,1670,8033
145,6312,151,1681,8144
146,6408,153,1698,8259
147,6446,157,1739,8342
148,6487,159,1771,8417
149,6582,160,1809,8551
150,6582,160,1809,8551
