,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1755240.0,0.14296,0.9288200000000001,0.08126110000000002,0.00155856,1.01187,3.418324269088835e-06
1,1755240.0,0.26516300000000004,0.883764,0.157643,0.00302354,1.04485,3.418324269088835e-06
2,1755240.0,0.37187800000000004,0.859915,0.23113699999999998,0.00443313,1.09608,3.418324269088835e-06
3,1755240.0,0.46728400000000003,0.853482,0.30336799999999997,0.00581851,1.1634200000000001,3.418324269088835e-06
4,1755240.0,0.554709,0.861559,0.37568,0.00720544,1.2453299999999998,3.418324269088835e-06
5,1755240.0,0.636817,0.8819389999999999,0.44920200000000005,0.00861557,1.3407799999999999,3.418324269088835e-06
6,1755240.0,0.7157600000000001,0.912962,0.5249,0.010067399999999999,1.44907,3.418324269088835e-06
7,1755240.0,0.793295,0.9534040000000001,0.6036189999999999,0.011577200000000001,1.56987,3.418324269088835e-06
8,1755240.0,0.870872,1.00239,0.686114,0.0131595,1.7030599999999998,3.418324269088835e-06
9,1755240.0,0.94971,1.05931,0.773081,0.0148275,1.84874,3.418324269088835e-06
10,1755240.0,1.03085,1.1238,0.865173,0.0165938,2.0072099999999997,3.418324269088835e-06
11,1755240.0,1.1152,1.19564,0.963018,0.0184704,2.17892,3.418324269088835e-06
12,1755240.0,1.2035799999999999,1.2748,1.06724,0.0204693,2.36443,3.418324269088835e-06
13,1755240.0,1.29673,1.36134,1.17845,0.022602200000000003,2.56446,3.418324269088835e-06
14,1755240.0,1.39536,1.45544,1.29728,0.0248814,2.77983,3.418324269088835e-06
15,1755240.0,1.50014,1.5573700000000001,1.42438,0.027319200000000002,3.01147,3.418324269088835e-06
16,1755240.0,1.61174,1.6674799999999999,1.56043,0.029928500000000004,3.26041,3.418324269088835e-06
17,1755240.0,1.73082,1.7861900000000002,1.70613,0.0327231,3.5278099999999997,3.418324269088835e-06
18,1755240.0,1.85805,1.91399,1.8622299999999998,0.0357171,3.81491,3.418324269088835e-06
19,1755240.0,1.9941400000000002,2.05143,2.02952,0.038925699999999994,4.123069999999999,3.418324269088835e-06
20,1755240.0,2.1398,2.19913,2.20885,0.042365,4.45377,3.418324269088835e-06
21,1755240.0,2.29579,2.35778,2.40109,0.046052300000000004,4.8086,3.418324269088835e-06
22,1755240.0,2.46292,2.52811,2.60722,0.05000569999999999,5.18927,3.418324269088835e-06
23,1755240.0,2.64202,2.71093,2.82824,0.054244900000000006,5.59765,3.418324269088835e-06
24,1755230.0,2.8339999999999996,2.90712,3.06526,0.058790800000000004,6.0357,9.115531384162878e-06
25,1755230.0,3.03982,3.11762,3.31943,0.06366569999999999,6.50558,9.115531384162878e-06
26,1755230.0,3.2605,3.34346,3.5920099999999997,0.0688937,7.009580000000001,9.115531384162878e-06
27,1755230.0,3.49712,3.58572,3.8843400000000003,0.0745005,7.550160000000001,9.115531384162878e-06
28,1755230.0,3.75086,3.84559,4.19785,0.0805136,8.12996,9.115531384162878e-06
29,1755230.0,4.02297,4.12434,4.53409,0.0869625,8.75183,9.115531384162878e-06
30,1755230.0,4.31479,4.42333,4.8947,0.09387899999999999,9.41882,9.115531384162878e-06
31,1755230.0,4.62774,4.74402,5.28146,0.101297,10.1342,9.115531384162878e-06
32,1755220.0,4.96338,5.08798,5.69625,0.109252,10.9014,1.4812738499347944e-05
33,1755230.0,3.09721,5.27785,6.13603,0.11768699999999999,11.5365,9.115531384162878e-06
34,1755230.0,1.7677599999999998,5.2092,6.58028,0.126208,11.9185,9.115531384162878e-06
35,1755230.0,0.8366600000000001,4.974530000000001,7.01125,0.134474,12.1216,9.115531384162878e-06
36,1755230.0,0.199188,4.6401900000000005,7.417839999999999,0.142272,12.2006,9.115531384162878e-06
37,1755230.0,-0.22363200000000003,4.25306,7.793710000000001,0.149481,12.1959,9.115531384162878e-06
38,1755230.0,-0.491108,3.8456300000000003,8.135869999999999,0.15604400000000002,12.1368,9.115531384162878e-06
39,1755230.0,0.478233,3.52855,8.446060000000001,0.161993,12.1374,9.115531384162878e-06
40,1755230.0,1.40509,3.38246,8.73677,0.167569,12.2891,9.115531384162878e-06
41,1755220.0,2.33174,3.39004,9.02167,0.173033,12.5885,1.4812738499347944e-05
42,1755220.0,3.2976900000000002,3.54165,9.31327,0.178626,13.0388,1.4812738499347944e-05
43,1755220.0,4.34157,3.8344099999999997,9.623560000000001,0.184577,13.6495,1.4812738499347944e-05
44,1755220.0,5.50283,4.2716400000000005,9.96458,0.191118,14.4361,1.4812738499347944e-05
45,1755220.0,6.82335,4.86262,10.3489,0.198488,15.4209,1.4812738499347944e-05
46,1755210.0,8.3491,5.62256,10.79,0.206948,16.6328,2.0509945614421987e-05
47,1755210.0,10.1318,6.5729,11.302999999999999,0.21678899999999998,18.1089,2.0509945614421987e-05
48,1755200.0,12.2308,7.741810000000001,11.9052,0.228339,19.895,2.6207152729607053e-05
49,1755200.0,14.715,9.16493,12.6165,0.241981,22.046999999999997,2.6207152729607053e-05
50,1755190.0,17.6654,10.8864,13.4601,0.25816100000000003,24.633000000000003,3.1904359844681096e-05
51,1755180.0,21.1775,12.9604,14.4633,0.277403,27.735,3.760156695986616e-05
52,1755170.0,25.3644,15.4523,15.6587,0.300329,31.4519,4.3298774074940205e-05
53,1755160.0,30.361,18.4413,17.0846,0.327677,35.9021,4.899598119012527e-05
54,1755150.0,36.3276,22.0225,18.7869,0.36032800000000004,41.2278,5.4693188305199314e-05
55,1755130.0,43.4556,26.3101,20.8203,0.399327,47.5993,6.608760253545842e-05
56,1755110.0,51.9733,31.4412,23.2499,0.445927,55.2202,7.748201676571753e-05
57,1755090.0,62.1537,37.5795,26.1537,0.50162,64.3343,8.887643099597664e-05
58,1755060.0,74.3224,44.9215,29.6245,0.56819,75.2332,0.00010596805234142082
59,1755020.0,88.8691,53.7019,33.7737,0.6477689999999999,88.2655,0.00012875688080193903
60,1754980.0,106.259,64.2014,38.734,0.7429060000000001,103.848,0.00015154570926245725
61,1754930.0,127.04799999999999,76.756,44.6641,0.8566450000000001,122.48,0.0001800317448380495
62,1754870.0,151.901,91.76700000000001,51.754,0.992626,144.757,0.00021421498752882684
63,1754800.0,181.612,109.715,60.2304,1.1552,171.391,0.0002540954373346782
64,1754790.0,155.81,126.456,70.2337,1.3470600000000001,198.28599999999997,0.0002597926444498633
65,1754770.0,135.185,138.274,81.4361,1.56192,221.488,0.0002711870586801224
66,1754760.0,118.625,146.279,93.4701,1.79273,241.732,0.0002768842657951964
67,1754740.0,105.259,151.34,106.052,2.03404,259.595,0.00028827868002545554
68,1754730.0,94.9779,154.181,118.00399999999999,3.24092,275.578,0.0002939758871406406
69,1754720.0,86.5269,155.358,130.111,4.463419999999999,290.07,0.00029967309425571464
70,1754710.0,79.5262,155.256,142.25799999999998,5.69,303.33099999999996,0.0003053703013708997
71,1754690.0,73.6765,154.18200000000002,154.358,6.9118,315.569,0.0003167647156011588
72,1754680.0,68.742,152.372,166.34400000000002,8.122110000000001,326.948,0.00032246192271623286
73,1754670.0,64.5372,150.013,178.166,9.31588,337.598,0.00032815912983141793
74,1754600.0,113.31299999999999,151.254,189.89,10.4997,351.825,0.0003680395796372693
75,1754510.0,166.335,160.16899999999998,202.00799999999998,11.7233,374.166,0.0004193144436733798
76,1754410.0,226.17,176.97099999999998,215.125,13.0479,405.505,0.0004762865148246753
77,1754280.0,295.652,202.268,229.87900000000002,14.5377,447.158,0.000550350207321415
78,1754110.0,378.01199999999994,237.083,246.97,16.2635,500.921,0.000647202728278562
79,1754100.0,309.243,270.005,266.866,18.2725,555.638,0.000652899935393636
80,1754090.0,254.395,290.778,288.844,20.4918,600.521,0.0006585971425088211
81,1753990.0,290.295,308.561,312.23400000000004,22.8536,644.113,0.0007155692136601166
82,1753880.0,327.428,330.469,337.175,25.372,693.54,0.0007782384919264862
83,1753760.0,366.414,356.401,363.98400000000004,28.0791,749.05,0.0008466049773080409
84,1753620.0,405.051,386.14,395.707,28.2684,810.7639999999999,0.0009263658769198546
85,1753480.0,446.467,419.561,430.13,28.4738,878.878,0.0010061267765315574
86,1753320.0,491.11,456.819,467.57300000000004,28.6972,953.8739999999999,0.0010972820903736302
87,1753140.0,539.431,498.12800000000004,508.37300000000005,28.9407,1036.3,0.0011998318184459622
88,1752950.0,591.891,543.753,552.887,29.2063,1126.79,0.0013080787536333682
89,1752740.0,648.967,594.009,601.499,29.4963,1226.04,0.0014277201030510334
90,1752510.0,711.163,649.261,654.619,29.8133,1334.83,0.0015587558666990686
91,1752390.0,664.789,701.051,710.816,31.7828,1444.71,0.0016271223520805123
92,1752270.0,628.849,742.2919999999999,770.868,33.8875,1548.05,0.001695488837462067
93,1752150.0,601.081,775.2739999999999,833.9939999999999,36.0999,1646.33,0.0017638553228436216
94,1752030.0,579.7130000000001,801.789,899.586,38.3987,1740.7,0.0018322218082251762
95,1751900.0,563.357,823.2410000000001,967.165,40.7671,1832.07,0.001906285500721805
96,1751780.0,550.927,840.7289999999999,1036.36,43.1922,1921.16,0.0019746519861033596
97,1751660.0,541.571,855.115,1106.87,45.6635,2008.52,0.0020430184714849142
98,1751530.0,534.625,867.072,1178.48,48.1731,2094.58,0.002117082163981543
99,1751410.0,529.565,877.1289999999999,1251.0,50.7147,2179.69,0.0021854486493630976
100,1751290.0,525.9830000000001,885.698,1324.29,53.2834,2264.11,0.0022538151347446522
101,1751160.0,523.559,893.1039999999999,1398.24,55.8752,2348.06,0.002327878827241281
102,1751030.0,522.043,899.6,1472.77,58.4873,2431.7,0.0024019425197380206
103,1750840.0,583.705,910.2710000000001,1547.95,61.122,2520.28,0.0025101894549254267
104,1750630.0,640.905,929.155,1624.36,63.8,2618.34,0.002629830804343092
105,1750420.0,695.061,955.003,1702.63,66.5433,2725.29,0.002749472153760757
