,Recovered,Deceased,Infected,I_c
0,0,0,2.0,3
1,0,0,2.2857142857142856,3
2,0,0,2.5714285714285716,3
3,0,0,2.8571428571428568,3
4,0,0,3.0,3
5,0,0,3.0,3
6,0,0,3.0,3
7,0,0,3.0,3
8,0,0,3.0,3
9,0,0,3.0,3
10,0,0,3.0,3
11,0,0,3.0,3
12,0,0,3.1428571428571432,4
13,0,0,3.2857142857142856,4
14,0,0,3.571428571428572,5
15,0,0,3.8571428571428568,5
16,1,0,4.0,5
17,1,0,4.142857142857143,5
18,1,0,4.285714285714286,5
19,1,1,4.428571428571429,7
20,2,1,4.714285714285714,9
21,2,1,4.857142857142857,9
22,2,1,5.142857142857143,10
23,2,1,5.571428571428571,10
24,3,1,6.285714285714287,13
25,3,2,6.857142857142858,13
26,3,2,7.7142857142857135,16
27,4,2,8.428571428571429,17
28,4,2,9.571428571428571,20
29,4,2,10.571428571428571,20
30,4,2,11.857142857142858,22
31,5,2,12.714285714285715,22
32,5,3,14.285714285714285,27
33,5,3,15.857142857142858,30
34,5,3,18.142857142857142,35
35,6,3,20.0,36
36,6,3,21.857142857142854,36
37,6,3,23.42857142857143,36
38,7,4,25.142857142857146,38
39,7,5,26.142857142857146,38
40,7,5,27.57142857142857,44
41,7,5,29.42857142857143,52
42,8,5,31.285714285714285,53
43,12,5,32.857142857142854,55
44,18,5,33.57142857142857,55
45,18,5,35.142857142857146,61
46,21,6,36.57142857142857,63
47,22,6,37.0,63
48,27,6,35.714285714285715,64
49,29,6,34.57142857142857,67
50,29,6,33.714285714285715,67
51,31,6,33.42857142857143,67
52,44,6,31.0,71
53,44,6,29.0,72
54,44,6,27.285714285714285,73
55,44,7,27.142857142857146,81
56,46,7,26.857142857142854,83
57,46,7,27.0,86
58,47,7,28.42857142857143,94
59,51,7,32.0,104
60,53,7,36.714285714285715,115
61,55,7,42.857142857142854,128
62,55,7,49.0,135
63,55,7,55.14285714285714,135
64,60,7,60.14285714285714,135
65,62,7,64.0,136
66,62,7,67.85714285714286,142
67,72,7,71.28571428571429,158
68,73,7,73.0,158
69,75,7,77.42857142857143,186
70,75,7,82.57142857142857,191
71,85,7,95.71428571428572,252
72,128,7,103.14285714285714,254
73,128,7,113.71428571428572,282
74,128,7,126.71428571428572,305
75,128,7,154.14285714285714,405
76,128,7,192.85714285714286,510
77,128,7,230.85714285714286,510
78,129,7,267.42857142857144,552
79,167,7,314.2857142857143,621
80,166,7,362.8571428571428,660
81,213,7,415.57142857142856,759
82,213,8,455.28571428571433,769
83,279,8,472.1428571428572,780
84,285,8,490.4285714285714,796
85,345,10,496.8571428571428,816
86,377,10,503.8571428571428,883
87,427,10,499.8571428571428,896
88,459,10,490.71428571428567,944
89,474,10,487.1428571428572,1007
90,574,10,479.8571428571428,1026
91,606,11,473.28571428571433,1074
92,646,11,474.4285714285714,1126
93,688,11,469.4285714285714,1160
94,697,11,474.0,1199
95,731,11,475.28571428571433,1226
96,779,11,463.71428571428567,1232
97,829,13,459.4285714285714,1254
98,860,14,453.4285714285714,1289
99,935,15,440.8571428571428,1331
100,959,17,430.4285714285714,1364
101,1009,18,413.28571428571433,1398
102,1048,18,394.8571428571428,1421
103,1095,18,377.8571428571428,1436
104,1103,18,366.0,1450
105,1126,19,355.71428571428567,1488
106,1143,22,357.71428571428567,1560
107,1189,25,357.0,1597
108,1241,27,358.0,1646
109,1310,27,359.0,1699
110,1329,29,368.8571428571428,1750
111,1351,30,384.0,1816
112,1392,32,403.1428571428572,1901
113,1444,34,415.4285714285714,1959
114,1460,36,436.1428571428572,2024
115,1477,36,466.4285714285714,2103
116,1506,36,507.57142857142856,2192
117,1519,37,559.7142857142857,2313
118,1520,37,615.1428571428571,2380
119,1525,38,681.2857142857142,2503
120,1567,38,753.5714285714287,2592
121,1691,43,812.4285714285713,2674
122,1771,46,860.4285714285713,2743
123,1826,48,909.4285714285713,2867
124,1834,48,956.1428571428572,2966
125,1881,49,1011.5714285714287,3141
126,1895,49,1081.0,3370
127,1921,54,1162.0,3529
128,2066,58,1254.5714285714287,3712
129,2198,64,1351.142857142857,3864
130,2271,66,1517.5714285714291,4495
131,2310,72,1705.0,4778
132,2429,82,1879.857142857143,4946
133,2553,89,2036.7142857142856,5166
134,2702,95,2173.714285714286,5310
135,2832,100,2317.857142857143,5529
136,2949,106,2476.428571428572,5767
137,3318,111,2526.428571428572,5937
138,3470,113,2561.142857142857,6222
139,3823,117,2567.428571428572,6419
140,4053,122,2555.428571428572,6615
141,4256,129,2553.714285714286,6886
142,4521,136,2538.428571428572,7147
143,4729,140,2504.142857142857,7341
144,4837,141,2511.428571428572,7537
145,4992,142,2500.0,7693
146,5326,145,2483.857142857143,7837
147,5774,154,2448.714285714286,8122
148,6150,159,2383.142857142857,8351
149,6369,161,2314.5714285714284,8540
150,6691,163,2243.0,8825
151,6885,170,2160.428571428572,9036
152,7131,172,2075.1428571428573,9265
153,7378,175,2003.7142857142856,9419
154,7554,179,1961.142857142857,9629
155,7715,186,1937.0,9774
156,7913,188,1912.428571428572,9939
157,8128,190,1891.428571428572,10142
158,8353,192,1861.7142857142856,10318
159,8542,195,1839.7142857142856,10545
160,8712,195,1832.857142857143,10725
161,8917,198,1825.142857142857,10957
162,9004,200,1839.7142857142856,11179
163,9321,204,1838.142857142857,11352
164,9480,206,1844.0,11551
165,9518,210,1874.142857142857,11712
