,Recovered,Deceased,Infected,I_c
0,0,0,6.428571428571429,9
1,0,0,7.0,9
2,0,0,7.571428571428571,9
3,0,0,8.428571428571429,11
4,0,0,9.142857142857142,11
5,0,0,10.285714285714286,14
6,0,0,11.0,14
7,0,0,12.0,16
8,0,0,13.285714285714285,18
9,0,0,14.714285714285715,19
10,0,0,15.857142857142858,19
11,0,0,17.0,19
12,5,0,17.428571428571427,22
13,5,0,18.0,23
14,5,0,18.571428571428573,25
15,9,0,18.428571428571427,26
16,9,0,18.428571428571427,28
17,9,0,18.428571428571427,28
18,9,0,18.571428571428573,29
19,16,0,18.142857142857142,30
20,16,0,17.571428571428573,30
21,16,0,16.714285714285715,30
22,18,0,16.0,30
23,26,0,13.857142857142858,30
24,26,0,12.571428571428573,36
25,26,0,11.285714285714285,37
26,26,0,11.428571428571427,41
27,26,0,12.571428571428573,48
28,26,0,13.714285714285715,48
29,27,0,15.0,48
30,27,0,17.428571428571427,48
31,29,0,18.714285714285715,48
32,29,0,20.428571428571427,52
33,32,0,21.714285714285715,56
34,32,0,23.142857142857146,64
35,32,0,24.857142857142854,66
36,32,0,27.857142857142854,74
37,36,0,31.142857142857146,80
38,36,0,35.285714285714285,84
39,42,1,38.714285714285715,90
40,46,1,43.42857142857143,104
41,52,1,47.714285714285715,115
42,52,1,52.28571428571429,119
43,53,2,55.85714285714285,122
44,57,2,59.28571428571429,127
45,57,2,63.85714285714285,139
46,62,2,69.42857142857143,150
47,65,2,74.71428571428571,161
48,72,2,80.14285714285714,174
49,82,2,85.0,184
50,89,2,89.57142857142857,190
51,90,2,96.14285714285714,206
52,90,2,105.85714285714286,240
53,90,2,116.0,249
54,114,2,123.28571428571428,261
55,121,2,132.14285714285714,285
56,121,2,144.0,306
57,124,2,157.14285714285714,317
58,132,2,169.14285714285714,332
59,132,8,181.57142857142856,375
60,132,9,199.85714285714286,426
61,132,9,224.85714285714286,461
62,132,14,250.28571428571428,486
63,184,14,271.14285714285717,527
64,184,18,305.0,630
65,194,19,348.8571428571428,718
66,244,19,386.0,758
67,280,20,415.8571428571428,794
68,350,20,440.4285714285714,862
69,358,20,468.0,911
70,358,22,517.1428571428571,1053
71,358,23,576.8571428571429,1227
72,358,23,630.4285714285714,1261
73,448,25,676.8571428571429,1293
74,490,25,722.0,1325
75,490,25,773.0,1364
76,549,25,817.0,1415
77,549,25,846.7142857142858,1455
78,587,25,852.8571428571429,1501
79,737,29,839.1428571428571,1550
80,811,33,838.1428571428571,1657
81,854,36,844.5714285714287,1745
82,863,36,852.2857142857142,1802
83,863,44,872.4285714285713,1889
84,901,44,895.7142857142858,1989
85,927,44,924.0,2058
86,978,46,964.4285714285713,2091
87,1017,46,1006.1428571428572,2168
88,1038,46,1050.4285714285713,2249
89,1116,46,1084.5714285714287,2304
90,1276,46,1097.4285714285713,2394
91,1477,46,1090.0,2515
92,1644,46,1062.7142857142858,2586
93,1758,46,1034.2857142857142,2672
94,1890,47,991.2857142857144,2741
95,1975,49,934.4285714285713,2791
96,2045,49,880.7142857142858,2860
97,2113,51,833.7142857142858,2907
98,2235,51,787.1428571428571,2952
99,2352,53,744.0,2999
100,2468,56,700.4285714285713,3087
101,2488,56,678.5714285714286,3195
102,2489,59,672.0,3269
103,2566,62,661.4285714285714,3320
104,2615,62,658.8571428571429,3402
105,2673,63,667.4285714285714,3462
