,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1684500.0,1.3912,6.360119999999999,0.323806,0.0162077,9.27355,2.96823102330368e-06
1,1684500.0,2.02546,6.47271,0.648856,0.0324776,9.72913,2.96823102330368e-06
2,1684490.0,2.58528,6.73283,0.9834459999999999,0.0492251,10.3421,8.904693070022063e-06
3,1684490.0,3.10036,7.11763,1.33445,0.06679439999999999,11.0968,8.904693070022063e-06
4,1684490.0,3.5932699999999995,7.6121300000000005,1.7078099999999998,0.085482,11.9847,8.904693070022063e-06
5,1684490.0,4.08142,8.207230000000001,2.10882,0.105554,13.0021,8.904693070022063e-06
6,1684490.0,4.57861,8.89834,2.5424700000000002,0.12725999999999998,14.1499,8.904693070022063e-06
7,1684490.0,5.0961,9.684289999999999,3.01359,0.150841,15.432,8.904693070022063e-06
8,1684480.0,5.6434,10.5667,3.5270300000000003,0.176541,16.8549,1.4841155116740445e-05
9,1684480.0,6.2289,11.5492,4.08776,0.20460699999999998,18.4278,1.4841155116740445e-05
10,1684480.0,6.860310000000001,12.6377,4.70101,0.235303,20.1619,1.4841155116740445e-05
11,1684480.0,6.03437,13.6399,5.36897,0.268737,21.8633,1.4841155116740445e-05
12,1684480.0,5.441669999999999,14.4086,6.0816300000000005,0.304408,23.3788,1.4841155116740445e-05
13,1684470.0,5.01896,15.0074,6.828810000000001,0.341807,24.7611,2.0777617163458828e-05
14,1684470.0,4.7201699999999995,15.4828,7.60313,0.380565,26.0488,2.0777617163458828e-05
15,1684470.0,4.5117400000000005,15.8687,8.39922,0.420412,27.27,2.0777617163458828e-05
16,1684470.0,4.369219999999999,16.1897,9.21318,0.461154,28.4453,2.0777617163458828e-05
17,1684470.0,4.27479,16.4637,10.0422,0.502649,29.5896,2.0777617163458828e-05
18,1684470.0,4.21548,16.7039,10.8842,0.544795,30.7139,2.0777617163458828e-05
19,1684470.0,4.181830000000001,16.9198,11.7378,0.5875199999999999,31.826,2.0777617163458828e-05
20,1684470.0,2.48623,16.8894,12.5979,0.630574,32.6942,2.0777617163458828e-05
21,1684470.0,1.29637,16.4915,13.4467,0.673056,33.1844,2.0777617163458828e-05
22,1684470.0,0.47141099999999997,15.8568,14.2688,0.714205,33.4107,2.0777617163458828e-05
23,1684470.0,-0.0909917,15.0778,15.0547,0.753544,33.4555,2.0777617163458828e-05
24,1684470.0,-0.46518699999999996,14.2197,15.7989,0.790792,33.3778,2.0777617163458828e-05
25,1684470.0,1.3669799999999999,13.6062,16.5032,0.826046,33.5088,2.0777617163458828e-05
26,1684470.0,2.8538200000000002,13.4503,17.1884,0.860342,34.0763,2.0777617163458828e-05
27,1684460.0,4.10283,13.6537,17.875,0.89471,35.004,2.671407921017721e-05
28,1684460.0,5.19351,14.147,18.5795,0.9299719999999999,36.24,2.671407921017721e-05
29,1684460.0,6.18511,14.8824,19.3153,0.966801,37.7506,2.671407921017721e-05
30,1684460.0,7.1222,15.8277,20.0938,1.00577,39.5159,2.671407921017721e-05
31,1684450.0,8.038839999999999,16.9625,20.9251,1.04738,41.5261,3.265054125689559e-05
32,1684450.0,8.96153,18.2753,21.8186,1.0921,43.7794,3.265054125689559e-05
33,1684440.0,9.91145,19.7612,22.783,1.14037,46.2806,3.8587003303613976e-05
34,1684440.0,10.9061,21.4205,23.8273,1.19264,49.038999999999994,3.8587003303613976e-05
35,1684440.0,11.9603,23.2578,24.9602,1.24935,52.0688,3.8587003303613976e-05
36,1684430.0,13.0876,25.281,26.191,1.3109600000000001,55.3874,4.452346535033236e-05
37,1684420.0,14.3001,27.5008,27.5295,1.37795,59.0158,5.045992739705074e-05
