,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1591070.0,7.02919,6.9341,0.523767,0.012770700000000001,7.45259,9.427529013228408e-06
1,1591070.0,5.217280000000001,9.217939999999999,1.35694,0.0330853,10.5805,9.427529013228408e-06
2,1591070.0,4.2952900000000005,10.624,2.37417,0.0578878,13.0237,9.427529013228408e-06
3,1591060.0,3.85146,11.5659,3.50894,0.0855563,15.1259,1.5712548355417688e-05
4,1591060.0,3.66535,12.2657,4.7262900000000005,0.11523800000000001,17.0717,1.5712548355417688e-05
5,1591060.0,3.61896,12.8423,6.0081,0.146492,18.9611,1.5712548355417688e-05
6,1591060.0,3.64917,13.3597,7.345389999999999,0.179098,20.8485,1.5712548355417688e-05
7,1591050.0,3.72223,13.8522,8.73402,0.212956,22.7639,2.1997567697495946e-05
8,1591050.0,3.8201199999999997,14.3386,10.1725,0.248029,24.7243,2.1997567697495946e-05
9,1591050.0,3.9332599999999998,14.8291,11.6608,0.284317,26.74,2.1997567697495946e-05
10,1591050.0,4.05659,15.3294,13.1995,0.321836,28.8173,2.1997567697495946e-05
11,1591040.0,4.18746,15.843,14.7901,0.360616,30.9608,2.8282587039685225e-05
12,1591050.0,0.9875370000000001,15.4463,16.4008,0.399891,32.1975,2.1997567697495946e-05
13,1591050.0,-0.501235,13.9801,17.9086,0.436654,32.2682,2.1997567697495946e-05
14,1591050.0,-1.11355,12.1667,19.245,0.469239,31.8205,2.1997567697495946e-05
15,1591050.0,-1.2895,10.3522,20.3944,0.497262,31.1825,2.1997567697495946e-05
16,1591050.0,-1.2589700000000001,8.68909,21.3654,0.520938,30.5142,2.1997567697495946e-05
17,1591050.0,-1.1402700000000001,7.231560000000001,22.1768,0.540722,29.8885,2.1997567697495946e-05
18,1591050.0,-0.992741,5.98626,22.8502,0.557143,29.3339,2.1997567697495946e-05
19,1591050.0,0.25492,5.2394099999999995,23.4174,0.57097,29.1745,2.1997567697495946e-05
20,1591050.0,1.00255,5.04547,23.9389,0.5836859999999999,29.5187,2.1997567697495946e-05
21,1591050.0,1.49051,5.1683900000000005,24.4581,0.596345,30.1759,2.1997567697495946e-05
22,1591050.0,1.84831,5.48393,25.0002,0.6095649999999999,31.0487,2.1997567697495946e-05
23,1591050.0,2.1462,5.92788,25.5815,0.623737,32.0897,2.1997567697495946e-05
24,1591040.0,2.42277,6.46842,26.2131,0.639138,33.2787,2.8282587039685225e-05
25,1591040.0,2.69978,7.09133,26.9042,0.655987,34.6109,2.8282587039685225e-05
26,1591040.0,2.9900700000000002,7.7921,27.6627,0.674482,36.0903,2.8282587039685225e-05
27,1591040.0,3.3018400000000003,8.57173,28.4968,0.694818,37.7259,2.8282587039685225e-05
28,1591030.0,3.64094,9.43452,29.4146,0.7171960000000001,39.5306,3.456760638176348e-05
29,1591030.0,4.01211,10.3869,30.4249,0.74183,41.5199,3.456760638176348e-05
30,1591030.0,4.41962,11.4369,31.5373,0.7689520000000001,43.7115,3.456760638176348e-05
31,1591030.0,4.86774,12.5939,32.7621,0.798818,46.1256,3.456760638176348e-05
32,1591020.0,5.36086,13.8683,34.1109,0.8317049999999999,48.7842,4.085262572395276e-05
33,1591020.0,5.90371,15.2719,35.5963,0.86792,51.7122,4.085262572395276e-05
34,1591010.0,6.50141,16.8177,37.2319,0.907801,54.9366,4.713764506614204e-05
35,1591010.0,7.15954,18.5199,39.0331,0.9517190000000001,58.4874,4.713764506614204e-05
36,1591000.0,7.88426,20.3945,41.0166,1.0000799999999999,62.3976,5.34226644082203e-05
37,1591000.0,8.682310000000001,22.4589,43.2009,1.05334,66.7037,5.34226644082203e-05
38,1590990.0,9.561110000000001,24.7322,45.6063,1.11199,71.4456,5.970768375040958e-05
39,1590980.0,10.5289,27.2356,48.2551,1.1765700000000001,76.6674,6.599270309259886e-05
40,1590980.0,11.5945,29.9923,51.1721,1.2477,82.4178,6.599270309259886e-05
41,1590970.0,12.767999999999999,33.0281,54.3844,1.32602,88.7503,7.227772243467712e-05
42,1590960.0,14.0603,36.3711,57.9217,1.4122700000000001,95.7236,7.85627417768664e-05
43,1590950.0,15.4834,40.0524,61.8171,1.50725,103.40299999999999,8.484776111894465e-05
44,1590930.0,17.0504,44.1063,66.1068,1.61184,111.859,9.741779980332321e-05
45,1590920.0,18.776,48.5704,70.8306,1.72702,121.171,0.00010370281914540147
46,1590910.0,20.6761,53.4863,76.0326,1.85385,131.42600000000002,0.00010998783848759075
47,1590890.0,22.7686,58.8996,81.7611,1.99353,142.718,0.0001225578771718583
48,1590870.0,25.0727,64.8607,88.0693,2.1473400000000002,155.153,0.00013512791585612582
49,1590860.0,27.6099,71.425,95.0159,2.31671,168.847,0.0001414129351983151
50,1590840.0,30.4037,78.6534,102.666,2.50323,183.926,0.00015398297388258264
51,1590810.0,33.4802,86.6131,111.089,2.7086200000000002,200.53099999999998,0.00017283803190903946
52,1590790.0,36.8678,95.3781,120.366,2.9348,218.81599999999997,0.000185408070593307
53,1590760.0,40.5979,105.03,130.58100000000002,3.18387,238.951,0.0002042631286197638
54,1590730.0,44.7053,115.65799999999999,141.83,3.45814,261.123,0.00022311818664622063
55,1590700.0,49.2279,127.361,154.217,3.76016,285.539,0.00024197324467267745
56,1590660.0,54.2078,140.248,167.857,4.09274,312.42400000000004,0.0002671133220412125
57,1590640.0,45.7299,150.76,182.75,4.45587,338.148,0.0002796833607255911
58,1590610.0,41.361000000000004,157.167,198.487,4.83957,360.653,0.0002985384187519369
59,1590590.0,39.1943,161.38299999999998,214.755,5.23623,381.524,0.00031110845743631543
60,1590570.0,38.2088,164.435,231.389,5.6418,401.60900000000004,0.00032367849612058297
61,1590540.0,37.8576,166.87,248.299,6.054119999999999,421.366,0.0003425335541470398
62,1590520.0,37.8479,168.984,265.441,6.4720699999999995,441.039,0.0003551035928313073
63,1590500.0,38.0229,170.933,282.788,6.89504,460.76,0.00036767363151557486
64,1590470.0,38.2986,172.803,300.33099999999996,7.322760000000001,480.601,0.0003865286895420317
65,1590450.0,38.6301,174.638,318.062,7.755089999999999,500.601,0.0003990987282262992
66,1590420.0,38.9933,176.46400000000003,335.97900000000004,8.19196,520.783,0.00041795378625275603
67,1590400.0,39.3753,178.293,354.083,8.63338,541.16,0.00043052382493702357
68,1590370.0,39.7694,180.132,372.375,9.079369999999999,561.738,0.0004493788829634804
69,1590350.0,40.1717,181.985,390.85400000000004,9.52995,582.523,0.00046194892164785895
70,1590300.0,57.7164,188.363,409.68,9.98896,608.278,0.0004933740183585833
71,1590250.0,71.015,201.588,429.528,10.4729,641.904,0.0005247991150693077
72,1590200.0,75.1419,226.85299999999998,441.619,11.0056,679.814,0.000556224211780032
73,1590150.0,81.2618,253.285,455.165,11.6024,720.421,0.0005876493084907564
74,1590090.0,88.9086,281.693,470.25699999999995,12.2673,764.625,0.00062535942454367
75,1590030.0,97.8652,312.672,487.023,13.0059,813.155,0.0006630695405964726
76,1589960.0,108.059,346.714,505.62199999999996,13.8253,866.668,0.0007070646759915755
77,1589880.0,119.501,384.267,526.241,14.7337,925.809,0.0007573448307287567
78,1589800.0,132.261,425.778,549.089,15.7403,991.2410000000001,0.0008076249854659379
79,1589700.0,146.441,471.71,574.404,16.8555,1063.68,0.0008704751788873866
80,1589600.0,162.172,522.558,602.4490000000001,18.090999999999998,1143.89,0.0009333253723088353
81,1589480.0,179.609,578.863,633.515,19.4597,1232.72,0.0010087456044145515
82,1589360.0,198.928,641.217,667.929,20.9758,1331.1,0.0010841658365203788
83,1589210.0,220.327,710.273,706.049,22.6553,1440.07,0.0011784411266525519
84,1589060.0,244.02599999999998,786.753,748.275,24.5155,1560.76,0.001272716416784725
85,1588880.0,270.269,871.453,795.047,26.5761,1694.43,0.0013858467649434658
86,1588690.0,299.327,965.255,846.8530000000001,28.8585,1842.47,0.001505262132444174
87,1588480.0,331.501,1069.13,904.2360000000001,31.3865,2006.43,0.0016372475386292606
88,1588240.0,367.121,1184.17,967.793,34.1865,2188.0,0.0017880880028408042
89,1588080.0,312.55400000000003,1228.3,1096.08,37.1948,2363.15,0.0018886483123151665
90,1587930.0,282.635,1247.74,1227.62,40.2793,2517.06,0.0019829236024473396
91,1587770.0,265.869,1254.04,1360.46,43.3943,2659.22,0.002083483911921702
92,1587620.0,256.122,1253.35,1493.55,46.5155,2794.69,0.002177759202053986
93,1587470.0,250.543,1249.06,1623.73,52.2647,2926.3,0.002272034492186159
94,1587310.0,246.805,1242.96,1753.36,57.9896,3055.55,0.0023725948016605214
95,1587160.0,244.055,1235.93,1882.31,63.6842,3183.13,0.0024668700917926945
96,1586940.0,296.916,1243.1,2011.01,69.3683,3324.97,0.0026051405173199704
97,1586710.0,331.915,1270.68,2141.62,75.1362,3489.1,0.0027496959621893247
98,1586470.0,357.64300000000003,1310.12,2275.75,81.0601,3668.73,0.002900536426400868
99,1586220.0,378.69699999999995,1356.88,2414.39,87.18299999999999,3860.37,0.00305766190995449
100,1585960.0,397.546,1408.59,2558.17,93.5327,4062.3,0.003221072412850301
101,1585690.0,414.597,1463.77,2711.55,96.0953,4273.51,0.0033907679350883013
102,1585400.0,431.75199999999995,1521.68,2870.97,98.7588,4493.59,0.003573033496010569
103,1585110.0,449.276,1582.17,3036.71,101.52799999999999,4722.69,0.003755299056932837
104,1584800.0,467.32199999999995,1645.19,3209.05,104.40700000000001,4961.02,0.0039501346565393725
105,1584490.0,485.983,1710.77,3388.26,107.402,5208.9,0.004144970256145908
106,1584160.0,505.32199999999995,1778.96,3574.61,110.515,5466.66,0.004352375894436822
107,1583920.0,449.12199999999996,1829.51,3767.64,113.74,5713.18,0.004503216358648365
108,1583670.0,418.67699999999996,1854.21,3964.57,117.03,5937.93,0.004660341842201987
109,1583430.0,401.961,1865.11,4163.33,120.351,6150.83,0.004811182306413531
110,1583200.0,392.561,1868.66,4362.82,123.684,6357.15,0.004955737751282885
111,1582960.0,387.059,1868.28,4562.46,127.02,6559.72,0.005106578215494428
112,1582720.0,383.84,1865.85,4760.68,131.616,6760.08,0.005257418679705972
113,1582480.0,381.65,1862.36,4958.58,136.205,6959.07,0.005408259143917515
114,1582240.0,380.00800000000004,1858.31,5156.07,140.785,7157.08,0.005559099608129059
115,1582010.0,378.655,1853.94,5353.12,145.355,7354.32,0.005703655052998413
116,1581770.0,377.45599999999996,1849.4,5549.69,149.91299999999998,7550.91,0.005854495517209957
117,1581540.0,376.338,1844.75,5745.77,154.46,7746.89,0.005999050962079311
118,1581300.0,375.26099999999997,1840.05,5941.36,158.996,7942.3,0.006149891426290854
119,1581070.0,374.205,1835.3,6136.45,163.519,8137.16,0.006294446871160209
120,1580840.0,372.361,1830.31,6335.99,163.056,8331.24,0.006439002316029674
121,1580840.0,216.958,1980.44,6336.48,162.572,8480.56,0.006439002316029674
122,1580850.0,124.727,2067.44,6336.99,162.059,8567.09,0.006432717296687485
123,1580670.0,204.067,1982.21,6503.61,168.037,8654.87,0.0065458476448461145
124,1580490.0,247.05,1933.51,6664.84,173.822,8773.41,0.006658977993004744
125,1580250.0,315.247,1916.92,6823.3,179.507,8921.32,0.006809818457216288
126,1580000.0,356.00300000000004,1928.14,6987.01,179.817,9096.77,0.006966943940770021
127,1579750.0,382.47,1954.83,7152.4,180.12900000000002,9289.29,0.007124069424323642
128,1579660.0,296.33299999999997,2096.5,7185.02,180.455,9463.46,0.007180634598403013
129,1579560.0,247.739,2201.93,7219.6,180.801,9603.57,0.007243484791824462
130,1579460.0,221.118,2286.73,7255.7,181.16299999999998,9724.69,0.00730633498524591
131,1579590.0,34.3065,2311.47,7292.8,181.53400000000002,9785.93,0.007224629733798005
132,1579700.0,-68.7033,2262.86,7329.64,181.903,9774.0,0.007155494521034367
133,1579580.0,50.5876,2000.18,7590.62,182.245,9773.25,0.007230914753140194
134,1579470.0,107.625,1809.26,7820.87,185.796,9816.43,0.007300049965903721
135,1579370.0,132.312,1659.51,8030.69,189.032,9879.87,0.007362900159325281
