,Recovered,Deceased,Infected,I_c
0,0,0,3,3
1,0,0,4,4
2,0,0,5,5
3,0,0,5,5
4,0,0,5,5
5,0,0,5,5
6,0,0,8,8
7,0,0,8,8
8,0,0,8,8
9,0,0,8,8
10,0,0,11,11
11,0,0,12,12
12,0,0,12,12
13,0,0,12,12
14,0,0,12,12
15,0,0,12,12
16,0,0,14,14
17,0,0,15,15
18,0,0,16,16
19,4,0,12,16
20,4,0,14,18
21,4,0,14,18
22,4,0,14,18
23,4,0,14,18
24,4,0,22,26
25,4,0,22,26
26,4,0,22,26
27,7,0,21,28
28,7,0,21,28
29,11,0,17,28
30,11,0,17,28
31,11,0,17,28
32,14,0,14,28
33,14,0,14,28
34,14,0,16,30
35,14,0,17,31
36,19,0,12,31
37,19,0,17,36
38,19,0,30,49
39,19,0,31,50
40,19,0,53,72
41,21,0,68,89
42,21,0,139,160
43,24,0,144,168
44,25,0,176,201
45,25,0,184,209
46,26,0,211,237
47,26,0,226,252
48,27,0,227,254
49,28,0,226,254
50,28,0,227,255
51,28,0,227,255
52,33,0,224,257
53,33,0,224,257
54,61,0,209,270
55,61,0,224,285
56,81,0,208,289
57,81,0,221,302
58,133,0,184,317
59,146,0,184,330
60,170,0,163,333
61,211,0,123,334
62,222,0,112,334
63,236,0,98,334
64,247,0,87,334
65,255,0,79,334
66,255,0,81,336
67,261,0,77,338
68,261,0,82,343
69,261,0,82,343
70,282,0,61,343
71,288,0,62,350
72,304,0,53,357
73,318,0,42,360
74,321,0,43,364
75,321,0,48,369
76,321,0,48,369
77,334,0,37,371
78,334,0,39,373
79,334,0,48,382
80,334,0,54,388
81,338,0,62,400
82,338,0,68,406
83,338,0,76,414
84,338,0,78,416
85,340,0,81,421
86,352,0,88,440
87,354,0,119,473
88,354,0,154,508
89,367,0,151,518
90,367,0,190,557
91,381,0,205,586
92,381,0,225,606
93,396,0,234,630
94,431,0,230,661
95,463,0,221,684
96,463,0,225,688
97,505,0,213,718
98,533,0,223,756
99,552,1,234,787
100,579,2,217,798
101,579,4,237,820
102,579,5,278,862
103,609,7,253,869
104,609,7,294,910
105,695,7,221,923
106,695,7,258,960
107,700,9,301,1010
108,739,9,319,1067
109,783,9,335,1127
110,808,10,373,1191
111,808,10,429,1247
112,864,10,469,1343
113,864,10,539,1413
114,914,10,576,1500
115,956,10,599,1565
116,983,11,666,1660
117,1009,14,734,1757
118,1053,14,842,1909
119,1093,16,926,2035
120,1183,19,956,2158
121,1246,20,1026,2292
122,1265,20,1109,2394
123,1315,21,1159,2495
124,1349,22,1187,2558
125,1349,24,1251,2624
126,1386,26,1353,2765
127,1521,29,1336,2886
128,1690,31,1295,3016
129,1755,32,1392,3179
130,1791,33,1439,3263
131,1900,36,1418,3354
132,1982,37,1361,3380
133,2112,39,1403,3554
134,2193,39,1507,3739
135,2286,39,1523,3848
136,2350,40,1557,3947
137,2422,42,1629,4093
138,2561,44,1539,4144
139,2647,45,1534,4226
140,2784,47,1548,4379
141,2994,49,1491,4534
142,3248,51,1432,4731
143,3334,53,1532,4919
144,3557,56,1500,5113
145,3674,58,1560,5292
146,3735,62,1654,5451
147,3835,63,1750,5648
148,3989,65,1839,5893
149,4039,65,2028,6132
150,4142,66,2092,6300
151,4433,70,2043,6546
152,4482,71,2223,6776
153,4651,72,2222,6945
154,5061,76,2081,7218
155,5188,79,2175,7442
156,5439,82,2170,7691
157,5544,86,2192,7822
158,5714,86,2215,8015
159,5991,86,2184,8261
160,6171,87,2112,8370
161,6531,87,1952,8570
162,6531,88,2133,8752
163,6531,88,2219,8838
164,6912,90,1905,8907
165,7324,92,1585,9001
166,7377,93,1696,9166
167,7801,95,1372,9268
168,7855,96,1451,9402
169,7878,96,1631,9605
170,8192,97,1402,9691
171,8288,98,1416,9802
172,8391,99,1567,10057
173,8456,100,1777,10333
174,8535,100,1907,10542
175,8590,102,2109,10801
176,8850,104,2091,11045
177,8850,104,2091,11045
