,Recovered,Deceased,Infected,I_c
0,0,0,6,6
1,0,0,7,7
2,0,0,11,11
3,0,0,16,16
4,0,0,26,26
5,0,0,66,66
6,0,0,66,66
7,0,0,66,66
8,0,0,66,66
9,0,0,71,71
10,0,0,72,72
11,0,0,134,134
12,2,0,132,134
13,2,1,214,217
14,37,1,179,217
15,37,1,195,233
16,37,1,230,268
17,37,1,318,356
18,37,1,318,356
19,37,1,320,358
20,53,1,305,359
21,82,1,276,359
22,82,1,276,359
23,82,1,276,359
24,82,2,290,374
25,82,2,294,378
26,96,2,285,383
27,96,2,287,385
28,91,2,310,403
29,137,2,270,409
30,137,2,271,410
31,137,2,275,414
32,198,2,214,414
33,237,2,190,429
34,271,2,158,431
35,271,2,158,431
36,307,2,125,434
37,307,2,134,443
38,355,2,86,443
39,355,2,100,457
40,396,2,65,463
41,397,2,70,469
42,397,2,74,473
43,397,2,89,488
44,403,2,95,500
45,404,2,105,511
46,404,3,111,518
47,422,3,134,559
48,422,3,144,569
49,422,3,150,575
50,438,3,157,598
51,442,6,167,615
52,442,7,182,631
53,462,8,186,656
54,465,9,196,670
55,465,9,244,718
56,475,9,279,763
57,475,10,303,788
58,483,12,319,814
59,535,12,368,915
60,543,13,392,948
61,569,13,382,964
62,612,13,371,996
63,621,13,365,999
64,680,13,310,1003
65,692,15,431,1138
66,719,17,660,1396
67,751,18,734,1503
68,794,18,759,1571
69,816,18,868,1702
70,958,20,844,1822
71,1089,21,805,1915
72,1120,23,845,1988
73,1311,23,820,2154
74,1356,25,892,2273
75,1471,25,886,2382
76,1624,27,943,2594
77,1765,28,916,2709
78,1881,30,942,2853
79,1991,32,921,2944
80,2053,34,1038,3125
81,2126,36,1134,3296
82,2200,38,1353,3591
83,2317,40,1436,3793
84,2341,40,1577,3958
85,2390,42,1727,4159
86,2459,46,1845,4350
87,2832,49,1650,4531
88,2951,51,1749,4751
89,3060,54,1792,4906
90,3131,57,1901,5089
91,3273,60,1866,5199
92,3416,64,1890,5370
93,3575,66,1882,5523
94,3865,68,1701,5634
95,4157,71,1506,5734
96,4357,74,1355,5786
97,4528,76,1263,5867
98,4641,78,1331,6050
99,4821,78,1239,6138
100,4913,80,1281,6274
101,4992,81,1440,6513
102,5219,82,1390,6691
103,5335,84,1458,6877
104,5469,86,1469,7024
105,5663,88,1413,7164
106,5745,91,1573,7409
107,5892,94,1655,7641
108,6007,97,1698,7802
109,6128,100,1743,7971
110,6247,103,1807,8157
111,6434,105,1805,8344
112,6581,107,1678,8366
113,6735,109,1731,8575
114,6911,112,1766,8789
115,7148,115,1633,8896
116,7354,117,1625,9096
117,7545,119,1563,9227
118,7681,121,1615,9417
119,7816,124,1528,9468
120,7961,127,1540,9628
121,8132,127,1562,9821
122,8132,127,1789,10048
123,8318,128,1718,10164
124,8457,129,1734,10320
125,8564,130,1758,10452
126,8730,132,1650,10512
127,8837,133,1657,10627
128,8837,133,1694,10664
129,8837,133,1746,10716
130,8992,133,1704,10829
131,9092,133,1696,10921
132,9225,134,1664,11023
133,9419,135,1521,11075
134,9591,135,1449,11175
135,9687,135,1446,11268
136,9687,135,1446,11268
