,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2196140.0,1.51229,5.9498,0.13675199999999998,0.00191019,6.09028,3.6427417460238587e-06
1,2196140.0,3.19159,6.08939,0.274479,0.00383398,6.37153,3.6427417460238587e-06
2,2196140.0,5.105569999999999,6.43809,0.417739,0.00583507,6.867789999999999,3.6427417460238587e-06
3,2196130.0,7.334810000000001,7.02353,0.571627,0.00798461,7.61194,8.196168928553682e-06
4,2196130.0,9.97643,7.883210000000001,0.741981,0.0103642,8.64753,8.196168928553682e-06
5,2196120.0,13.1485,9.06648,0.935629,0.0130691,10.031,1.2749596110972483e-05
6,2196120.0,16.9957,10.6371,1.16069,0.0162127,11.8344,1.2749596110972483e-05
7,2196110.0,21.6958,12.6762,1.42693,0.0199317,14.1491,1.7303023293502307e-05
8,2196100.0,27.4681,15.2869,1.7462400000000002,0.0243918,17.0904,2.185645047603213e-05
9,2196090.0,34.584,18.5984,2.13313,0.029796,20.8029,2.6409877658561953e-05
10,2196080.0,43.3799,22.7733,2.60546,0.036393699999999994,25.4672,3.0963304840980754e-05
11,2196060.0,54.2727,28.0147,3.18527,0.0444926,31.3096,4.00701592060404e-05
12,2196040.0,67.7804,34.5762,3.8998,0.0544732,38.6118,4.9177013570989025e-05
13,2196010.0,84.5459,42.7741,4.78279,0.06680710000000001,47.7252,6.28372951185785e-05
14,2195970.0,105.369,53.0028,5.876119999999999,0.0820789,59.0874,8.105100384858677e-05
15,2195930.0,131.24200000000002,65.7531,7.231739999999999,0.10101399999999999,73.2434,9.926471257859504e-05
16,2195880.0,163.4,81.6365,8.9142,0.12451500000000001,90.8713,0.00012203184849113313
17,2195810.0,203.37900000000002,101.414,11.0037,0.153702,112.815,0.00015390583876861985
18,2195810.0,180.55700000000002,121.83,13.5687,0.189531,135.805,0.00015390583876861985
19,2195800.0,160.743,139.252,16.5673,0.23141599999999998,156.243,0.00015845926595114967
20,2195800.0,143.537,154.079,19.9355,0.278464,174.46599999999998,0.00015845926595114967
21,2195790.0,128.59,166.66099999999997,23.6178,0.329899,190.763,0.00016301269313356848
22,2195790.0,115.603,177.299,27.5662,0.38505,205.389,0.00016301269313356848
23,2195780.0,104.31299999999999,186.25400000000002,31.739,0.443338,218.56099999999998,0.0001675661203160983
24,2195780.0,94.4952,193.752,36.1004,0.504259,230.47,0.0001675661203160983
25,2195780.0,85.9533,199.99,40.6192,0.5673779999999999,241.28,0.0001675661203160983
26,2195770.0,78.5176,205.139,45.2684,0.632319,251.13400000000001,0.00017211954749862812
27,2195770.0,72.0407,209.34400000000002,50.0248,0.698758,260.154,0.00017211954749862812
28,2195760.0,66.3952,212.735,54.8682,0.766412,268.449,0.00017667297468115795
29,2195760.0,61.4704,215.422,59.7813,0.835038,276.112,0.00017667297468115795
30,2195750.0,57.1706,217.5,64.7489,0.9044260000000001,283.222,0.00018122640186357675
31,2195710.0,80.316,192.14700000000002,98.3411,0.969928,291.55400000000003,0.00019944011059358502
32,2195700.0,70.5569,171.27900000000002,128.195,1.02814,300.587,0.00020399353777611484
33,2195690.0,62.0759,152.575,154.798,1.0800100000000001,308.528,0.00020854696495864466
34,2195680.0,54.6844,135.838,178.489,1.12621,315.519,0.0002131003921411745
35,2195670.0,48.2263,120.87899999999999,199.577,1.16733,321.681,0.0002176538193237043
36,2195670.0,42.5712,107.525,218.338,1.20391,327.118,0.0002176538193237043
37,2195660.0,37.6097,95.6139,235.024,1.23645,331.92,0.0002222072465061231
38,2195650.0,33.2496,84.9981,249.859,1.26537,336.163,0.00022676067368865294
39,2195650.0,29.4989,75.548,262.798,1.54006,339.921,0.00022676067368865294
40,2195620.0,46.4641,68.3111,274.36,1.7855400000000001,344.51199999999994,0.00024042095523613138
41,2195590.0,61.5113,63.9371,284.993,2.0112900000000002,351.015,0.00025408123678372085
42,2195560.0,75.3283,61.818999999999996,295.108,2.2260400000000002,359.24300000000005,0.0002677415183311993
43,2195520.0,88.4527,61.5092,305.03,2.4367099999999997,369.083,0.0002859552270612076
44,2195480.0,101.311,62.6812,315.025,2.64891,380.477,0.00030416893579121584
45,2195440.0,114.24799999999999,65.1004,325.311,2.86729,393.416,0.0003223826445212241
46,2195410.0,120.89,75.2583,329.005,3.10734,407.515,0.00033604292606870256
47,2195380.0,128.797,85.7108,333.241,3.3826199999999997,422.48900000000003,0.00034970320761629203
48,2195350.0,137.983,96.5902,338.038,3.69438,438.48800000000006,0.0003633634891637705
49,2195310.0,148.482,108.024,343.42199999999997,4.04429,455.66900000000004,0.00038157719789377875
50,2195280.0,160.343,120.139,349.426,4.43447,474.19199999999995,0.0003952374794412572
51,2195230.0,173.632,133.059,356.089,4.8674599999999995,494.224,0.0004180046153537953
52,2195190.0,188.43,146.91299999999998,363.45599999999996,5.34622,515.941,0.00043621832408380357
53,2195140.0,204.835,161.83,371.58,5.8741900000000005,539.53,0.00045898545999634166
54,2195080.0,222.96,177.947,380.52099999999996,6.45522,565.191,0.00048630602309129856
55,2195020.0,242.93599999999998,195.407,390.345,7.0936699999999995,593.137,0.0005136265861863665
56,2194960.0,264.908,214.361,401.12699999999995,7.794389999999999,623.6,0.0005409471492813234
57,2194880.0,289.043,234.96900000000002,412.95,8.56276,656.829,0.0005773745667414509
58,2194810.0,314.89099999999996,257.368,426.426,8.88451,693.057,0.0006092485570189377
59,2194720.0,343.23900000000003,281.70599999999996,441.181,9.23679,732.5360000000001,0.000650229401661484
60,2194700.0,306.153,304.175,457.254,9.620560000000001,771.4169999999999,0.0006593362560264326
61,2194680.0,274.598,321.42,474.412,10.0302,806.192,0.0006684431103914923
62,2194660.0,247.69400000000002,334.32,492.394,10.4596,837.471,0.0006775499647564409
63,2194640.0,224.705,343.611,510.98199999999997,10.9034,865.765,0.0006866568191215006
64,2194390.0,427.54400000000004,362.43300000000005,530.216,11.3626,904.5239999999999,0.00080049249868408
65,2194030.0,690.98,407.219,551.16,11.8627,971.07,0.0009644158772541545
66,2193880.0,711.666,466.793,575.095,12.4342,1055.18,0.0010327172849917687
67,2193730.0,738.637,525.901,602.279,13.0832,1142.15,0.001101018692729272
68,2193560.0,771.578,585.2819999999999,632.706,13.8097,1232.72,0.001178426954831835
69,2193470.0,735.7660000000001,641.239,666.332,14.6126,1323.07,0.0012194077994743813
70,2193270.0,751.7669999999999,645.716,750.092,15.6277,1412.34,0.0013104763431244226
71,2193060.0,766.868,651.387,834.5160000000001,16.6508,1503.47,0.0014060983139569938
72,2192850.0,781.304,658.0160000000001,919.7410000000001,17.6837,1596.38,0.001501720284789565
73,2192640.0,795.2610000000001,665.421,1005.88,18.7276,1690.98,0.0015973422556221362
74,2192430.0,808.882,673.461,1093.03,19.7838,1787.24,0.0016929642264547073
75,2192210.0,822.28,682.0269999999999,1181.26,20.853,1885.12,0.0017931396244698083
76,2191990.0,835.543,691.033,1270.63,21.9362,1984.6,0.0018933150224847983
77,2191770.0,848.738,700.415,1361.2,23.0338,2085.67,0.0019934904204998993
78,2191540.0,861.921,710.12,1453.01,24.1465,2188.31,0.002098219245697419
79,2191150.0,1019.49,728.309,1546.46,25.279,2301.27,0.002275802905815083
80,2190870.0,1121.84,821.735,1580.11,26.5001,2429.69,0.002403298866925141
81,2190560.0,1237.4,923.819,1617.99,27.8752,2571.17,0.0025444551095827883
82,2190220.0,1367.37,1035.8,1660.53,29.419,2727.39,0.002699271633787914
83,2189840.0,1513.11,1159.0,1708.17,31.148000000000003,2900.14,0.002872301866723048
84,2189410.0,1676.25,1294.89,1761.39,33.1287,3091.42,0.0030680992355706094
85,2188940.0,1858.48,1445.03,1820.8,35.3402,3303.41,0.00328211031314829
86,2188750.0,1760.0,1593.53,1886.83,37.7978,3520.27,0.0033686254296158014
87,2188470.0,1711.59,1692.27,1993.63,40.4547,3728.4,0.0034961213907259703
88,2188200.0,1675.06,1779.74,2106.46,43.262,3931.47,0.0036190639246534984
89,2187920.0,1648.45,1857.92,2224.67,46.203,4130.78,0.0037465598857636673
90,2187630.0,1630.13,1928.47,2347.71,49.2641,4327.4,0.003878609274056255
91,2187340.0,1618.74,1992.76,2475.13,52.434,4522.27,0.004010658662348843
92,2187050.0,1613.17,2051.94,2606.55,55.7037,4716.12,0.0041427080506414304
93,2187090.0,1303.87,2088.46,2741.28,59.0557,4890.36,0.004124494341911422
94,2186870.0,1192.17,1946.51,3029.67,62.3175,5039.93,0.004224669739926412
95,2186670.0,1092.09,1811.86,3298.29,65.3557,5176.82,0.0043157382835765645
96,2186490.0,1002.01,1684.75,3548.19,68.1822,5302.31,0.004397699972861546
97,2186320.0,920.5989999999999,1565.18,3780.45,70.8092,5417.54,0.004475108234964109
98,2186160.0,846.7610000000001,1453.05,3996.15,73.2489,5523.47,0.004547963069884142
99,2185860.0,948.55,1423.91,4130.94,75.37899999999999,5631.37,0.00468456588535926
100,2185560.0,1039.07,1408.41,4263.66,77.4762,5750.79,0.004821168700834377
101,2185250.0,1120.74,1404.14,4395.45,79.5589,5880.5,0.004962324943491914
102,2184930.0,1195.56,1409.21,4527.3,81.6424,6019.58,0.005108034613332091
103,2184590.0,1265.12,1422.07,4659.99,83.7392,6167.31,0.005262851137537217
104,2184250.0,1330.71,1441.48,4794.2,85.8601,6323.13,0.0054176676617422315
105,2183900.0,1393.41,1466.46,4930.49,88.0139,6486.64,0.005577037613129887
106,2183530.0,1454.06,1496.23,5069.36,90.2083,6657.54,0.005745514418882491
107,2183160.0,1513.36,1530.15,5211.22,92.45,6835.64,0.005913991224635096
