,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1125360.0,745.409,805.637,2342.88,23.022,3172.25,0.005658423487582165
1,1125220.0,757.2389999999999,815.992,2403.31,23.6158,3243.63,0.005782124188435045
2,1125080.0,769.039,826.678,2464.51,24.2172,3316.14,0.005905824889287925
3,1124940.0,780.8380000000001,837.668,2526.53,24.8266,3389.76,0.006029525590140694
4,1124790.0,792.66,848.942,2589.37,25.4441,3464.51,0.006162062055340201
5,1124640.0,804.5269999999999,860.4830000000001,2653.06,26.07,3540.38,0.006294598520539596
6,1124490.0,816.455,872.2760000000001,2717.63,26.7044,3617.38,0.0064271349857391025
7,1124340.0,828.462,884.309,2783.08,27.3475,3695.52,0.006559671450938498
8,1124190.0,840.559,896.573,2849.43,27.9996,3774.8,0.006692207916138004
9,1124030.0,852.7589999999999,909.059,2916.71,28.6607,3855.24,0.006833580145684137
10,1123880.0,865.071,921.762,2984.93,29.331,3936.84,0.006966116610883533
11,1123720.0,877.5039999999999,934.676,3054.1,30.0107,4019.62,0.0071074888404296654
12,1123550.0,890.066,947.797,3124.24,30.7,4103.59,0.007257696834322314
13,1123390.0,902.763,961.1239999999999,3195.37,31.3989,4188.75,0.007399069063868446
14,1123220.0,915.602,974.6519999999999,3267.5,32.1076,4275.13,0.007549277057761206
15,1123050.0,928.587,988.3810000000001,3340.64,32.8264,4362.73,0.007699485051653854
16,1122880.0,941.7239999999999,1002.31,3414.82,33.5552,4451.58,0.007849693045546613
17,1122710.0,955.0160000000001,1016.44,3490.04,34.2944,4541.68,0.007999901039439372
18,1122530.0,968.4680000000001,1030.77,3566.32,35.0439,4633.05,0.008158944797678647
19,1122350.0,982.0830000000001,1045.3,3643.67,35.804,4725.7,0.008317988555918032
20,1122170.0,995.865,1060.02,3722.12,36.5749,4819.66,0.008477032314157418
21,1121990.0,1009.82,1074.95,3801.67,37.3566,4914.94,0.008636076072396692
22,1121800.0,1023.94,1090.09,3882.34,38.1493,5011.54,0.008803955594982704
23,1121610.0,1038.24,1105.42,3964.14,38.9531,5109.5,0.008971835117568716
24,1121420.0,1052.71,1120.96,4047.1,39.7683,5208.83,0.009139714640154617
25,1121220.0,1067.37,1136.71,4131.22,40.5949,5309.54,0.009316429927087255
26,1121030.0,1082.21,1152.66,4216.52,41.4331,5411.65,0.009484309449673267
27,1120830.0,1097.23,1168.83,4303.02,42.2831,5515.18,0.009661024736605905
28,1120630.0,1112.44,1185.21,4390.74,43.145,5620.14,0.009837740023538433
29,1120420.0,1127.84,1201.8,4479.68,44.0189,5726.56,0.010023291074817697
30,1120210.0,1143.43,1218.6,4569.86,44.9051,5834.45,0.010208842126096962
31,1120000.0,1159.22,1235.62,4661.31,45.8037,5943.84,0.010394393177376227
32,1119790.0,1175.2,1252.87,4754.03,46.7148,6054.73,0.010579944228655491
33,1119570.0,1191.38,1270.33,4848.05,47.6387,6167.15,0.010774331044281271
34,1119350.0,1207.75,1288.02,4943.37,48.5754,6281.11,0.010968717859907162
35,1119130.0,1224.33,1305.93,5040.02,49.5251,6396.64,0.011163104675533053
36,1118900.0,1241.11,1324.07,5138.02,50.4881,6513.76,0.01136632725550557
