,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1848220.0,673.7310000000001,2923.57,4827.04,110.456,7867.1,0.00539648098639145
1,1847870.0,681.695,2894.46,5130.33,114.329,8145.19,0.005584830442438293
2,1847510.0,684.753,2870.33,5430.87,118.166,8425.45,0.005778561311514885
3,1847160.0,684.888,2849.19,5729.06,121.973,8706.3,0.005966910767561728
4,1846810.0,683.2819999999999,2829.85,6025.14,125.75299999999999,8986.82,0.006155260223608461
5,1846460.0,680.6439999999999,2811.6,6319.27,129.50799999999998,9266.44,0.006343609679655193
6,1846110.0,677.393,2794.02,6611.53,133.24,9544.85,0.006531959135702037
7,1845770.0,673.784,2776.87,6901.99,136.94799999999998,9821.84,0.00671492717871891
8,1845430.0,669.966,2759.99,7190.67,140.634,10097.3,0.006897895221735784
9,1845090.0,666.028,2743.28,7477.6,144.297,10371.2,0.007080863264752657
10,1844750.0,662.025,2726.71,7762.79,147.938,10643.4,0.007263831307769419
11,1844420.0,657.9889999999999,2710.23,8046.26,151.558,10914.0,0.007441417937756434
12,1844080.0,653.939,2693.83,8328.02,155.155,11183.0,0.007624385980773307
13,1843750.0,649.886,2677.49,8608.07,158.731,11450.2,0.0078019726107602105
14,1843420.0,645.8380000000001,2661.22,8886.42,162.284,11715.9,0.007979559240747225
15,1843100.0,641.799,2645.0,9163.08,165.817,11979.8,0.00815176445770427
16,1842770.0,637.77,2628.84,9438.05,169.327,12242.1,0.008329351087691172
17,1842450.0,633.754,2612.74,9711.34,172.817,12502.8,0.008501556304648217
18,1842130.0,629.752,2596.69,9982.95,176.28400000000002,12761.8,0.008673761521605261
19,1841810.0,625.764,2580.69,10252.9,179.731,13019.1,0.008845966738562305
20,1841490.0,621.7909999999999,2564.75,10521.2,183.15599999999998,13274.9,0.00901817195551935
21,1841180.0,617.8330000000001,2548.86,10787.8,186.56,13529.0,0.009184995759446535
22,1840860.0,613.89,2533.03,11052.7,189.94299999999998,13781.5,0.009357200976403579
23,1840550.0,609.962,2517.25,11316.0,193.305,14032.4,0.009524024780330764
24,1840240.0,606.05,2501.53,11577.7,196.646,14281.7,0.009690848584257838
25,1839940.0,602.153,2485.86,11837.8,199.96599999999998,14529.3,0.009852290975155054
26,1839630.0,598.2719999999999,2470.25,12096.2,203.265,14775.4,0.010019114779082239
27,1839330.0,594.4069999999999,2454.7,12352.9,206.543,15019.9,0.010180557169979454
28,1839030.0,590.558,2439.21,12608.1,209.801,15262.8,0.010341999560876669
29,1838730.0,586.724,2423.78,12861.6,213.03799999999998,15504.1,0.010503441951773884
30,1838430.0,582.9069999999999,2408.4,13113.6,216.255,15743.9,0.01066488434267121
31,1838140.0,579.105,2393.08,13363.9,219.451,15982.1,0.010820945320538455
32,1837850.0,575.32,2377.82,13612.7,222.627,16218.8,0.010977006298405811
33,1837550.0,571.5509999999999,2362.63,13859.8,225.782,16453.9,0.011138448689303027
34,1837260.0,567.798,2347.49,14105.4,228.918,16687.4,0.011294509667170383
35,1836980.0,564.062,2332.41,14349.4,232.033,16919.4,0.011445189232007769
36,1836690.0,560.342,2317.39,14591.8,235.128,17149.9,0.011601250209875125
37,1836410.0,556.638,2302.43,14832.7,238.204,17378.9,0.01175192977471251
38,1836130.0,552.951,2287.54,15072.0,241.25900000000001,17606.4,0.011902609339549897
39,1835850.0,549.281,2272.7,15309.8,244.295,17832.3,0.012053288904387394
40,1835570.0,545.627,2257.93,15546.0,247.31099999999998,18056.8,0.01220396846922478
41,1835290.0,541.989,2243.22,15780.7,250.30700000000002,18279.7,0.012354648034062166
42,1835020.0,538.369,2228.57,16013.8,253.28400000000002,18501.2,0.012499946185869693
43,1834750.0,534.765,2213.99,16245.5,256.241,18721.2,0.01264524433767722
44,1834480.0,531.178,2199.46,16475.6,259.17900000000003,18939.7,0.012790542489484746
45,1834210.0,527.607,2185.0,16704.2,262.098,19156.7,0.012935840641292273
46,1833940.0,524.054,2170.61,16931.3,264.997,19372.3,0.01308113879309969
47,1833680.0,520.5169999999999,2156.27,17156.9,267.877,19586.4,0.013221055531877357
48,1833410.0,516.998,2142.0,17381.0,270.73900000000003,19799.1,0.013366353683684884
49,1833150.0,513.495,2127.8,17603.6,273.58099999999996,20010.4,0.01350627042246244
50,1832890.0,510.009,2113.66,17824.7,276.404,20220.2,0.013646187161239998
51,1832630.0,506.54,2099.58,18044.4,279.209,20428.6,0.013786103900017666
52,1832380.0,503.088,2085.57,18262.6,281.995,20635.5,0.013920639225765363
53,1832120.0,499.653,2071.62,18479.4,284.762,20841.1,0.01406055596454292
54,1831870.0,496.236,2057.74,18694.7,287.51099999999997,21045.2,0.014195091290290618
55,1831620.0,492.835,2043.92,18908.5,290.242,21248.0,0.014329626616038316
56,1831370.0,489.45099999999996,2030.17,19120.9,292.954,21449.3,0.014464161941786013
57,1831120.0,486.085,2016.48,19331.9,295.647,21649.3,0.014598697267533711
58,1830880.0,482.735,2002.86,19541.5,298.323,21847.9,0.01472785118025155
59,1830630.0,479.403,1989.3,19749.6,300.98,22045.1,0.014862386505999248
60,1830390.0,476.088,1975.81,19956.4,303.62,22241.0,0.014991540418716975
61,1830150.0,472.789,1962.38,20161.7,306.241,22435.5,0.015120694331434814
62,1829910.0,469.50800000000004,1949.02,20365.6,308.845,22628.7,0.015249848244152542
63,1829670.0,466.244,1935.73,20568.2,311.431,22820.5,0.01537900215687038
64,1829440.0,462.99800000000005,1922.5,20769.3,314.0,23011.0,0.01550277465655825
65,1829200.0,459.76800000000003,1909.33,20969.1,316.55,23200.2,0.015631928569275977
66,1828970.0,456.555,1896.24,21167.5,319.084,23388.0,0.015755701068963845
67,1828740.0,453.36,1883.2,21364.6,321.599,23574.5,0.015879473568651714
68,1828510.0,450.181,1870.24,21560.3,324.098,23759.7,0.016003246068339694
69,1828280.0,447.02,1857.34,21754.6,326.579,23943.7,0.016127018568027562
70,1828060.0,443.876,1844.51,21947.6,329.04400000000004,24126.3,0.01624540965468546
71,1827830.0,440.749,1831.74,22139.3,331.491,24307.6,0.01636918215437333
72,1827610.0,437.639,1819.04,22329.7,333.921,24487.7,0.01648757324103134
73,1827390.0,434.546,1806.4,22518.7,336.334,24666.5,0.01660596432768935
74,1827170.0,431.47,1793.84,22706.4,338.731,24844.0,0.016724355414347247
75,1826950.0,428.411,1781.33,22892.8,341.111,25020.3,0.016842746501005257
76,1826730.0,425.369,1768.9,23077.9,343.474,25195.3,0.016961137587663266
77,1826520.0,422.344,1756.53,23261.7,345.82099999999997,25369.1,0.017074147261291306
78,1826310.0,419.335,1744.22,23444.2,348.151,25541.6,0.017187156934919345
79,1826090.0,416.344,1731.99,23625.5,350.465,25712.9,0.017305548021577355
80,1825880.0,413.37,1719.81,23805.5,352.76300000000003,25883.0,0.017418557695205394
81,1825680.0,410.413,1707.71,23984.2,355.045,26051.9,0.017526185955803575
82,1825470.0,407.472,1695.67,24161.6,357.31,26219.5,0.017639195629431614
83,1825260.0,404.548,1683.69,24337.8,359.56,26386.0,0.017752205303059654
84,1825060.0,401.64099999999996,1671.78,24512.7,361.79400000000004,26551.2,0.017859833563657834
85,1824850.0,398.751,1659.94,24686.5,364.01199999999994,26715.3,0.017972843237285874
86,1824650.0,395.87800000000004,1648.16,24858.9,366.214,26878.2,0.018080471497884054
87,1824450.0,393.02099999999996,1636.45,25030.2,368.4,27039.9,0.018188099758482235
88,1824250.0,390.181,1624.81,25200.2,370.57099999999997,27200.5,0.018295728019080304
89,1824060.0,387.358,1613.23,25369.1,372.727,27359.9,0.018397974866648625
90,1823860.0,384.551,1601.71,25536.7,374.86699999999996,27518.1,0.018505603127246695
91,1823670.0,381.76099999999997,1590.26,25703.1,376.991,27675.2,0.018607849974815016
92,1823470.0,378.98699999999997,1578.88,25868.3,379.101,27831.1,0.018715478235413197
93,1823280.0,376.23,1567.56,26032.4,381.19599999999997,27986.0,0.018817725082981407
94,1823090.0,373.48900000000003,1556.3,26195.3,383.275,28139.6,0.018919971930549617
95,1822900.0,370.764,1545.11,26357.0,385.34,28292.2,0.019022218778117828
96,1822720.0,368.056,1533.98,26517.5,387.389,28443.7,0.01911908421265618
97,1822530.0,365.365,1522.92,26676.9,389.42400000000004,28594.0,0.0192213310602245
98,1822350.0,362.689,1511.93,26835.1,391.444,28743.2,0.01931819649476285
99,1822160.0,360.03,1500.99,26992.2,393.45,28891.4,0.019420443342331062
100,1821980.0,357.38699999999994,1490.13,27148.2,395.441,29038.5,0.019517308776869413
101,1821800.0,354.76,1479.32,27303.0,397.418,29184.4,0.019614174211407764
102,1821620.0,352.149,1468.58,27456.7,399.38,29329.4,0.019711039645946116
103,1821440.0,349.555,1457.91,27609.3,401.32800000000003,29473.2,0.019807905080484467
104,1821270.0,346.976,1447.29,27760.7,403.26199999999994,29616.0,0.019899389101992848
105,1821090.0,344.413,1436.74,27911.1,405.18199999999996,29757.7,0.0199962545365312
106,1820920.0,341.866,1426.26,28060.4,407.088,29898.4,0.02008773855803958
107,1820750.0,339.335,1415.83,28208.6,408.98,30038.0,0.020179222579548073
108,1820570.0,336.82,1405.47,28355.7,410.858,30176.6,0.020276088014086424
109,1820400.0,334.32099999999997,1395.18,28501.7,412.722,30314.2,0.020367572035594805
110,1820240.0,331.837,1384.94,28646.6,414.57300000000004,30450.8,0.020453674644073327
111,1820070.0,329.369,1374.77,28790.5,416.41,30586.3,0.02054515866558182
112,1819900.0,326.91700000000003,1364.66,28933.3,418.23400000000004,30720.9,0.0206366426870902
113,1819740.0,324.48,1354.61,29075.1,420.04400000000004,30854.4,0.020722745295568723
114,1819570.0,322.058,1344.62,29215.9,421.841,30986.9,0.020814229317077215
115,1819410.0,319.652,1334.7,29355.6,423.624,31118.5,0.020900331925555737
116,1819250.0,317.26099999999997,1324.84,29494.2,425.395,31249.0,0.02098643453403426
117,1819090.0,314.88599999999997,1315.04,29631.9,427.152,31378.6,0.02107253714251278
118,1818930.0,312.526,1305.3,29768.5,428.89599999999996,31507.2,0.021158639750991304
119,1818770.0,310.181,1295.62,29904.1,430.62800000000004,31634.9,0.021244742359469826
120,1818620.0,307.851,1286.0,30038.7,432.346,31761.6,0.021325463554918378
121,1818460.0,305.53700000000003,1276.44,30172.3,434.05199999999996,31887.3,0.0214115661633969
122,1818310.0,303.237,1266.94,30304.9,435.745,32012.1,0.021492287358845563
123,1818150.0,300.952,1257.5,30436.5,437.425,32135.9,0.021578389967324085
124,1818000.0,298.683,1248.12,30567.2,439.093,32258.9,0.021659111162772637
125,1817850.0,296.428,1238.81,30696.8,440.749,32380.9,0.0217398323582213
126,1817700.0,294.188,1229.55,30825.5,442.392,32501.9,0.021820553553669964
127,1817550.0,291.962,1220.35,30953.2,444.023,32622.1,0.021901274749118516
128,1817400.0,289.752,1211.21,31080.0,445.64099999999996,32741.3,0.02198199594456718
129,1817260.0,287.555,1202.12,31205.9,447.24800000000005,32859.7,0.02205733572698587
130,1817110.0,285.374,1193.1,31330.7,448.842,32977.1,0.022138056922434424
131,1816970.0,283.207,1184.14,31454.7,450.425,33093.7,0.022213396704853228
132,1816830.0,281.05400000000003,1175.23,31577.7,451.995,33209.3,0.02228873648727192
133,1816680.0,278.916,1166.38,31699.8,453.55400000000003,33324.1,0.022369457682720473
134,1816540.0,276.79200000000003,1157.59,31820.9,455.101,33438.0,0.022444797465139166
135,1816400.0,274.682,1148.85,31941.2,456.63699999999994,33551.1,0.02252013724755797
136,1816270.0,272.586,1140.18,32060.6,458.16,33663.3,0.022590095616946693
137,1816130.0,270.505,1131.56,32179.0,459.673,33774.6,0.022665435399365386
138,1815990.0,268.437,1123.0,32296.5,461.173,33885.1,0.02274077518178408
139,1815860.0,266.384,1114.49,32413.2,462.663,33994.7,0.022810733551172913
140,1815720.0,264.344,1106.04,32529.0,464.14099999999996,34103.5,0.022886073333591606
141,1815590.0,262.318,1097.64,32643.9,465.608,34211.5,0.02295603170298044
142,1815460.0,260.306,1089.31,32757.9,467.064,34318.6,0.023025990072369273
143,1815320.0,258.308,1081.02,32871.1,468.50800000000004,34424.9,0.023101329854787966
144,1815190.0,256.323,1072.8,32983.4,469.94199999999995,34530.4,0.0231712882241768
145,1815060.0,254.352,1064.62,33094.8,471.365,34635.1,0.023241246593565523
146,1814940.0,252.395,1056.51,33205.4,472.777,34739.0,0.023305823549924498
147,1814810.0,250.451,1048.44,33315.1,474.17800000000005,34842.1,0.02337578191931322
148,1814680.0,248.52,1040.43,33424.0,475.569,34944.3,0.023445740288702055
149,1814560.0,246.60299999999998,1032.48,33532.1,476.949,35045.8,0.02351031724506092
150,1814430.0,244.699,1024.58,33639.4,478.31800000000004,35146.6,0.023580275614449753
151,1814310.0,242.808,1016.73,33745.8,479.67699999999996,35246.5,0.023644852570808617
152,1814190.0,240.93,1008.94,33851.4,481.025,35345.6,0.02370942952716748
153,1814060.0,239.065,1001.2,33956.2,482.36300000000006,35444.0,0.023779387896556314
154,1813940.0,237.213,993.507,34060.2,483.691,35541.7,0.023843964852915178
155,1813820.0,235.37400000000002,985.8710000000001,34163.4,485.009,35638.6,0.023908541809274153
156,1813710.0,233.548,978.288,34265.8,486.316,35734.7,0.023967737352603047
157,1813590.0,231.735,970.7560000000001,34367.5,487.61400000000003,35830.1,0.02403231430896202
158,1813470.0,229.93400000000003,963.2769999999999,34468.3,488.901,35924.7,0.024096891265320886
159,1813360.0,228.14700000000002,955.8489999999999,34568.4,490.17900000000003,36018.6,0.02415608680864989
160,1813240.0,226.37099999999998,948.472,34667.6,491.44599999999997,36111.8,0.024220663765008754
161,1813130.0,224.608,941.1460000000001,34766.2,492.704,36204.2,0.02427985930833776
162,1813010.0,222.858,933.8710000000001,34863.9,493.952,36295.9,0.024344436264696623
163,1812900.0,221.12,926.6469999999999,34960.9,495.191,36387.0,0.024403631808025628
164,1812790.0,219.394,919.4730000000001,35057.2,496.42,36477.3,0.024462827351354632
165,1812680.0,217.68099999999998,912.3480000000001,35152.7,497.639,36566.9,0.024522022894683637
166,1812570.0,215.98,905.2739999999999,35247.5,498.849,36655.7,0.02458121843801253
167,1812460.0,214.291,898.2489999999999,35341.5,500.05,36744.0,0.024640413981341536
168,1812350.0,212.614,891.273,35434.8,501.241,36831.5,0.02469960952467054
169,1812240.0,210.949,884.346,35527.4,502.423,36918.3,0.024758805067999545
170,1812140.0,209.295,877.4680000000001,35619.2,503.596,37004.4,0.02481261919829858
171,1812030.0,207.65400000000002,870.638,35710.4,504.76,37089.9,0.024871814741627585
172,1811930.0,206.025,863.857,35800.8,505.914,37174.7,0.02492562887192673
173,1811820.0,204.407,857.123,35890.5,507.06,37258.8,0.024984824415255624
174,1811720.0,202.801,850.437,35979.6,508.19599999999997,37342.3,0.02503863854555477
175,1811620.0,201.206,843.798,36067.9,509.324,37425.1,0.025092452675853805
176,1811520.0,199.623,837.207,36155.6,510.44300000000004,37507.3,0.02514626680615284
177,1811420.0,198.051,830.663,36242.5,511.55400000000003,37588.8,0.025200080936451985
178,1811320.0,196.49099999999999,824.165,36328.8,512.655,37669.7,0.02525389506675102
179,1811220.0,194.942,817.7130000000001,36414.4,513.748,37749.9,0.025307709197050166
180,1811120.0,193.40400000000002,811.308,36499.3,514.8330000000001,37829.5,0.0253615233273492
181,1811020.0,191.878,804.948,36583.6,515.908,37908.5,0.025415337457648235
182,1810920.0,190.362,798.6339999999999,36667.2,516.976,37986.9,0.02546915158794738
183,1810830.0,188.858,792.3660000000001,36750.2,518.035,38064.6,0.025517584305216556
184,1810730.0,187.365,786.1419999999999,36832.5,519.086,38141.7,0.02557139843551559
185,1810640.0,185.882,779.9630000000001,36914.1,520.128,38218.2,0.025619831152784767
186,1810540.0,184.41099999999997,773.829,36995.1,521.163,38294.2,0.0256736452830838
187,1810450.0,182.95,767.7389999999999,37075.5,522.189,38369.5,0.025722078000352977
188,1810360.0,181.5,761.694,37155.3,523.207,38444.2,0.025770510717622153
189,1810270.0,180.06,755.692,37234.4,524.217,38518.3,0.025818943434891328
190,1810180.0,178.632,749.7330000000001,37312.9,525.219,38591.8,0.025867376152160504
191,1810090.0,177.213,743.818,37390.7,526.2130000000001,38664.8,0.02591580886942968
192,1810000.0,175.805,737.946,37468.0,527.2,38737.1,0.025964241586698855
193,1809910.0,174.408,732.117,37544.6,528.178,38808.9,0.02601267430396803
194,1809820.0,173.021,726.33,37620.7,529.149,38880.1,0.026061107021237206
195,1809730.0,171.644,720.586,37696.1,530.112,38950.8,0.026109539738506382
196,1809650.0,170.27700000000002,714.883,37771.0,531.068,39020.9,0.026152591042745588
197,1809560.0,168.921,709.2230000000001,37845.2,532.016,39090.4,0.026201023760014763
198,1809480.0,167.575,703.6030000000001,37918.9,532.956,39159.4,0.02624407506425408
199,1809390.0,166.238,698.025,37991.9,533.889,39227.8,0.026292507781523256
200,1809310.0,164.912,692.4889999999999,38064.4,534.815,39295.7,0.02633555908576246
201,1809220.0,163.595,686.993,38136.4,535.7330000000001,39363.0,0.026383991803031637
202,1809140.0,162.289,681.5369999999999,38207.7,536.644,39429.8,0.026427043107270953
203,1809060.0,160.99200000000002,676.122,38278.5,537.548,39496.1,0.02647009441151016
204,1808980.0,159.705,670.747,38348.7,538.445,39561.9,0.026513145715749475
205,1808900.0,158.42700000000002,665.4110000000001,38418.4,539.3340000000001,39627.1,0.02655619701998868
206,1808820.0,157.159,660.115,38487.5,540.217,39691.8,0.026599248324227998
207,1808740.0,155.901,654.859,38556.1,541.092,39755.9,0.026642299628467203
208,1808660.0,154.65200000000002,649.641,38624.1,541.96,39819.6,0.02668535093270652
