,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2754110.0,431.59,3352.27,7343.67,200.46599999999998,10898.6,0.00457141535327632
1,2753850.0,440.80400000000003,3427.56,7492.04,203.59,11125.4,0.004665388154656114
2,2753590.0,450.38800000000003,3504.34,7643.74,206.783,11357.1,0.004759360956035907
3,2753320.0,460.277,3582.72,7798.83,210.048,11593.9,0.004856948095930291
4,2753050.0,470.436,3662.78,7957.38,213.386,11835.9,0.004954535235824786
5,2752770.0,480.847,3744.56,8119.48,216.799,12083.3,0.005055736714233761
6,2752490.0,491.50300000000004,3828.13,8285.2,220.287,12336.1,0.005156938192642846
7,2752200.0,502.402,3913.52,8454.61,223.854,12594.5,0.005261754009566411
8,2751900.0,513.543,4000.79,8627.81,227.5,12858.7,0.005370184165004677
9,2751600.0,524.929,4089.97,8804.86,231.227,13128.7,0.005478614320442943
10,2751290.0,536.565,4181.11,8985.86,235.03799999999998,13404.7,0.005590658814395799
11,2750970.0,548.455,4274.24,9170.89,238.933,13686.8,0.005706317646863246
12,2750640.0,560.6030000000001,4369.42,9360.05,242.915,13975.2,0.005825590817845283
13,2750310.0,573.014,4466.68,9553.41,246.986,14270.0,0.00594486398882732
14,2749970.0,585.695,4566.07,9751.08,251.14700000000002,14571.3,0.006067751498324059
15,2749630.0,598.65,4667.64,9953.15,255.40099999999998,14879.2,0.006190639007820686
16,2749270.0,611.884,4771.42,10159.7,259.749,15194.0,0.006320755194346606
17,2748910.0,625.405,4877.47,10370.9,264.195,15515.7,0.006450871380872525
18,2748540.0,639.217,4985.84,10586.7,268.73900000000003,15844.5,0.0065846019059130345
19,2748160.0,653.326,5096.56,10807.3,273.383,16180.6,0.0067219467694681345
20,2747770.0,667.7389999999999,5209.7,11032.9,278.131,16524.1,0.006862905971537825
21,2747380.0,682.462,5325.31,11263.4,282.985,16875.2,0.007003865173607515
22,2746970.0,697.5,5443.43,11499.1,287.94599999999997,17234.0,0.007152053052706497
23,2746560.0,712.8610000000001,5564.11,11740.0,293.017,17600.7,0.0073002409318053685
24,2746140.0,728.551,5687.42,11986.2,298.2,17975.5,0.007452043149418941
25,2745710.0,744.576,5813.4,12237.9,303.499,18358.6,0.007607459705547104
26,2745270.0,760.943,5942.11,12495.1,308.914,18750.0,0.007766490600189857
27,2744820.0,777.66,6073.6,12758.1,314.45,19150.1,0.0079291358333472
28,2744360.0,794.732,6207.94,13026.8,320.108,19558.9,0.008095395405019135
29,2743890.0,812.1669999999999,6345.18,13301.5,325.89099999999996,19976.8,0.00826526931520577
30,2743410.0,829.9730000000001,6485.39,13582.3,331.80199999999996,20403.7,0.008438757563906885
31,2742910.0,848.1560000000001,6628.62,13869.3,337.844,20840.1,0.008619474489637291
32,2742410.0,866.7239999999999,6774.93,14162.6,344.019,21286.0,0.008800191415367697
33,2741900.0,885.685,6924.39,14462.4,350.33,21741.6,0.008984522679612694
34,2741380.0,905.046,7077.06,14768.8,356.78,22207.3,0.009172468282372392
35,2740840.0,924.815,7233.0,15082.0,363.37300000000005,22683.1,0.00936764256216116
36,2740290.0,945.0,7392.29,15402.0,370.11,23169.3,0.00956643118046463
37,2739730.0,965.6089999999999,7555.0,15729.1,376.996,23666.0,0.00976883413728269
38,2739160.0,986.6510000000001,7721.17,16063.4,384.034,24173.7,0.00997485143261534
39,2738580.0,1008.13,7890.9,16405.1,391.226,24692.3,0.01018448306646258
40,2737980.0,1030.06,8064.25,16754.2,398.577,25222.3,0.010401343377339112
41,2737370.0,1052.45,8241.29,17111.0,406.089,25763.8,0.010621818026730234
42,2736750.0,1075.3,8422.09,17475.7,413.765,26317.1,0.010845907014635947
43,2736110.0,1098.63,8606.74,17848.3,421.611,26882.3,0.01107722467957084
44,2735460.0,1122.45,8795.3,18229.2,429.62800000000004,27459.8,0.011312156683020325
45,2734800.0,1146.75,8987.85,18618.3,437.82,28049.9,0.01155070302498451
46,2734120.0,1171.56,9184.48,19016.0,446.19199999999995,28652.7,0.011796478043977876
47,2733430.0,1196.88,9385.26,19422.4,454.74699999999996,29268.5,0.012045867401485832
48,2732720.0,1222.71,9590.27,19837.6,463.48900000000003,29897.7,0.01230248543602297
49,2732000.0,1249.08,9799.59,20261.9,472.42199999999997,30540.4,0.012562717809074697
50,2731260.0,1275.99,10013.3,20695.5,481.54900000000004,31196.9,0.012830178859155716
51,2730510.0,1303.45,10231.5,21138.5,490.876,31867.6,0.013101254247751326
52,2729740.0,1331.47,10454.3,21591.2,500.406,32552.8,0.013379558313376116
53,2728950.0,1360.05,10681.7,22053.8,510.14300000000003,33252.6,0.013665091056030199
54,2728140.0,1389.22,10913.9,22526.3,520.092,33967.5,0.013957852475713461
55,2727320.0,1418.98,11150.9,23009.2,530.257,34697.7,0.014254228233911315
56,2726480.0,1449.33,11392.8,23502.5,540.643,35443.5,0.014557832669138349
57,2725630.0,1480.3,11639.8,24006.6,551.254,36205.2,0.014865051442880084
58,2724750.0,1511.89,11891.8,24521.5,562.095,36983.3,0.01518311323216559
59,2723860.0,1544.11,12149.1,25047.6,573.17,37777.9,0.015504789359965687
60,2722950.0,1576.97,12411.7,25585.1,584.485,38589.4,0.015833694164795076
61,2722010.0,1610.49,12679.6,26134.2,596.045,39418.2,0.016173441985168235
62,2721060.0,1644.67,12953.1,26695.2,607.854,40264.6,0.016516804144055985
63,2720090.0,1679.52,13232.2,27268.2,619.9169999999999,41129.0,0.016867394979972916
64,2719100.0,1715.07,13517.0,27853.6,632.24,42011.6,0.01722521449291914
65,2718090.0,1751.31,13807.6,28451.5,644.828,42912.9,0.017590262682894542
66,2717050.0,1788.25,14104.0,29062.3,657.687,43833.3,0.017966153888413827
67,2715990.0,1825.92,14406.6,29686.2,670.822,44773.0,0.018349273770962293
68,2714920.0,1864.33,14715.2,30323.5,684.238,45732.6,0.01873600799202535
69,2713810.0,1903.47,15030.0,30974.5,697.942,46712.3,0.019137199567146768
70,2712690.0,1943.37,15351.2,31639.3,711.938,47712.5,0.019542005480782887
71,2711540.0,1984.04,15678.9,32318.4,726.2339999999999,48733.7,0.01995765440996289
72,2710370.0,2025.48,16013.1,33011.9,740.834,49776.3,0.02038053201617196
73,2709180.0,2067.72,16353.9,33720.2,755.745,50840.6,0.020810638299410322
74,2707960.0,2110.75,16701.6,34443.6,770.9739999999999,51927.0,0.021251587598192567
75,2706710.0,2154.6,17056.1,35182.3,786.5260000000001,53036.1,0.021703379912518583
76,2705440.0,2199.28,17417.7,35936.8,802.408,54168.2,0.02216240090387378
77,2704140.0,2244.79,17786.4,36707.2,818.6260000000001,55323.8,0.02263226491077286
78,2702810.0,2291.16,18162.3,37493.9,835.188,56503.2,0.02311297193321571
79,2701460.0,2338.38,18545.6,38297.2,852.0989999999999,57706.9,0.02360090763268774
80,2700080.0,2386.48,18936.4,39117.4,869.367,58935.5,0.024099686347703653
81,2698670.0,2435.46,19334.8,39954.9,886.998,60189.3,0.024609308078263448
82,2697240.0,2485.33,19740.9,40810.0,905.0,61468.8,0.025126158485852423
83,2695770.0,2536.12,20154.8,41683.1,923.38,62774.5,0.02565746624749976
84,2694280.0,2587.82,20576.8,42574.5,942.145,64106.8,0.02619600268617639
85,2692750.0,2640.46,21006.8,43484.5,961.303,65466.2,0.02674899647891138
86,2691190.0,2694.03,21445.0,44413.5,980.86,66853.3,0.027312833287190252
87,2689600.0,2748.57,21891.6,45361.9,1000.83,68268.5,0.027887513111013007
