,Recovered,Deceased,Infected,I_c
0,0,0,1.8571428571428568,3
1,0,0,2.142857142857143,3
2,0,0,2.4285714285714284,3
3,0,0,2.7142857142857144,3
4,0,0,3.0,3
5,0,0,3.0,3
6,0,0,3.0,3
7,0,0,3.0,3
8,0,0,3.0,3
9,0,0,3.0,3
10,0,0,3.0,3
11,0,0,3.0,3
12,0,0,3.0,3
13,0,0,3.0,3
14,0,0,3.0,3
15,0,0,3.0,3
16,0,0,3.0,3
17,1,0,2.8571428571428568,3
18,1,0,2.7142857142857144,3
19,1,0,2.5714285714285716,3
20,1,0,2.4285714285714284,3
21,1,0,2.2857142857142856,3
22,2,0,2.0,3
23,2,0,1.7142857142857142,3
24,2,0,1.5714285714285714,3
25,2,0,1.4285714285714286,3
26,3,0,1.1428571428571428,3
27,3,0,0.8571428571428571,3
28,3,0,0.5714285714285714,3
29,3,0,0.42857142857142855,3
30,3,0,0.2857142857142857,3
31,3,0,0.14285714285714285,3
32,3,0,0.0,3
33,3,0,0.0,3
34,3,0,0.0,3
35,3,0,0.0,3
36,3,0,0.0,3
37,3,0,0.0,3
38,3,0,0.0,3
39,3,0,0.0,3
40,3,0,0.0,3
41,3,0,0.0,3
42,3,0,0.0,3
43,3,0,0.0,3
44,3,0,0.0,3
45,3,0,0.7142857142857143,8
46,3,0,1.5714285714285714,9
47,3,1,2.4285714285714284,10
48,3,1,3.4285714285714284,11
49,3,1,5.0,15
50,3,1,7.428571428571429,21
51,3,1,13.571428571428573,47
52,3,1,19.428571428571427,50
53,3,1,25.57142857142857,53
54,3,1,35.0,76
55,3,1,48.85714285714285,108
56,3,1,62.57142857142857,111
57,3,1,76.71428571428571,120
58,3,1,91.28571428571428,149
59,5,1,107.28571428571428,164
60,6,1,124.57142857142857,177
61,63,1,131.85714285714286,187
62,62,1,145.14285714285714,260
63,62,1,179.4285714285714,410
64,62,1,221.28571428571428,472
65,82,1,269.2857142857143,564
66,82,1,344.57142857142856,768
67,103,1,432.4285714285714,889
68,103,1,528.8571428571429,902
69,234,1,602.4285714285714,947
70,234,1,654.5714285714286,947
71,327,1,684.5714285714286,947
72,349,1,704.2857142857142,969
73,474,1,680.1428571428571,991
74,584,1,628.0,1005
75,714,1,558.4285714285714,1026
76,736,1,498.28571428571433,1028
77,817,1,427.57142857142856,1035
78,904,1,358.28571428571433,1039
79,940,1,283.85714285714283,1039
80,944,1,225.14285714285717,1050
81,953,2,180.57142857142856,1063
82,959,2,150.71428571428572,1063
83,961,2,125.42857142857143,1077
84,969,2,111.14285714285714,1088
85,978,2,109.42857142857143,1102
86,1011,2,110.14285714285714,1116
87,1028,2,108.71428571428572,1125
88,1038,2,107.42857142857143,1139
89,1042,2,112.14285714285714,1179
90,1045,2,117.28571428571428,1197
91,1056,2,121.71428571428572,1206
92,1058,2,128.28571428571428,1228
93,1079,3,136.42857142857142,1242
94,1093,3,146.0,1258
95,1103,3,156.14285714285714,1276
96,1125,3,164.42857142857142,1321
97,1143,3,173.71428571428572,1361
98,1171,3,183.28571428571428,1389
99,1178,3,193.42857142857144,1420
100,1206,3,203.85714285714286,1442
101,1213,3,217.85714285714286,1476
102,1234,3,240.57142857142856,1566
103,1262,3,262.14285714285717,1609
104,1269,3,287.14285714285717,1662
105,1349,3,311.14285714285717,1735
106,1371,3,336.0,1787
107,1451,3,366.4285714285714,1900
108,1532,6,392.4285714285714,1980
109,1575,8,417.71428571428567,2089
110,1617,9,453.8571428571428,2223
111,1617,10,497.28571428571433,2321
112,1731,10,537.4285714285714,2405
113,1765,11,608.4285714285714,2686
114,1830,11,688.2857142857142,2846
115,1918,14,782.8571428571429,3036
116,1997,14,883.0,3218
117,2122,14,976.4285714285713,3387
118,2173,14,1080.857142857143,3612
119,2228,21,1196.2857142857142,3721
120,2311,25,1288.857142857143,3894
121,2372,29,1394.0,4142
122,2428,29,1507.4285714285709,4355
123,2528,35,1610.4285714285709,4491
124,2606,35,1722.0,4673
125,2728,36,1809.142857142857,4799
126,2889,42,1890.0,4969
127,2978,44,1970.2857142857144,5142
128,3058,50,2043.142857142857,5359
129,3161,55,2113.285714285714,5605
130,3260,60,2209.0,5918
131,3345,60,2318.0,6200
132,3462,66,2421.857142857143,6290
133,3623,66,2533.5714285714284,6509
134,3848,69,2638.5714285714284,6772
135,4138,70,2740.714285714286,7174
136,4752,77,2780.4285714285716,7496
137,4981,79,2791.714285714286,7737
138,5240,79,2771.714285714286,7974
139,5509,80,2756.142857142857,8242
140,5830,80,2746.5714285714284,8663
141,6011,80,2759.714285714286,9038
142,6370,82,2755.5714285714284,9389
143,6735,82,2781.714285714286,9667
144,6970,82,2822.5714285714284,10015
145,7279,84,2838.857142857143,10132
146,7435,88,2847.4285714285716,10236
147,7615,90,2846.714285714286,10453
148,7861,91,2818.857142857143,10704
149,8075,92,2791.5714285714284,10913
150,8262,94,2774.857142857143,11089
151,8481,94,2735.285714285714,11261
152,8676,94,2731.857142857143,11515
153,8979,96,2704.714285714286,11598
