,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1220670.0,534.6569999999999,1964.29,13182.3,143.373,15292.3,0.01496909346201647
1,1220380.0,554.98,2067.83,13317.7,143.96200000000002,15531.9,0.015203111634737976
2,1220070.0,578.707,2174.03,13460.1,144.582,15781.3,0.015453268991785118
3,1219740.0,605.039,2283.97,13609.8,145.233,16041.7,0.01571956553315801
4,1219400.0,633.519,2398.41,13767.0,145.918,16314.2,0.015993931666693606
5,1219040.0,663.9010000000001,2517.92,13932.1,146.636,16599.6,0.01628443698455484
6,1218660.0,696.062,2642.94,14105.4,147.39,16898.8,0.01659108148674171
7,1218270.0,729.96,2773.85,14287.3,148.18200000000002,17212.5,0.016905795581091287
8,1217850.0,765.6,2911.03,14478.2,149.012,17541.6,0.01724471845192943
9,1217420.0,803.0139999999999,3054.79,14678.5,149.884,17886.7,0.017591710914930392
10,1216960.0,842.258,3205.48,14888.7,150.799,18248.7,0.017962912154419697
11,1216480.0,883.395,3363.44,15109.2,151.75799999999998,18628.3,0.01835025257823475
12,1215980.0,926.503,3529.02,15340.7,152.766,19026.5,0.018753732186375327
13,1215450.0,971.663,3702.57,15583.5,153.822,19444.1,0.01918142057100436
14,1214900.0,1018.96,3884.47,15838.2,154.931,19882.1,0.01962524813995903
15,1214320.0,1068.49,4075.1,16105.5,156.094,20341.4,0.020093284485402152
16,1213720.0,1120.35,4274.86,16385.8,157.314,20822.9,0.0205774600151708
17,1213080.0,1174.64,4484.16,16679.9,158.594,21327.9,0.021093913913590834
18,1212410.0,1231.45,4703.45,16988.4,159.936,21857.2,0.02163457658849921
19,1211710.0,1290.91,4933.17,17312.0,161.344,22412.2,0.02219944803989604
20,1210980.0,1353.12,5173.78,17651.4,162.821,22993.9,0.022788528267781327
21,1210210.0,1418.2,5425.77,18007.3,164.37,23603.6,0.023409886864317886
22,1209410.0,1486.26,5689.65,18380.5,165.99400000000003,24242.6,0.0240554542373429
23,1208570.0,1557.43,5965.92,18771.8,167.697,24912.3,0.024733299979019074
24,1207680.0,1631.83,6255.14,19182.2,169.483,25614.0,0.02545149368150934
25,1206760.0,1709.6,6557.87,19612.4,171.355,26349.1,0.02619389616048806
26,1205790.0,1790.86,6874.67,20063.4,173.31799999999998,27119.3,0.026976646600280874
27,1204780.0,1875.76,7206.16,20536.2,175.37599999999998,27926.0,0.027791675408724847
28,1203710.0,1964.43,7552.94,21031.8,177.532,28770.9,0.02865512177014573
29,1202600.0,2057.02,7915.66,21551.2,179.792,29655.7,0.029550846500217887
30,1201440.0,2153.66,8294.96,22095.5,182.16099999999997,30582.1,0.030486919191104134
31,1200220.0,2254.52,8691.54,22665.8,184.643,31551.9,0.03147140943496718
32,1198950.0,2359.74,9106.09,23263.4,187.24400000000003,32567.2,0.032496247639644316
33,1197610.0,2469.47,9539.31,23889.5,189.968,33629.7,0.03357757298946107
34,1196220.0,2583.86,9991.95,24545.3,192.822,34741.5,0.034699246300092024
35,1194760.0,2703.09,10464.8,25232.2,195.81099999999998,35904.7,0.035877406755862595
36,1193230.0,2827.29,10958.5,25951.6,198.942,37121.4,0.03711205435677278
37,1191630.0,2956.63,11474.0,26704.8,202.22,38394.0,0.0384031891028227
38,1189970.0,3091.26,12012.0,27493.4,205.65200000000002,39724.6,0.039742741401849524
39,1188220.0,3231.35,12573.3,28318.9,209.24400000000003,41115.7,0.04115492003034171
40,1186400.0,3377.04,13158.9,29183.0,213.00400000000002,42569.7,0.04262358580397352
41,1184500.0,3528.5,13769.4,30087.2,216.93900000000002,44089.0,0.04415680831490776
42,1182520.0,3685.86,14405.8,31033.2,221.05599999999998,45676.3,0.045754587563144544
43,1180440.0,3849.28,15068.9,32022.9,225.363,47334.2,0.04743306273300951
44,1178280.0,4018.9,15759.6,33058.1,229.868,49065.3,0.049176094640176915
45,1176020.0,4194.85,16478.8,34140.6,234.579,50872.5,0.05099982246897239
46,1173660.0,4377.27,17227.3,35272.4,239.50400000000002,52758.5,0.052904246219396045
47,1171210.0,4566.27,18006.0,36455.5,244.653,54726.3,0.054881296299285065
48,1168650.0,4761.96,18815.7,37691.9,250.03400000000002,56778.6,0.056947111892964974
49,1165980.0,4964.44,19657.3,38983.8,255.65599999999998,58918.7,0.05910169300043577
50,1163200.0,5173.8,20531.6,40333.3,261.528,61149.3,0.06134503962169757
51,1160300.0,5390.12,21439.5,41742.7,267.661,63473.6,0.06368522134891308
52,1157290.0,5613.45,22381.6,43214.2,274.065,65894.6,0.06611416858991948
53,1154160.0,5843.83,23358.8,44750.1,280.749,68415.4,0.06863995093687969
54,1150900.0,6081.28,24371.8,46352.9,287.724,71039.2,0.07127063798195643
55,1147510.0,6325.81,25421.3,48024.9,295.0,73769.0,0.0740062297251497
56,1143980.0,6577.38,26507.8,49768.7,302.589,76608.0,0.07685479575862231
57,1140320.0,6835.96,27632.0,51586.7,310.501,79559.3,0.07980826649021155
58,1136530.0,7101.47,28794.3,53481.5,318.746,82625.9,0.08286664191991733
59,1132580.0,7373.81,29995.3,55455.7,327.33799999999997,85810.8,0.08605413082422819
60,1128490.0,7652.84,31235.2,57511.9,336.285,89117.0,0.08935459401881829
61,1124260.0,7938.4,32514.3,59652.6,345.602,92547.5,0.09276803150368784
62,1119870.0,8230.29,33832.9,61880.6,355.29699999999997,96105.0,0.09631058246316226
63,1115320.0,8528.27,35190.9,64198.5,365.384,99792.3,0.09998224689724178
64,1110610.0,8832.07,36588.3,66609.0,375.874,103612.0,0.10378302480592627
65,1105750.0,9141.38,38025.1,69114.6,386.778,107567.0,0.10770484659705304
66,1100720.0,9455.84,39500.8,71718.1,398.108,111659.0,0.1117638514549475
67,1095520.0,9775.06,41015.1,74422.0,409.874,115890.0,0.11596003937960975
68,1090160.0,10098.6,42567.3,77228.8,422.089,120263.0,0.12028534077887698
69,1084630.0,10426.0,44156.8,80141.2,434.764,124779.0,0.12474782524491212
70,1078930.0,10756.7,45782.6,83161.7,447.908,129439.0,0.12934749277771507
71,1073050.0,11090.1,47443.6,86292.5,461.532,134246.0,0.13409241296944852
72,1067010.0,11425.7,49138.7,89536.0,475.647,139201.0,0.13896644663578706
73,1060790.0,11762.7,50866.2,92894.5,490.26300000000003,144303.0,0.1439857329610561
74,1054410.0,12100.5,52624.6,96370.1,505.38800000000003,149553.0,0.14913413276093024
75,1047850.0,12438.4,54412.1,99964.8,521.031,154953.0,0.154427785219735
76,1041120.0,12775.5,56226.6,103681.0,537.201,160501.0,0.15985862074530754
77,1034220.0,13111.1,58065.8,107519.0,553.905,166196.0,0.1654266393376479
78,1027150.0,13444.3,59927.4,111482.0,571.15,172039.0,0.17113184099675605
79,1019920.0,13774.2,61808.6,115570.0,588.943,178028.0,0.17696615613046918
80,1012520.0,14100.0,63706.6,119786.0,607.2869999999999,184162.0,0.1829376543309501
81,1004970.0,14420.7,65618.3,124129.0,626.189,190437.0,0.1890301964138732
82,997263.0,14735.4,67540.5,128601.0,645.651,196852.0,0.19524943109375248
83,989404.0,15043.1,69469.7,133203.0,665.677,203405.0,0.2015913235745066
84,981399.0,15342.9,71402.3,137934.0,686.2660000000001,210090.0,0.20805103210083764
85,973253.0,15633.9,73334.5,142796.0,707.421,216906.0,0.21462452187666436
86,964972.0,15915.1,75262.5,147786.0,729.1410000000001,223848.0,0.22130695114668908
87,956561.0,16185.6,77182.0,152907.0,751.423,230911.0,0.22809428511483032
88,948028.0,16444.4,79088.9,158155.0,774.2639999999999,238091.0,0.23498006810735783
89,939379.0,16690.8,80978.8,163532.0,797.66,245382.0,0.24195945836897403
90,930621.0,16923.8,82847.5,169034.0,821.6060000000001,252778.0,0.2490268071851649
91,921763.0,17142.6,84690.4,174662.0,846.095,260273.0,0.25617485192298384
92,912813.0,17346.6,86502.9,180412.0,871.1189999999999,267862.0,0.2633971369087006
93,903779.0,17534.9,88280.7,186282.0,896.6669999999999,275537.0,0.27068720646858513
94,894670.0,17707.0,90019.2,192271.0,922.7289999999999,283291.0,0.27803779796969064
95,885494.0,17862.2,91713.8,198376.0,949.294,291117.0,0.28544245573828697
96,876261.0,18000.1,93360.3,204592.0,976.347,299008.0,0.2928931101822114
97,866981.0,18120.3,94954.2,210918.0,1003.87,306955.0,0.30038169170930096
98,857662.0,18222.2,96491.4,217348.0,1031.86,314952.0,0.30790174464582565
99,848315.0,18305.8,97967.7,223880.0,1060.28,322989.0,0.315444392440406
100,838949.0,18370.6,99379.2,230509.0,1089.13,331058.0,0.3230023724600959
101,829573.0,18416.8,100722.0,237231.0,1118.38,339152.0,0.3305684220719485
102,820197.0,18444.1,101993.0,244040.0,1148.02,347262.0,0.33813447168380106
103,810831.0,18452.6,103189.0,250932.0,1178.01,355380.0,0.34569245170349094
104,801484.0,18442.5,104306.0,257902.0,1208.34,363498.0,0.3532350994980714
105,792166.0,18414.0,105342.0,264945.0,1238.99,371607.0,0.36075434547537966
106,782884.0,18367.3,106295.0,272054.0,1269.93,379700.0,0.36824454092090186
107,773649.0,18302.7,107161.0,279224.0,1301.13,387767.0,0.37569680928325877
108,764468.0,18220.8,107940.0,286450.0,1332.57,395803.0,0.38310550184793657
109,755349.0,18121.9,108630.0,293725.0,1364.23,403799.0,0.390464162941205
110,746302.0,18006.6,109229.0,301044.0,1396.08,411747.0,0.39776472297090104
111,737332.0,17875.5,109736.0,308399.0,1428.09,419642.0,0.40500314714094354
112,728449.0,17729.3,110151.0,315786.0,1460.24,427475.0,0.41217136585916947
113,719657.0,17568.6,110474.0,323197.0,1492.49,435241.0,0.4192661512887139
114,710964.0,17394.2,110704.0,330627.0,1524.82,442933.0,0.4262810477558464
115,702376.0,17206.8,110842.0,338070.0,1557.21,450545.0,0.4332112135052695
116,693898.0,17007.2,110889.0,345518.0,1589.63,458072.0,0.44005261374090154
117,685536.0,16796.1,110846.0,352967.0,1622.04,465509.0,0.44680040670744503
118,677294.0,16574.5,110713.0,360410.0,1654.43,472850.0,0.4534513645680347
119,669177.0,16343.1,110492.0,367841.0,1686.77,480092.0,0.4600014525265893
120,661189.0,16102.7,110185.0,375254.0,1719.03,487230.0,0.4664474427462436
121,653332.0,15854.2,109795.0,382644.0,1751.19,494260.0,0.47278772130856506
122,645611.0,15598.4,109322.0,390005.0,1783.22,501179.0,0.4790182534174723
123,638028.0,15336.0,108770.0,397332.0,1815.11,507984.0,0.48513742515453273
124,630585.0,15067.9,108141.0,404619.0,1846.82,514673.0,0.4911436226013137
125,623284.0,14794.9,107438.0,411861.0,1878.34,521242.0,0.4970352318393828
126,616127.0,14517.6,106664.0,419053.0,1909.64,527691.0,0.5028106389503075
127,609115.0,14236.9,105821.0,426192.0,1940.7,534016.0,0.5084690369748712
128,602249.0,13953.3,104913.0,433271.0,1971.51,540217.0,0.5140096189538581
129,595529.0,13667.6,103944.0,440288.0,2002.04,546293.0,0.5194323848872677
130,588957.0,13380.4,102915.0,447237.0,2032.28,552243.0,0.5247357208566679
131,582531.0,13092.3,101832.0,454115.0,2062.22,558067.0,0.529921240780491
132,576251.0,12803.9,100696.0,460919.0,2091.82,563763.0,0.5349889446587369
133,570118.0,12515.7,99512.1,467645.0,2121.09,569333.0,0.5399380255321896
134,564130.0,12228.2,98282.6,474290.0,2150.01,574776.0,0.5447700973192815
135,558286.0,11941.9,97011.3,480850.0,2178.56,580093.0,0.5494859669792289
136,552586.0,11657.3,95701.5,487324.0,2206.74,585284.0,0.5540856345120317
137,547027.0,11374.7,94356.4,493709.0,2234.52,590350.0,0.558571520795339
138,541609.0,11094.5,92979.3,500003.0,2261.91,595293.0,0.5629436258291506
139,536329.0,10817.0,91573.4,506203.0,2288.89,600112.0,0.5672043704911154
140,531186.0,10542.6,90141.8,512307.0,2315.46,604811.0,0.5713545617404496
141,526179.0,10271.6,88687.6,518315.0,2341.6,609389.0,0.5753950065363697
142,521304.0,10004.2,87213.8,524224.0,2367.32,613849.0,0.5793289327157405
143,516560.0,9740.65,85723.1,530034.0,2392.6,618192.0,0.5831571472377786
144,511944.0,9481.12,84218.4,535743.0,2417.44,622420.0,0.5868820709801327
145,507455.0,9225.81,82702.3,541350.0,2441.85,626535.0,0.590504510902019
146,503090.0,8974.86,81177.5,546856.0,2465.8,630539.0,0.5940268878810865
147,498847.0,8728.42,79646.3,552259.0,2489.32,634433.0,0.5974508158357676
