,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,3,3
3,0,0,3,3
4,0,0,3,3
5,0,0,4,4
6,0,0,8,8
7,0,0,8,8
8,0,0,8,8
9,0,0,9,9
10,0,0,9,9
11,0,0,9,9
12,0,0,9,9
13,0,0,9,9
14,0,0,9,9
15,0,0,9,9
16,0,0,9,9
17,0,0,10,10
18,0,0,10,10
19,0,0,10,10
20,1,0,9,10
21,1,0,9,10
22,2,0,8,10
23,2,0,9,11
24,3,0,8,11
25,4,0,7,11
26,4,0,7,11
27,5,0,6,11
28,5,0,6,11
29,6,0,5,11
30,7,0,4,11
31,7,0,4,11
32,8,0,3,11
33,8,0,3,11
34,9,0,2,11
35,10,0,1,11
36,10,0,1,11
37,10,0,1,11
38,10,0,1,11
39,10,0,1,11
40,11,0,0,11
41,11,0,0,11
42,11,0,0,11
43,11,0,0,11
44,11,0,1,12
45,11,0,1,12
46,11,0,1,12
47,11,0,13,24
48,11,0,21,32
49,11,0,28,39
50,11,0,28,39
51,11,0,28,39
52,11,0,30,41
53,11,0,30,41
54,11,0,30,41
55,11,0,30,41
56,11,0,31,42
57,11,0,40,51
58,12,0,43,55
59,12,0,44,56
60,12,0,53,65
61,12,0,54,66
62,12,0,56,68
63,32,0,38,70
64,33,0,38,71
65,40,0,31,71
66,40,0,37,77
67,40,0,37,77
68,43,0,34,77
69,43,0,36,79
70,43,0,41,84
71,43,0,42,85
72,48,0,37,85
73,49,0,36,85
74,49,0,36,85
75,49,0,43,92
76,58,0,36,94
77,64,0,32,96
78,64,0,32,96
79,72,0,24,96
80,82,0,14,96
81,82,0,17,99
82,85,0,18,103
83,85,0,23,108
84,93,0,21,114
85,93,0,21,114
86,93,0,27,120
87,93,0,30,123
88,93,0,32,125
89,93,0,33,126
90,93,0,37,130
91,99,0,39,138
92,106,0,38,144
93,112,0,35,147
94,112,0,44,156
95,122,0,45,167
96,122,0,51,173
97,131,0,44,175
98,142,0,47,189
99,143,0,70,213
100,143,0,110,253
101,143,0,133,276
102,143,1,149,293
103,151,1,146,298
104,159,1,173,333
105,159,1,194,354
106,165,1,269,435
107,170,1,299,470
108,172,1,316,489
109,210,2,300,512
110,220,3,322,545
111,227,4,354,585
112,227,4,366,597
113,254,5,375,634
114,261,5,432,698
115,308,8,430,746
116,315,8,502,825
117,321,10,569,900
118,345,10,661,1016
119,443,10,632,1085
120,483,10,670,1163
121,518,10,744,1272
122,614,13,708,1335
123,698,13,707,1418
124,751,14,741,1506
125,806,14,841,1661
126,897,16,833,1746
127,986,17,775,1778
128,1071,18,736,1825
129,1177,20,703,1900
130,1227,22,771,2020
131,1309,23,780,2112
132,1374,24,765,2163
133,1445,24,720,2189
134,1509,25,686,2220
135,1509,25,743,2277
136,1587,25,790,2402
137,1659,26,794,2479
138,1737,26,836,2599
139,1806,26,884,2716
140,1841,26,908,2775
141,1881,26,921,2828
142,1950,26,925,2901
143,2024,26,935,2985
144,2067,28,954,3049
145,2184,29,923,3136
146,2226,30,955,3211
147,2336,32,904,3272
148,2375,33,953,3361
149,2488,34,919,3441
150,2618,35,907,3560
151,2734,38,903,3675
152,2861,38,867,3766
153,2931,39,860,3830
154,2994,40,904,3938
155,3044,41,944,4029
156,3151,44,975,4170
157,3189,45,1065,4299
158,3300,48,1115,4463
159,3388,51,1171,4610
160,3438,52,1250,4740
161,3618,52,1183,4853
162,3696,53,1190,4939
163,3764,54,1235,5053
164,3894,54,1231,5179
165,3937,55,1369,5361
166,4072,56,1411,5539
167,4151,56,1539,5746
168,4248,57,1688,5993
169,4314,60,1696,6070
170,4386,64,1644,6094
171,4468,66,1820,6354
172,4584,74,1910,6568
173,4766,78,1838,6682
174,4852,80,1880,6812
175,4888,81,1984,6953
176,4987,83,2074,7144
177,5149,85,2105,7339
178,5285,87,2261,7633
179,5336,91,2333,7760
180,5441,94,2406,7941
181,5848,100,2122,8070
182,5988,102,2088,8178
183,6009,102,2251,8362
184,6465,109,1943,8517
185,6465,109,2058,8632
186,6503,109,2129,8741
187,6566,109,2158,8833
188,6617,109,2211,8937
189,6664,109,2264,9037
190,6707,111,2395,9213
191,6761,111,2466,9338
192,6903,111,2470,9484
193,6903,111,2470,9484
