,Recovered,Deceased,Infected,I_c
0,0,0,12.285714285714285,21
1,0,0,14.428571428571427,21
2,0,0,18.142857142857142,32
3,0,0,22.142857142857146,35
4,0,0,25.714285714285715,35
5,0,0,28.57142857142857,37
6,0,0,31.42857142857143,39
7,0,0,34.0,39
8,0,2,36.285714285714285,39
9,6,2,36.42857142857143,41
10,6,2,36.142857142857146,41
11,6,2,35.857142857142854,41
12,6,2,35.57142857142857,43
13,11,2,34.42857142857143,44
14,11,2,33.57142857142857,46
15,15,2,32.42857142857143,46
16,19,2,31.42857142857143,47
17,22,3,29.857142857142854,47
18,23,3,28.285714285714285,48
19,25,3,26.142857142857146,48
20,25,3,24.57142857142857,48
21,25,3,22.857142857142854,49
22,33,3,20.571428571428573,49
23,33,3,18.857142857142858,50
24,34,3,17.571428571428573,50
25,35,3,16.428571428571427,52
26,36,3,15.428571428571427,52
27,36,3,14.428571428571427,52
28,37,3,13.285714285714285,53
29,37,3,13.428571428571427,54
30,37,3,14.142857142857142,59
31,37,4,15.0,60
32,37,4,15.714285714285715,60
33,37,4,16.714285714285715,61
34,41,4,18.142857142857142,68
35,41,4,19.571428571428573,68
36,41,4,21.0,69
37,44,4,21.428571428571427,70
38,44,4,22.714285714285715,76
39,44,5,24.285714285714285,79
40,53,5,24.714285714285715,81
41,53,5,25.285714285714285,85
42,54,5,27.285714285714285,96
43,55,5,32.714285714285715,122
44,55,5,38.57142857142857,123
45,58,5,43.714285714285715,127
46,61,5,49.0,133
47,62,5,55.28571428571429,134
48,65,5,68.14285714285714,187
49,75,6,78.85714285714286,193
50,68,6,88.2857142857143,202
51,108,6,91.85714285714286,202
52,131,6,92.28571428571428,204
53,131,6,94.14285714285714,217
54,147,6,94.28571428571428,221
55,147,6,87.42857142857143,222
56,152,6,81.42857142857143,228
57,162,6,71.85714285714286,229
58,164,6,68.14285714285714,232
59,182,6,65.42857142857143,236
60,196,6,58.85714285714285,236
61,197,7,54.0,238
62,205,7,47.85714285714285,238
63,210,7,42.142857142857146,247
64,217,7,42.285714285714285,286
65,220,7,44.0,301
66,222,7,49.714285714285715,317
67,232,7,56.57142857142857,321
68,232,7,64.85714285714286,331
69,232,7,74.57142857142857,333
70,232,7,83.71428571428571,333
71,286,7,81.28571428571429,338
72,290,7,79.71428571428571,360
73,305,9,79.28571428571429,399
74,308,9,83.28571428571429,427
75,322,9,89.42857142857143,466
76,350,11,91.57142857142857,470
77,374,11,95.57142857142857,507
78,404,11,109.57142857142857,558
79,424,11,123.28571428571428,594
80,442,11,134.42857142857142,616
81,444,13,142.0,620
82,450,13,145.28571428571428,621
83,463,13,163.14285714285714,710
84,480,15,183.28571428571428,758
85,490,16,198.85714285714286,758
86,574,16,212.42857142857144,844
87,654,19,221.0,896
88,654,19,241.0,976
89,719,19,273.0,1120
90,803,20,298.85714285714283,1238
91,906,20,331.0,1414
92,1033,21,370.8571428571428,1585
93,1091,22,424.8571428571428,1745
94,1193,23,470.4285714285714,1758
95,1245,23,504.57142857142856,1810
96,1302,24,522.0,1830
97,1387,24,545.1428571428571,1988
98,1581,24,555.1428571428571,2163
99,1724,25,557.2857142857143,2295
100,1744,27,557.5714285714286,2405
101,1945,28,563.7142857142858,2558
102,1984,29,577.0,2648
103,2014,29,609.1428571428571,2772
104,2061,34,640.2857142857142,2890
105,2116,35,684.5714285714286,3019
106,2184,36,736.8571428571429,3132
107,2193,38,788.1428571428571,3224
108,2271,39,845.2857142857142,3295
109,2334,39,895.7142857142858,3361
110,2396,40,932.0,3419
111,2524,40,961.0,3562
112,2691,41,976.0,3705
113,2801,41,987.4285714285713,3834
114,2902,41,992.7142857142856,3973
115,3099,43,988.0,4094
116,3189,45,987.0,4215
117,3338,47,982.4285714285713,4336
118,3460,49,978.5714285714287,4480
119,3595,51,991.8571428571428,4712
120,3780,54,998.1428571428572,4870
121,3943,57,990.4285714285713,4976
122,4163,60,971.1428571428572,5040
123,4182,62,960.0,5147
124,4332,66,947.1428571428572,5259
125,4518,70,922.0,5383
126,4648,73,885.8571428571429,5534
127,4803,77,850.4285714285713,5668
128,4893,81,829.8571428571429,5806
129,5001,85,835.2857142857142,5941
130,5103,88,832.1428571428571,6072
131,5279,91,826.7142857142858,6193
132,5431,95,828.2857142857142,6332
133,5517,99,833.0,6462
134,5713,103,830.8571428571429,6589
135,5825,106,818.0,6673
