,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2575180.0,5.3200199999999995,12.2644,1.9455,0.031110900000000004,22.9695,9.707964996996665e-06
1,2575180.0,7.58449,13.3941,3.9851900000000002,0.0637278,26.1827,9.707964996996665e-06
2,2575170.0,9.69027,15.3401,6.27314,0.100315,30.4637,1.3591150995750922e-05
3,2575160.0,11.8942,17.9719,8.927660000000001,0.142764,35.8034,1.747433699450518e-05
4,2575150.0,14.3642,21.2726,12.056,0.19279000000000002,42.2946,2.135752299337046e-05
5,2575140.0,17.2286,25.294,15.7686,0.252159,50.1022,2.5240708992124716e-05
6,2575130.0,13.845999999999998,28.503,20.0998,0.321419,57.6949,2.9123894990878973e-05
7,2575120.0,12.0723,30.0977,24.8025,0.396621,64.0587,3.300708098963323e-05
8,2575120.0,11.132,30.8564,29.686999999999998,0.474729,69.7753,3.300708098963323e-05
9,2575110.0,10.6235,31.1824,34.6548,0.5541699999999999,75.1461,3.689026698849851e-05
10,2575100.0,10.3388,31.2846,39.6551,0.63413,80.327,4.077345298725277e-05
11,2575100.0,10.1701,31.271,44.6615,0.7141890000000001,85.3992,4.077345298725277e-05
12,2575090.0,10.0615,31.1979,49.6606,0.79413,90.4045,4.4656638986007025e-05
13,2575080.0,9.98425,31.0942,54.6452,0.87384,95.3647,4.853982498476128e-05
14,2575080.0,9.92325,30.9749,59.6119,0.953263,100.291,4.853982498476128e-05
15,2575070.0,9.87078,30.8478,64.5588,1.03237,105.19,5.242301098362656e-05
16,2575070.0,9.82281,30.7169,69.485,1.11115,110.064,5.242301098362656e-05
17,2575060.0,7.57987,30.0276,74.3592,1.18909,114.315,5.630619698238082e-05
18,2575060.0,6.23722,28.6472,79.061,1.2642799999999998,117.705,5.630619698238082e-05
19,2575060.0,5.3741,26.9831,83.5156,1.33551,120.56299999999999,5.630619698238082e-05
20,2575050.0,4.77158,25.2407,87.6959,1.40236,123.065,6.0189382981135076e-05
21,2575050.0,4.31534,23.5216,91.5982,1.46476,125.30799999999999,6.0189382981135076e-05
22,2575050.0,3.9453199999999997,21.8737,95.2307,1.52285,127.34899999999999,6.0189382981135076e-05
23,2575050.0,3.6296800000000005,20.3176,98.6066,1.57683,129.221,6.0189382981135076e-05
24,2575040.0,3.3511900000000003,18.86,101.741,1.62696,130.947,6.407256898000036e-05
25,2575040.0,3.10028,17.5007,104.65,1.6734799999999999,132.542,6.407256898000036e-05
26,2575040.0,2.8713900000000003,16.236,107.35,1.7166400000000002,134.019,6.407256898000036e-05
27,2575040.0,2.66108,15.0611,109.854,1.75669,135.387,6.407256898000036e-05
28,2575030.0,4.29753,14.4288,112.20200000000001,1.79423,137.148,6.795575497875461e-05
29,2575030.0,5.31135,14.479000000000001,114.508,1.83112,139.547,6.795575497875461e-05
30,2575030.0,6.012169999999999,14.904000000000002,116.855,1.86865,142.36,6.795575497875461e-05
31,2575020.0,6.5609,15.546,119.289,1.90757,145.477,7.183894097750887e-05
32,2575020.0,7.04144,16.3244,121.837,1.9483099999999998,148.846,7.183894097750887e-05
