,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2556560.0,885.1489999999999,709.826,7637.15,134.128,8482.17,0.007240200294733823
1,2556320.0,900.9,724.012,7729.04,135.197,8589.33,0.007333396758704702
2,2556080.0,917.1139999999999,738.2710000000001,7822.76,136.28799999999998,8698.42,0.0074265932226754705
3,2555830.0,933.76,752.6460000000001,7918.31,137.4,8809.48,0.007523672872645104
4,2555580.0,950.814,767.17,8015.71,138.534,8922.56,0.007620752522614738
5,2555320.0,968.257,781.8689999999999,8114.99,139.689,9037.71,0.0077217153585831255
6,2555060.0,986.078,796.7639999999999,8216.16,140.86700000000002,9154.98,0.007822678194551513
7,2554800.0,1004.27,811.875,8319.26,142.067,9274.4,0.007923641030519901
8,2554530.0,1022.82,827.216,8424.3,143.289,9396.04,0.008028487052487043
9,2554250.0,1041.73,842.8,8531.33,144.535,9519.92,0.00813721626045305
10,2553970.0,1061.0,858.637,8640.37,145.804,9646.09,0.008245945468419058
11,2553690.0,1080.63,874.738,8751.46,147.097,9774.6,0.008354674676384954
12,2553400.0,1100.62,891.11,8864.63,148.414,9905.48,0.008467287070349716
13,2553100.0,1120.97,907.7610000000001,8979.92,149.756,10038.8,0.008583782650313232
14,2552800.0,1141.69,924.699,9097.36,151.123,10174.6,0.008700278230276859
15,2552490.0,1162.78,941.929,9216.99,152.515,10312.8,0.008820656996239129
16,2552180.0,1184.24,959.459,9338.85,153.933,10453.7,0.00894103576220151
17,2551860.0,1206.08,977.293,9462.97,155.378,10597.1,0.009065297714162535
18,2551540.0,1228.3,995.437,9589.4,156.849,10743.2,0.00918955966612367
19,2551210.0,1250.9,1013.9,9718.17,158.34799999999998,10891.9,0.00931770480408356
20,2550870.0,1273.9,1032.68,9849.34,159.875,11043.4,0.009449733128042204
21,2550530.0,1297.3,1051.79,9982.93,161.429,11197.7,0.009581761452000959
22,2550180.0,1321.1,1071.23,10119.0,163.013,11354.8,0.009717672961958357
23,2549830.0,1345.31,1091.01,10257.6,164.62599999999998,11514.8,0.009853584471915866
24,2549460.0,1369.94,1111.13,10398.7,166.268,11677.7,0.009997262353870884
25,2549100.0,1394.98,1131.6,10542.4,167.94099999999997,11843.6,0.010137057049827147
26,2548720.0,1420.45,1152.42,10688.8,169.645,12012.6,0.01028461811778092
27,2548340.0,1446.36,1173.61,10837.9,171.38,12184.6,0.010432179185734691
28,2547950.0,1472.7,1195.15,10989.7,173.14700000000002,12359.8,0.010583623439687329
29,2547560.0,1499.49,1217.07,11144.3,174.946,12538.1,0.010735067693639966
30,2547150.0,1526.72,1239.36,11301.7,176.778,12719.7,0.010894278319590112
31,2546740.0,1554.41,1262.03,11462.0,178.644,12904.6,0.011053488945540257
32,2546320.0,1582.57,1285.09,11625.3,180.544,13092.8,0.011216582757489157
33,2545900.0,1611.19,1308.53,11791.5,182.47799999999998,13284.4,0.011379676569438169
34,2545470.0,1640.29,1332.38,11960.7,184.44799999999998,13479.5,0.011546653567385934
35,2545030.0,1669.87,1356.63,12133.1,186.454,13678.2,0.011717513751332453
36,2544580.0,1699.94,1381.28,12308.5,188.49599999999998,13880.4,0.011892257121277727
37,2544120.0,1730.5,1406.35,12487.2,190.575,14086.2,0.012070883677221866
38,2543660.0,1761.57,1431.84,12669.1,192.692,14295.7,0.012249510233165894
39,2543190.0,1793.14,1457.75,12854.3,194.84799999999998,14509.0,0.012432019975108788
40,2542700.0,1825.22,1484.09,13042.8,197.042,14726.1,0.01262229608904919
41,2542220.0,1857.82,1510.87,13234.8,199.27599999999998,14947.1,0.012808689016990837
42,2541720.0,1890.94,1538.1,13430.2,201.55,15172.1,0.013002848316930105
43,2541210.0,1924.6,1565.76,13629.1,203.865,15401.0,0.013200890802868126
44,2540690.0,1958.8,1593.89,13831.6,206.222,15634.1,0.013402816474804902
45,2540170.0,1993.54,1622.47,14037.7,208.62099999999998,15871.2,0.013604742146741677
46,2539630.0,2028.83,1651.52,14247.6,211.063,16112.6,0.013814434190676073
47,2539090.0,2064.68,1681.04,14461.1,213.549,16358.2,0.014024126234610468
48,2538540.0,2101.09,1711.03,14678.5,216.079,16608.2,0.014237701464543617
49,2537970.0,2138.08,1741.51,14899.8,218.65400000000002,16862.5,0.014459043066474275
50,2537400.0,2175.64,1772.48,15125.0,221.275,17121.4,0.014680384668405044
51,2536820.0,2213.78,1803.94,15354.2,223.94299999999998,17384.7,0.014905609456334568
52,2536230.0,2252.5,1835.9,15587.5,226.658,17652.7,0.015134717430262845
53,2535620.0,2291.83,1868.36,15824.9,229.421,17925.4,0.015371591776188742
54,2535010.0,2331.75,1901.34,16066.5,232.233,18202.8,0.015608466122114528
55,2534380.0,2372.28,1934.83,16312.3,235.09400000000002,18485.1,0.015853106840037934
56,2533750.0,2413.42,1968.85,16562.5,238.00599999999997,18772.3,0.01609774755796145
57,2533100.0,2455.18,2003.39,16817.1,240.96900000000002,19064.4,0.016350154647882365
58,2532450.0,2497.57,2038.47,17076.1,243.984,19361.6,0.01660256173780339
59,2531780.0,2540.58,2074.09,17339.7,247.051,19663.9,0.016862735199721923
60,2531100.0,2584.23,2110.25,17607.9,250.172,19971.4,0.017126791847639322
61,2530410.0,2628.52,2146.97,17880.7,253.34799999999998,20284.2,0.017394731681555475
62,2529710.0,2673.45,2184.24,18158.3,256.578,20602.3,0.017666554701470383
63,2528990.0,2719.04,2222.07,18440.7,259.865,20925.9,0.01794614409338291
64,2528260.0,2765.28,2260.47,18728.0,263.209,21255.0,0.01822961667129408
65,2527520.0,2812.18,2299.44,19020.2,266.61,21589.6,0.018516972435204226
66,2526770.0,2859.75,2338.99,19317.5,270.07,21930.0,0.018808211385113016
67,2526010.0,2907.99,2379.12,19619.9,273.589,22276.1,0.01910333352102067
68,2525230.0,2956.91,2419.84,19927.4,277.16900000000004,22628.0,0.019406222028925835
69,2524440.0,3006.51,2461.14,20240.3,280.809,22985.8,0.019712993722829864
70,2523640.0,3056.79,2503.05,20558.4,284.512,23349.6,0.020023648602732647
71,2522820.0,3107.76,2545.56,20882.0,288.278,23719.5,0.020342069854632938
72,2522000.0,3159.42,2588.67,21211.0,292.108,24095.6,0.02066049110653323
73,2521150.0,3211.78,2632.4,21545.6,296.002,24477.9,0.020990561916430006
74,2520300.0,3264.83,2676.73,21885.9,299.962,24866.5,0.02132063272632667
75,2519420.0,3318.59,2721.69,22231.9,303.98900000000003,25261.5,0.02166235309421971
76,2518540.0,3373.06,2767.27,22583.7,308.08299999999997,25663.1,0.02200407346211275
77,2517640.0,3428.23,2813.48,22941.3,312.246,26071.2,0.022353560202003298
78,2516730.0,3484.12,2860.32,23305.0,316.478,26485.9,0.02270693012789271
79,2515800.0,3540.72,2907.79,23674.6,320.78,26907.4,0.023068066425779743
80,2514860.0,3598.03,2955.9,24050.4,325.154,27335.8,0.02343308590966542
81,2513900.0,3656.06,3004.65,24432.4,329.6,27771.1,0.023805871765548714
82,2512920.0,3714.81,3054.04,24820.7,334.119,28213.4,0.02418642399342963
83,2511940.0,3774.28,3104.08,25215.4,338.713,28662.7,0.024566976221310544
84,2510930.0,3834.47,3154.76,25616.5,343.381,29119.3,0.024959178007187832
85,2509910.0,3895.38,3206.1,26024.2,348.126,29583.1,0.025355262979063764
86,2508880.0,3957.02,3258.09,26438.5,352.94800000000004,30054.3,0.02575523113693856
87,2507820.0,4019.37,3310.73,26859.5,357.847,30532.9,0.026166848852809732
88,2506750.0,4082.45,3364.03,27287.3,362.82599999999996,31019.0,0.026582349754679768
89,2505670.0,4146.24,3417.99,27721.9,367.885,31512.8,0.027001733842548448
90,2504570.0,4210.75,3472.61,28163.6,373.025,32014.2,0.027428884302414747
91,2503450.0,4275.98,3527.88,28612.2,378.246,32523.5,0.027863801134278665
92,2502320.0,4341.92,3583.82,29068.0,383.551,33040.6,0.028302601152141338
93,2501160.0,4408.58,3640.41,29531.0,388.94,33565.6,0.028753050728000273
94,2499990.0,4475.94,3697.66,30001.3,394.413,34098.7,0.029207383489858074
95,2498810.0,4544.01,3755.57,30479.0,399.973,34640.0,0.02966559943771463
96,2497600.0,4612.78,3814.14,30964.1,405.619,35189.4,0.030135464943567558
97,2496380.0,4682.25,3873.37,31456.8,411.353,35747.2,0.030609213635419352
98,2495140.0,4752.41,3933.25,31957.1,417.176,36313.3,0.031090728699268655
99,2493880.0,4823.25,3993.78,32465.2,423.089,36887.8,0.031580010135115466
100,2492600.0,4894.78,4054.96,32981.0,429.093,37471.0,0.0320770579429599
101,2491300.0,4966.98,4116.79,33504.8,435.18800000000005,38062.7,0.032581872122801836
102,2489990.0,5039.85,4179.27,34036.5,441.37699999999995,38663.2,0.03309056948864264
103,2488660.0,5113.38,4242.38,34576.2,447.658,39272.4,0.033607033226480953
104,2487300.0,5187.56,4306.13,35124.1,454.035,39890.5,0.03413514652231575
105,2485930.0,5262.39,4370.51,35680.2,460.50699999999995,40517.5,0.03466714300414919
106,2484540.0,5337.84,4435.52,36244.6,467.07599999999996,41153.6,0.03520690585798025
107,2483130.0,5413.93,4501.16,36817.3,473.74199999999996,41798.7,0.03575443508380882
108,2481700.0,5490.62,4567.4,37398.5,480.506,42453.0,0.03630973068163501
109,2480250.0,5567.92,4634.26,37988.3,487.37,43116.6,0.03687279265145882
110,2478780.0,5645.81,4701.72,38586.6,494.334,43789.4,0.037443620993280136
111,2477290.0,5724.28,4769.77,39193.7,501.399,44471.7,0.03802221570709907
112,2475780.0,5803.31,4838.41,39809.4,508.565,45163.4,0.03860857679291552
113,2474250.0,5882.9,4907.63,40434.1,515.835,45864.6,0.03920270425072958
114,2472700.0,5963.02,4977.41,41067.6,523.2090000000001,46575.4,0.039804598080541154
115,2471130.0,6043.67,5047.76,41710.1,530.687,47295.8,0.040414258282350346
116,2469540.0,6124.82,5118.66,42361.7,538.27,48026.0,0.04103168485615705
117,2467930.0,6206.46,5190.09,43022.4,545.96,48765.9,0.04165687780196137
118,2466300.0,6288.58,5262.06,43692.3,553.756,49515.7,0.04228983711976331
119,2464640.0,6371.15,5334.53,44371.5,561.66,50275.3,0.04293444599556151
120,2462970.0,6454.16,5407.52,45059.9,569.673,51044.9,0.04358293805735858
121,2461270.0,6537.59,5480.99,45757.8,577.795,51824.4,0.04424307967715191
122,2459560.0,6621.41,5554.93,46465.1,586.0269999999999,52614.0,0.044907104482944105
123,2457820.0,6705.61,5629.34,47181.9,594.37,53413.7,0.04558277884673256
124,2456060.0,6790.17,5704.2,47908.3,602.8240000000001,54223.5,0.04626621958251864
125,2454280.0,6875.07,5779.49,48644.3,611.39,55043.4,0.04695742669030234
126,2452480.0,6960.27,5855.19,49390.0,620.069,55873.6,0.047656400170083546
127,2450650.0,7045.76,5931.29,50145.4,628.86,56714.0,0.048367023207861126
128,2448810.0,7131.51,6007.78,50910.6,637.766,57564.7,0.04908152943163746
129,2446940.0,7217.51,6084.62,51685.6,646.786,58425.7,0.04980768521341017
130,2445060.0,7303.71,6161.81,52470.5,655.921,59297.0,0.05053772418118174
131,2443150.0,7390.1,6239.33,53265.3,665.172,60178.7,0.05127941270694958
132,2441210.0,7476.65,6317.14,54070.1,674.538,61070.7,0.05203275079071379
133,2439260.0,7563.33,6395.25,54884.8,684.02,61973.2,0.05278997206047675
134,2437290.0,7650.12,6473.61,55709.6,693.62,62886.0,0.05355495970223734
135,2435290.0,7736.97,6552.22,56544.5,703.336,63809.3,0.054331596901994184
136,2433270.0,7823.87,6631.04,57389.4,713.17,64743.0,0.05511600047374865
137,2431230.0,7910.79,6710.06,58244.5,723.122,65687.2,0.055908170417500735
138,2429170.0,7997.68,6789.25,59109.7,733.191,66641.7,0.05670810673325033
139,2427090.0,8084.53,6868.58,59985.0,743.3789999999999,67606.7,0.05751580942099754
140,2424990.0,8171.29,6948.03,60870.6,753.686,68582.1,0.058331278480742266
141,2422860.0,8257.93,7027.58,61766.3,764.11,69567.9,0.05915839709848347
142,2420710.0,8344.43,7107.2,62672.2,774.654,70564.1,0.05999328208822208
143,2418550.0,8430.74,7186.85,63588.4,785.317,71570.7,0.06083205026395955
144,2416360.0,8516.84,7266.53,64514.7,796.0980000000001,72587.6,0.06168246799769339
145,2414150.0,8602.67,7346.18,65451.3,806.998,73614.8,0.06254065210342474
146,2411920.0,8688.22,7425.79,66398.1,818.0169999999999,74652.3,0.06340660258115371
147,2409660.0,8773.45,7505.33,67355.0,829.155,75700.1,0.06428420261687906
148,2407390.0,8858.31,7584.77,68322.2,840.4110000000001,76758.0,0.06516568583860316
149,2405100.0,8942.77,7664.07,69299.6,851.7860000000001,77826.1,0.06605493543232477
150,2402780.0,9026.79,7743.21,70287.0,863.279,78904.4,0.06695583458404286
151,2400450.0,9110.33,7822.15,71284.7,874.89,79992.7,0.0678606169217596
152,2398090.0,9193.36,7900.86,72292.4,886.6189999999999,81090.9,0.06877704881747282
153,2395720.0,9275.84,7979.32,73310.2,898.4639999999999,82199.1,0.06969736389918468
154,2393330.0,9357.72,8057.48,74338.1,910.427,83317.2,0.07062544535289428
155,2390910.0,9438.97,8135.31,75375.9,922.5060000000001,84445.1,0.07156517636460014
156,2388480.0,9519.55,8212.78,76423.7,934.701,85582.6,0.07250879056230475
157,2386030.0,9599.42,8289.86,77481.4,947.0110000000001,86729.8,0.07346017113200698
158,2383560.0,9678.54,8366.51,78549.0,959.436,87886.6,0.07441931807370672
159,2381070.0,9756.86,8442.7,79626.4,971.975,89052.7,0.07538623138740408
160,2378560.0,9834.36,8518.39,80713.4,984.627,90228.3,0.07636091107309906
161,2376030.0,9910.98,8593.54,81810.2,997.3919999999999,91413.0,0.07734335713079155
162,2373490.0,9986.7,8668.13,82916.6,1010.27,92607.0,0.07832968637448279
163,2370920.0,10061.5,8742.11,84032.5,1023.26,93809.9,0.0793276651761704
164,2368340.0,10135.2,8815.45,85157.8,1036.35,95021.8,0.08032952716385688
165,2365750.0,10208.0,8888.11,86292.5,1049.56,96242.4,0.08133527233754201
166,2363130.0,10279.6,8960.06,87436.4,1062.87,97471.7,0.08235266706922362
167,2360500.0,10350.2,9031.27,88589.6,1076.29,98709.5,0.08337394498690398
168,2357850.0,10419.6,9101.68,89751.8,1089.82,99955.8,0.08440298927658185
169,2355190.0,10487.8,9171.28,90923.0,1103.45,101210.0,0.08543591675225859
170,2352510.0,10554.8,9240.02,92103.0,1117.18,102473.0,0.08647661059993283
171,2349820.0,10620.5,9307.87,93291.8,1131.02,103743.0,0.08752118763360583
172,2347110.0,10685.0,9374.79,94489.3,1144.96,105022.0,0.08857353103927645
173,2344390.0,10748.1,9440.74,95695.3,1158.99,106308.0,0.08962975763094594
174,2341650.0,10809.8,9505.69,96909.6,1173.13,107601.0,0.09069375059461282
175,2338900.0,10870.1,9569.61,98132.2,1187.36,108902.0,0.09176162674427857
176,2336140.0,10928.9,9632.45,99363.0,1201.68,110210.0,0.09283338607994318
177,2333360.0,10986.3,9694.19,100602.0,1216.1,111525.0,0.0939129117876053
178,2330570.0,11042.1,9754.79,101848.0,1230.6,112847.0,0.09499632068126618
179,2327770.0,11096.4,9814.22,103103.0,1245.2,114175.0,0.09608361276092581
180,2324960.0,11149.1,9872.44,104364.0,1259.89,115510.0,0.0971747880265843
181,2322130.0,11200.2,9929.41,105634.0,1274.66,116851.0,0.0982737296642403
182,2319300.0,11249.7,9985.12,106910.0,1289.52,118198.0,0.09937267130189631
183,2316450.0,11297.4,10039.5,108193.0,1304.45,119551.0,0.10047937931154993
184,2313590.0,11343.5,10092.6,109484.0,1319.47,120910.0,0.10158997050720231
185,2310730.0,11387.8,10144.3,110781.0,1334.57,122273.0,0.10270056170285469
186,2307860.0,11430.4,10194.6,112085.0,1349.74,123643.0,0.10381503608450593
187,2304970.0,11471.2,10243.4,113395.0,1364.99,125017.0,0.10493727683815468
188,2302080.0,11510.2,10290.8,114711.0,1380.3,126396.0,0.10605951759180332
189,2299180.0,11547.3,10336.8,116033.0,1395.69,127779.0,0.10718564153145094
190,2296280.0,11582.6,10381.2,117361.0,1411.15,129167.0,0.10831176547109844
191,2293370.0,11616.0,10424.0,118694.0,1426.67,130559.0,0.1094417725967447
192,2290450.0,11647.5,10465.4,120033.0,1442.25,131955.0,0.11057566290838983
193,2287520.0,11677.1,10505.1,121377.0,1457.89,133354.0,0.1117134364060337
194,2284590.0,11704.7,10543.2,122726.0,1473.59,134757.0,0.11285120990367759
195,2281660.0,11730.4,10579.7,124080.0,1489.35,136163.0,0.11398898340132146
196,2278720.0,11754.2,10614.5,125439.0,1505.16,137572.0,0.1151306400849641
197,2275780.0,11775.9,10647.6,126802.0,1521.02,138984.0,0.11627229676860673
198,2272830.0,11795.6,10679.0,128168.0,1536.93,140399.0,0.11741783663824823
199,2269890.0,11813.4,10708.8,129539.0,1552.89,141815.0,0.11855949332189086
200,2266940.0,11829.1,10736.8,130914.0,1568.89,143234.0,0.11970503319153236
201,2263990.0,11842.8,10763.0,132292.0,1584.92,144654.0,0.12085057306117375
202,2261030.0,11854.5,10787.5,133673.0,1601.0,146076.0,0.121999996116814
203,2258080.0,11864.1,10810.2,135058.0,1617.11,147499.0,0.1231455359864555
204,2255130.0,11871.7,10831.1,136445.0,1633.26,148923.0,0.12429107585609689
205,2252170.0,11877.3,10850.2,137834.0,1649.43,150348.0,0.12544049891173714
206,2249220.0,11880.8,10867.5,139226.0,1665.63,151774.0,0.12658603878137853
