,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1412780.0,0.5072720000000001,1.98186,0.0377082,8.22083e-05,2.02005,-1.4156505834250765e-06
1,1412770.0,1.0907799999999999,2.00712,0.0754715,0.000164537,2.08363,5.6626023338113285e-06
2,1412770.0,1.7736900000000002,2.0819,0.114168,0.0002489,2.19773,5.6626023338113285e-06
3,1412770.0,2.5844,2.21421,0.154809,0.000337502,2.37142,5.6626023338113285e-06
4,1412770.0,3.55786,2.4144200000000002,0.198579,0.000432926,2.6162799999999997,5.6626023338113285e-06
5,1412770.0,4.73724,2.69581,0.246887,0.000538242,2.94702,5.6626023338113285e-06
6,1412770.0,6.17594,3.07517,0.301423,0.000657137,3.38219,5.6626023338113285e-06
7,1412770.0,7.94013,3.5737400000000004,0.364238,0.0007940810000000001,3.9451199999999997,5.6626023338113285e-06
8,1412760.0,10.1119,4.21816,0.437834,0.00095453,4.66504,1.2740855251158756e-05
9,1412760.0,12.7932,5.041869999999999,0.525281,0.00114517,5.578530000000001,1.2740855251158756e-05
10,1412750.0,16.1107,6.08667,0.630358,0.00137425,6.7312899999999996,1.981910816839516e-05
11,1412750.0,20.2219,7.404789999999999,0.757731,0.00165194,8.18035,1.981910816839516e-05
12,1412740.0,25.3225,9.06141,0.913175,0.00199083,9.996830000000001,2.6897361085742588e-05
13,1412730.0,31.6561,11.1378,1.10385,0.00240651,12.2694,3.3975614003090016e-05
14,1412720.0,39.5255,13.7352,1.3386200000000001,0.00291836,15.1084,4.105386692032642e-05
15,1412710.0,49.3076,16.9799,1.6285399999999999,0.0035503999999999996,18.6514,4.813211983767385e-05
16,1412690.0,61.4711,21.029,1.98728,0.00433251,23.0698,6.228862567225768e-05
17,1412670.0,76.5996,26.0782,2.4319,0.00530182,28.5767,7.644513150684151e-05
18,1412640.0,95.4187,32.3712,2.98355,0.00650449,35.4376,9.767989025877277e-05
19,1412610.0,118.83200000000001,40.2112,3.66859,0.00799795,43.9829,0.00011891464901070403
20,1412560.0,147.96200000000002,49.9759,4.51978,0.00985364,54.6239,0.00015430591359721912
21,1412510.0,184.208,62.135,5.57787,0.0121604,67.8724,0.00018969717818373422
22,1412450.0,229.31,77.2735,6.8936,0.015028799999999998,84.3655,0.0002321666956874857
23,1412360.0,285.43,96.1189,8.53006,0.018596500000000002,104.896,0.00029587097194316847
24,1412260.0,355.26099999999997,119.57700000000001,10.5658,0.0230346,130.45,0.00036665350111619865
25,1412140.0,442.152,148.774,13.0984,0.028556099999999997,162.255,0.00045159253612381267
26,1411980.0,550.264,185.112,16.2496,0.035426,201.83700000000002,0.0005648445828007054
27,1411780.0,684.7760000000001,230.335,20.1705,0.043974099999999995,251.097,0.0007064096411467657
28,1411540.0,852.122,286.611,25.0494,0.0546106,312.39599999999996,0.0008762877111619938
29,1411240.0,1060.3,356.63699999999994,31.1203,0.0678459,388.67400000000004,0.0010886352986810843
30,1411220.0,902.689,398.82099999999997,67.3275,0.0835175,466.954,0.0011027918045156682
31,1411210.0,769.398,426.086,106.833,0.100617,533.635,0.0011098700574329046
32,1411200.0,656.595,441.499,148.362,0.118592,590.505,0.001116948310350252
33,1411190.0,561.057,447.57800000000003,190.903,0.137005,639.067,0.0011240265632675994
34,1411180.0,480.079,446.385,233.667,0.155514,680.591,0.0011311048161848358
35,1411170.0,411.38,439.60400000000004,276.04,0.17385499999999998,716.1469999999999,0.0011381830691021833
36,1411160.0,353.04699999999997,428.60699999999997,317.556,0.191824,746.638,0.0011452613220194197
37,1411150.0,303.464,414.506,357.86699999999996,0.20927199999999999,772.825,0.001152339574936767
38,1411140.0,261.276,398.19800000000004,396.719,0.226088,795.352,0.0011594178278540035
39,1411140.0,225.34,380.404,433.93800000000005,0.242198,814.7639999999999,0.0011594178278540035
40,1411130.0,194.692,361.699,469.409,0.25755100000000003,831.5210000000001,0.001166496080771351
41,1411120.0,168.521,342.537,503.06699999999995,0.272119,846.0110000000001,0.0011735743336886983
42,1411120.0,146.143,323.275,534.888,0.28589200000000003,858.566,0.0011735743336886983
43,1411110.0,126.98200000000001,304.189,564.874,0.298871,869.4630000000001,0.0011806525866059348
44,1411110.0,110.551,285.48900000000003,593.053,0.311068,878.941,0.0011806525866059348
45,1411110.0,96.4395,267.33099999999996,619.47,0.322502,887.201,0.0011806525866059348
46,1411100.0,84.3,249.831,644.182,0.333198,894.414,0.0011877308395232822
47,1411100.0,73.8396,233.06599999999997,667.2560000000001,0.343185,900.725,0.0011877308395232822
48,1411100.0,64.8103,217.08900000000003,688.7660000000001,0.352495,906.258,0.0011877308395232822
49,1411090.0,57.0022,201.92700000000002,708.7860000000001,0.361161,911.12,0.0011948090924405186
50,1411090.0,50.2375,187.59400000000002,727.3969999999999,0.369216,915.4010000000001,0.0011948090924405186
51,1411090.0,44.3656,174.08700000000002,744.678,0.37669600000000003,919.177,0.0011948090924405186
52,1411090.0,39.2588,161.394,760.706,0.38363400000000003,922.515,0.0011948090924405186
53,1411080.0,34.8085,149.494,775.56,0.390063,925.472,0.001201887345357866
54,1411030.0,83.1038,140.352,789.375,0.396042,930.189,0.001237278609944381
55,1410950.0,135.065,135.859,802.538,0.401739,938.9060000000001,0.0012939046332828275
56,1410870.0,192.53099999999998,135.941,815.487,0.407344,951.99,0.0013505306566211628
57,1410760.0,257.559,140.679,828.664,0.41304799999999997,969.962,0.0014283914387115404
58,1410640.0,332.499,150.312,842.5219999999999,0.41904600000000003,993.5189999999999,0.0015133304737191544
