,Recovered,Deceased,Infected,I_c
0,0,0,2.0,2
1,0,0,2.0,2
2,0,0,2.0,2
3,0,0,2.0,2
4,0,0,2.8571428571428568,8
5,0,0,4.142857142857143,11
6,0,0,5.7142857142857135,13
7,0,0,7.571428571428571,15
8,0,0,9.571428571428571,16
9,0,0,12.0,19
10,0,0,14.428571428571427,19
11,0,0,16.0,19
12,0,0,17.142857142857142,19
13,0,0,18.142857142857142,20
14,1,0,18.714285714285715,20
15,2,0,19.0,20
16,2,0,19.285714285714285,23
17,3,0,19.428571428571427,23
18,4,0,19.428571428571427,23
19,5,0,19.428571428571427,24
20,5,0,19.285714285714285,24
21,6,0,19.142857142857142,24
22,7,0,19.0,24
23,7,0,18.428571428571427,24
24,8,0,17.857142857142858,24
25,9,0,17.285714285714285,24
26,10,0,16.571428571428573,24
27,10,0,15.857142857142858,24
28,11,0,15.142857142857142,24
29,12,0,14.428571428571427,24
30,13,0,13.571428571428573,24
31,13,0,12.857142857142858,24
32,14,0,12.142857142857142,24
33,15,0,11.428571428571427,24
34,15,0,10.714285714285714,24
35,16,0,10.0,24
36,17,0,9.285714285714286,24
37,18,0,8.571428571428571,24
38,18,0,7.857142857142858,24
39,19,0,7.142857142857142,24
40,20,0,6.428571428571429,24
41,21,1,5.428571428571429,24
42,22,1,4.428571428571429,24
43,22,1,3.571428571428572,24
44,22,1,2.8571428571428568,24
45,22,1,2.142857142857143,24
46,23,1,1.4285714285714286,24
47,23,1,0.8571428571428571,24
48,23,1,0.5714285714285714,24
49,23,1,0.42857142857142855,24
50,23,1,0.2857142857142857,24
51,23,1,0.14285714285714285,24
52,23,1,0.0,24
53,23,1,0.14285714285714285,25
54,23,1,0.2857142857142857,25
55,23,1,0.5714285714285714,26
56,23,1,0.8571428571428571,26
57,23,1,1.1428571428571428,26
58,23,1,1.4285714285714286,26
59,23,1,1.7142857142857142,26
60,23,1,1.8571428571428568,26
61,23,1,2.0,26
62,23,1,2.142857142857143,27
63,23,1,2.4285714285714284,28
64,23,1,2.7142857142857144,28
65,23,1,3.1428571428571432,29
66,23,1,3.571428571428572,29
67,23,1,4.0,29
68,23,1,4.428571428571429,29
69,23,1,5.285714285714286,33
70,24,1,5.857142857142858,33
71,25,1,7.0,38
72,25,1,8.285714285714286,40
73,25,1,9.571428571428571,40
74,25,1,11.428571428571427,44
75,25,1,13.857142857142858,48
76,26,1,15.714285714285715,49
77,26,1,18.142857142857142,52
78,26,1,20.428571428571427,55
79,26,1,23.142857142857146,60
80,26,1,26.142857142857146,62
81,29,1,29.57142857142857,72
82,33,1,32.285714285714285,75
83,33,1,35.0,75
84,33,1,37.714285714285715,78
85,34,1,40.42857142857143,82
86,36,1,42.714285714285715,86
87,41,1,44.28571428571429,88
88,44,1,45.14285714285714,93
89,44,1,47.14285714285714,100
90,45,1,50.0,107
91,47,1,54.0,120
92,48,1,59.28571428571429,133
93,49,1,64.85714285714286,138
94,51,1,71.42857142857143,144
95,51,1,79.28571428571429,155
96,52,1,86.42857142857143,158
97,52,1,93.42857142857143,163
98,61,1,99.57142857142857,177
99,67,1,105.0,190
100,71,1,110.42857142857143,198
101,73,1,116.42857142857143,208
102,73,1,122.14285714285714,217
103,73,1,129.57142857142858,231
104,73,1,137.28571428571428,238
105,75,1,144.71428571428572,243
106,82,1,151.57142857142858,253
107,83,1,159.42857142857142,265
108,93,1,166.0,274
109,113,1,170.85714285714286,291
110,120,1,174.5714285714286,304
111,127,1,178.0,316
112,143,2,182.14285714285717,341
113,163,2,186.0,362
114,175,2,188.85714285714286,378
115,190,2,191.42857142857144,390
116,194,2,196.7142857142857,410
117,197,3,207.28571428571428,457
118,202,3,223.57142857142856,507
119,212,3,239.42857142857144,522
120,212,3,265.14285714285717,592
121,213,3,300.42857142857144,664
122,220,3,343.2857142857143,721
123,224,3,399.71428571428567,836
124,232,3,455.1428571428572,880
125,239,4,517.0,978
126,246,4,587.4285714285714,1050
127,251,4,658.5714285714286,1130
128,269,4,730.1428571428571,1222
129,364,5,795.1428571428571,1322
130,515,5,832.5714285714287,1391
131,592,6,865.0,1470
132,699,6,878.0,1531
133,768,6,874.0,1546
134,851,7,857.2857142857142,1616
135,909,7,833.5714285714287,1699
136,978,8,804.1428571428571,1733
137,1044,10,795.5714285714287,1865
138,1079,12,790.0,1924
139,1116,12,804.0,2052
140,1154,12,835.4285714285713,2158
141,1203,13,881.0,2293
142,1238,14,935.0,2413
143,1384,14,983.7142857142856,2486
144,1413,15,1030.7142857142858,2568
145,1475,15,1080.142857142857,2669
146,1613,16,1104.4285714285713,2723
147,1660,17,1126.5714285714287,2824
148,1730,18,1145.4285714285713,2957
149,1781,19,1162.142857142857,3078
150,1890,19,1190.142857142857,3193
151,1977,21,1214.2857142857142,3307
152,2101,23,1230.0,3413
153,2221,25,1258.0,3536
154,2284,25,1287.857142857143,3665
155,2348,25,1327.142857142857,3857
156,2449,28,1374.5714285714291,4087
157,2570,28,1425.2857142857142,4237
158,2659,29,1483.142857142857,4402
159,2757,31,1545.857142857143,4516
160,2928,31,1612.5714285714291,4716
161,3070,32,1673.0,4881
162,3155,32,1726.2857142857142,5044
163,3346,32,1761.857142857143,5237
164,3436,32,1800.4285714285709,5377
165,3591,32,1835.7142857142856,5584
166,3739,32,1867.2857142857144,5720
167,3921,32,1901.7142857142856,5951
168,4011,32,1950.142857142857,6161
