,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3424510.0,2521.6,8530.89,11320.1,66.5741,19927.6,0.007355893106064104
1,3423070.0,2782.15,9204.63,11705.4,67.6708,20988.9,0.007773298081937163
2,3421510.0,3047.12,9952.22,12121.7,68.8553,22155.0,0.008225486805799709
3,3419830.0,3323.04,10773.6,12572.1,70.137,23429.1,0.00871245927765174
4,3418000.0,3614.71,11670.8,13059.9,71.5249,24816.6,0.009242911434490408
5,3416020.0,3925.93,12647.6,13588.3,73.0288,26324.7,0.009816843276316045
6,3413870.0,4259.88,13708.9,14161.1,74.6587,27961.7,0.010440052094459862
7,3411540.0,4619.37,14860.5,14782.0,76.4255,29737.4,0.011115436534587908
8,3409020.0,5007.1,16109.1,15455.0,78.3407,31662.5,0.0118458952423659
9,3406290.0,5425.68,17462.1,16184.6,80.4168,33748.8,0.012637225509125383
10,3403340.0,5877.77,18927.7,16975.4,82.6672,36009.2,0.013492325980532072
11,3400130.0,6366.13,20514.6,17832.6,85.1064,38457.7,0.014422791239249277
12,3396670.0,6893.61,22232.5,18761.5,87.7499,41109.4,0.015425722639611061
13,3392920.0,7463.24,24091.7,19768.3,90.6147,43980.4,0.016512714764280734
14,3388860.0,8078.2,26103.2,20859.1,93.7189,47088.4,0.017689564904589616
15,3384470.0,8741.84,28279.0,22041.0,97.0821,50452.0,0.018962070351869476
16,3379720.0,9457.71,30631.8,23321.2,100.725,54091.6,0.020338927043117683
17,3374590.0,10229.5,33175.1,24707.9,104.671,58028.6,0.02182593226966567
18,3369040.0,11061.3,35923.6,26209.6,108.945,62286.4,0.02343468061417664
19,3363040.0,11957.0,38892.7,27835.6,113.571,66889.6,0.02517386801364796
20,3356570.0,12921.1,42098.8,29595.8,118.58,71864.8,0.027049291759411287
21,3349580.0,13958.0,45559.5,31500.8,124.00200000000001,77240.2,0.029075445079795315
22,3342030.0,15072.4,49293.4,33562.3,129.868,83045.8,0.031263922557463464
23,3333890.0,16269.1,53320.0,35792.4,136.214,89313.7,0.033623420129412884
24,3325110.0,17553.1,57660.1,38204.4,143.077,96077.7,0.036168431023972714
25,3315650.0,18929.5,62335.4,40812.3,150.499,103374.0,0.03891054982380582
26,3305460.0,20403.3,67368.7,43631.2,158.52,111240.0,0.041864269757241335
27,3294490.0,21979.8,72783.9,46677.3,167.188,119716.0,0.04504408405260807
28,3282700.0,23664.0,78606.0,49967.6,176.551,128845.0,0.04846158729256933
29,3270010.0,25461.1,84860.6,53520.4,186.66099999999997,138670.0,0.052139968642451184
30,3256390.0,27375.8,91574.5,57355.1,197.574,149237.0,0.056087924039251114
31,3241770.0,29412.8,98775.1,61492.3,209.347,160594.0,0.06032574400262969
32,3226090.0,31576.5,106490.0,65953.7,222.042,172792.0,0.06487082040658143
33,3209290.0,33870.7,114748.0,70762.4,235.726,185882.0,0.0697405451251012
34,3191320.0,36298.6,123578.0,75942.5,250.467,199916.0,0.0749494113865179
35,3172090.0,38862.9,133008.0,81519.6,266.337,214949.0,0.08052350700182354
36,3151570.0,41565.1,143065.0,87520.4,283.413,231035.0,0.08647152790801549
37,3129670.0,44406.1,153779.0,93972.7,301.774,248231.0,0.09281956191608598
