,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,2,2
4,0,0,2,2
5,0,0,2,2
6,0,0,2,2
7,0,0,2,2
8,0,0,2,2
9,0,0,2,2
10,0,0,2,2
11,0,0,2,2
12,0,0,5,5
13,0,0,9,9
14,0,0,14,14
15,0,0,14,14
16,0,0,14,14
17,0,0,23,23
18,0,0,25,25
19,1,0,24,25
20,3,0,30,33
21,5,0,39,44
22,7,0,38,45
23,9,0,38,47
24,11,0,37,48
25,12,0,37,49
26,14,0,36,50
27,16,0,35,51
28,18,0,33,51
29,20,0,34,54
30,22,0,36,58
31,23,0,39,62
32,25,0,39,64
33,27,0,44,71
34,29,0,43,72
35,31,0,43,74
36,33,0,45,78
37,34,0,45,79
38,36,0,47,83
39,38,0,45,83
40,40,0,46,86
41,42,0,45,87
42,44,0,49,93
43,45,0,58,103
44,47,0,63,110
45,49,0,61,110
46,51,0,59,110
47,53,0,58,111
48,55,1,55,111
49,61,1,50,112
50,63,1,51,115
51,66,1,48,115
52,68,1,46,115
53,72,1,42,115
54,78,1,37,116
55,78,1,37,116
56,97,1,18,116
57,97,1,18,116
58,97,1,18,116
59,100,1,15,116
60,110,1,5,116
61,110,1,5,116
62,112,1,3,116
63,112,1,3,116
64,112,1,3,116
65,112,1,4,117
66,113,1,5,119
67,113,1,5,119
68,115,1,3,119
69,115,1,5,121
70,115,1,8,124
71,115,1,13,129
72,116,1,15,132
73,116,1,19,136
74,116,1,31,148
75,116,1,47,164
76,116,1,59,176
77,116,1,69,186
78,116,2,76,194
79,115,2,78,195
80,116,2,87,205
81,117,2,94,213
82,118,2,108,228
83,122,2,111,235
84,123,2,110,235
85,124,2,114,240
86,126,2,114,242
87,132,2,114,248
88,132,2,114,248
89,137,2,121,260
90,142,2,118,262
91,142,2,122,266
92,142,2,127,271
93,155,2,118,275
94,160,3,119,282
95,161,4,120,285
96,171,4,124,299
97,173,4,126,303
98,194,4,115,313
99,195,4,121,320
100,197,4,123,324
101,201,5,122,328
102,221,5,110,336
103,223,5,112,340
104,226,5,119,350
105,240,5,108,353
106,241,5,113,359
107,248,5,123,376
108,249,5,131,385
109,250,5,143,398
110,263,5,141,409
111,264,5,166,435
112,277,5,167,449
113,279,5,191,475
114,291,5,206,502
115,297,5,209,511
116,310,5,214,529
117,324,5,235,564
118,327,5,257,589
119,337,5,258,600
120,346,5,268,619
121,348,5,288,641
122,364,5,280,649
123,378,5,289,672
124,379,5,307,691
125,398,5,305,708
126,417,6,329,752
127,463,6,295,764
128,468,6,325,799
129,476,7,339,822
130,484,7,340,831
131,521,7,342,870
132,542,7,334,883
133,545,7,379,931
134,555,7,426,988
135,555,7,469,1031
136,562,8,512,1082
137,670,8,422,1100
138,706,8,448,1162
139,770,8,431,1209
140,802,8,437,1247
141,817,8,465,1290
142,820,8,504,1332
143,867,8,496,1371
144,908,8,469,1385
145,943,8,439,1390
146,998,8,400,1406
147,1023,8,412,1443
148,1126,8,346,1480
149,1179,9,353,1541
150,1197,9,368,1574
151,1226,10,351,1587
152,1273,10,361,1644
153,1284,10,391,1685
154,1316,10,422,1748
155,1343,11,424,1778
156,1407,11,391,1809
157,1432,11,393,1836
158,1507,11,413,1931
159,1539,11,433,1983
160,1559,16,460,2035
161,1581,17,514,2112
162,1642,17,576,2235
163,1690,17,654,2361
164,1725,17,697,2439
165,1769,18,730,2517
166,1825,19,735,2579
167,1913,19,790,2722
168,1958,19,821,2798
169,2057,19,872,2948
170,2106,20,950,3076
171,2225,23,930,3178
172,2359,24,930,3313
173,2453,25,930,3408
174,2566,27,927,3520
175,2654,27,913,3594
176,2751,27,893,3671
177,2878,27,908,3813
178,3015,28,844,3887
179,3088,30,884,4002
180,3212,31,981,4224
181,3281,32,1111,4424
182,3351,32,1301,4684
183,3457,35,1350,4842
184,3524,35,1534,5093
185,3668,35,1666,5369
186,3729,36,1860,5625
187,3864,36,1932,5832
188,3952,36,2078,6066
189,4087,36,2175,6298
190,4315,36,2160,6511
191,4494,37,2227,6758
192,4591,37,2390,7018
193,4760,37,2551,7348
194,4851,37,2682,7570
195,5008,37,2767,7812
196,5047,40,3039,8126
197,5261,41,2967,8269
198,5403,41,3190,8634
199,5834,41,3165,9040
200,6051,41,3367,9459
201,6198,41,3655,9894
202,6351,43,3832,10226
203,6475,43,4018,10536
204,6672,48,4248,10968
205,6854,48,4585,11487
206,6854,48,4585,11487
