,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2630250.0,0.74468,1.05409,0.0443573,0.000694317,1.09954,1.5207656750559906e-06
1,2630250.0,1.01139,1.1457700000000002,0.0918578,0.00143783,1.2398799999999999,1.5207656750559906e-06
2,2630250.0,1.30945,1.27757,0.144179,0.00225681,1.4253,1.5207656750559906e-06
3,2630250.0,1.64913,1.45347,0.20314100000000002,0.00317973,1.66163,1.5207656750559906e-06
4,2630250.0,2.04203,1.67897,0.27076500000000003,0.00423824,1.95645,1.5207656750559906e-06
5,2630250.0,2.50141,1.96128,0.34935,0.00546831,2.3193,1.5207656750559906e-06
6,2630250.0,3.0427299999999997,2.30954,0.44154399999999994,0.00691141,2.76206,1.5207656750559906e-06
7,2630250.0,3.6840900000000003,2.7351,0.550441,0.00861595,3.29925,1.5207656750559906e-06
8,2630240.0,4.44689,3.2519299999999998,0.6796800000000001,0.0106389,3.9485699999999997,5.3226798628625005e-06
9,2630240.0,5.35651,3.8770300000000004,0.8335670000000001,0.0130477,4.73142,5.3226798628625005e-06
10,2630240.0,6.4432,4.63103,1.01722,0.0159224,5.67368,5.3226798628625005e-06
11,2630240.0,7.74305,5.53881,1.23675,0.0193586,6.80651,5.3226798628625005e-06
12,2630230.0,9.29917,6.63041,1.4994299999999998,0.0234703,8.16739,9.124594050557988e-06
13,2630230.0,11.1632,7.94194,1.8139900000000002,0.028394,9.80138,9.124594050557988e-06
14,2630230.0,13.3969,9.516810000000001,2.19085,0.034293000000000004,11.7626,9.124594050557988e-06
15,2630220.0,16.0744,11.4072,2.6425099999999997,0.041362800000000005,14.116,1.2926508238364498e-05
16,2630210.0,19.2843,13.6756,3.18395,0.0498377,16.9395,1.6728422426171008e-05
17,2630210.0,23.1331,16.3973,3.8330900000000003,0.059998699999999995,20.3266,1.6728422426171008e-05
18,2630200.0,27.7482,19.6624,4.61147,0.07218250000000001,24.3896,2.0530336613866496e-05
19,2630180.0,33.2827,23.579,5.5448699999999995,0.08679289999999999,29.2632,2.8134164989368493e-05
20,2630180.0,29.7802,27.4915,6.653110000000001,0.10414000000000001,34.2956,2.8134164989368493e-05
21,2630180.0,26.9416,30.7407,7.9161600000000005,0.12390999999999999,38.8231,2.8134164989368493e-05
22,2630180.0,24.6447,33.4493,9.308,0.145696,42.9417,2.8134164989368493e-05
23,2630170.0,22.7897,35.7174,10.8074,0.169167,46.7296,3.1936079177175e-05
24,2630170.0,21.2954,37.6264,12.3972,0.194051,50.2509,3.1936079177175e-05
25,2630170.0,20.0955,39.2431,14.0631,0.22012800000000002,53.5577,3.1936079177175e-05
26,2630160.0,19.1357,40.6216,15.7939,0.247219,56.6925,3.573799336487049e-05
27,2630160.0,18.372,41.8064,17.58,0.275177,59.6902,3.573799336487049e-05
28,2630160.0,19.1118,42.9404,19.4156,0.303908,62.6896,3.573799336487049e-05
29,2630150.0,19.8436,44.1406,21.3017,0.333431,65.8067,3.9539907552677e-05
30,2630150.0,20.5731,45.4036,23.2411,0.363789,69.0406,3.9539907552677e-05
31,2630140.0,21.3048,46.7264,25.2366,0.395024,72.3914,4.334182174037249e-05
32,2630140.0,22.0424,48.1073,27.2907,0.427176,75.8597,4.334182174037249e-05
33,2630130.0,22.7894,49.5449,29.4058,0.460284,79.4467,4.7143735928179e-05
34,2630130.0,23.5484,51.0384,31.5844,0.494385,83.1541,4.7143735928179e-05
35,2630120.0,24.322,52.5876,33.8289,0.529518,86.9842,5.0945650115874486e-05
36,2630110.0,25.1123,54.1925,36.1417,0.56572,90.9393,5.4747564303680996e-05
37,2630110.0,25.9211,55.8534,38.5253,0.6030300000000001,95.0224,5.4747564303680996e-05
38,2630100.0,26.7502,57.5709,40.9821,0.641484,99.2364,5.854947849137648e-05
39,2630100.0,27.601,59.346000000000004,43.5144,0.681124,103.585,5.854947849137648e-05
40,2630090.0,28.4751,61.1796,46.125,0.721986,108.071,6.235139267918299e-05
41,2630080.0,29.3737,63.0731,48.8163,0.764113,112.7,6.61533068669895e-05
42,2630070.0,30.298000000000002,65.0276,51.5909,0.8075439999999999,117.47399999999999,6.995522105468499e-05
43,2630070.0,31.2494,67.0449,54.4516,0.8523209999999999,122.398,6.995522105468499e-05
44,2630060.0,32.2289,69.1263,57.4011,0.898488,127.477,7.37571352424915e-05
45,2630070.0,16.4933,69.9026,60.4222,0.9457770000000001,131.296,6.995522105468499e-05
46,2630080.0,5.10225,68.5358,63.4281,0.992828,132.964,6.61533068669895e-05
47,2630090.0,-2.95717,65.7162,66.3414,1.03843,133.091,6.235139267918299e-05
48,2630090.0,-8.4803,61.9634,69.111,1.08178,132.142,6.235139267918299e-05
49,2630100.0,-12.0893,57.6641,71.7051,1.12239,130.471,5.854947849137648e-05
50,2630110.0,-14.2689,53.102,74.1063,1.1599700000000002,128.345,5.4747564303680996e-05
51,2630110.0,-15.3953,48.4817,76.308,1.19444,125.959,5.4747564303680996e-05
52,2630110.0,-15.7585,43.9469,78.311,1.22579,123.458,5.4747564303680996e-05
53,2630120.0,-15.5813,39.5952,80.12100000000001,1.2541200000000001,120.945,5.0945650115874486e-05
54,2630120.0,-15.0332,35.4895,81.7477,1.27958,118.492,5.0945650115874486e-05
55,2630120.0,-14.242,31.6668,83.2023,1.30235,116.148,5.0945650115874486e-05
56,2630120.0,-13.3035,28.1452,84.4978,1.32263,113.944,5.0945650115874486e-05
57,2630120.0,-12.2881,24.929000000000002,85.6473,1.3406200000000001,111.896,5.0945650115874486e-05
58,2630130.0,-11.2469,22.0129,86.6638,1.35653,110.014,4.7143735928179e-05
59,2630130.0,-10.2162,19.3849,87.5603,1.37056,108.29899999999999,4.7143735928179e-05
60,2630130.0,-9.220939999999999,17.0289,88.3487,1.38291,106.745,4.7143735928179e-05
61,2630130.0,-8.27743,14.9263,89.0406,1.39374,105.34700000000001,4.7143735928179e-05
62,2630130.0,-7.39565,13.0573,89.6465,1.4032200000000001,104.094,4.7143735928179e-05
63,2630130.0,-6.580830000000001,11.4016,90.176,1.41151,102.978,4.7143735928179e-05
64,2630130.0,-5.83479,9.93945,90.63799999999999,1.41874,101.986,4.7143735928179e-05
65,2630130.0,-5.15693,8.651710000000001,91.0405,1.4250399999999999,101.10799999999999,4.7143735928179e-05
66,2630130.0,-4.54496,7.52037,91.3905,1.43052,100.333,4.7143735928179e-05
67,2630130.0,-3.9955,6.528630000000001,91.6946,1.43528,99.6514,4.7143735928179e-05
68,2630130.0,-2.10451,5.76849,91.96,1.43943,99.1638,4.7143735928179e-05
69,2630130.0,-0.0455546,5.34797,92.1997,1.44318,98.99,4.7143735928179e-05
70,2630130.0,2.38203,5.2937,92.4288,1.4467700000000001,99.1723,4.7143735928179e-05
71,2630120.0,5.4457,5.66746,92.6645,1.45046,99.7904,5.0945650115874486e-05
72,2630120.0,9.51388,6.57755,92.9274,1.45458,100.97399999999999,5.0945650115874486e-05
73,2630110.0,15.1047,8.19627,93.2442,1.45953,102.92299999999999,5.4747564303680996e-05
74,2630100.0,22.956,10.7857,93.6508,1.4659,105.93799999999999,5.854947849137648e-05
75,2630080.0,34.1258,14.7354,94.197,1.47445,110.461,6.61533068669895e-05
76,2630070.0,34.051,19.4296,94.93700000000001,1.48603,115.906,6.995522105468499e-05
77,2630070.0,34.577,23.9577,95.8764,1.50074,121.389,6.995522105468499e-05
78,2630060.0,35.6482,28.4164,97.0102,1.5184799999999998,127.001,7.37571352424915e-05
79,2630050.0,37.2249,32.8906,98.3372,1.53925,132.826,7.755904943018699e-05
80,2630040.0,39.28,37.4566,99.8598,1.5630899999999999,138.942,8.13609636179935e-05
81,2630030.0,35.4395,41.6832,101.57600000000001,1.58996,144.905,8.516287780568899e-05
82,2630030.0,32.3232,45.185,103.46,1.61944,150.315,8.516287780568899e-05
83,2630030.0,29.7979,48.0957,105.48200000000001,1.6510900000000002,155.276,8.516287780568899e-05
84,2630020.0,27.7546,50.5247,107.62,1.68455,159.873,8.89647919934955e-05
85,2630020.0,26.1046,52.5608,109.854,1.7195200000000002,164.175,8.89647919934955e-05
86,2630020.0,24.7755,54.2769,112.169,1.7557599999999998,168.24099999999999,8.89647919934955e-05
87,2630010.0,23.7083,55.7321,114.553,1.79308,172.115,9.276670618119098e-05
88,2630010.0,22.8547,56.9749,116.995,1.8313099999999998,175.83700000000002,9.276670618119098e-05
89,2630000.0,22.1755,58.0445,119.488,1.87032,179.437,9.656862036899749e-05
90,2630000.0,21.6387,58.9733,122.023,1.91,182.94,9.656862036899749e-05
91,2630000.0,21.218000000000004,59.7873,124.596,1.95028,186.36700000000002,9.656862036899749e-05
92,2629990.0,20.8922,60.5081,127.20200000000001,1.99108,189.734,0.00010037053455669298
93,2629990.0,20.6438,61.1531,129.838,2.03234,193.05599999999998,0.00010037053455669298
94,2629980.0,20.4587,61.7366,132.501,2.07401,196.343,0.00010417244874449949
95,2629980.0,20.3253,62.2701,135.187,2.11606,199.605,0.00010417244874449949
96,2629980.0,20.2342,62.7632,137.89600000000002,2.15847,202.85,0.00010417244874449949
97,2629970.0,20.1776,63.2235,140.626,2.20119,206.082,0.00010797436293219498
98,2629970.0,20.1492,63.6575,143.375,2.24422,209.308,0.00010797436293219498
99,2629960.0,20.144000000000002,64.0702,146.142,2.28753,212.53099999999998,0.00011177627712000149
100,2629960.0,20.1578,64.4658,148.92700000000002,2.33112,215.755,0.00011177627712000149
101,2629960.0,20.1871,64.8478,151.72799999999998,2.3749700000000002,218.982,0.00011177627712000149
102,2629950.0,20.2292,65.219,154.546,2.41908,222.215,0.000115578191307808
103,2629950.0,20.2818,65.5816,157.38,2.46343,225.456,0.000115578191307808
104,2629940.0,20.3431,65.9376,160.22899999999998,2.5080299999999998,228.706,0.00011938010549550349
105,2629930.0,25.524,66.6928,163.099,2.5529599999999997,232.385,0.00012318201968331
106,2629920.0,30.3651,68.1986,166.019,2.5986599999999997,236.864,0.00012698393387100548
107,2629910.0,34.9714,70.3779,169.018,2.64561,242.097,0.000130785848058812
108,2629900.0,39.4316,73.1721,172.12599999999998,2.69425,248.054,0.00013458776224650748
109,2629890.0,43.8209,76.5379,175.36599999999999,2.74498,254.718,0.000138389676434314
110,2629870.0,48.2044,80.4446,178.764,2.7981700000000003,262.084,0.000145993504809816
111,2629860.0,52.6383,84.8727,182.343,2.85418,270.154,0.00014979541899751148
112,2629840.0,57.1726,89.8115,186.125,2.91338,278.94,0.00015739924737301347
113,2629830.0,61.852,95.2583,190.13099999999997,2.97609,288.464,0.00016120116156081998
114,2629810.0,66.7172,101.21700000000001,194.385,3.04267,298.751,0.00016880498993632198
115,2629790.0,71.8064,107.698,198.908,3.11346,309.83299999999997,0.00017640881831182398
116,2629770.0,77.1553,114.71700000000001,203.72299999999998,3.18883,321.751,0.00018401264668732598
117,2629750.0,82.7986,122.29299999999999,208.854,3.26915,334.548,0.00019161647506282797
118,2629730.0,80.0973,129.768,214.31599999999997,3.35465,347.565,0.00019922030343832997
119,2629720.0,78.1854,136.561,220.08599999999998,3.4449699999999996,360.217,0.00020302221762613648
120,2629700.0,76.9241,142.815,226.14,3.5397199999999995,372.61699999999996,0.00021062604600163848
121,2629690.0,76.2003,148.64600000000002,232.454,3.63856,384.86,0.000214427960189445
122,2629670.0,75.9222,154.148,239.014,3.7412400000000003,397.024,0.00022203178856494699
123,2629660.0,76.0147,159.4,245.80700000000002,3.8475599999999996,409.17400000000004,0.00022583370275264247
124,2629640.0,76.4169,164.46400000000003,252.822,3.95738,421.366,0.00023343753112814447
125,2629630.0,77.0794,169.395,260.055,4.07059,433.64300000000003,0.00023723944531595098
126,2629610.0,77.9619,174.234,267.499,4.18711,446.04400000000004,0.000244843273691453
127,2629590.0,79.0318,179.018,275.151,4.30689,458.602,0.000252447102066955
128,2629580.0,80.2626,183.77700000000002,283.01,4.4299,471.344,0.00025624901625465046
129,2629560.0,81.633,188.535,291.075,4.55614,484.295,0.0002638528446302635
130,2629540.0,83.1258,193.312,299.346,4.68561,497.476,0.0002714566730057655
131,2629520.0,84.7271,198.125,307.82599999999996,4.81834,510.904,0.0002790605013812675
132,2629480.0,109.92299999999999,204.83,316.541,4.95475,526.5,0.0002942681581322715
133,2629430.0,135.08100000000002,215.18,325.625,5.09695,546.118,0.000313277729071082
134,2629370.0,160.726,229.055,335.23400000000004,5.24735,569.793,0.00033608921419758797
135,2629310.0,187.34799999999998,246.418,345.51800000000003,5.40834,597.644,0.00035890069932409396
136,2629240.0,215.41099999999997,267.308,356.631,5.58228,629.865,0.00038551409863840647
137,2629220.0,193.71,287.77099999999996,368.668,5.77069,662.5189999999999,0.00039311792701390846
138,2629170.0,189.30599999999998,290.923,395.95099999999996,5.96698,693.1439999999999,0.00041212749795271897
139,2629130.0,185.78900000000002,293.188,423.48800000000006,6.1651,723.138,0.00042733515470372296
140,2629090.0,182.959,294.76599999999996,451.205,6.36451,752.627,0.00044254281145472696
141,2629040.0,180.66400000000002,295.811,479.045,6.5648100000000005,781.709,0.00046155238239353746
142,2629000.0,178.782,296.444,506.964,6.76567,810.459,0.00047676003914454146
143,2628960.0,177.22,296.758,534.9259999999999,6.96685,838.934,0.0004919676958955455
144,2628910.0,175.908,296.825,562.906,7.16816,867.18,0.000510977266834356
145,2628870.0,174.78799999999998,296.70099999999996,590.884,7.369439999999999,895.232,0.00052618492358536
146,2628820.0,173.81900000000002,296.42900000000003,618.842,7.570589999999999,923.1189999999999,0.0005451944945240594
147,2628780.0,172.96599999999998,296.043,646.769,7.77151,950.8589999999999,0.0005604021512751745
148,2628730.0,183.852,296.483,674.684,7.97235,979.432,0.0005794117222138739
149,2628670.0,193.49200000000002,298.445,702.7139999999999,8.17402,1009.64,0.0006022232073403799
150,2628610.0,202.195,301.626,730.9889999999999,8.37744,1041.31,0.0006250346924669969
151,2628550.0,210.202,305.79200000000003,759.61,8.58336,1074.32,0.0006478461775935029
152,2628490.0,217.7,310.76099999999997,788.663,8.79239,1108.56,0.0006706576627200089
153,2628420.0,224.833,316.39599999999996,818.217,9.00501,1143.98,0.0006972710620343214
154,2628360.0,231.71599999999998,322.589,848.329,9.22165,1180.51,0.0007200825471608274
155,2628290.0,238.438,329.259,879.047,9.44266,1218.13,0.0007466959464751399
156,2628220.0,245.06799999999998,336.342,910.413,9.668330000000001,1256.82,0.0007733093457894524
157,2628120.0,279.809,345.972,942.533,9.89942,1298.85,0.0008113284876669624
158,2628010.0,313.592,359.95099999999996,975.768,10.1385,1346.36,0.0008531495437322789
159,2627900.0,347.157,377.796,1010.5,10.3884,1399.24,0.0008949705997975954
160,2627770.0,381.11400000000003,399.173,1047.09,10.6517,1457.52,0.0009443954842384139
161,2627630.0,415.98,423.86199999999997,1085.85,10.9305,1521.3,0.0009976222828669279
162,2627490.0,452.20099999999996,451.736,1127.08,11.2272,1590.77,0.001050849081495553
163,2627330.0,490.17199999999997,482.746,1171.09,11.5438,1666.16,0.00111167970849968
164,2627160.0,530.253,516.901,1218.16,11.8825,1747.8,0.0011763122496915024
165,2626980.0,572.7769999999999,554.266,1268.61,12.2454,1836.04,0.0012447467050710204
166,2626780.0,618.068,594.946,1322.73,12.6348,1931.3,0.0013207849888261514
167,2626570.0,666.437,639.089,1380.85,13.0529,2034.06,0.0014006251867690889
168,2626340.0,718.201,686.875,1443.3,13.5022,2144.82,0.0014880692130874174
169,2626210.0,667.68,730.27,1510.17,13.9833,2255.49,0.0015374940975282358
170,2626090.0,627.946,762.88,1580.61,14.4901,2358.98,0.0015831170677812478
171,2625970.0,596.5740000000001,787.137,1653.72,15.0161,2456.82,0.0016287400380343708
172,2625840.0,571.686,804.924,1728.79,15.5562,2550.19,0.0016781649224751893
173,2625720.0,551.825,817.701,1805.3,16.1067,2639.99,0.0017237878927282013
174,2625600.0,535.864,826.5989999999999,1882.83,16.6645,2726.95,0.0017694108629813243
175,2625480.0,522.928,832.495,1961.05,17.2272,2811.61,0.0018150338332343363
176,2625350.0,512.3380000000001,836.07,2039.71,17.7932,2894.39,0.0018644587176751548
177,2625230.0,503.57,837.8489999999999,2118.62,18.3609,2975.64,0.0019100816879282778
178,2625110.0,496.215,838.2410000000001,2197.63,18.9294,3055.6,0.00195570465818129
179,2624840.0,626.918,848.1669999999999,2276.96,19.5001,3145.63,0.0020583563412507333
180,2624540.0,753.743,876.806,2358.12,20.084,3256.21,0.0021724137668833743
181,2624270.0,850.306,952.23,2410.24,20.7033,3384.53,0.0022750654499527068
182,2623970.0,953.692,1038.95,2466.98,21.3776,3528.83,0.0023891228755853477
183,2623640.0,1064.79,1137.46,2529.53,21.5928,3690.28,0.0025145860437812972
184,2623270.0,1185.42,1248.45,2598.09,21.8287,3870.26,0.0026552568687282507
185,2622870.0,1316.99,1372.79,2673.42,22.0879,4070.4,0.0028073334362385127
186,2622420.0,1460.97,1511.56,2756.31,22.3731,4292.58,0.002978419574687474
187,2621930.0,1618.91,1665.99,2847.63,22.6872,4538.9,0.0031647133698874397
188,2621580.0,1614.65,1823.69,2948.06,23.0328,4797.36,0.003297780366458891
189,2621220.0,1625.77,1973.1,3057.31,23.4086,5056.41,0.003434649277218149
190,2620840.0,1649.93,2116.89,3174.99,23.8135,5318.33,0.003579122016352798
191,2620440.0,1685.29,2257.26,3300.83,24.2465,5585.04,0.003731198583862949
192,2620030.0,1730.37,2396.02,3434.7,24.7071,5858.2,0.0038870770655610176
193,2619590.0,1784.05,2534.69,3576.55,25.1951,6139.29,0.004054361289822173
194,2619140.0,1845.44,2674.53,3726.41,25.7107,6429.6,0.004225447428271134
195,2618660.0,1913.86,2816.62,3884.38,26.2541,6730.31,0.004407939309283404
196,2618160.0,1988.81,2961.88,4050.61,26.8261,7042.5,0.004598035018671176
197,2617640.0,2069.92,3111.14,4225.31,27.4271,7367.18,0.00479573455643445
198,2617090.0,2156.93,3265.08,4408.73,28.0582,7705.32,0.0050048398367610325
199,2616630.0,2188.41,3486.25,4534.31,28.7264,8052.78,0.0051797278893978005
200,2616150.0,2233.63,3705.33,4668.07,29.4382,8406.41,0.0053622197704099595
201,2615650.0,2291.03,3924.44,4809.97,30.1934,8768.27,0.0055523154797977314
202,2615120.0,2359.35,4145.39,4960.06,30.9921,9140.22,0.005753816931748812
203,2614570.0,2437.6,4369.75,5118.43,31.8349,9523.91,0.005962922212075283
204,2613990.0,2525.02,4598.88,5285.23,32.7225,9920.87,0.006183433234965174
205,2613390.0,2621.03,4834.01,5460.66,33.6561,10332.5,0.006411548086230456
