,Recovered,Deceased,Infected,I_c
0,0,0,2.5714285714285716,5
1,0,0,3.1428571428571432,5
2,0,0,3.7142857142857135,6
3,0,0,4.285714285714286,6
4,0,0,5.0,7
5,0,0,5.7142857142857135,8
6,0,0,6.428571428571429,8
7,0,0,7.0,9
8,0,0,7.571428571428571,9
9,0,0,8.0,9
10,0,0,8.428571428571429,9
11,0,0,8.714285714285714,9
12,0,0,8.857142857142858,9
13,0,0,9.0,9
14,0,0,9.0,9
15,1,0,8.857142857142858,9
16,1,0,8.714285714285714,9
17,2,0,8.428571428571429,9
18,2,0,8.142857142857142,9
19,2,0,8.0,10
20,3,0,7.7142857142857135,10
21,3,0,7.571428571428571,11
22,4,0,7.428571428571429,11
23,4,0,7.7142857142857135,14
24,5,0,8.0,14
25,5,0,8.285714285714286,14
26,5,0,8.428571428571429,14
27,5,0,9.571428571428571,20
28,8,0,10.142857142857142,20
29,8,0,10.857142857142858,20
30,8,0,11.142857142857142,20
31,8,0,11.571428571428573,20
32,17,0,10.714285714285714,20
33,17,0,9.857142857142858,20
34,17,0,8.142857142857142,20
35,17,0,6.857142857142858,20
36,17,0,5.571428571428571,20
37,17,0,4.285714285714286,20
38,17,0,3.0,20
39,17,0,3.0,20
40,17,0,3.0,20
41,18,0,2.8571428571428568,20
42,20,0,2.4285714285714284,20
43,20,0,2.142857142857143,21
44,20,0,1.8571428571428568,21
45,20,0,1.7142857142857142,22
46,20,0,2.4285714285714284,28
47,20,0,3.1428571428571432,28
48,20,0,4.0,28
49,20,0,5.428571428571429,30
50,20,0,6.857142857142858,31
51,21,0,8.571428571428571,34
52,21,0,10.571428571428571,37
53,23,0,11.714285714285715,39
54,23,0,13.428571428571427,43
55,23,0,15.714285714285715,47
56,23,0,17.857142857142858,48
57,23,0,20.142857142857142,50
58,23,0,22.714285714285715,54
59,23,0,25.714285714285715,60
60,23,0,29.42857142857143,65
61,23,0,33.714285714285715,73
62,25,0,37.857142857142854,78
63,25,1,43.28571428571429,89
64,25,1,48.714285714285715,91
65,27,1,56.0,110
66,30,1,63.28571428571429,119
67,30,1,70.57142857142857,124
68,33,1,77.0,129
69,37,1,83.0,133
70,41,1,88.14285714285714,141
71,48,1,92.57142857142857,145
72,48,1,94.57142857142857,145
73,48,1,95.85714285714286,146
74,59,1,95.42857142857143,150
75,60,1,95.14285714285714,154
76,64,1,96.28571428571428,168
77,74,1,97.28571428571428,181
78,88,1,99.14285714285714,198
79,90,1,104.14285714285714,222
80,90,1,110.85714285714286,235
81,90,1,120.42857142857143,248
82,94,2,129.42857142857142,252
83,95,2,139.42857142857142,270
84,95,2,150.85714285714286,283
85,105,2,162.71428571428572,299
86,120,2,171.0,311
87,120,2,178.85714285714286,321
88,139,2,183.7142857142857,332
89,139,2,190.42857142857144,344
90,160,2,192.14285714285717,347
91,160,2,193.28571428571428,356
92,160,2,196.85714285714286,379
93,201,2,197.28571428571428,395
94,232,2,193.28571428571428,405
95,242,2,190.57142857142856,416
96,248,2,186.85714285714286,427
97,271,2,183.57142857142856,435
98,281,2,179.0,445
99,281,2,175.14285714285714,473
100,307,2,173.71428571428572,491
101,307,2,176.0,496
102,317,3,181.28571428571428,529
103,319,3,188.85714285714286,552
104,328,3,198.85714285714286,563
105,345,3,212.42857142857144,605
106,353,3,227.57142857142856,652
107,354,3,251.28571428571428,705
108,358,3,284.42857142857144,780
109,359,3,325.57142857142856,859
110,370,3,374.28571428571433,944
111,383,3,439.8571428571428,1077
112,414,4,512.4285714285714,1183
113,468,4,590.7142857142858,1316
114,518,4,665.8571428571429,1396
115,589,4,731.2857142857142,1470
116,646,4,780.5714285714287,1492
117,716,4,822.8571428571429,1587
118,862,4,839.1428571428571,1671
119,945,4,836.1428571428571,1693
120,1039,5,815.8571428571429,1746
121,1092,6,788.5714285714287,1781
122,1260,6,746.7142857142858,1850
123,1300,6,712.2857142857142,1907
124,1336,6,673.4285714285714,1937
125,1385,7,640.5714285714286,1967
126,1434,7,613.8571428571429,1998
127,1466,7,593.7142857142858,2034
128,1557,8,569.0,2075
129,1600,8,567.4285714285714,2181
130,1637,9,563.8571428571429,2222
131,1669,9,560.1428571428571,2247
132,1696,9,556.1428571428571,2252
133,1769,9,554.8571428571429,2326
134,1795,9,560.0,2401
135,1837,10,579.2857142857142,2492
136,1892,11,593.1428571428571,2573
137,1981,11,600.7142857142858,2621
138,2035,11,614.1428571428571,2709
139,2076,12,635.7142857142858,2786
140,2106,12,665.1428571428571,2872
141,2160,12,691.5714285714287,2954
142,2225,12,712.8571428571429,3031
143,2247,13,746.2857142857142,3164
144,2300,15,793.7142857142858,3276
145,2357,17,840.2857142857142,3363
146,2415,17,892.5714285714287,3496
147,2474,17,953.5714285714287,3672
148,2567,17,1019.5714285714287,3828
149,2671,18,1102.2857142857142,4062
150,2724,18,1183.2857142857142,4213
151,2832,19,1259.2857142857142,4344
