,Recovered,Deceased,Infected,I_c
0,0,0,2,2
1,0,0,2,2
2,0,0,4,4
3,0,0,5,5
4,0,0,5,5
5,0,0,6,6
6,0,0,6,6
7,0,0,6,6
8,0,0,6,6
9,0,0,6,6
10,0,0,6,6
11,0,0,7,7
12,0,0,7,7
13,0,0,7,7
14,0,0,12,12
15,0,0,12,12
16,0,0,12,12
17,0,0,12,12
18,0,0,12,12
19,0,0,12,12
20,1,0,12,13
21,2,0,11,13
22,3,0,10,13
23,3,0,13,16
24,4,0,12,16
25,5,0,13,18
26,6,0,13,19
27,6,0,14,20
28,7,0,13,20
29,8,0,12,20
30,9,0,11,20
31,9,0,13,22
32,10,0,14,24
33,11,0,13,24
34,12,0,12,24
35,13,0,11,24
36,17,0,7,24
37,17,0,7,24
38,20,0,4,24
39,21,0,3,24
40,21,0,3,24
41,21,0,3,24
42,21,0,3,24
43,24,0,0,24
44,24,0,0,24
45,24,0,0,24
46,24,0,0,24
47,24,0,0,24
48,24,0,0,24
49,24,0,0,24
50,24,0,0,24
51,24,0,0,24
52,24,0,1,25
53,24,0,2,26
54,24,0,4,28
55,24,0,7,31
56,24,0,9,33
57,24,0,11,35
58,24,0,11,35
59,24,0,12,36
60,25,0,11,36
61,25,0,16,41
62,25,0,20,45
63,25,0,21,46
64,25,0,25,50
65,25,0,25,50
66,25,0,27,52
67,26,0,32,58
68,28,0,32,60
69,28,0,36,64
70,32,0,34,66
71,32,1,33,66
72,32,1,38,71
73,37,1,40,78
74,43,1,44,88
75,43,1,48,92
76,50,1,45,96
77,50,1,51,102
78,50,1,64,115
79,53,1,68,122
80,56,1,75,132
81,61,1,71,133
82,63,1,73,137
83,65,1,83,149
84,66,1,90,157
85,70,1,92,163
86,70,1,96,167
87,81,1,91,173
88,82,1,95,178
89,85,1,98,184
90,96,1,99,196
91,100,1,105,206
92,108,1,102,211
93,108,1,108,217
94,141,1,78,220
95,147,1,79,227
96,158,1,75,234
97,158,1,83,242
98,164,1,84,249
99,172,1,85,258
100,174,1,87,262
101,186,2,80,268
102,186,2,87,275
103,197,2,90,289
104,198,2,97,297
105,203,2,112,317
106,208,2,122,332
107,213,2,132,347
108,219,2,141,362
109,220,2,148,370
110,220,2,160,382
111,224,2,173,399
112,242,2,159,403
113,249,2,168,419
114,269,2,206,477
115,283,2,256,541
116,293,2,279,574
117,302,2,302,606
118,311,2,319,632
119,319,2,343,664
120,325,2,429,756
121,363,2,430,795
122,377,2,441,820
123,393,3,491,887
124,459,3,507,969
125,521,5,553,1079
126,529,5,602,1136
127,570,6,628,1204
128,583,6,682,1271
129,613,6,719,1338
130,670,7,703,1380
131,745,7,712,1464
132,794,8,757,1559
133,887,8,714,1609
134,913,8,721,1642
135,957,9,773,1739
136,1029,12,737,1778
137,1045,12,895,1952
138,1081,12,1008,2101
139,1191,13,1070,2274
140,1221,13,1109,2343
141,1292,14,1103,2409
142,1395,14,1158,2567
143,1517,14,1129,2660
144,1529,15,1214,2758
145,1640,15,1202,2857
146,1696,15,1297,3008
147,1739,15,1372,3126
148,1815,16,1341,3172
149,2010,18,1291,3319
150,2184,18,1195,3397
151,2441,19,1067,3527
152,2604,24,1057,3685
153,2624,24,1269,3917
154,2636,25,1375,4036
155,2766,25,1326,4117
156,2906,26,1445,4377
157,3056,26,1510,4592
158,3146,27,1657,4830
159,3252,27,1725,5004
160,3383,28,1745,5156
161,3493,29,1938,5460
162,3690,31,1856,5577
163,3930,31,1771,5732
164,4124,31,1781,5936
165,4310,31,1726,6067
166,4582,31,1621,6234
167,4775,31,1672,6478
168,5040,33,1669,6742
169,5318,36,1491,6845
170,5463,38,1590,7091
171,5551,38,1832,7421
172,5729,38,1915,7682
173,5834,39,2070,7943
174,6010,42,2177,8229
175,6138,42,2448,8628
176,6261,43,2706,9010
177,6567,43,2660,9270
178,6722,46,2970,9738
179,6997,47,3239,10283
180,7345,47,3295,10687
181,7689,47,3363,11099
182,7929,47,3659,11635
183,8348,47,3616,12011
184,8478,47,3880,12405
185,8905,59,3945,12909
186,9213,60,4519,13792
187,9685,61,4736,14482
188,10099,61,5006,15166
189,10502,65,5555,16122
190,11147,70,5823,17040
191,11612,70,6195,17877
192,12201,70,6548,18819
193,12201,70,6548,18819
