,Recovered,Deceased,Infected,I_c
0,0,0,2,2
1,0,0,2,2
2,0,0,2,2
3,0,0,2,2
4,0,0,2,2
5,0,0,2,2
6,0,0,4,4
7,0,0,4,4
8,0,0,5,5
9,0,0,5,5
10,0,0,8,8
11,0,0,8,8
12,0,0,9,9
13,0,0,10,10
14,0,0,10,10
15,0,0,10,10
16,0,0,12,12
17,0,0,13,13
18,0,0,13,13
19,0,0,13,13
20,1,0,12,13
21,2,0,13,15
22,3,0,13,16
23,4,0,12,16
24,4,0,14,18
25,5,0,15,20
26,6,0,14,20
27,7,0,13,20
28,8,0,12,20
29,9,0,11,20
30,9,0,11,20
31,10,0,10,20
32,11,0,9,20
33,12,0,8,20
34,13,0,7,20
35,14,0,6,20
36,14,0,7,21
37,15,0,7,22
38,16,0,6,22
39,17,0,5,22
40,18,0,4,22
41,19,1,2,22
42,20,1,2,23
43,20,1,2,23
44,20,1,2,23
45,21,1,2,24
46,21,1,2,24
47,21,1,2,24
48,21,1,2,24
49,23,1,0,24
50,23,1,0,24
51,23,1,0,24
52,23,1,0,24
53,23,1,0,24
54,23,1,2,26
55,23,1,3,27
56,23,1,4,28
57,23,1,7,31
58,23,1,10,34
59,23,1,15,39
60,23,1,19,43
61,23,1,21,45
62,23,1,25,49
63,23,1,26,50
64,23,1,29,53
65,23,1,33,57
66,25,1,36,62
67,27,1,38,66
68,27,1,46,74
69,27,1,51,79
70,28,1,50,79
71,31,1,52,84
72,36,1,47,84
73,37,1,54,92
74,38,1,58,97
75,40,1,56,97
76,42,1,57,100
77,49,1,64,114
78,50,1,78,129
79,50,1,89,140
80,59,2,87,148
81,59,2,105,166
82,59,3,116,178
83,60,3,142,205
84,60,3,156,219
85,60,3,162,225
86,60,3,169,232
87,62,3,177,242
88,62,3,191,256
89,69,3,199,271
90,74,3,197,274
91,84,3,193,280
92,90,3,202,295
93,92,3,211,306
94,94,3,213,310
95,109,3,216,328
96,110,3,220,333
97,138,3,202,343
98,161,3,196,360
99,177,3,191,371
100,184,3,194,381
101,195,3,189,387
102,213,3,187,403
103,232,3,215,450
104,232,3,220,455
105,239,4,226,469
106,261,4,236,501
107,275,4,256,535
108,331,4,224,559
109,341,4,249,594
110,348,4,279,631
111,376,4,277,657
112,389,5,298,692
113,399,5,351,755
114,411,5,385,801
115,417,5,434,856
116,435,5,457,897
117,450,5,493,948
118,466,5,519,990
119,494,5,538,1037
120,505,5,585,1095
121,547,5,561,1113
122,584,5,566,1155
123,616,5,559,1180
124,642,5,552,1199
125,642,5,577,1224
126,674,5,595,1274
127,727,5,603,1335
128,779,5,612,1396
129,809,5,671,1485
130,833,5,705,1543
131,1018,5,588,1611
132,1140,6,521,1667
133,1228,6,519,1753
134,1262,6,597,1865
135,1296,7,649,1952
136,1308,7,669,1984
137,1317,7,735,2059
138,1353,8,839,2200
139,1397,8,921,2326
140,1435,8,968,2411
141,1529,8,1005,2542
142,1606,8,1095,2709
143,1720,8,1110,2838
144,1760,9,1212,2981
145,1925,9,1161,3095
146,2034,9,1222,3265
147,2087,10,1423,3520
148,2138,10,1614,3762
149,2245,10,1768,4023
150,2306,11,1908,4225
151,2730,12,1681,4423
152,2730,12,2043,4785
153,2812,12,2182,5006
154,2942,13,2357,5312
155,3136,13,2405,5554
156,3399,13,2464,5876
157,3507,13,2712,6232
158,3826,17,2724,6567
159,4066,18,2878,6962
160,4166,18,2964,7148
161,4282,19,3016,7317
162,4522,21,3228,7771
163,4776,21,3326,8123
164,5314,21,3018,8353
165,5659,23,2969,8651
166,6031,24,2975,9030
167,6359,24,2842,9225
168,6612,24,2766,9402
169,6898,24,2671,9593
170,7215,24,2500,9739
171,7425,24,2381,9830
172,8052,26,1930,10008
173,8390,26,1841,10257
174,8592,26,1963,10581
175,8794,26,1948,10768
176,8953,26,2147,11126
177,9103,26,2198,11327
178,9222,33,2402,11657
179,9333,34,2680,12047
180,9534,35,2788,12357
181,9736,35,2964,12735
182,9997,38,3182,13217
183,10300,39,3226,13565
184,10557,41,3265,13863
185,10771,42,3401,14214
186,11036,45,3430,14511
187,11362,45,3638,15045
188,11750,48,3730,15528
189,12236,56,3585,15877
190,12704,58,3559,16321
191,13076,60,3697,16833
192,13589,60,3947,17596
193,14177,61,4142,18380
194,14663,64,4479,19206
195,15062,64,4995,20121
196,15483,67,4976,20526
197,16002,71,5493,21566
198,16603,73,5867,22543
199,16603,73,5867,22543
