,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4587960.0,2920.61,3285.14,7020.41,26.101,10337.6,0.004222757398072985
1,4587160.0,2949.96,3324.35,7405.75,27.1273,10763.2,0.004396390514770143
2,4586360.0,2980.18,3363.31,7795.65,28.1658,11193.2,0.0045700236314671905
3,4585540.0,3011.12,3402.16,8190.09,29.2163,11627.6,0.004747997576081686
4,4584720.0,3042.7,3441.01,8589.06,30.2789,12066.5,0.004925971520696182
5,4583890.0,3074.82,3479.92,8992.56,31.3536,12510.0,0.005106115879269457
6,4583050.0,3107.43,3518.98,9400.6,32.4404,12958.2,0.005288430651801401
7,4582200.0,3140.48,3558.21,9813.21,33.5393,13411.2,0.005472915838292014
8,4581340.0,3173.94,3597.67,10230.4,34.6505,13869.0,0.0056595714387414064
9,4580470.0,3207.77,3637.38,10652.2,35.7739,14331.7,0.005848397453149468
10,4579590.0,3241.96,3677.36,11078.7,36.9098,14799.4,0.006039393881516197
11,4578700.0,3276.5,3717.64,11509.8,38.058,15272.0,0.006232560723841707
12,4577810.0,3311.36,3758.22,11945.7,39.2189,15749.6,0.006425727566167216
13,4576900.0,3346.54,3799.11,12386.3,40.3924,16232.3,0.006623235236410174
14,4575980.0,3382.03,3840.33,12831.7,41.5786,16720.2,0.006822913320611801
15,4575060.0,3417.83,3881.87,13281.9,42.7777,17213.2,0.0070225914048134275
16,4574120.0,3453.92,3923.76,13736.9,43.9898,17711.4,0.0072266103169325024
17,4573180.0,3490.32,3965.98,14196.9,45.2149,18214.9,0.007430629229051577
18,4572230.0,3527.02,4008.54,14661.9,46.4532,18723.7,0.007636818555129432
19,4571260.0,3564.0,4051.45,15131.8,47.7047,19237.8,0.007847348709124624
20,4570290.0,3601.28,4094.71,15606.7,48.9696,19757.3,0.008057878863119816
21,4569300.0,3638.85,4138.31,16086.7,50.248000000000005,20282.2,0.008272749845032457
22,4568310.0,3676.71,4182.27,16571.8,51.5401,20812.6,0.008487620826945097
23,4567300.0,3714.86,4226.58,17062.0,52.8458,21348.6,0.008706832636775186
24,4566290.0,3753.3,4271.23,17557.5,54.1653,21890.0,0.008926044446605164
25,4565260.0,3792.02,4316.24,18058.1,55.4988,22437.1,0.0091495970843527
26,4564230.0,3831.03,4361.61,18564.1,56.8462,22989.8,0.009373149722100238
27,4563180.0,3870.33,4407.32,19075.3,58.2079,23548.1,0.009601043187765113
28,4562120.0,3909.9,4453.39,19591.9,59.5838,24112.2,0.009831107067388767
