,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2995190.0,9.58863,6.98205,0.169475,0.000354462,7.126339999999999,6.677328133974925e-06
1,2995190.0,6.88013,10.8348,0.5339729999999999,0.00111682,11.3303,6.677328133974925e-06
2,2995190.0,5.43371,13.5043,1.02814,0.00215038,14.4874,6.677328133974925e-06
3,2995190.0,4.71349,15.5318,1.61598,0.00337988,17.1003,6.677328133974925e-06
4,2995180.0,4.41445,17.2284,2.2783700000000002,0.00476528,19.4591,1.0015992200851365e-05
5,2995180.0,4.36322,18.7735,3.00584,0.0062868,21.7329,1.0015992200851365e-05
6,2995180.0,4.46148,20.2723,3.7945599999999997,0.00793643,24.0226,1.0015992200851365e-05
7,2995180.0,4.65376,21.7873,4.64401,0.00971308,26.3898,1.0015992200851365e-05
8,2995170.0,4.90904,23.3571,5.555680000000001,0.011619899999999999,28.8745,1.3354656267838827e-05
9,2995170.0,5.2102900000000005,25.0069,6.5323199999999995,0.0136625,31.5046,1.3354656267838827e-05
10,2995170.0,5.54849,26.7544,7.577539999999999,0.0158487,34.3013,1.3354656267838827e-05
11,2995160.0,5.91925,28.6133,8.69558,0.018187000000000002,37.2825,1.669332033482629e-05
12,2995160.0,6.3208400000000005,30.5953,9.891160000000001,0.020687599999999997,40.4646,1.669332033482629e-05
13,2995160.0,6.75316,32.7111,11.1695,0.0233613,43.8636,1.669332033482629e-05
14,2995150.0,7.21701,34.9712,12.5362,0.0262197,47.4957,2.003198440181375e-05
15,2995150.0,7.71386,37.3863,13.9972,0.0292756,51.3775,2.003198440181375e-05
16,2995140.0,8.24555,39.9676,15.5592,0.0325425,55.5268,2.337064846869019e-05
17,2995140.0,8.81425,42.7267,17.229,0.036035000000000005,59.9622,2.337064846869019e-05
18,2995130.0,9.42238,45.6761,19.0141,0.0397685,64.7035,2.6709312535677654e-05
19,2995120.0,10.0726,48.8289,20.9224,0.0437598,69.77199999999999,3.0047976602665116e-05
20,2995130.0,3.8178099999999997,50.2782,22.9358,0.047971,73.2065,2.6709312535677654e-05
21,2995130.0,0.409122,49.2732,24.9535,0.0521909,74.2056,2.6709312535677654e-05
22,2995130.0,-1.38988,47.0184,26.9025,0.0562673,73.8945,2.6709312535677654e-05
23,2995130.0,-2.28301,44.1883,28.7472,0.0601257,72.9084,2.6709312535677654e-05
24,2995140.0,-2.6705200000000002,41.1564,30.4726,0.06373440000000001,71.6035,2.337064846869019e-05
25,2995140.0,-2.77972,38.1252,32.0751,0.06708589999999999,70.1775,2.337064846869019e-05
26,2995140.0,-2.73937,35.2007,33.5569,0.07018510000000001,68.7381,2.337064846869019e-05
27,2995140.0,-2.62215,32.4346,34.9235,0.0730435,67.3421,2.337064846869019e-05
28,2995140.0,-2.4687799999999998,29.8485,36.181999999999995,0.07567560000000001,66.0179,2.337064846869019e-05
29,2995140.0,-2.30188,27.4474,37.3396,0.07809680000000001,64.7777,2.337064846869019e-05
30,2995140.0,-2.13374,25.2273,38.4038,0.0803227,63.625,2.337064846869019e-05
31,2995140.0,-1.97085,23.18,39.3818,0.0823682,62.5585,2.337064846869019e-05
32,2995150.0,-1.81643,21.2949,40.2804,0.0842476,61.5747,2.003198440181375e-05
33,2995150.0,-1.67186,19.5608,41.1058,0.085974,60.6685,2.003198440181375e-05
34,2995150.0,-1.53751,17.9667,41.864,0.0875597,59.8349,2.003198440181375e-05
35,2995150.0,-1.41323,16.5018,42.5604,0.08901619999999999,59.0684,2.003198440181375e-05
36,2995150.0,-1.29859,15.1559,43.1999,0.0903539,58.3641,2.003198440181375e-05
37,2995150.0,-1.1930100000000001,13.9196,43.7874,0.09158250000000001,57.7169,2.003198440181375e-05
38,2995150.0,-1.09588,12.7839,44.3269,0.0927109,57.1224,2.003198440181375e-05
39,2995150.0,-1.00658,11.7409,44.8223,0.0937472,56.5763,2.003198440181375e-05
40,2995150.0,-0.9245110000000001,10.7829,45.2774,0.09469889999999999,56.0747,2.003198440181375e-05
41,2995150.0,-0.8491110000000001,9.90301,45.6953,0.095573,55.6141,2.003198440181375e-05
42,2995150.0,-0.779845,9.09494,46.0791,0.0963758,55.191,2.003198440181375e-05
43,2995150.0,-0.716222,8.352789999999999,46.4316,0.09711310000000001,54.8024,2.003198440181375e-05
44,2995150.0,-0.6577850000000001,7.6712,46.7554,0.0977902,54.4455,2.003198440181375e-05
45,2995150.0,-0.604114,7.04523,47.0527,0.098412,54.1178,2.003198440181375e-05
46,2995150.0,-0.55482,6.470330000000001,47.3257,0.0989831,53.8168,2.003198440181375e-05
47,2995150.0,-0.13250699999999999,6.04798,47.578,0.0995107,53.6494,2.003198440181375e-05
48,2995150.0,-0.26879699999999995,5.70159,47.8157,0.100008,53.5405,2.003198440181375e-05
49,2995150.0,-0.330723,5.320209999999999,48.0385,0.10047400000000001,53.3821,2.003198440181375e-05
50,2995150.0,0.9444,5.2809,48.2505,0.10091699999999999,53.5618,2.003198440181375e-05
51,2995150.0,1.95193,5.81538,48.4729,0.101382,54.3244,2.003198440181375e-05
52,2995150.0,2.87645,6.814889999999999,48.7265,0.101913,55.5828,2.003198440181375e-05
53,2995140.0,3.8403699999999996,8.251619999999999,49.0291,0.102546,57.3279,2.337064846869019e-05
54,2995140.0,4.93499,10.1523,49.398999999999994,0.10331900000000001,59.6049,2.337064846869019e-05
55,2995140.0,6.23914,12.5855,49.856,0.104275,62.5028,2.337064846869019e-05
56,2995130.0,7.8312100000000004,15.6565,50.4237,0.10546300000000002,66.15100000000001,2.6709312535677654e-05
57,2995120.0,9.79763,19.5083,51.1306,0.10694100000000001,70.7213,3.0047976602665116e-05
58,2995120.0,12.2397,24.3256,52.0117,0.10878399999999999,76.4343,3.0047976602665116e-05
59,2995100.0,15.2802,30.3426,53.1107,0.111082,83.5684,3.672530473652902e-05
60,2995090.0,19.0701,37.8539,54.4816,0.11395,92.4732,4.006396880351648e-05
61,2995070.0,23.7967,47.2278,56.1919,0.11752699999999999,103.586,4.6741296937491406e-05
62,2995050.0,29.6927,58.9249,58.3259,0.12199000000000002,117.45200000000001,5.341862507135531e-05
63,2995030.0,37.0484,73.52,60.9883,0.12755899999999998,134.753,6.009595320533023e-05
64,2995000.0,46.2255,91.7305,64.3103,0.134507,156.34,7.01119454061816e-05
65,2994960.0,57.6752,114.45200000000001,68.455,0.143176,183.275,8.346660167402042e-05
66,2994940.0,42.4426,135.059,73.5221,0.153774,208.88,9.014392980788433e-05
67,2994930.0,34.0574,148.985,79.2754,0.16580699999999998,228.528,9.348259387487179e-05
68,2994920.0,29.585,159.171,85.5094,0.178845,244.938,9.682125794185925e-05
69,2994900.0,27.3527,167.294,92.1095,0.19265,259.663,0.00010349858607572315
70,2994890.0,26.4074,174.31400000000002,99.0135,0.20709,273.597,0.00010683725014271062
71,2994870.0,26.206,180.78,106.189,0.222097,287.252,0.00011351457827668554
72,2994860.0,26.4392,187.00599999999997,113.62,0.237639,300.926,0.00011685324234356198
73,2994840.0,26.9309,193.176,121.301,0.253704,314.795,0.0001235305704775369
74,2994830.0,27.5812,199.394,129.232,0.27029200000000003,328.964,0.00012686923454452437
75,2994810.0,28.3335,205.725,137.416,0.28741,343.5,0.00013354656267838827
76,2994790.0,29.1558,212.207,145.859,0.305069,358.44699999999995,0.0001402238908123632
77,2994780.0,30.0302,218.864,154.56799999999998,0.323283,373.836,0.00014356255487923963
78,2994760.0,30.9471,225.71400000000003,163.549,0.342068,389.691,0.00015023988301321456
79,2994740.0,31.9012,232.769,172.812,0.36144,406.032,0.00015691721114707846
80,2994740.0,15.9667,235.356,182.299,0.381283,418.04400000000004,0.00015691721114707846
81,2994750.0,6.99477,231.65400000000002,191.75099999999998,0.401053,423.767,0.00015357854708020202
82,2994750.0,1.9864,224.62599999999998,200.98,0.42035600000000006,425.962,0.00015357854708020202
83,2994750.0,-0.7678229999999999,215.951,209.888,0.438987,426.199,0.00015357854708020202
84,2994750.0,-2.24209,206.57299999999998,218.429,0.456851,425.37199999999996,0.00015357854708020202
85,2994760.0,-2.99153,197.017,226.58700000000002,0.473912,423.986,0.00015023988301321456
86,2994760.0,-3.33235,187.571,234.359,0.49016899999999997,422.32800000000003,0.00015023988301321456
87,2994760.0,-3.4445900000000003,178.391,241.755,0.505637,420.55800000000005,0.00015023988301321456
