,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1165380.0,11.3658,8.90041,0.288114,0.000469465,9.17736,1.458730372572159e-05
1,1165370.0,8.8464,11.6892,0.7119449999999999,0.00116008,12.3826,2.3168070623191817e-05
2,1165370.0,7.10383,13.7047,1.23328,0.00200956,14.9147,2.3168070623191817e-05
3,1165370.0,5.9025,15.1825,1.82552,0.00297459,16.9819,2.3168070623191817e-05
4,1165370.0,5.07835,16.2867,2.47021,0.00402507,18.7292,2.3168070623191817e-05
5,1165370.0,4.5171,17.1316,3.1545099999999997,0.005140100000000001,20.2577,2.3168070623191817e-05
6,1165370.0,4.13915,17.797,3.8695199999999996,0.00630517,21.6381,2.3168070623191817e-05
7,1165370.0,3.88905,18.3383,4.60909,0.00751025,22.9194,2.3168070623191817e-05
8,1165370.0,3.72819,18.7942,5.36897,0.00874843,24.1359,2.3168070623191817e-05
9,1165370.0,3.6296699999999995,19.1917,6.14624,0.010015000000000001,25.3116,2.3168070623191817e-05
10,1165360.0,3.57475,19.5496,6.93893,0.0113066,26.4633,3.174883752055102e-05
11,1165360.0,3.55038,19.8809,7.74568,0.0126212,27.6026,3.174883752055102e-05
12,1165360.0,3.54748,20.1948,8.565610000000001,0.0139572,28.7377,3.174883752055102e-05
13,1165360.0,3.55971,20.4977,9.39815,0.0153138,29.8746,3.174883752055102e-05
14,1165360.0,3.5826800000000003,20.7941,10.2429,0.016690299999999998,31.0171,3.174883752055102e-05
15,1165360.0,3.6133300000000004,21.087,11.0998,0.018086500000000002,32.1684,3.174883752055102e-05
16,1165360.0,3.6495,21.3786,11.9686,0.019502099999999998,33.3304,3.174883752055102e-05
17,1165350.0,3.68974,21.6706,12.8493,0.020937200000000003,34.5046,4.032960441802125e-05
18,1165350.0,3.73299,21.9639,13.742,0.0223918,35.6923,4.032960441802125e-05
19,1165350.0,3.77855,22.2594,14.6467,0.023866,36.8941,4.032960441802125e-05
20,1165350.0,3.8259300000000005,22.5576,15.5636,0.0253601,38.1109,4.032960441802125e-05
21,1165350.0,3.87477,22.859,16.4928,0.026874099999999998,39.343,4.032960441802125e-05
22,1165350.0,3.92485,23.1637,17.4343,0.028408299999999997,40.591,4.032960441802125e-05
23,1165350.0,3.9760000000000004,23.4721,18.3884,0.0299629,41.8552,4.032960441802125e-05
24,1165340.0,4.02811,23.7843,19.3552,0.0315382,43.1359,4.8910371315491474e-05
25,1165340.0,4.08111,24.1004,20.3349,0.033134500000000004,44.4335,4.8910371315491474e-05
26,1165340.0,4.1349599999999995,24.4206,21.3275,0.034752,45.7481,4.8910371315491474e-05
27,1165340.0,4.18961,24.7449,22.3334,0.036391,47.0801,4.8910371315491474e-05
28,1165340.0,4.24506,25.0735,23.3526,0.0380517,48.4297,4.8910371315491474e-05
29,1165340.0,4.30129,25.4064,24.3853,0.039734500000000006,49.7972,4.8910371315491474e-05
30,1165340.0,4.35829,25.7437,25.4318,0.04143959999999999,51.1828,4.8910371315491474e-05
31,1165330.0,4.41608,26.0854,26.4921,0.0431674,52.5868,5.74911382129617e-05
32,1165340.0,1.8439900000000002,25.9927,27.5604,0.0449082,53.5559,4.8910371315491474e-05
33,1165340.0,0.159971,25.2447,28.6106,0.0466194,53.8544,4.8910371315491474e-05
34,1165340.0,-0.914832,24.0998,29.6215,0.048266500000000004,53.7186,4.8910371315491474e-05
35,1165340.0,-1.57385,22.733,30.5805,0.0498292,53.3103,4.8910371315491474e-05
36,1165340.0,-1.95107,21.2614,31.4811,0.0512967,52.7396,4.8910371315491474e-05
37,1165340.0,-2.13915,19.7622,32.3208,0.0526649,52.0808,4.8910371315491474e-05
38,1165340.0,-2.202,18.2852,33.0994,0.0539336,51.3834,4.8910371315491474e-05
39,1165340.0,-2.18358,16.8614,33.8185,0.0551054,50.68,4.8910371315491474e-05
40,1165340.0,-2.11397,15.5092,34.4809,0.0561846,49.9915,4.8910371315491474e-05
41,1165340.0,-2.01368,14.2384,35.0895,0.057176300000000006,49.3306,4.8910371315491474e-05
42,1165340.0,-1.8965299999999998,13.0531,35.6478,0.0580861,48.7049,4.8910371315491474e-05
43,1165350.0,-1.77177,11.9534,36.1594,0.0589197,48.118,4.032960441802125e-05
44,1165350.0,-1.6454799999999998,10.9374,36.6276,0.0596827,47.5715,4.032960441802125e-05
45,1165350.0,-1.52158,10.0016,37.056,0.0603807,47.0651,4.032960441802125e-05
46,1165350.0,-1.40246,9.14145,37.4476,0.0610187,46.5976,4.032960441802125e-05
47,1165350.0,-1.28956,8.35229,37.8054,0.061601800000000005,46.1672,4.032960441802125e-05
48,1165350.0,-1.18359,7.629169999999999,38.1323,0.0621345,45.7718,4.032960441802125e-05
49,1165350.0,-1.08485,6.9671899999999996,38.4309,0.06262100000000001,45.4092,4.032960441802125e-05
50,1165350.0,-0.993311,6.36163,38.7036,0.0630653,45.0771,4.032960441802125e-05
51,1165350.0,-0.908784,5.8080099999999995,38.9525,0.06347090000000001,44.7731,4.032960441802125e-05
52,1165350.0,-0.8309540000000001,5.30207,39.1798,0.06384119999999999,44.495,4.032960441802125e-05
53,1165350.0,-0.759444,4.83986,39.3872,0.0641793,44.2408,4.032960441802125e-05
54,1165350.0,-0.69385,4.4177,39.5766,0.0644878,44.0085,4.032960441802125e-05
55,1165350.0,-0.633754,4.0322,39.7494,0.06476950000000001,43.7964,4.032960441802125e-05
56,1165350.0,-0.578747,3.6802300000000003,39.9072,0.0650265,43.6026,4.032960441802125e-05
57,1165350.0,-0.528434,3.3589,40.0512,0.06526119999999999,43.4256,4.032960441802125e-05
58,1165350.0,-0.48243800000000003,3.06557,40.1826,0.0654753,43.2641,4.032960441802125e-05
59,1165350.0,-0.247054,2.83016,40.303000000000004,0.06567139999999999,43.15,4.032960441802125e-05
60,1165350.0,-0.083091,2.6661799999999998,40.4153,0.0658544,43.099,4.032960441802125e-05
61,1165350.0,0.031122000000000004,2.55196,40.5219,0.0660282,43.092,4.032960441802125e-05
62,1165350.0,0.11068,2.4724,40.6246,0.06619560000000001,43.1156,4.032960441802125e-05
63,1165350.0,0.166099,2.41699,40.7246,0.0663585,43.1605,4.032960441802125e-05
64,1165350.0,0.204703,2.37839,40.8227,0.0665183,43.2202,4.032960441802125e-05
65,1165350.0,0.0382422,2.31917,40.919000000000004,0.06667519999999999,43.2569,4.032960441802125e-05
66,1165350.0,-0.068594,2.22003,41.012,0.06682669999999999,43.2506,4.032960441802125e-05
67,1165350.0,0.33176300000000003,2.17391,41.1014,0.0669725,43.2954,4.032960441802125e-05
68,1165350.0,0.673139,2.24512,41.1915,0.0671192,43.4579,4.032960441802125e-05
69,1165350.0,0.983721,2.41508,41.2865,0.067274,43.724,4.032960441802125e-05
70,1165350.0,1.28484,2.6736400000000002,41.3902,0.0674431,44.0874,4.032960441802125e-05
71,1165350.0,1.59333,3.017,41.5063,0.0676322,44.548,4.032960441802125e-05
72,1165340.0,1.9232200000000002,3.44631,41.6382,0.0678471,45.1105,4.8910371315491474e-05
73,1165340.0,2.28694,3.9668099999999997,41.7894,0.0680935,45.7836,4.8910371315491474e-05
74,1165340.0,2.6963,4.587280000000001,41.9639,0.0683779,46.5802,4.8910371315491474e-05
75,1165340.0,3.16312,5.31987,42.1661,0.0687073,47.5168,4.8910371315491474e-05
76,1165340.0,3.6998900000000003,6.18003,42.4007,0.0690896,48.6137,4.8910371315491474e-05
77,1165340.0,4.3202300000000005,7.18665,42.6735,0.069534,49.8955,4.8910371315491474e-05
78,1165330.0,5.03936,8.36239,42.9907,0.070051,51.3913,5.74911382129617e-05
79,1165330.0,5.874569999999999,9.73408,43.36,0.0706527,53.1355,5.74911382129617e-05
80,1165330.0,6.845680000000001,11.3333,43.7899,0.07135319999999999,55.1684,5.74911382129617e-05
81,1165320.0,7.975569999999999,13.197000000000001,44.2904,0.0721688,57.5371,6.607190511043193e-05
82,1165320.0,9.2907,15.3683,44.8733,0.07311849999999999,60.2964,6.607190511043193e-05
83,1165320.0,10.8218,17.8978,45.5521,0.07422460000000002,63.5107,6.607190511043193e-05
84,1165310.0,12.6047,20.8441,46.3426,0.0755127,67.2545,7.465267200790215e-05
85,1165300.0,14.6809,24.2759,47.2633,0.0770129,71.6151,8.323343890537238e-05
86,1165290.0,17.0987,28.2729,48.3355,0.07876010000000001,76.6939,9.181420580284261e-05
87,1165280.0,19.9144,32.9282,49.5843,0.08079489999999999,82.6091,0.00010039497270031283
88,1165270.0,23.1937,38.3501,51.0388,0.0831648,89.4983,0.00010897573959778306
89,1165260.0,27.0128,44.6649,52.7327,0.085925,97.5219,0.00011755650649525329
90,1165250.0,31.4605,52.0194,54.7055,0.08913960000000001,106.867,0.00012613727339272351
91,1165240.0,27.6459,59.1566,56.9839,0.0928521,116.274,0.00013471804029008272
92,1165230.0,25.2167,65.0403,59.5272,0.09699630000000001,124.697,0.00014329880718755295
93,1165220.0,23.7617,70.0871,62.2932,0.101503,132.51,0.00015187957408502317
94,1165220.0,22.9947,74.5885,65.2538,0.106327,139.974,0.00015187957408502317
95,1165210.0,22.7168,78.7494,68.3911,0.11144000000000001,147.27700000000002,0.0001604603409824934
96,1165200.0,22.7897,82.7139,71.6943,0.11682200000000001,154.55,0.00016904110787996363
97,1165190.0,23.1176,86.5838,75.1576,0.122465,161.89,0.00017762187477743385
98,1165180.0,23.6341,90.4321,78.7785,0.128365,169.36700000000002,0.00018620264167490408
99,1165170.0,24.2935,94.3111,82.5574,0.134523,177.033,0.0001947834085723743
100,1165160.0,25.0643,98.2592,86.4963,0.140941,184.929,0.00020336417546984453
101,1165150.0,25.9251,102.305,90.5986,0.147625,193.08599999999998,0.00021194494236731476
102,1165140.0,26.8614,106.47,94.8689,0.154584,201.532,0.00022052570926478499
103,1165130.0,27.8638,110.772,99.3123,0.161824,210.28799999999998,0.0002291064761622552
104,1165120.0,28.926,115.225,103.935,0.169356,219.37400000000002,0.00023768724305961442
105,1165110.0,30.0445,119.84200000000001,108.743,0.17719000000000001,228.81,0.00024626800995708464
106,1165100.0,31.2171,124.632,113.743,0.185338,238.612,0.00025484877685455487
107,1165080.0,32.4431,129.605,118.943,0.19381099999999998,248.798,0.0002720103106494953
108,1165080.0,29.1536,134.02700000000002,124.34,0.202606,258.615,0.0002720103106494953
109,1165070.0,26.908,137.412,129.89600000000002,0.211659,267.558,0.00028059107754696555
110,1165060.0,25.3897,140.078,135.575,0.220912,275.908,0.0002891718444444358
111,1165050.0,24.3785,142.245,141.35299999999998,0.23032600000000003,283.858,0.000297752611341906
112,1165050.0,23.7208,144.066,147.211,0.23987199999999997,291.545,0.000297752611341906
113,1165040.0,23.3097,145.648,153.139,0.249531,299.063,0.00030633337823937623
114,1165030.0,23.0706,147.067,159.128,0.25929,306.48,0.00031491414513684646
115,1165020.0,22.9518,148.373,165.173,0.26914,313.841,0.0003234949120343167
116,1165010.0,22.916999999999998,149.60399999999998,171.269,0.279074,321.178,0.0003320756789316759
117,1165000.0,22.941,150.784,177.415,0.289088,328.514,0.0003406564458291461
118,1165000.0,23.0064,151.931,183.609,0.29918,335.865,0.0003406564458291461
119,1164990.0,23.101,153.058,189.84900000000002,0.309348,343.241,0.00034923721272661634
120,1164980.0,23.2162,154.172,196.13400000000001,0.31959,350.652,0.00035781797962408657
121,1164970.0,23.3461,155.28,202.46599999999998,0.329906,358.102,0.0003663987465215568
122,1164950.0,33.8447,158.065,208.865,0.340334,367.33,0.00038356028031649725
123,1164930.0,42.465,163.716,215.43900000000002,0.351046,379.594,0.0004007218141114377
124,1164900.0,49.873999999999995,171.639,222.292,0.362212,394.405,0.0004264641148038484
125,1164880.0,56.5437,181.442,229.50799999999998,0.37396999999999997,411.457,0.0004436256485986778
126,1164850.0,62.8104,192.873,237.15900000000002,0.386437,430.57099999999997,0.0004693679492910885
127,1164820.0,68.9168,205.77900000000002,245.308,0.399715,451.659,0.0004951102499834992
128,1164790.0,75.0409,220.08,254.013,0.4139,474.699,0.0005208525506759099
