,Recovered,Deceased,Infected,I_c
0,0,0,3,3
1,0,0,3,3
2,0,0,4,4
3,0,0,4,4
4,0,0,4,4
5,0,0,4,4
6,0,0,4,4
7,0,0,4,4
8,0,0,4,4
9,0,0,4,4
10,0,0,4,4
11,0,0,5,5
12,0,0,5,5
13,0,0,5,5
14,0,0,5,5
15,0,0,7,7
16,0,0,8,8
17,0,0,8,8
18,0,0,10,10
19,0,0,12,12
20,1,0,12,13
21,1,0,12,13
22,2,0,11,13
23,2,0,11,13
24,3,0,10,13
25,3,0,10,13
26,4,0,9,13
27,4,0,10,14
28,5,0,9,14
29,5,0,9,14
30,6,0,8,14
31,6,0,8,14
32,7,0,7,14
33,7,0,7,14
34,8,0,6,14
35,8,0,6,14
36,9,0,5,14
37,9,0,5,14
38,10,0,4,14
39,10,0,4,14
40,11,0,3,14
41,11,0,4,15
42,12,0,3,15
43,12,0,3,15
44,13,1,1,15
45,14,1,0,15
46,14,1,0,15
47,14,1,2,17
48,14,1,2,17
49,14,1,2,17
50,14,1,2,17
51,14,1,2,17
52,16,1,0,17
53,16,1,0,17
54,16,1,0,17
55,16,1,0,17
56,16,1,0,17
57,16,1,0,17
58,16,1,0,17
59,16,1,0,17
60,16,1,0,17
61,16,1,0,17
62,16,1,0,17
63,16,1,0,17
64,16,1,0,17
65,16,1,0,17
66,16,1,3,20
67,16,1,3,20
68,16,1,5,22
69,16,1,7,24
70,16,1,7,24
71,16,1,7,24
72,16,1,20,37
73,16,1,25,42
74,16,1,25,42
75,16,1,25,42
76,16,2,32,50
77,16,2,37,55
78,17,2,38,57
79,18,2,41,61
80,21,2,41,64
81,23,3,45,71
82,28,3,54,85
83,29,3,58,90
84,30,3,62,95
85,30,3,65,98
86,31,3,68,102
87,31,3,71,105
88,42,3,70,115
89,45,3,73,121
90,58,3,60,121
91,60,3,59,122
92,64,3,55,122
93,68,3,55,126
94,71,4,52,127
95,85,4,42,131
96,95,4,35,134
97,103,4,32,139
98,107,4,36,147
99,109,4,39,152
100,109,4,48,161
101,109,4,59,172
102,110,4,62,176
103,110,4,66,180
104,110,4,68,182
105,110,4,75,189
106,113,4,76,193
107,114,4,84,202
108,117,4,85,206
109,123,5,83,211
110,126,5,84,215
111,141,5,78,224
112,146,5,90,241
113,156,5,96,257
114,166,5,113,284
115,173,5,113,291
116,176,5,164,345
117,181,5,223,409
118,190,5,309,504
119,195,5,433,633
120,201,6,495,702
121,203,6,533,742
122,207,6,592,805
123,223,6,777,1006
124,233,6,924,1163
125,234,6,1262,1502
126,243,6,1499,1748
127,249,8,1664,1921
128,272,8,1863,2143
129,273,8,2044,2325
130,283,9,2184,2476
131,292,9,2401,2702
132,352,10,2562,2924
133,453,11,2627,3091
134,682,11,2638,3331
135,733,11,2762,3506
136,798,11,2858,3667
137,968,12,2909,3889
138,1094,12,2996,4102
139,1314,12,2846,4172
140,1428,12,3052,4492
141,1596,13,3142,4751
142,1662,14,3452,5128
143,1915,15,3403,5333
144,2225,16,3334,5575
145,2753,16,3080,5849
146,2890,17,3161,6068
147,3040,18,3299,6357
148,3817,18,3007,6842
149,3918,18,3198,7134
150,4098,19,3217,7334
151,4596,22,3013,7631
152,4776,23,3098,7897
153,4973,24,3334,8331
154,5172,30,3439,8641
155,5342,33,3587,8962
156,5532,34,3915,9481
157,5802,37,4103,9942
158,6112,39,4280,10431
159,6336,41,4594,10971
160,6566,49,4785,11400
161,6824,49,4956,11829
162,7114,58,5121,12293
163,7239,60,5391,12690
164,7409,63,5400,12872
165,7712,65,5486,13263
166,7913,77,5734,13724
167,8536,81,5459,14076
168,9080,85,5443,14608
169,9671,85,5260,15016
170,9832,87,5407,15326
171,10206,91,5250,15547
172,10600,92,5082,15774
173,11002,95,4905,16002
174,11345,102,4872,16319
175,11771,105,4920,16796
176,12283,109,4994,17386
177,12901,113,4900,17914
178,13515,119,4533,18167
179,13904,123,4702,18729
180,14517,129,4614,19260
181,15000,131,4687,19818
182,15308,134,4870,20312
183,15701,140,5037,20878
184,15992,148,5150,21290
185,16407,151,5064,21622
186,16675,156,5447,22278
187,17093,157,5703,22953
188,17640,160,5973,23773
189,18128,164,6407,24699
190,18692,169,6662,25523
191,19170,171,7074,26415
192,19689,175,7084,26948
193,20158,186,7285,27629
194,20479,189,7813,28481
195,20775,200,8381,29356
196,21186,206,8778,30170
197,21559,208,9453,31220
198,21993,214,9866,32073
199,22499,217,9843,32559
200,22932,220,10342,33494
201,23311,226,10943,34480
202,23311,226,10943,34480
