,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2955690.0,1588.78,1478.66,7357.79,259.426,9098.29,0.006086174910190367
1,2955390.0,1618.94,1474.03,7486.87,263.29,9226.63,0.0061870563109891474
2,2955090.0,1646.71,1472.02,7615.66,267.145,9357.28,0.006287937711787928
3,2954790.0,1672.48,1472.23,7744.37,270.998,9490.07,0.006388819112586708
4,2954480.0,1696.57,1474.32,7873.18,274.853,9624.85,0.006493063226745366
5,2954170.0,1719.27,1478.02,8002.25,278.717,9761.5,0.006597307340904135
6,2953860.0,1740.8,1483.1,8131.7,282.592,9899.92,0.006701551455062904
7,2953550.0,1761.36,1489.34,8261.65,286.481,10040.0,0.006805795569221673
8,2953230.0,1781.12,1496.59,8392.19,290.389,10181.7,0.00691340239674032
9,2952910.0,1800.23,1504.7,8523.4,294.316,10325.0,0.007021009224258967
10,2952590.0,1818.79,1513.56,8655.35,298.26599999999996,10469.8,0.007128616051777725
11,2952260.0,1836.92,1523.05,8788.11,302.24,10616.0,0.007239585592656361
12,2951940.0,1854.69,1533.1,8921.72,306.23900000000003,10763.7,0.007347192420175119
13,2951610.0,1872.17,1543.63,9056.23,310.26599999999996,10912.8,0.007458161961053755
14,2951280.0,1889.44,1554.59,9191.68,314.32,11063.2,0.007569131501932391
15,2950940.0,1906.53,1565.91,9328.1,318.404,11215.1,0.007683463756171016
16,2950600.0,1923.49,1577.56,9465.53,322.518,11368.3,0.007797796010409641
17,2950260.0,1940.37,1589.51,9603.99,326.66200000000003,11522.9,0.007912128264648266
18,2949920.0,1957.18,1601.71,9743.51,330.838,11678.8,0.008026460518886891
19,2949570.0,1973.96,1614.15,9884.1,335.04699999999997,11836.0,0.008144155486485394
20,2949230.0,1990.73,1626.79,10025.8,339.288,11994.6,0.008258487740724019
21,2948870.0,2007.5,1639.64,10168.6,343.56300000000005,12154.5,0.008379545421682622
22,2948520.0,2024.3,1652.66,10312.5,347.871,12315.8,0.008497240389281124
23,2948160.0,2041.14,1665.84,10457.6,352.214,12478.5,0.008618298070239727
24,2947800.0,2058.02,1679.18,10603.9,356.591,12642.4,0.008739355751198219
25,2947440.0,2074.96,1692.67,10751.3,361.004,12807.7,0.00886041343215671
26,2947070.0,2091.96,1706.29,10899.9,365.452,12974.4,0.008984833826475302
27,2946700.0,2109.04,1720.04,11049.7,369.936,13142.5,0.009109254220793783
28,2946330.0,2126.19,1733.92,11200.7,374.45599999999996,13311.9,0.009233674615112264
29,2945960.0,2143.43,1747.92,11352.9,379.01300000000003,13482.7,0.009358095009430745
30,2945580.0,2160.76,1762.03,11506.4,383.606,13654.9,0.009485878117109214
31,2945200.0,2178.18,1776.26,11661.0,388.236,13828.4,0.009613661224787684
32,2944820.0,2195.69,1790.6,11817.0,392.904,14003.4,0.009741444332466043
33,2944430.0,2213.3,1805.05,11974.2,397.61,14179.8,0.009872590153504501
34,2944040.0,2231.01,1819.6,12132.6,402.353,14357.5,0.01000373597454296
35,2943650.0,2248.82,1834.26,12292.4,407.135,14536.7,0.010134881795581308
36,2943250.0,2266.73,1849.02,12453.4,411.955,14717.4,0.010269390329979644
37,2942850.0,2284.75,1863.89,12615.7,416.814,14899.4,0.010403898864378092
38,2942450.0,2302.87,1878.86,12779.4,421.712,15082.9,0.010538407398776428
39,2942040.0,2321.1,1893.93,12944.3,426.649,15267.9,0.010676278646534754
40,2941640.0,2339.44,1909.1,13110.6,431.626,15454.3,0.010810787180933201
41,2941220.0,2357.88,1924.37,13278.2,436.64300000000003,15642.2,0.010952021142051405
