,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2467590.0,624.336,1149.52,3882.32,49.4095,5083.3,0.003040262775669045
1,2467330.0,655.813,1205.43,3990.59,51.5748,5249.73,0.0031453083998117526
2,2467060.0,688.6010000000001,1264.31,4104.15,53.8456,5424.52,0.003254394240267633
3,2466780.0,722.829,1326.23,4223.25,56.2275,5608.01,0.0033675202970366858
4,2466480.0,758.6139999999999,1391.29,4348.2,58.7261,5800.61,0.0034887267864321947
5,2466170.0,796.064,1459.61,4479.28,61.3474,6002.73,0.003613973492140765
6,2465850.0,835.279,1531.33,4616.8,64.0974,6214.82,0.003743260414162619
7,2465500.0,876.362,1606.58,4761.07,66.9826,6437.34,0.0038846679851238797
8,2465150.0,919.4110000000001,1685.54,4912.44,70.0096,6670.81,0.004026075556085251
9,2464770.0,964.529,1768.37,5071.24,73.1854,6915.73,0.00417960377598614
10,2464370.0,1011.82,1855.25,5237.85,76.5172,7172.67,0.004341212428513375
11,2463960.0,1061.39,1946.36,5412.64,80.0126,7442.2,0.004506861297353892
12,2463520.0,1113.34,2041.91,5596.01,83.6797,7724.93,0.004684630815133817
13,2463070.0,1167.8,2142.12,5788.39,87.5268,8021.49,0.004866440549227025
14,2462590.0,1224.88,2247.18,5990.2,91.5626,8332.56,0.00506037093225975
15,2462090.0,1284.7,2357.35,6201.91,95.7963,8658.82,0.005262381747918821
16,2461560.0,1347.4,2472.85,6423.99,100.238,9001.01,0.005476513212517409
17,2461010.0,1413.1,2593.94,6656.96,104.896,9359.9,0.005698725109742342
18,2460430.0,1481.95,2720.88,6901.32,109.78299999999999,9736.27,0.005933057655906904
19,2459830.0,1554.08,2853.95,7157.64,114.90899999999999,10131.0,0.0061754706346978105
20,2459190.0,1629.66,2993.44,7426.5,120.286,10544.9,0.0064340444787414075
21,2458530.0,1708.84,3139.63,7708.49,125.925,10978.9,0.0067006987554113495
22,2457830.0,1791.78,3292.85,8004.24,131.839,11434.0,0.006983513897334093
23,2457090.0,1878.66,3453.42,8314.43,138.042,11911.2,0.007282489904509526
24,2456330.0,1969.64,3621.68,8639.73,144.548,12411.5,0.007589546344311304
25,2455520.0,2064.92,3797.99,8980.87,151.37,12936.0,0.007916803865678945
26,2454680.0,2164.69,3982.71,9338.62,158.524,13485.9,0.008256182035986215
27,2453790.0,2269.14,4176.23,9713.76,166.02599999999998,14062.3,0.008615761287859347
28,2452870.0,2378.48,4378.95,10107.1,173.892,14666.6,0.008987461188671997
29,2451900.0,2492.93,4591.28,10519.6,182.14,15299.9,0.00937936217105062
30,2450880.0,2612.72,4813.67,10952.0,190.78799999999998,15963.7,0.009791464234995106
31,2449810.0,2738.06,5046.55,11405.3,199.854,16659.3,0.010223767380505566
32,2448690.0,2869.19,5290.41,11880.6,209.358,17388.3,0.010676271607581889
33,2447520.0,3006.38,5545.73,12378.9,219.322,18152.1,0.011148976916224074
34,2446300.0,3149.86,5813.01,12901.1,229.766,18952.5,0.011641883306432232
35,2445010.0,3299.91,6092.77,13448.5,240.713,19791.0,0.012163071210832599
36,2443670.0,3456.79,6385.57,14022.3,252.187,20669.5,0.012704460196798939
37,2442260.0,3620.79,6691.97,14623.6,264.212,21589.6,0.013274130696957487
38,2440780.0,3792.2,7012.55,15253.7,276.813,22553.3,0.013872082711308353
39,2439240.0,3971.31,7347.92,15914.0,290.017,23562.7,0.014494276023538255
40,2437620.0,4158.43,7698.7,16605.8,303.85200000000003,24619.6,0.015148791066273648
41,2435930.0,4353.87,8065.54,17330.6,318.347,25726.3,0.01583158762320136
42,2434150.0,4557.96,8449.1,18090.0,333.532,26884.9,0.016550746126947624
43,2432300.0,4771.02,8850.08,18885.4,349.439,28097.7,0.017298186144886207
44,2430360.0,4993.4,9269.18,19718.5,366.099,29367.2,0.018081988109643343
45,2428330.0,5225.42,9707.14,20591.0,383.548,30695.7,0.018902152021219254
46,2426210.0,5467.45,10164.7,21504.7,401.82,32085.9,0.019758677879613717
47,2423990.0,5719.85,10642.7,22461.4,420.952,33540.3,0.020655605901139906
48,2421660.0,5982.96,11141.8,23463.1,440.983,35061.8,0.021596976302111215
49,2419240.0,6257.16,11662.9,24511.6,461.952,36653.1,0.022574708649901076
50,2416700.0,6542.81,12206.8,25609.2,483.9,38317.2,0.02360092359344923
51,2414050.0,6840.29,12774.3,26757.8,506.87,40057.2,0.02467158091644228
52,2411270.0,7149.97,13366.4,27959.7,530.9069999999999,41876.0,0.025794761051506687
53,2408380.0,7472.23,13983.8,29217.3,556.055,43777.1,0.0269623835660161
54,2405360.0,7807.42,14627.6,30532.9,582.364,45763.6,0.02818252889259687
55,2402200.0,8155.93,15298.6,31908.9,609.881,47839.0,0.029459237247562275
56,2398900.0,8518.12,15997.6,33347.9,638.659,50006.8,0.030792508630912097
57,2395460.0,8894.35,16725.7,34852.6,668.748,52270.6,0.032182343042646555
58,2391880.0,9284.97,17483.8,36425.6,700.205,54634.1,0.03362874048276543
59,2388130.0,9690.31,18272.7,38069.7,733.084,57101.1,0.03514382160020846
60,2384230.0,10110.7,19093.4,39787.8,767.443,59675.4,0.036719505962349186
61,2380160.0,10546.5,19946.9,41583.0,803.342,62361.1,0.03836387400181407
62,2375920.0,10997.9,20834.1,43458.1,840.841,65162.1,0.040076925718602996
63,2371500.0,11465.3,21755.8,45416.5,880.0039999999999,68082.6,0.04186270132902914
64,2366890.0,11948.8,22713.0,47461.2,920.895,71126.7,0.04372524104940578
65,2362100.0,12448.8,23706.6,49595.7,963.58,74298.7,0.04566050466341964
66,2357110.0,12965.3,24737.3,51823.3,1008.13,77602.8,0.047676572603697176
67,2351920.0,13498.6,25805.9,54147.4,1054.6,81043.4,0.04977344487023838
68,2346530.0,14048.8,26913.4,56571.5,1103.08,84625.0,0.05195112146304315
69,2340910.0,14615.9,28060.3,59099.4,1153.63,88351.8,0.054221723031051106
70,2335080.0,15200.0,29247.4,61734.6,1206.33,92228.2,0.0565771691416358
71,2329030.0,15801.1,30475.2,64480.8,1261.25,96258.8,0.05902150001111062
72,2322740.0,16419.0,31744.4,67341.9,1318.47,100448.0,0.06156279607210169
73,2316220.0,17053.7,33055.3,70321.6,1378.05,104800.0,0.06419701710829595
74,2309450.0,17704.9,34408.4,73423.9,1440.09,109319.0,0.06693224355231975
75,2302440.0,18372.4,35804.0,76652.5,1504.66,114009.0,0.06976443518785991
76,2295170.0,19055.8,37242.3,80011.5,1571.83,118876.0,0.07270167244754289
77,2287640.0,19754.7,38723.3,83504.8,1641.69,123922.0,0.07574395533136846
78,2279850.0,20468.6,40247.0,87136.2,1714.31,129151.0,0.07889128383933675
79,2271790.0,21197.0,41813.3,90909.8,1789.77,134568.0,0.08214769818776102
80,2263460.0,21939.1,43421.8,94829.4,1868.16,140177.0,0.08551319837664106
81,2254850.0,22694.2,45072.0,98898.8,1949.54,145980.0,0.08899182462229027
82,2245960.0,23461.4,46763.4,103122.0,2033.99,151981.0,0.09258357692470853
83,2236790.0,24239.7,48495.1,107503.0,2121.59,158183.0,0.09628845528389585
84,2227330.0,25028.1,50266.1,112044.0,2212.42,164588.0,0.1001104999161655
85,2217580.0,25825.5,52075.4,116751.0,2306.54,171200.0,0.10404971082151737
86,2207550.0,26630.5,53921.5,121625.0,2404.02,178020.0,0.1081020477836383
87,2197220.0,27441.8,55802.8,126671.0,2504.92,185051.0,0.11227559123515474
88,2186600.0,28257.9,57717.6,131892.0,2609.32,192293.0,0.1165663009597534
89,2175690.0,29077.3,59664.0,137290.0,2717.28,199747.0,0.12097417695743429
90,2164490.0,29898.3,61639.6,142868.0,2828.84,207415.0,0.1254992192281975
91,2153010.0,30719.1,63642.0,148630.0,2944.06,215296.0,0.1301373875557298
92,2141230.0,31538.0,65668.6,154577.0,3062.98,223391.0,0.13489676237265746
93,2129170.0,32352.8,67716.4,160711.0,3185.66,231698.0,0.1397692632463542
94,2116840.0,33161.8,69782.3,167035.0,3312.11,240216.0,0.1447508499605069
95,2104220.0,33962.7,71863.1,173549.0,3442.39,248943.0,0.14984960294774186
96,2091340.0,34753.5,73955.0,180256.0,3576.5,257878.0,0.1550534015591195
97,2078190.0,35532.0,76054.3,187155.0,3714.47,267016.0,0.16036628601095304
98,2064790.0,36296.0,78157.0,194247.0,3856.3,276355.0,0.1657801758706161
99,2051130.0,37043.2,80259.0,201533.0,4002.0,285891.0,0.17129911135442188
100,2037240.0,37771.5,82355.8,209012.0,4151.57,295618.0,0.17691097181343085
101,2023110.0,38478.5,84442.9,216684.0,4304.98,305532.0,0.18261979746395618
102,2008760.0,39162.1,86515.6,224546.0,4462.22,315627.0,0.18841750787337153
103,1994210.0,39820.1,88569.2,232599.0,4623.26,325896.0,0.19429602260905043
104,1979450.0,40450.2,90598.8,240840.0,4788.06,336332.0,0.2002593818873063
105,1964500.0,41050.5,92599.2,249266.0,4956.56,346929.0,0.20629950527551244
106,1949390.0,41619.0,94565.5,257875.0,5128.71,357677.0,0.21240427212472957
107,1934110.0,42153.6,96492.5,266662.0,5304.45,368569.0,0.21857772265127073
108,1918680.0,42652.7,98375.2,275625.0,5483.69,379596.0,0.2248117764225097
109,1903130.0,43114.5,100209.0,284759.0,5666.35,390747.0,0.23109431278950676
110,1887450.0,43537.5,101987.0,294059.0,5852.33,402013.0,0.23742937196857516
111,1871680.0,43920.3,103707.0,303521.0,6041.54,413384.0,0.24380079309446223
112,1855810.0,44261.5,105362.0,313137.0,6233.85,424849.0,0.25021261638348113
113,1839880.0,44560.3,106949.0,322903.0,6429.14,436397.0,0.2566486809703792
114,1823900.0,44815.5,108462.0,332811.0,6627.28,448017.0,0.2631049466388431
115,1807870.0,45026.6,109897.0,342855.0,6828.14,459698.0,0.26958141338887287
116,1791830.0,45192.9,111250.0,353028.0,7031.57,471427.0,0.2760619203552158
117,1775770.0,45314.2,112518.0,363321.0,7237.41,483195.0,0.2825505077541851
118,1759730.0,45390.1,113697.0,373726.0,7445.5,494987.0,0.28903101472052817
119,1743720.0,45420.9,114783.0,384236.0,7655.67,506794.0,0.2954994010379316
120,1727750.0,45406.6,115774.0,394841.0,7867.76,518602.0,0.3019516264900822
121,1711830.0,45347.6,116667.0,405534.0,8081.58,530401.0,0.3083836508606671
122,1695990.0,45244.6,117460.0,416304.0,8296.95,542179.0,0.3147833535007464
123,1680230.0,45098.3,118151.0,427142.0,8513.69,553924.0,0.3211507344103204
124,1664580.0,44909.6,118738.0,438039.0,8731.61,565626.0,0.32747367294044927
125,1649040.0,44679.5,119221.0,448985.0,8950.51,577273.0,0.33375216909113314
126,1633630.0,44409.2,119598.0,459971.0,9170.2,588855.0,0.33997814242974567
127,1618360.0,44100.1,119870.0,470986.0,9390.49,600362.0,0.34614755273997366
128,1603240.0,43753.7,120035.0,482022.0,9611.19,611783.0,0.35225635980550396
129,1588290.0,43371.5,120096.0,493069.0,9832.09,623110.0,0.3582964831937102
130,1573510.0,42955.1,120051.0,504116.0,10053.0,634332.0,0.3642679229045923
131,1558920.0,42506.3,119904.0,515154.0,10273.8,645442.0,0.370162598505524
132,1544520.0,42026.9,119654.0,526174.0,10494.1,656432.0,0.37598050999650523
133,1530320.0,41518.8,119304.0,537167.0,10714.0,667293.0,0.38171761716122277
134,1516330.0,40983.9,118855.0,548122.0,10933.0,678018.0,0.38736987978336357
135,1502560.0,40424.0,118311.0,559033.0,11151.2,688601.0,0.39293325764661435
