,Recovered,Deceased,Infected,I_c
0,0,0,19.857142857142858,45
1,0,0,30.285714285714285,77
2,0,0,40.285714285714285,79
3,0,0,54.57142857142857,114
4,0,0,70.0,128
5,0,0,86.42857142857143,135
6,0,0,104.14285714285714,151
7,0,0,119.28571428571428,151
8,0,0,133.0,173
9,0,0,153.28571428571428,221
10,0,0,170.57142857142858,235
11,0,0,192.42857142857144,281
12,0,0,217.57142857142856,311
13,7,4,241.28571428571428,328
14,15,8,275.14285714285717,411
15,22,12,323.2857142857143,544
16,30,16,386.1428571428572,707
17,38,20,464.4285714285714,841
18,45,24,541.7142857142857,891
19,53,28,613.0,891
20,61,32,682.7142857142858,898
21,68,36,743.1428571428571,915
22,76,40,785.5714285714287,923
23,84,44,807.8571428571429,945
24,91,48,823.1428571428571,1029
25,99,52,839.1428571428571,1085
26,107,57,868.0,1176
27,123,60,899.2857142857142,1207
28,134,63,951.2857142857144,1372
29,177,65,1012.2857142857144,1476
30,177,68,1072.857142857143,1486
31,177,72,1126.5714285714287,1515
32,229,74,1170.5714285714287,1545
33,350,76,1189.142857142857,1568
34,362,77,1210.2857142857142,1611
35,468,79,1200.5714285714287,1654
36,491,81,1182.7142857142858,1681
37,595,83,1151.2857142857142,1699
38,663,86,1110.142857142857,1727
39,732,87,1070.0,1780
40,891,89,1032.2857142857142,1858
41,898,90,1000.1428571428572,1935
42,926,92,984.5714285714287,2016
43,974,95,974.4285714285713,2107
44,1046,96,985.1428571428572,2238
45,1098,98,1003.0,2299
46,1100,99,1034.142857142857,2378
47,1119,100,1087.4285714285713,2470
48,1119,101,1144.2857142857142,2565
49,1158,103,1198.2857142857142,2637
50,1174,105,1255.142857142857,2715
51,1213,107,1306.2857142857142,2774
52,1280,109,1357.4285714285713,2850
53,1381,111,1394.857142857143,2933
54,1412,114,1427.857142857143,3008
55,1476,116,1446.0,3064
56,1484,117,1464.0,3103
57,1537,119,1476.857142857143,3182
58,1555,122,1495.2857142857142,3260
59,1673,126,1507.2857142857142,3344
60,1775,129,1519.5714285714291,3431
61,1951,132,1508.2857142857142,3486
62,1990,135,1500.0,3539
63,2029,138,1485.857142857143,3570
64,2132,141,1457.0,3597
65,2184,145,1417.142857142857,3633
66,2243,149,1381.4285714285709,3687
67,2324,153,1341.142857142857,3722
68,2390,156,1312.5714285714287,3749
69,2454,157,1278.2857142857142,3785
70,2566,159,1235.7142857142858,3830
71,2591,161,1207.857142857143,3881
72,2618,163,1184.5714285714287,3922
73,2673,164,1161.7142857142858,3972
74,2701,166,1149.857142857143,4029
75,2805,170,1133.4285714285713,4063
76,2906,174,1107.0,4069
77,2982,178,1082.0,4090
78,3048,182,1049.857142857143,4134
79,3131,185,1011.8571428571428,4191
80,3149,189,979.4285714285713,4246
81,3168,193,945.8571428571428,4288
82,3185,197,925.7142857142856,4329
83,3235,201,918.2857142857144,4373
84,3278,203,920.5714285714287,4427
85,3290,207,929.1428571428572,4461
86,3344,211,940.1428571428572,4507
87,3367,214,947.8571428571428,4543
88,3397,218,952.5714285714287,4575
89,3415,222,957.0,4615
90,3435,226,966.4285714285713,4664
91,3452,229,978.1428571428572,4709
92,3552,232,976.1428571428572,4734
93,3576,236,974.5714285714287,4753
94,3664,238,962.0,4776
95,3727,241,945.1428571428572,4810
96,3772,244,922.1428571428572,4833
97,3781,246,900.1428571428571,4876
98,3838,249,877.1428571428571,4954
99,3871,252,866.4285714285713,4998
100,3903,255,858.4285714285713,5043
101,3946,258,859.7142857142858,5087
102,3956,261,876.4285714285713,5176
103,3981,265,904.5714285714287,5260
104,4017,269,935.5714285714287,5352
105,4028,273,969.1428571428572,5403
106,4078,278,1007.0,5496
107,4087,280,1061.2857142857142,5632
108,4139,284,1126.2857142857142,5761
109,4175,288,1195.4285714285713,5906
110,4238,292,1265.5714285714287,6035
111,4292,295,1337.2857142857142,6155
112,4366,299,1402.7142857142858,6225
113,4437,300,1468.7142857142858,6339
114,4519,301,1521.857142857143,6457
115,4549,302,1574.2857142857142,6556
116,4603,303,1625.7142857142858,6709
117,4660,304,1681.2857142857142,6858
118,4699,304,1740.4285714285709,6985
119,4758,306,1802.428571428572,7058
120,4808,308,1861.5714285714291,7132
121,4992,310,1901.142857142857,7216
122,5036,311,1940.5714285714291,7328
123,5076,312,1977.2857142857144,7448
124,5147,315,2005.7142857142856,7555
125,5235,317,2021.7142857142856,7646
126,5662,320,1987.2857142857144,7735
127,5684,322,1963.7142857142856,7857
128,5729,325,1970.2857142857144,8014
129,5771,328,1981.5714285714291,8159
130,5851,330,1996.142857142857,8343
131,5899,333,2023.428571428572,8516
132,5961,333,2071.428571428572,8724
133,6001,336,2187.1428571428573,8900
134,6076,337,2302.142857142857,9069
135,6166,340,2415.142857142857,9257
136,6191,341,2532.5714285714284,9414
137,6246,342,2652.5714285714284,9590
138,6278,342,2781.142857142857,9804
139,6618,344,2875.0,10049
140,6683,345,2960.714285714286,10191
141,6747,346,3049.4285714285716,10370
142,7140,349,3095.0,10559
143,7374,353,3120.285714285714,10786
144,7524,356,3132.4285714285716,10967
145,7656,360,3126.857142857143,11161
146,7874,364,3138.714285714286,11408
147,8088,368,3146.4285714285716,11673
148,8290,371,3135.285714285714,11860
149,8490,375,3149.0,12031
150,8610,379,3174.857142857143,12229
151,8688,384,3217.142857142857,12455
152,8847,389,3265.5714285714284,12720
153,8934,393,3336.285714285714,12992
