,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4232140.0,7.747260000000001,20.3791,0.36478299999999997,0.0,45.8974,5.9071420892564674e-06
1,4232130.0,14.2109,22.0066,0.748875,0.0,47.92100000000001,8.269998924892441e-06
2,4232120.0,21.7543,24.8818,1.17359,0.0,51.2348,1.0632855760639437e-05
3,4232100.0,30.8317,29.2201,1.6634799999999998,0.0,56.0798,1.5358569431911384e-05
4,4232080.0,42.0013,35.3254,2.24778,0.0,62.79,2.0084283103294354e-05
5,4232060.0,55.9605,43.6103,2.96221,0.0,71.8152,2.4809996774677323e-05
6,4232030.0,73.5896,54.623999999999995,3.8511900000000003,0.0,83.7505,3.189856728180729e-05
7,4231990.0,96.0077,69.0877,4.97064,0.0,99.3751,4.1349994624462205e-05
8,4231960.0,100.78399999999999,85.8461,6.37922,0.0,117.551,4.843856513159217e-05
9,4231940.0,107.60799999999999,103.36399999999999,8.09933,0.0,136.80200000000002,5.316427880297514e-05
10,4231910.0,116.48700000000001,122.00399999999999,10.1481,0.0,157.507,6.025284930999408e-05
11,4231870.0,127.47200000000001,142.126,12.5492,0.0,180.05,6.970427665276002e-05
12,4231830.0,140.664,164.09799999999998,15.3329,0.0,204.83,7.915570399552596e-05
13,4231780.0,157.526,188.422,16.9392,1.59774,232.389,9.096998817392787e-05
14,4231730.0,177.043,215.636,18.7805,3.42907,263.312,0.00010278427235232979
15,4231670.0,199.50599999999997,246.2,20.885,5.52226,298.116,0.0001169614133664787
16,4231590.0,240.06,281.945,23.2895,7.913880000000001,338.73199999999997,0.00013586426805189955
17,4231490.0,286.42900000000003,324.992,26.0528,10.6623,387.37699999999995,0.0001594928364088144
18,4231380.0,339.814,376.38300000000004,29.246,13.8383,445.235,0.00018548426160136522
19,4231240.0,401.586,437.375,32.9508,17.5232,513.731,0.00021856425730093498
20,4231200.0,370.161,500.126,39.5255,19.4911,584.967,0.00022801568464370092
21,4231150.0,345.94199999999995,556.66,46.9351,21.7089,651.0830000000001,0.00023982996882210283
22,4231100.0,327.677,608.2919999999999,55.1018,24.1533,713.293,0.00025164425300050475
23,4231050.0,314.342,656.1060000000001,63.9646,26.8061,772.5980000000001,0.00026345853717890666
24,4231000.0,305.10200000000003,700.997,73.4765,29.6531,829.83,0.0002752728213574196
25,4230950.0,299.275,743.704,83.6017,32.6837,885.682,0.0002870871055358215
26,4230890.0,296.30400000000003,784.8380000000001,94.314,35.8901,940.73,0.0003012642465499704
27,4230830.0,295.737,824.9110000000001,105.595,39.2666,995.459,0.0003154413875640083
28,4230750.0,315.882,866.071,117.441,42.8123,1052.05,0.0003343442422495402
29,4230670.0,336.411,910.2139999999999,129.885,46.5368,1112.4,0.00035324709693507206
30,4230580.0,357.476,957.3710000000001,142.968,50.4528,1176.59,0.0003745128084562399
31,4230480.0,378.348,1007.52,159.187,52.1192,1244.66,0.00039814137681304373
32,4230320.0,439.296,1021.43,219.227,53.8392,1320.45,0.00043594708618399647
33,4230270.0,390.81699999999995,1035.39,280.193,55.5857,1397.03,0.0004477613703623984
34,4230220.0,351.74699999999996,1040.69,341.72,57.3483,1465.55,0.0004595756545409113
35,4230170.0,320.068,1039.36,403.35900000000004,59.114,1527.56,0.00047138993871931323
36,4230120.0,294.203,1032.96,464.76300000000003,60.8731,1584.28,0.00048320422289771514
37,4230070.0,272.914,1022.72,525.67,62.6179,1636.66,0.000495018507076117
38,4230020.0,255.231,1009.61,585.882,64.3429,1685.44,0.00050683279125463
39,4229980.0,240.39700000000002,994.3580000000001,645.252,66.0436,1731.24,0.0005162842185972849
40,4229950.0,216.701,988.671,691.485,67.7269,1773.42,0.0005233727891044149
41,4229920.0,197.28799999999998,979.373,737.3660000000001,69.3973,1811.64,0.0005304613596114338
42,4229820.0,246.74200000000002,973.3889999999999,782.841,71.053,1852.88,0.0005540899279683487
43,4229710.0,289.298,975.9730000000001,828.242,72.7059,1902.6,0.0005800813531608995
44,4229600.0,326.509,985.6210000000001,873.931,74.3694,1959.66,0.0006060727783534503
45,4229490.0,359.61300000000006,1001.15,920.21,76.0543,2023.22,0.0006320642035458901
46,4229370.0,389.596,1021.63,967.329,77.7698,2092.59,0.0006604184855741879
47,4229250.0,417.24300000000005,1046.34,1015.5,79.5237,2167.28,0.0006887727676023747
48,4229130.0,443.184,1074.71,1064.92,81.3227,2246.91,0.0007171270496306725
49,4229000.0,467.91900000000004,1106.32,1115.73,83.1727,2331.23,0.0007478441884944953
50,4228860.0,491.855,1140.83,1168.08,85.0787,2420.04,0.0007809241841941761
51,4228720.0,515.318,1177.99,1222.1,87.0456,2513.23,0.0008140041798937458
52,4228580.0,538.57,1217.61,1277.92,89.0776,2610.74,0.0008470841755933156
53,4228470.0,519.123,1255.62,1335.57,91.1766,2708.47,0.0008730756007858664
54,4228370.0,504.67,1288.8,1394.88,93.3359,2803.09,0.0008967041691427813
55,4228270.0,494.185,1318.17,1455.64,95.5482,2895.42,0.0009203327374995851
56,4228160.0,486.85699999999997,1344.56,1517.7,97.8077,2986.11,0.0009463241626921359
57,4228050.0,482.042,1368.62,1580.94,100.11,3075.7,0.0009723155878846867
58,4227940.0,479.228,1390.86,1645.25,102.45100000000001,3164.59,0.0009983070130772376
59,4227830.0,478.01099999999997,1411.69,1710.57,104.829,3253.11,0.0010242984382697884
60,4227720.0,478.07,1431.44,1776.83,107.242,3341.53,0.0010502898634623392
61,4227610.0,479.151,1450.36,1843.99,109.68700000000001,3430.06,0.00107628128865489
62,4227560.0,421.589,1463.13,1911.93,112.161,3513.13,0.001088095572833292
63,4227520.0,374.973,1465.92,1980.22,114.647,3586.62,0.0010975470001760579
64,4227470.0,337.05800000000005,1460.97,2048.46,117.132,3652.33,0.0011093612843544598
65,4227430.0,306.065,1450.06,2116.33,119.602,3711.7,0.0011188127116972257
66,4227390.0,280.582,1434.57,2183.58,122.051,3765.86,0.0011282641390399917
67,4227350.0,259.48900000000003,1415.63,2250.02,124.47,3815.74,0.0011377155663826466
68,4227310.0,241.898,1394.09,2315.52,126.854,3862.05,0.0011471669937254125
69,4227270.0,227.06,1370.66,2380.24,128.91899999999998,3905.38,0.0011566184210681785
70,4227230.0,214.47,1345.85,2443.84,130.94799999999998,3946.18,0.0011660698484109444
71,4227190.0,203.68099999999998,1320.11,2506.25,132.939,3984.82,0.0011755212757537103
72,4227150.0,194.33900000000003,1293.77,2567.45,134.891,4021.61,0.0011849727030963653
73,4227120.0,186.16299999999998,1267.1,2627.4,136.803,4056.78,0.0011920612736034952
74,4227080.0,178.928,1240.29,2686.1,138.675,4090.53,0.0012015127009462612
75,4227050.0,172.785,1213.55,2741.02,143.032,4123.05,0.0012086012714532801
76,4227020.0,167.19400000000002,1187.0,2794.74,147.29399999999998,4154.49,0.001215689841960299
77,4226980.0,162.059,1160.74,2847.29,151.46200000000002,4184.93,0.001225141269303065
78,4226950.0,157.30100000000002,1134.83,2898.67,155.537,4214.46,0.001232229839810084
79,4226920.0,152.858,1109.31,2948.89,159.52100000000002,4243.14,0.001239318410317214
80,4226890.0,148.68200000000002,1084.22,2997.98,163.416,4271.03,0.0012464069808242328
81,4226860.0,144.732,1059.57,3045.96,167.222,4298.16,0.0012534955513312518
82,4226830.0,140.977,1035.39,3092.85,170.94099999999997,4324.59,0.0012605841218383818
83,4226760.0,171.261,1014.85,3138.71,174.579,4353.59,0.0012771241196881666
84,4226700.0,195.81400000000002,1000.2,3183.79,178.155,4387.65,0.0012913012607023155
85,4226630.0,215.822,990.258,3228.32,181.687,4425.81,0.0013078412585521004
86,4226560.0,232.226,984.061,3272.49,185.19099999999997,4467.32,0.0013243812564018853
87,4226490.0,245.774,980.8510000000001,3316.46,188.679,4511.58,0.0013409212542516702
88,4226420.0,257.059,980.029,3360.33,192.15900000000002,4558.14,0.001357461252101455
89,4226350.0,266.551,981.1160000000001,3404.21,195.64,4606.6,0.00137400124995124
90,4226280.0,274.626,983.7330000000001,3448.18,199.128,4656.69,0.0013905412478010248
91,4226210.0,281.579,987.581,3492.29,202.627,4708.16,0.0014070812456509207
92,4226190.0,249.766,997.225,3528.2,206.15200000000002,4757.18,0.0014118069593221927
93,4226160.0,223.84900000000002,1001.27,3564.35,209.701,4800.88,0.0014188955298293227
94,4226130.0,202.66299999999998,1000.91,3600.57,213.25599999999997,4840.25,0.0014259841003363416
95,4226110.0,185.275,997.068,3636.71,216.804,4876.07,0.0014307098140077246
96,4226080.0,170.93599999999998,990.51,3672.66,220.333,4908.96,0.0014377983845147435
97,4226060.0,159.048,981.835,3708.33,223.835,4939.44,0.0014425240981861265
98,4226040.0,149.13,971.5260000000001,3743.66,227.304,4967.91,0.0014472498118575094
99,4226010.0,140.797,959.9680000000001,3778.6,230.733,4994.7,0.0014543383823645284
100,4225990.0,133.741,947.4680000000001,3813.09,234.12,5020.07,0.0014590640960359114
101,4225900.0,187.62099999999998,939.824,3847.19,237.467,5049.97,0.0014803298075570792
102,4225810.0,234.24400000000003,941.569,3881.19,240.804,5089.13,0.001501595519078247
103,4225710.0,275.209,951.171,3915.39,244.162,5136.37,0.001525224087435162
104,4225610.0,311.801,967.418,3950.06,247.56599999999997,5190.76,0.0015488526557919657
105,4225500.0,345.059,989.355,3985.43,251.03799999999998,5251.6,0.0015748440809845166
106,4225390.0,375.81699999999995,1016.23,4021.68,254.59599999999998,5318.34,0.0016008355061770674
107,4225270.0,404.754,1047.47,4058.98,258.258,5390.59,0.0016291897882053652
108,4225150.0,432.42,1082.62,4097.48,262.038,5468.07,0.001657544070233552
109,4225030.0,459.26300000000003,1121.34,4137.32,265.948,5550.59,0.0016858983522617388
110,4224900.0,485.65,1163.37,4178.61,270.002,5638.02,0.0017166154911256726
111,4224760.0,511.88300000000004,1208.53,4221.49,274.211,5730.32,0.0017496954868253534
112,4224620.0,536.941,1256.59,4269.25,275.388,5827.35,0.0017827754825249231
113,4224470.0,562.395,1307.35,4318.92,276.612,5929.06,0.0018182183350602399
114,4224320.0,588.3969999999999,1360.8,4370.61,277.88599999999997,6035.52,0.0018536611875954456
115,4224160.0,615.076,1416.94,4424.43,279.212,6146.86,0.0018914668969663984
116,4223990.0,642.545,1475.81,4480.47,280.593,6263.2,0.001931635463173098
117,4223810.0,670.9069999999999,1537.45,4538.85,282.031,6384.7,0.001974166886215434
118,4223630.0,700.2539999999999,1601.91,4599.67,283.53,6511.55,0.0020166983092577695
119,4223440.0,730.669,1669.29,4663.05,285.092,6643.92,0.002061592589135852
120,4223240.0,762.2339999999999,1739.67,4729.09,286.719,6782.02,0.002108849725849571
121,4223030.0,795.0239999999999,1813.13,4797.92,288.415,6926.08,0.0021584697193989255
122,4222820.0,829.113,1889.81,4869.66,290.183,7076.33,0.002208089712948391
123,4222590.0,864.573,1969.8,4944.44,292.025,7233.0,0.002262435420169129
124,4222480.0,791.577,2043.08,5022.25,293.942,7385.88,0.0022884268453616796
125,4222370.0,733.238,2101.64,5102.61,295.923,7526.67,0.0023144182705542304
126,4222300.0,660.075,2175.05,5155.87,297.966,7655.24,0.0023309582684040153
127,4222220.0,600.781,2234.52,5210.78,300.072,7771.63,0.002349861123089436
128,4222150.0,552.726,2282.71,5267.03,302.23,7878.12,0.002366401120939332
129,4222080.0,513.779,2321.74,5324.36,304.42900000000003,7976.61,0.002382941118789117
130,4222000.0,482.214,2353.35,5382.56,306.66200000000003,8068.61,0.002401843973474538
131,4221930.0,456.63,2378.96,5441.48,308.923,8155.35,0.0024183839713243227
132,4221720.0,561.156,2411.32,5502.13,310.149,8249.78,0.0024680039648737884
133,4221500.0,655.058,2460.94,5563.82,311.397,8362.51,0.00251998681525889
134,4221260.0,740.799,2525.67,5626.96,312.67400000000004,8491.81,0.0025766953793152636
135,4221020.0,820.3939999999999,2603.82,5691.91,313.987,8636.38,0.002633403943371748
136,4220770.0,895.5,2694.09,5759.0,315.344,8795.22,0.002692475364263869
137,4220500.0,967.48,2795.46,5828.51,316.75,8967.66,0.0027562724988274834
138,4220220.0,1037.46,2907.2,5900.73,318.21,9153.2,0.002822432490226623
139,4219940.0,1095.54,3039.66,5963.98,319.73400000000004,9350.54,0.0028885924816258735
140,4219820.0,994.693,3165.13,6030.03,321.324,9543.46,0.0029169467636540602
141,4219710.0,913.2710000000001,3271.26,6098.54,322.974,9719.6,0.002942938188846611
142,4219430.0,964.7289999999999,3244.15,6297.82,324.643,9893.54,0.0030090981802458616
143,4219140.0,1007.07,3227.04,6493.32,328.733,10076.1,0.003077621028480748
144,4218860.0,1041.68,3217.84,6688.04,332.80699999999996,10265.7,0.0031437810198798877
145,4218570.0,1070.26,3214.83,6882.39,336.87300000000005,10461.2,0.003212303868114774
146,4218280.0,1094.13,3216.69,7076.72,340.939,10661.5,0.0032808267163496607
147,4217990.0,1114.33,3222.37,7271.27,345.009,10865.9,0.0033493495645845472
148,4217690.0,1131.66,3231.08,7466.26,349.089,11073.7,0.0034202352696551808
149,4217360.0,1180.89,3245.31,7661.92,353.18199999999996,11287.7,0.003498209545232722
150,4217140.0,1148.85,3342.1,7776.33,357.347,11503.0,0.003550192395617824
151,4216910.0,1126.06,3430.51,7893.96,361.629,11713.3,0.0036045381028386725
