,Recovered,Deceased,Infected,I_c
0,0,0,10.428571428571429,13
1,0,0,12.285714285714285,14
2,0,0,13.0,14
3,0,0,13.285714285714285,14
4,0,0,13.714285714285715,15
5,0,0,14.142857142857142,16
6,0,0,14.571428571428573,16
7,0,0,15.0,16
8,0,0,16.0,21
9,0,0,16.857142857142858,20
10,0,0,18.142857142857142,23
11,0,0,19.285714285714285,23
12,7,1,20.0,29
13,8,1,20.571428571428573,29
14,8,1,21.857142857142854,34
15,8,1,23.142857142857146,39
16,8,1,24.57142857142857,39
17,8,1,25.57142857142857,39
18,11,1,27.57142857142857,49
19,13,1,31.42857142857143,62
20,13,6,33.714285714285715,55
21,14,6,36.285714285714285,63
22,25,9,39.0,83
23,26,10,43.714285714285715,99
24,26,10,51.57142857142857,121
25,26,11,61.42857142857143,143
26,26,11,72.0,159
27,14,11,86.42857142857143,162
28,14,12,100.71428571428572,169
29,55,12,111.57142857142857,192
30,60,12,122.0,208
31,70,14,130.14285714285714,226
32,71,14,136.57142857142858,236
33,73,14,145.14285714285714,269
34,113,14,146.57142857142858,274
35,117,17,148.0,287
36,120,17,154.85714285714286,310
37,123,17,164.57142857142858,344
38,130,17,175.71428571428572,367
39,151,17,183.42857142857144,373
40,160,17,189.57142857142856,402
41,177,17,200.85714285714286,420
42,185,17,212.57142857142856,437
43,200,23,225.57142857142856,487
44,250,28,232.28571428571428,529
45,275,28,234.28571428571428,537
46,289,28,241.28571428571428,571
47,319,28,243.0,584
48,326,28,246.28571428571428,603
49,346,31,250.57142857142856,642
50,358,33,249.42857142857144,647
51,385,33,250.85714285714286,679
52,405,33,258.7142857142857,727
53,439,35,263.57142857142856,762
54,439,36,273.0,778
55,443,36,288.14285714285717,834
56,447,38,302.14285714285717,848
57,497,40,314.85714285714283,882
58,497,40,333.2857142857143,927
59,505,40,354.0,979
60,509,40,375.8571428571428,990
61,568,42,391.28571428571433,1021
62,568,42,400.0,1026
63,569,56,408.8571428571428,1050
64,634,56,418.0,1099
65,674,56,418.8571428571428,1126
66,708,56,411.28571428571433,1145
67,753,59,398.57142857142856,1164
68,757,63,392.4285714285714,1188
69,788,65,389.4285714285714,1248
70,788,66,388.4285714285714,1272
71,791,69,395.57142857142856,1319
72,827,71,403.8571428571428,1352
73,858,73,412.1428571428572,1370
74,863,73,426.0,1385
75,869,73,447.8571428571428,1463
76,925,73,464.4285714285714,1509
77,973,76,474.28571428571433,1536
78,1079,78,464.0,1544
79,1089,80,454.8571428571428,1559
80,1106,83,450.71428571428567,1599
81,1182,86,435.28571428571433,1609
82,1199,86,414.71428571428567,1662
83,1224,89,397.4285714285714,1703
84,1246,89,384.4285714285714,1731
85,1272,91,384.8571428571428,1753
86,1416,91,368.71428571428567,1784
87,1427,91,349.8571428571428,1796
88,1454,91,341.0,1824
89,1468,92,332.14285714285717,1875
90,1498,94,317.0,1876
91,1547,95,297.2857142857143,1900
92,1552,95,278.57142857142856,1906
93,1588,96,275.0,1936
94,1588,96,275.14285714285717,1963
95,1623,96,278.0,2018
96,1642,98,277.14285714285717,2049
97,1665,98,286.14285714285717,2110
98,1685,99,300.0,2139
99,1702,102,317.14285714285717,2183
100,1719,103,342.2857142857143,2250
101,1726,103,368.1428571428572,2289
102,1793,104,387.1428571428572,2329
103,1824,109,406.0,2374
104,1865,109,415.8571428571428,2390
105,1887,110,431.0,2458
106,1894,114,442.71428571428567,2469
107,1909,114,454.71428571428567,2535
108,1951,115,464.28571428571433,2593
109,1967,116,482.1428571428572,2640
110,1999,121,495.0,2651
111,2040,123,511.28571428571433,2693
112,2055,126,520.8571428571429,2709
113,2096,126,529.1428571428571,2741
114,2172,127,529.7142857142857,2815
115,2324,128,516.4285714285714,2886
116,2378,129,494.8571428571428,2913
117,2447,129,476.8571428571428,2981
118,2465,130,460.57142857142856,3011
119,2484,130,448.71428571428567,3059
120,2487,132,443.71428571428567,3103
121,2534,134,436.8571428571428,3136
122,2566,135,444.71428571428567,3190
123,2573,137,460.8571428571428,3229
124,2646,139,470.8571428571428,3260
125,2667,139,478.71428571428567,3277
126,2723,141,475.57142857142856,3287
127,2731,143,474.0,3347
128,2780,147,470.28571428571433,3369
129,2790,147,464.8571428571428,3388
130,2833,148,458.71428571428567,3457
131,2843,148,460.8571428571428,3481
132,2867,148,466.8571428571428,3528
133,2885,149,482.1428571428572,3564
134,2887,149,496.71428571428567,3611
135,2923,151,518.4285714285714,3668
136,2938,151,545.5714285714286,3730
137,2986,152,569.0,3778
138,2994,155,600.4285714285714,3859
139,3012,155,627.4285714285714,3869
