,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1997500.0,2.1181200000000002,2.18325,0.118756,0.0064932,2.30392,1.0012505619050316e-06
1,1997500.0,1.6661299999999999,2.95586,0.30730799999999997,0.016802599999999997,3.27303,1.0012505619050316e-06
2,1997500.0,1.45366,3.51093,0.5434100000000001,0.029711900000000003,4.07601,1.0012505619050316e-06
3,1997500.0,1.37596,3.9555800000000003,0.815465,0.044587,4.80719,1.0012505619050316e-06
4,1997490.0,1.3754600000000001,4.3495800000000004,1.1178,0.0611175,5.52004,6.0075033717632564e-06
5,1997490.0,1.42064,4.72661,1.44805,0.07917460000000001,6.24562,6.0075033717632564e-06
6,1997490.0,1.49435,5.10607,1.8057400000000001,0.0987322,7.00272,6.0075033717632564e-06
7,1997490.0,1.5874,5.4995199999999995,2.19151,0.119825,7.80351,6.0075033717632564e-06
8,1997490.0,1.6949599999999998,5.91424,2.60665,0.142523,8.65663,6.0075033717632564e-06
9,1997490.0,1.81467,6.3552800000000005,3.05291,0.166923,9.56895,6.0075033717632564e-06
10,1997490.0,1.94553,6.82648,3.5323300000000004,0.19313699999999998,10.5465,6.0075033717632564e-06
11,1997490.0,2.08731,7.331110000000001,4.04724,0.22129000000000001,11.5949,6.0075033717632564e-06
12,1997490.0,2.24025,7.872210000000001,4.6001900000000004,0.251523,12.72,6.0075033717632564e-06
13,1997480.0,2.4048599999999998,8.45279,5.193919999999999,0.283987,13.9276,1.1013756181510459e-05
14,1997480.0,2.5818,9.07594,5.83144,0.318844,15.224,1.1013756181510459e-05
15,1997480.0,2.7719,9.74488,6.51595,0.356271,16.6159,1.1013756181510459e-05
16,1997480.0,2.97608,10.4631,7.25091,0.396456,18.1103,1.1013756181510459e-05
17,1997480.0,3.1953400000000003,11.2341,8.04003,0.43960299999999997,19.7148,1.1013756181510459e-05
18,1997470.0,3.43077,12.062000000000001,8.8873,0.485929,21.4374,1.602000899125766e-05
19,1997470.0,3.68356,12.9508,9.79701,0.535669,23.287,1.602000899125766e-05
20,1997470.0,3.9549800000000004,13.9051,10.7737,0.589074,25.2729,1.602000899125766e-05
21,1997470.0,4.24641,14.9298,11.8225,0.646414,27.4051,1.602000899125766e-05
22,1997460.0,4.55931,16.0299,12.9485,0.70798,29.6945,2.1026261801004864e-05
23,1997460.0,4.89527,17.2111,14.1574,0.774083,32.1525,2.1026261801004864e-05
24,1997460.0,5.25598,18.4794,15.4555,0.8450559999999999,34.7917,2.1026261801004864e-05
25,1997450.0,7.62484,20.3557,16.8617,0.9219459999999999,38.1634,2.6032514610752067e-05
26,1997440.0,9.777460000000001,23.2121,18.441,1.0083,42.6967,3.103876742049927e-05
27,1997440.0,11.9627,26.9352,20.2598,1.10774,48.3493,3.103876742049927e-05
28,1997420.0,14.3448,31.521,22.3804,1.22369,55.1841,4.1051273039993674e-05
29,1997410.0,17.0465,37.0361,24.8678,1.35969,63.3366,4.605752584974088e-05
30,1997400.0,20.173,43.5987,27.7936,1.51966,73.0012,5.10637786595991e-05
31,1997380.0,23.826999999999998,51.3697,31.2395,1.7080799999999998,84.4256,6.10762842790935e-05
32,1997360.0,28.1177,60.5509,35.3006,1.93012,97.9123,7.108878989858791e-05
33,1997340.0,33.167,71.3869,40.0881,2.1918900000000003,113.824,8.110129551808232e-05
34,1997310.0,39.1153,84.1694,45.7326,2.50051,132.59,9.612005394743495e-05
35,1997300.0,32.1104,95.5811,52.2983,2.8595,150.89,0.00010112630675718215
36,1997280.0,28.62,103.61,59.5602,3.25656,166.56,0.00011113881237667655
37,1997270.0,27.0807,109.835,67.3347,3.6816400000000002,180.976,0.00011614506518642376
38,1997250.0,26.6307,115.12799999999999,75.5248,4.12945,194.905,0.00012615757080591816
39,1997240.0,26.7956,119.97399999999999,84.08200000000001,4.59733,208.77700000000002,0.00013116382361566536
40,1997220.0,27.3141,124.64,92.9843,5.08408,222.835,0.00014117632923515977
41,1997200.0,28.0426,129.279,102.225,5.58931,237.22299999999998,0.0001511888348547652
42,1997190.0,28.9025,133.974,111.804,6.1131,252.02599999999998,0.0001561950876645124
43,1997170.0,29.851,138.77700000000002,121.729,6.6557699999999995,267.301,0.0001662075932840068
44,1997150.0,30.8652,143.716,132.009,7.21782,283.08799999999997,0.0001762200989035012
45,1997130.0,31.9328,148.812,142.653,7.79983,299.416,0.00018623260452299562
46,1997110.0,33.0478,154.078,153.675,8.402460000000001,316.312,0.00019624511014260104
47,1997090.0,34.2076,159.524,165.08599999999998,9.02639,333.79900000000004,0.00020625761576209545
48,1997070.0,35.4112,165.15900000000002,176.90099999999998,9.67238,351.901,0.00021627012138158985
49,1997040.0,36.6588,170.99200000000002,189.13299999999998,10.3412,370.64099999999996,0.00023128887981083146
50,1997020.0,37.9513,177.02900000000002,201.797,11.0336,390.041,0.0002413013854304369
