,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,1,1
4,0,0,1,1
5,0,0,4,4
6,0,0,4,4
7,0,0,4,4
8,0,0,4,4
9,0,0,4,4
10,0,0,5,5
11,0,0,5,5
12,0,0,5,5
13,0,0,5,5
14,0,0,6,6
15,0,0,6,6
16,0,0,6,6
17,0,0,6,6
18,0,0,7,7
19,1,0,6,7
20,2,0,11,13
21,3,0,16,19
22,4,1,15,20
23,4,7,11,22
24,4,7,17,28
25,4,7,17,28
26,4,7,17,28
27,4,7,17,28
28,4,10,17,31
29,4,10,20,34
30,5,10,43,58
31,8,10,43,61
32,8,10,55,73
33,8,10,55,73
34,8,11,61,80
35,8,12,62,82
36,21,12,49,82
37,21,13,49,83
38,45,13,31,89
39,56,13,20,89
40,56,13,23,92
41,56,13,29,98
42,56,13,33,102
43,62,14,34,110
44,62,14,39,115
45,65,14,40,119
46,66,14,43,123
47,68,14,58,140
48,78,14,53,145
49,78,14,64,156
50,78,14,76,168
51,82,14,86,182
52,83,14,96,193
53,90,14,90,194
54,90,14,93,197
55,117,16,69,202
56,121,16,76,213
57,124,16,86,226
58,124,16,92,232
59,138,16,91,245
60,158,16,87,261
61,158,16,98,272
62,164,16,95,275
63,166,18,105,289
64,167,18,108,293
65,173,18,108,299
66,200,19,84,303
67,210,20,75,305
68,235,20,55,310
69,236,21,67,324
70,243,21,71,335
71,243,21,80,344
72,258,21,72,351
73,259,27,79,365
74,268,27,90,385
75,273,27,86,386
76,273,27,105,405
77,278,21,117,416
78,278,22,141,441
79,298,22,137,457
80,312,24,127,463
81,328,24,119,471
82,332,24,130,486
83,347,24,128,499
84,368,24,114,506
85,368,25,135,528
86,382,28,122,532
87,414,28,124,566
88,419,28,140,587
89,425,28,158,611
90,434,30,161,625
91,446,30,162,638
92,451,30,209,690
93,481,31,196,708
94,519,31,168,718
95,528,31,177,736
96,530,32,192,754
97,551,34,211,796
98,576,36,194,806
99,613,36,174,823
100,640,37,181,858
101,647,37,232,916
102,659,38,292,989
103,705,41,272,1018
104,705,43,326,1074
105,737,45,345,1127
106,805,45,372,1222
107,856,47,377,1280
108,923,48,369,1340
109,993,48,388,1429
110,1008,50,428,1486
111,1048,50,455,1553
112,1083,51,449,1583
113,1119,52,449,1620
114,1186,53,433,1672
115,1245,55,430,1730
116,1292,58,484,1834
117,1362,59,563,1984
118,1370,60,604,2034
119,1416,63,629,2108
120,1490,66,639,2195
121,1513,68,714,2295
122,1588,69,710,2367
123,1654,70,692,2416
124,1665,77,815,2557
125,1806,82,752,2640
126,1879,82,780,2741
127,1930,82,797,2809
128,1940,86,873,2899
129,2013,86,923,3022
130,2052,90,984,3126
131,2169,92,940,3201
132,2198,94,1071,3363
133,2247,95,1100,3442
134,2335,97,1114,3546
135,2388,97,1150,3635
136,2587,101,1080,3768
137,2672,101,1106,3879
138,2790,101,1146,4037
139,2817,101,1186,4104
140,2885,109,1201,4195
141,2922,110,1232,4264
142,3246,110,1046,4402
143,3386,110,988,4484
144,3484,112,989,4585
145,3565,112,1042,4719
146,3696,120,1006,4822
147,3779,124,1046,4949
148,3807,130,1126,5063
149,3884,130,1173,5187
150,3928,136,1193,5257
151,4048,139,1107,5294
152,4206,140,1166,5512
153,4294,140,1228,5662
154,4397,140,1209,5746
155,4487,146,1331,5964
156,4582,146,1350,6078
157,4624,153,1645,6422
158,4804,153,1770,6727
159,4953,160,2059,7172
160,5097,168,2452,7717
161,5382,176,2493,8051
162,5529,187,2712,8428
163,5566,195,2824,8585
164,6723,196,1966,8885
165,7354,207,1780,9341
166,7454,210,2068,9732
167,7750,211,2142,10103
168,8001,212,2190,10403
169,8104,217,2322,10643
170,8484,222,2255,10961
171,8522,231,2667,11420
172,8809,238,2795,11842
173,8858,244,3080,12182
174,9495,250,2693,12438
175,9927,254,2455,12636
176,10030,260,2623,12913
177,10163,265,2640,13068
178,10556,272,2538,13366
179,10997,273,2276,13546
180,10997,273,2276,13546
