,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4606380.0,0.661846,1.0041200000000001,0.0369867,0.00526435,1.0465,1.3025395614318924e-06
1,4606380.0,0.829875,1.02099,0.07435900000000001,0.0105836,1.10619,1.3025395614318924e-06
2,4606380.0,1.00614,1.05062,0.11258800000000001,0.016024700000000003,1.17964,1.3025395614318924e-06
3,4606380.0,1.19278,1.09324,0.152148,0.0216553,1.2676,1.3025395614318924e-06
4,4606380.0,1.39202,1.14919,0.193525,0.027544599999999995,1.3709799999999999,1.3025395614318924e-06
5,4606380.0,1.6062299999999998,1.21901,0.237222,0.033763999999999995,1.49088,1.3025395614318924e-06
6,4606380.0,1.83792,1.3034,0.283763,0.040388099999999996,1.6286200000000002,1.3025395614318924e-06
7,4606380.0,2.08982,1.40321,0.333701,0.047495800000000005,1.78568,1.3025395614318924e-06
8,4606380.0,2.36484,1.5195299999999998,0.387625,0.05517090000000001,1.9638099999999998,1.3025395614318924e-06
9,4606380.0,2.66617,1.6535900000000001,0.446168,0.0635034,2.16499,1.3025395614318924e-06
10,4606380.0,2.99729,1.80685,0.510011,0.0725901,2.39145,1.3025395614318924e-06
11,4606380.0,3.362,1.98101,0.579893,0.08253660000000002,2.64573,1.3025395614318924e-06
12,4606380.0,3.7644699999999998,2.1779900000000003,0.656622,0.0934575,2.9306799999999997,1.3025395614318924e-06
13,4606380.0,4.20932,2.3999900000000003,0.7410800000000001,0.105478,3.24951,1.3025395614318924e-06
14,4606380.0,4.701630000000001,2.64948,0.8342360000000001,0.118737,3.60581,1.3025395614318924e-06
15,4606380.0,5.24699,2.9292599999999998,0.937155,0.13338599999999998,4.0036,1.3025395614318924e-06
16,4606370.0,5.85164,3.24249,1.05101,0.149592,4.447369999999999,3.4734388303370167e-06
17,4606370.0,6.5224400000000005,3.5926699999999996,1.17711,0.16753900000000002,4.94214,3.4734388303370167e-06
18,4606370.0,7.26704,3.98377,1.3168799999999998,0.187433,5.4935,3.4734388303370167e-06
19,4606370.0,8.093869999999999,4.42019,1.4719200000000001,0.2095,6.10769,3.4734388303370167e-06
20,4606370.0,9.01235,4.90687,1.64399,0.23399,6.79166,3.4734388303370167e-06
21,4606370.0,10.0329,5.44931,1.8350400000000002,0.261183,7.553160000000001,3.4734388303370167e-06
22,4606360.0,11.1671,6.053640000000001,2.04725,0.291387,8.40081,5.644338099353163e-06
23,4606360.0,12.4278,6.726719999999999,2.28302,0.324944,9.34423,5.644338099353163e-06
24,4606360.0,13.8294,7.47615,2.54504,0.362237,10.3941,5.644338099353163e-06
25,4606350.0,15.3877,8.31042,2.8362700000000003,0.40368899999999996,11.5623,7.815237368258288e-06
26,4606350.0,17.1204,9.23899,3.16003,0.449769,12.8621,7.815237368258288e-06
27,4606350.0,19.0472,10.2724,3.51997,0.501,14.3082,7.815237368258288e-06
28,4606340.0,21.1898,11.4223,3.9202,0.5579649999999999,15.917,9.986136637274434e-06
29,4606340.0,23.5727,12.7018,4.36524,0.621308,17.7068,9.986136637274434e-06
30,4606330.0,26.2229,14.1253,4.86015,0.691749,19.6978,1.215703590629058e-05
31,4606330.0,29.1703,15.709000000000001,5.41054,0.770085,21.9126,1.215703590629058e-05
