,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3037060.0,9.68976,7.0229800000000004,0.147599,0.0100262,7.155589999999999,6.256011121252847e-06
1,3037060.0,7.04015,10.9689,0.466891,0.0317151,11.4287,6.256011121252847e-06
2,3037060.0,5.6365300000000005,13.7628,0.9025719999999999,0.0613101,14.6806,6.256011121252847e-06
3,3037060.0,4.955509999999999,15.9378,1.42434,0.09675299999999999,17.4093,6.256011121252847e-06
4,3037050.0,4.69792,17.8023,2.01633,0.136966,19.9046,9.548648553403538e-06
5,3037050.0,4.6931,19.5363,2.6710599999999998,0.18144000000000002,22.3378,9.548648553403538e-06
6,3037050.0,4.84405,21.2468,3.38596,0.230002,24.8126,9.548648553403538e-06
7,3037040.0,5.09605,22.9988,4.16143,0.282679,27.3941,1.2841285985665252e-05
8,3037040.0,5.41864,24.834,4.9997,0.339621,30.1261,1.2841285985665252e-05
9,3037040.0,5.79536,26.7806,5.9042,0.401062,33.0406,1.2841285985665252e-05
10,3037030.0,6.21783,28.8598,6.879230000000001,0.467294,36.1633,1.6133923417815943e-05
11,3037030.0,6.68238,31.089000000000002,7.92974,0.5386529999999999,39.5167,1.6133923417815943e-05
12,3037030.0,7.18812,33.4838,9.06128,0.615517,43.1226,1.6133923417815943e-05
13,3037020.0,7.735860000000001,36.0594,10.2799,0.698296,47.0024,1.9426560850077657e-05
14,3037020.0,8.32747,38.8309,11.5922,0.7874399999999999,51.1784,1.9426560850077657e-05
15,3037010.0,8.965539999999999,41.8141,13.0054,0.883434,55.6742,2.271919828233937e-05
16,3037000.0,9.6532,45.0259,14.5271,0.986801,60.5146,2.601183571449006e-05
17,3037000.0,7.108,47.5908,16.1551,1.0973899999999999,64.8048,2.601183571449006e-05
18,3037000.0,5.64973,49.0641,17.8523,1.21268,68.083,2.601183571449006e-05
19,3037000.0,4.8143199999999995,49.9118,19.5893,1.33067,70.7815,2.601183571449006e-05
20,3037000.0,4.33584,50.4011,21.3493,1.45022,73.1477,2.601183571449006e-05
21,3036990.0,4.06189,50.685,23.1225,1.57067,75.3239,2.9304473146751775e-05
22,3036990.0,3.90516,50.8511,24.9035,1.69165,77.3911,2.9304473146751775e-05
23,3036990.0,3.8156,50.9498,26.6889,1.81293,79.3961,2.9304473146751775e-05
24,3036990.0,3.7645199999999996,51.0098,28.4772,1.9344,81.3656,2.9304473146751775e-05
25,3036990.0,3.7355099999999997,51.0477,30.2671,2.05599,83.3148,2.9304473146751775e-05
26,3036980.0,3.7191300000000003,51.0729,32.058,2.17765,85.2525,3.2597110578902466e-05
27,3036980.0,3.7099900000000003,51.0908,33.8498,2.29936,87.1839,3.2597110578902466e-05
28,3036980.0,3.7050099999999997,51.1046,35.6421,2.4211,89.1116,3.2597110578902466e-05
29,3036980.0,3.70241,51.1159,37.4348,2.54288,91.0375,3.2597110578902466e-05
30,3036980.0,3.70116,51.1259,39.2279,2.6646799999999997,92.9623,3.2597110578902466e-05
31,3036970.0,3.7007,51.1351,41.0213,2.7865,94.8868,3.588974801116418e-05
32,3036970.0,3.7006900000000003,51.1439,42.815,2.90835,96.8111,3.588974801116418e-05
33,3036970.0,3.7009300000000005,51.1524,44.6091,3.03022,98.7356,3.588974801116418e-05
34,3036970.0,3.7013199999999995,51.1608,46.4034,3.1521,100.66,3.588974801116418e-05
