,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3027400.0,283.88,2362.39,5923.54,246.326,8533.66,0.0031869437706427695
1,3027230.0,283.98,2360.71,6069.78,249.412,8681.31,0.0032429186069904414
2,3027070.0,283.954,2359.15,6215.93,252.495,8828.98,0.0032956008059059627
3,3026900.0,283.857,2357.66,6361.98,255.576,8976.61,0.0033515756422536347
4,3026740.0,283.721,2356.19,6507.93,258.655,9124.18,0.003404257841169045
5,3026570.0,283.561,2354.74,6653.8,261.732,9271.68,0.003460232677516828
6,3026410.0,283.389,2353.3,6799.58,264.807,9419.08,0.003512914876432238
7,3026240.0,283.209,2351.85,6945.27,267.881,9566.4,0.00356888971277991
8,3026080.0,283.025,2350.4,7090.87,270.952,9713.62,0.0036215719116954315
9,3025910.0,282.837,2348.95,7236.37,274.022,9860.74,0.0036775467480431034
10,3025750.0,282.64799999999997,2347.49,7381.79,277.09,10007.8,0.0037302289469586247
11,3025590.0,282.457,2346.02,7527.12,280.155,10154.7,0.003782911145874035
12,3025420.0,282.265,2344.55,7672.36,283.219,10301.5,0.003838885982221707
13,3025260.0,282.072,2343.07,7817.5,286.281,10448.2,0.0038915681811372282
14,3025090.0,281.878,2341.59,7962.56,289.341,10594.9,0.0039475430174849
15,3024930.0,281.683,2340.09,8107.52,292.399,10741.4,0.0040002252164003105
16,3024770.0,281.487,2338.59,8252.39,295.45599999999996,10887.8,0.004052907415315832
17,3024600.0,281.29,2337.08,8397.16,298.51,11034.1,0.004108882251663504
18,3024440.0,281.093,2335.57,8541.85,301.562,11180.4,0.004161564450579025
19,3024280.0,280.894,2334.05,8686.43,304.612,11326.5,0.004214246649494435
20,3024110.0,280.695,2332.52,8830.93,307.66,11472.5,0.004270221485842107
21,3023950.0,280.496,2330.99,8975.33,310.707,11618.4,0.0043229036847576285
22,3023790.0,280.295,2329.44,9119.63,313.751,11764.2,0.00437558588367315
23,3023620.0,280.093,2327.9,9263.84,316.793,11909.9,0.004431560720020822
24,3023460.0,279.89099999999996,2326.34,9407.95,319.83299999999997,12055.5,0.004484242918936232
25,3023300.0,279.688,2324.78,9551.97,322.871,12201.0,0.004536925117851753
26,3023140.0,279.48400000000004,2323.21,9695.88,325.907,12346.4,0.004589607316767164
27,3022970.0,279.28,2321.63,9839.7,328.941,12491.7,0.004645582153114836
28,3022810.0,279.075,2320.05,9983.43,331.973,12636.8,0.004698264352030357
29,3022650.0,278.868,2318.46,10127.1,335.00300000000004,12781.9,0.004750946550945878
30,3022490.0,278.661,2316.87,10270.6,338.031,12926.9,0.004803628749861288
31,3022320.0,278.454,2315.26,10414.0,341.05699999999996,13071.7,0.00485960358620896
32,3022160.0,278.245,2313.65,10557.3,344.08099999999996,13216.4,0.004912285785124482
33,3022000.0,278.036,2312.04,10700.6,347.102,13361.1,0.004964967984039892
34,3021840.0,277.82599999999996,2310.42,10843.7,350.121,13505.6,0.005017650182955413
35,3021680.0,277.615,2308.79,10986.7,353.139,13650.0,0.0050703323818708235
36,3021520.0,277.404,2307.15,11129.6,356.154,13794.3,0.005123014580786345
37,3021360.0,277.192,2305.51,11272.5,359.167,13938.5,0.005175696779701866
38,3021200.0,276.97900000000004,2303.86,11415.2,362.17800000000005,14082.6,0.005228378978617276
39,3021030.0,276.765,2302.21,11557.8,365.18699999999995,14226.6,0.005284353814964948
40,3020870.0,276.551,2300.54,11700.3,368.19300000000004,14370.4,0.0053370360138804696
41,3020710.0,276.335,2298.88,11842.7,371.19699999999995,14514.2,0.00538971821279588
42,3020550.0,276.119,2297.2,11985.1,374.2,14657.8,0.005442400411711401
43,3020390.0,275.903,2295.52,12127.3,377.2,14801.3,0.005495082610626811
44,3020230.0,275.685,2293.83,12269.4,380.19699999999995,14944.8,0.005547764809542333
45,3020070.0,275.467,2292.14,12411.4,383.19300000000004,15088.1,0.005600447008457743
46,3019910.0,275.248,2290.44,12553.3,386.186,15231.2,0.005653129207373264
47,3019750.0,275.029,2288.73,12695.0,389.17699999999996,15374.3,0.0057058114062887855
48,3019590.0,274.808,2287.02,12836.7,392.166,15517.3,0.005758493605204196
49,3019430.0,274.587,2285.3,12978.3,395.153,15660.1,0.005811175804119717
50,3019270.0,274.365,2283.58,13119.8,398.13699999999994,15802.8,0.005863858003035127
51,3019110.0,274.143,2281.85,13261.1,401.12,15945.4,0.0059165402019506486
52,3018950.0,273.92,2280.11,13402.4,404.1,16087.9,0.005969222400866059
53,3018790.0,273.69599999999997,2278.36,13543.5,407.077,16230.3,0.00602190459978158
54,3018640.0,273.471,2276.61,13684.6,410.05300000000005,16372.6,0.00607129416126484
55,3018480.0,273.246,2274.86,13825.5,413.026,16514.7,0.00612397636018025
56,3018320.0,273.02,2273.1,13966.3,415.996,16656.8,0.006176658559095771
57,3018160.0,272.793,2271.33,14107.0,418.965,16798.7,0.0062293407580111815
58,3018000.0,272.565,2269.55,14247.6,421.931,16940.5,0.006282022956926703
59,3017840.0,272.337,2267.77,14388.1,424.895,17082.1,0.006334705155842224
60,3017680.0,272.10900000000004,2265.99,14528.5,427.856,17223.7,0.006387387354757634
61,3017530.0,271.879,2264.19,14668.8,430.815,17365.1,0.006436776916240894
62,3017370.0,271.649,2262.4,14808.9,433.772,17506.4,0.006489459115156415
63,3017210.0,271.418,2260.59,14949.0,436.727,17647.6,0.006542141314071825
64,3017050.0,271.186,2258.78,15088.9,439.67900000000003,17788.7,0.006594823512987347
65,3016900.0,270.954,2256.97,15228.7,442.62800000000004,17929.7,0.006644213074470606
66,3016740.0,270.721,2255.14,15368.5,445.57599999999996,18070.5,0.0066968952733860165
67,3016580.0,270.488,2253.31,15508.1,448.52099999999996,18211.2,0.006749577472301538
68,3016420.0,270.254,2251.48,15647.5,451.463,18351.8,0.006802259671216948
69,3016270.0,270.019,2249.64,15786.9,454.403,18492.3,0.006851649232700208
70,3016110.0,269.783,2247.8,15926.2,457.341,18632.6,0.006904331431615729
71,3015950.0,269.547,2245.94,16065.3,460.276,18772.9,0.006957013630531139
72,3015800.0,269.31,2244.09,16204.3,463.209,18913.0,0.007006403192014399
73,3015640.0,269.072,2242.22,16343.3,466.14,19052.9,0.00705908539092992
74,3015480.0,268.834,2240.36,16482.0,469.06800000000004,19192.8,0.00711176758984533
75,3015330.0,268.595,2238.48,16620.7,471.99300000000005,19332.5,0.00716115715132859
76,3015170.0,268.356,2236.6,16759.3,474.917,19472.1,0.007213839350244111
77,3015020.0,268.116,2234.72,16897.7,477.837,19611.6,0.007263228911727371
78,3014860.0,267.875,2232.83,17036.1,480.756,19751.0,0.007315911110642781
79,3014710.0,267.634,2230.93,17174.3,483.671,19890.2,0.0073653006721260406
80,3014550.0,267.392,2229.03,17312.4,486.585,20029.3,0.007417982871041562
81,3014390.0,267.149,2227.12,17450.4,489.495,20168.3,0.007470665069956972
82,3014240.0,266.906,2225.21,17588.2,492.404,20307.1,0.007520054631440232
83,3014080.0,266.66200000000003,2223.29,17726.0,495.309,20445.9,0.007572736830355753
84,3013930.0,266.41700000000003,2221.36,17863.6,498.213,20584.5,0.0076221263918390125
85,3013770.0,266.172,2219.43,18001.1,501.11300000000006,20722.9,0.007674808590754423
86,3013620.0,265.927,2217.5,18138.5,504.01199999999994,20861.3,0.007724198152237682
87,3013470.0,265.68,2215.56,18275.7,506.907,20999.5,0.007773587713720942
88,3013310.0,265.433,2213.61,18412.9,509.801,21137.6,0.007826269912636463
89,3013160.0,265.186,2211.66,18549.9,512.691,21275.6,0.007875659474119723
90,3013000.0,264.938,2209.7,18686.8,515.5790000000001,21413.4,0.007928341673035133
91,3012850.0,264.689,2207.74,18823.6,518.465,21551.1,0.007977731234518393
92,3012700.0,264.439,2205.77,18960.2,521.3480000000001,21688.7,0.008027120796001652
93,3012540.0,264.189,2203.8,19096.8,524.2280000000001,21826.1,0.008079802994917173
94,3012390.0,263.939,2201.82,19233.2,527.106,21963.4,0.008129192556400433
95,3012240.0,263.688,2199.84,19369.5,529.981,22100.6,0.008178582117883693
96,3012080.0,263.436,2197.85,19505.7,532.854,22237.7,0.008231264316799103
97,3011930.0,263.184,2195.86,19641.7,535.724,22374.6,0.008280653878282362
98,3011780.0,262.931,2193.86,19777.6,538.591,22511.4,0.008330043439765622
99,3011620.0,262.677,2191.86,19913.4,541.456,22648.0,0.008382725638681143
100,3011470.0,262.423,2189.85,20049.1,544.318,22784.5,0.008432115200164403
101,3011320.0,262.16900000000004,2187.83,20184.6,547.177,22920.9,0.008481504761647662
102,3011170.0,261.914,2185.82,20320.1,550.034,23057.2,0.008530894323130922
103,3011010.0,261.658,2183.79,20455.4,552.889,23193.3,0.008583576522046332
104,3010860.0,261.402,2181.76,20590.5,555.74,23329.3,0.008632966083529592
105,3010710.0,261.145,2179.73,20725.6,558.589,23465.2,0.008682355645012851
106,3010560.0,260.887,2177.69,20860.5,561.435,23600.9,0.008731745206496111
107,3010410.0,260.629,2175.65,20995.3,564.279,23736.5,0.00878113476797937
108,3010260.0,260.371,2173.6,21130.0,567.12,23872.0,0.00883052432946263
