,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1244040.0,2643.14,2381.67,5340.23,127.209,7851.23,0.01360452522125788
1,1243600.0,2627.73,2367.97,5560.34,131.638,8062.05,0.013953399862670302
2,1243170.0,2612.28,2354.34,5779.18,136.041,8271.65,0.014294345534959563
3,1242730.0,2596.8,2340.75,5996.76,140.41899999999998,8480.01,0.014643220176371985
4,1242300.0,2581.29,2327.21,6213.08,144.77200000000002,8687.12,0.014984165848661357
5,1241870.0,2565.77,2313.71,6428.14,149.099,8893.0,0.01532511152095073
6,1241450.0,2550.24,2300.23,6641.96,153.401,9097.63,0.01565812822411705
7,1241020.0,2534.71,2286.79,6854.53,157.678,9301.02,0.015999073896406424
8,1240600.0,2519.18,2273.38,7065.85,161.93,9503.17,0.016332090599572746
9,1240180.0,2503.65,2259.99,7275.94,166.157,9704.08,0.01666510730273918
10,1239770.0,2488.14,2246.62,7484.78,170.359,9903.75,0.01699019503678245
11,1239360.0,2472.65,2233.27,7692.38,174.537,10102.2,0.017315282770825835
12,1238950.0,2457.17,2219.95,7898.75,178.68900000000002,10299.4,0.01764037050486922
13,1238540.0,2441.71,2206.65,8103.89,182.81599999999997,10495.3,0.01796545823891249
14,1238130.0,2426.27,2193.37,8307.79,186.919,10690.0,0.018290545972955874
15,1237730.0,2410.86,2180.11,8510.46,190.997,10883.5,0.018607704737876207
16,1237330.0,2395.48,2166.87,8711.91,195.05,11075.7,0.01892486350279654
17,1236930.0,2380.12,2153.65,8912.13,199.079,11266.8,0.019242022267716874
18,1236540.0,2364.8,2140.45,9111.12,203.083,11456.6,0.01955125206351427
19,1236150.0,2349.51,2127.28,9308.9,207.062,11645.1,0.019860481859311552
20,1235760.0,2334.25,2114.13,9505.45,211.017,11832.5,0.020169711655108835
21,1235370.0,2319.03,2101.0,9700.79,214.94799999999998,12018.6,0.02047894145090623
22,1234990.0,2303.85,2087.9,9894.91,218.85299999999998,12203.5,0.020780242277580574
23,1234610.0,2288.7,2074.82,10087.8,222.735,12387.2,0.021081543104254807
24,1234230.0,2273.6,2061.76,10279.5,226.592,12569.7,0.021382843930929152
25,1233850.0,2258.53,2048.73,10470.0,230.425,12751.0,0.021684144757603496
26,1233480.0,2243.5,2035.73,10659.3,234.233,12931.0,0.02197751661515479
27,1233110.0,2228.52,2022.76,10847.4,238.018,13109.9,0.022270888472706085
28,1232740.0,2213.58,2009.81,11034.2,241.778,13287.6,0.02256426033025738
29,1232370.0,2198.69,1996.89,11219.9,245.514,13464.1,0.022857632187808785
30,1232010.0,2183.84,1984.01,11404.4,249.226,13639.4,0.02314307507623703
31,1231650.0,2169.03,1971.15,11587.7,252.91299999999998,13813.5,0.023428517964665385
32,1231290.0,2154.28,1958.33,11769.8,256.577,13986.4,0.02371396085309363
33,1230930.0,2139.57,1945.53,11950.7,260.218,14158.1,0.023999403741521985
34,1230580.0,2124.91,1932.78,12130.4,263.834,14328.7,0.02427691766082729
35,1230230.0,2110.3,1920.05,12309.0,267.426,14498.1,0.024554431580132485
36,1229880.0,2095.73,1907.36,12486.3,270.995,14666.4,0.02483194549943779
37,1229530.0,2081.23,1894.71,12662.5,274.54,14833.4,0.025109459418743096
38,1229190.0,2066.77,1882.09,12837.5,278.062,14999.3,0.025379044368925463
39,1228850.0,2052.36,1869.5,13011.4,281.56,15164.1,0.02564862931910772
40,1228510.0,2038.01,1856.96,13184.1,285.035,15327.7,0.025918214269289974
41,1228170.0,2023.71,1844.45,13355.6,288.486,15490.2,0.02618779921947223
42,1227840.0,2009.47,1831.98,13526.0,291.914,15651.5,0.026449455200531546
43,1227510.0,1995.28,1819.56,13695.2,295.319,15811.7,0.026711111181590863
44,1227180.0,1981.14,1807.17,13863.3,298.70099999999996,15970.7,0.02697276716265007
45,1226850.0,1967.06,1794.82,14030.2,302.059,16128.7,0.027234423143709385
46,1226530.0,1953.04,1782.52,14196.0,305.395,16285.4,0.027488150155645652
47,1226210.0,1939.08,1770.25,14360.6,308.70799999999997,16441.1,0.02774187716758192
48,1225890.0,1925.17,1758.03,14524.1,311.998,16595.7,0.027995604179518185
49,1225570.0,1911.32,1745.85,14686.5,315.265,16749.1,0.028249331191454452
50,1225250.0,1897.53,1733.72,14847.7,318.509,16901.5,0.02850305820339072
51,1224940.0,1883.8,1721.63,15007.9,321.731,17052.7,0.028748856246204046
52,1224630.0,1870.13,1709.58,15166.9,324.93,17202.9,0.028994654289017263
53,1224320.0,1856.52,1697.58,15324.8,328.10699999999997,17352.0,0.02924045233183048
54,1224020.0,1842.97,1685.63,15481.6,331.26199999999994,17499.9,0.029478321405520758
55,1223710.0,1829.48,1673.72,15637.2,334.394,17646.8,0.029724119448334085
56,1223410.0,1816.05,1661.86,15791.8,337.505,17792.6,0.029961988522024252
57,1223110.0,1802.68,1650.05,15945.3,340.593,17937.4,0.03019985759571453
58,1222820.0,1789.38,1638.28,16097.7,343.659,18081.1,0.030429797700281758
59,1222520.0,1776.13,1626.56,16249.0,346.70300000000003,18223.7,0.030667666773972035
60,1222230.0,1762.95,1614.9,16399.2,349.726,18365.2,0.030897606878539263
61,1221940.0,1749.84,1603.28,16548.3,352.726,18505.7,0.03112754698310649
62,1221650.0,1736.78,1591.71,16696.4,355.70599999999996,18645.2,0.03135748708767383
63,1221360.0,1723.8,1580.19,16843.4,358.663,18783.6,0.03158742719224106
64,1221080.0,1710.87,1568.71,16989.3,361.599,18921.0,0.031809438327685235
65,1220800.0,1698.01,1557.3,17134.2,364.514,19057.3,0.032031449463129524
66,1220520.0,1685.21,1545.93,17278.0,367.408,19192.7,0.0322534605985737
67,1220240.0,1672.48,1534.61,17420.7,370.28,19327.0,0.03247547173401799
68,1219970.0,1659.81,1523.34,17562.4,373.131,19460.2,0.03268955390033923
69,1219690.0,1647.21,1512.13,17703.1,375.962,19592.5,0.03291156503578341
70,1219420.0,1634.68,1500.97,17842.7,378.77099999999996,19723.8,0.03312564720210465
71,1219150.0,1622.21,1489.86,17981.3,381.56,19854.1,0.033339729368425886
72,1218890.0,1609.8,1478.8,18118.9,384.32800000000003,19983.3,0.033545882565624074
73,1218620.0,1597.46,1467.8,18255.5,387.07599999999996,20111.6,0.03375996473194531
74,1218360.0,1585.19,1456.85,18391.0,389.80300000000005,20238.9,0.03396611792914361
75,1218100.0,1572.98,1445.95,18525.5,392.509,20365.2,0.0341722711263418
76,1217840.0,1560.84,1435.11,18659.0,395.19599999999997,20490.6,0.03437842432353999
77,1217590.0,1548.77,1424.32,18791.6,397.86199999999997,20615.0,0.03457664855161524
78,1217330.0,1536.77,1413.59,18923.1,400.50800000000004,20738.4,0.03478280174881343
79,1217080.0,1524.83,1402.91,19053.6,403.134,20860.8,0.03498102597688868
80,1216830.0,1512.95,1392.28,19183.1,405.741,20982.4,0.03517925020496382
81,1216580.0,1501.15,1381.71,19311.7,408.327,21102.9,0.03537747443303907
82,1216330.0,1489.41,1371.2,19439.2,410.894,21222.5,0.03557569866111432
83,1216090.0,1477.74,1360.74,19565.8,413.44199999999995,21341.2,0.03576599392006652
84,1215850.0,1466.13,1350.33,19691.5,415.97,21459.0,0.03595628917901872
85,1215610.0,1454.6,1339.98,19816.2,418.478,21575.8,0.03614658443797092
86,1215370.0,1443.13,1329.69,19939.9,420.967,21691.7,0.03633687969692312
87,1215130.0,1431.73,1319.45,20062.6,423.43800000000005,21806.7,0.03652717495587532
88,1214900.0,1420.39,1309.27,20184.5,425.889,21920.8,0.03670954124570447
89,1214660.0,1409.12,1299.14,20305.3,428.32099999999997,22033.9,0.03689983650465667
90,1214430.0,1397.92,1289.07,20425.3,430.73400000000004,22146.2,0.03708220279448593
91,1214200.0,1386.79,1279.06,20544.3,433.129,22257.6,0.03726456908431508
92,1213970.0,1375.73,1269.1,20662.4,435.505,22368.1,0.03744693537414423
93,1213750.0,1364.73,1259.2,20779.5,437.86199999999997,22477.7,0.03762137269485044
94,1213520.0,1353.8,1249.36,20895.8,440.202,22586.4,0.03780373898467959
95,1213300.0,1342.93,1239.57,21011.1,442.522,22694.3,0.0379781763053858
96,1213080.0,1332.14,1229.84,21125.6,444.825,22801.3,0.03815261362609201
97,1212860.0,1321.41,1220.16,21239.1,447.10900000000004,22907.4,0.038327050946798225
98,1212650.0,1310.75,1210.54,21351.8,449.376,23012.7,0.038493559298381386
99,1212430.0,1300.15,1200.98,21463.5,451.624,23117.2,0.0386679966190876
100,1212220.0,1289.62,1191.47,21574.4,453.855,23220.7,0.03883450497067076
