,Recovered,Deceased,Infected,I_c
0,0,0,3.4285714285714284,5
1,0,0,4.0,5
2,0,0,4.571428571428571,5
3,0,0,5.142857142857143,7
4,0,0,5.7142857142857135,8
5,0,0,6.571428571428571,11
6,0,0,7.7142857142857135,13
7,0,0,8.857142857142858,13
8,0,0,10.0,13
9,0,0,11.714285714285715,17
10,0,0,13.142857142857142,17
11,0,0,15.0,21
12,0,0,16.428571428571427,21
13,1,0,17.428571428571427,21
14,2,0,18.285714285714285,21
15,4,0,18.857142857142858,21
16,5,0,18.714285714285715,21
17,7,0,18.285714285714285,21
18,8,0,17.571428571428573,24
19,9,0,16.714285714285715,24
20,11,0,15.285714285714285,21
21,12,0,13.857142857142858,21
22,14,1,12.285714285714285,21
23,15,1,10.714285714285714,21
24,17,1,9.142857142857142,21
25,17,1,7.2857142857142865,21
26,17,1,5.571428571428571,21
27,19,1,4.285714285714286,21
28,19,1,3.1428571428571432,21
29,19,1,2.4285714285714284,21
30,20,1,2.142857142857143,24
31,20,1,2.142857142857143,24
32,24,1,1.5714285714285714,24
33,24,1,1.0,24
34,21,1,1.1428571428571428,24
35,21,1,1.2857142857142858,24
36,26,1,0.7142857142857143,24
37,23,1,0.42857142857142855,25
38,23,1,0.14285714285714285,25
39,23,1,0.42857142857142855,25
40,23,1,0.8571428571428571,26
41,27,1,0.2857142857142857,26
42,24,1,0.14285714285714285,26
43,24,1,1.2857142857142858,30
44,24,1,1.8571428571428568,30
45,24,3,2.5714285714285716,33
46,24,3,3.4285714285714284,34
47,24,3,4.714285714285714,38
48,24,3,6.7142857142857135,39
49,25,3,8.142857142857142,39
50,26,3,9.0,40
51,26,3,10.0,41
52,27,3,11.857142857142858,49
53,28,3,14.0,53
54,28,3,15.857142857142858,55
55,29,3,17.571428571428573,56
56,29,3,19.714285714285715,58
57,33,3,21.857142857142854,62
58,33,3,24.0,63
59,42,3,25.285714285714285,73
60,45,3,25.857142857142854,74
61,46,3,26.857142857142854,80
62,48,3,27.857142857142854,82
63,48,3,29.142857142857146,86
64,48,3,30.57142857142857,87
65,54,3,32.142857142857146,95
66,54,3,33.857142857142854,97
67,56,3,35.714285714285715,98
68,69,3,35.714285714285715,103
69,73,3,37.142857142857146,117
70,73,3,38.0,117
71,73,3,39.857142857142854,125
72,77,3,40.857142857142854,125
73,77,5,43.14285714285715,138
74,83,5,45.0,140
75,91,5,48.14285714285714,149
76,92,5,50.42857142857143,154
77,104,5,51.28571428571429,156
78,104,6,51.42857142857143,160
79,116,6,51.85714285714285,170
80,117,9,51.0,176
81,120,11,50.42857142857143,179
82,131,12,48.28571428571429,181
83,134,12,45.85714285714285,186
84,136,12,47.14285714285714,204
85,140,12,48.714285714285715,213
86,145,12,52.0,228
87,145,12,57.42857142857143,245
88,152,12,63.0,251
89,152,13,71.57142857142857,263
90,160,13,80.71428571428571,277
91,167,13,89.57142857142857,298
92,169,13,100.28571428571428,318
93,182,13,107.71428571428572,318
94,186,13,115.71428571428572,343
95,190,13,126.71428571428572,367
96,190,13,136.28571428571428,368
97,197,16,145.14285714285714,379
98,206,16,151.57142857142858,385
99,206,16,157.42857142857142,399
100,216,16,165.42857142857142,411
101,216,17,171.57142857142858,420
102,216,17,176.85714285714286,434
103,216,20,182.7142857142857,442
104,216,20,192.85714285714286,473
105,225,22,203.14285714285717,482
106,225,22,213.0,493
107,227,24,226.57142857142856,525
108,227,24,244.14285714285717,561
109,227,25,275.0,669
110,234,25,322.14285714285717,795
111,247,25,378.71428571428567,905
112,307,26,433.8571428571428,954
113,531,29,458.57142857142856,979
114,541,29,486.71428571428567,1041
115,601,30,511.71428571428567,1116
116,640,32,521.2857142857143,1156
117,665,33,513.7142857142857,1181
118,685,39,503.1428571428572,1283
119,695,41,504.0,1363
120,773,42,528.2857142857143,1404
121,782,42,551.1428571428571,1455
122,840,43,576.0,1542
123,870,43,602.2857142857142,1581
124,924,46,632.2857142857142,1663
125,962,49,651.8571428571429,1707
126,1020,49,668.7142857142858,1814
127,1090,52,692.8571428571429,1900
128,1115,53,718.1428571428571,1976
129,1176,54,735.5714285714287,2011
130,1228,55,751.8571428571429,2065
131,1281,57,763.1428571428571,2110
132,1315,59,783.4285714285713,2212
133,1349,61,804.4285714285713,2302
134,1396,64,824.8571428571429,2361
135,1494,66,830.2857142857142,2406
136,1591,67,840.0,2507
137,1629,67,854.4285714285713,2579
138,1660,67,872.7142857142858,2627
139,1678,67,883.1428571428571,2656
140,1705,68,889.1428571428571,2707
141,1721,68,900.2857142857142,2768
142,1789,68,918.4285714285713,2830
143,1952,69,916.5714285714287,2857
144,1980,69,921.2857142857144,2965
145,2048,71,924.7142857142856,3043
146,2081,72,935.5714285714287,3140
147,2106,73,957.7142857142856,3268
148,2133,73,975.8571428571428,3312
149,2175,74,998.1428571428572,3378
