,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2948870.0,147.912,1097.45,1786.05,79.3209,2965.04,0.001178045406571293
1,2948790.0,150.999,1119.23,1829.32,80.0273,3030.81,0.0012051424832032476
2,2948710.0,154.094,1141.49,1873.45,80.7478,3097.93,0.001232239559835091
3,2948640.0,157.219,1164.23,1918.46,81.4826,3166.43,0.0012559495018880096
4,2948560.0,160.386,1187.44,1964.37,82.23200000000001,3236.31,0.001283046578519853
5,2948480.0,163.60299999999998,1211.12,2011.19,82.9964,3307.59,0.0013101436551518075
6,2948390.0,166.87599999999998,1235.28,2058.94,83.77600000000001,3380.3,0.001340627866362687
7,2948310.0,170.21,1259.93,2107.65,84.5712,3454.46,0.0013677249429945304
8,2948220.0,173.606,1285.07,2157.33,85.3822,3530.11,0.0013982091542054098
9,2948140.0,177.06900000000002,1310.71,2208.0,86.2095,3607.26,0.0014253062308372533
10,2948050.0,180.59799999999998,1336.86,2259.68,87.0532,3685.95,0.0014557904420481327
11,2947960.0,184.197,1363.53,2312.4,87.9138,3766.21,0.001486274653259012
12,2947860.0,187.86700000000002,1390.73,2366.16,88.7915,3848.07,0.0015201459990489274
13,2947770.0,191.609,1418.47,2421.0,89.6868,3931.56,0.0015506302102598069
14,2947670.0,195.425,1446.76,2476.93,90.5999,4016.72,0.0015845015560496112
15,2947570.0,199.31599999999997,1475.62,2533.97,91.5312,4103.57,0.0016183729018395265
16,2947470.0,203.28400000000002,1505.04,2592.16,92.4811,4192.14,0.0016522442476293309
17,2947370.0,207.331,1535.05,2651.5,93.4499,4282.48,0.0016861155934192462
18,2947270.0,211.457,1565.66,2712.03,94.4381,4374.62,0.0017199869392090505
19,2947160.0,215.665,1596.87,2773.76,95.4459,4468.6,0.0017572454195778908
20,2947050.0,219.956,1628.7,2836.73,96.4738,4564.44,0.001794503899946731
21,2946940.0,224.332,1661.17,2900.95,97.5223,4662.19,0.0018317623803155714
22,2946830.0,228.795,1694.27,2966.45,98.5916,4761.89,0.0018690208606844116
23,2946710.0,233.345,1728.03,3033.25,99.6822,4863.56,0.0019096664756322879
24,2946600.0,237.985,1762.46,3101.39,100.795,4967.26,0.0019469249560011281
25,2946480.0,242.717,1797.58,3170.88,101.929,5073.02,0.0019875705709490044
26,2946350.0,247.542,1833.38,3241.76,103.086,5180.89,0.0020316033204758055
27,2946230.0,252.46200000000002,1869.9,3314.05,104.266,5290.9,0.0020722489354235707
28,2946100.0,257.47900000000004,1907.14,3387.78,105.47,5403.09,0.002116281684950372
29,2945970.0,262.595,1945.12,3462.98,106.698,5517.52,0.002160314434477284
30,2945840.0,267.812,1983.84,3539.68,107.95,5634.21,0.002204347184004085
31,2945710.0,273.131,2023.34,3617.9,109.227,5753.23,0.0022483799335308863
32,2945570.0,278.555,2063.61,3697.68,110.529,5874.61,0.0022957998176367234
33,2945430.0,284.086,2104.68,3779.04,111.85799999999999,5998.4,0.0023432197017424494
34,2945280.0,289.726,2146.56,3862.03,113.212,6124.64,0.0023940267204272114
35,2945140.0,295.476,2189.27,3946.67,114.594,6253.4,0.0024414466045330485
36,2944990.0,301.339,2232.82,4032.99,116.00399999999999,6384.7,0.0024922536232178105
37,2944840.0,307.318,2277.23,4121.03,117.441,6518.62,0.0025430606419026835
38,2944680.0,313.414,2322.52,4210.82,118.90700000000001,6655.19,0.0025972547951663705
39,2944530.0,319.629,2368.7,4302.39,120.402,6794.47,0.0026480618138512435
40,2944360.0,325.967,2415.79,4395.79,121.926,6936.51,0.0027056431016939664
41,2944200.0,332.42800000000005,2463.81,4491.04,123.48100000000001,7081.36,0.0027598372549577643
42,2944030.0,339.017,2512.78,4588.19,125.06700000000001,7229.09,0.002817418542800487
43,2943860.0,345.73400000000004,2562.71,4687.26,126.685,7379.75,0.002874999830643321
44,2943690.0,352.583,2613.63,4788.31,128.335,7533.39,0.002932581118486044
45,2943510.0,359.566,2665.54,4891.36,130.017,7690.07,0.002993549540907803
46,2943330.0,366.685,2718.48,4996.46,131.733,7849.86,0.0030545179633295616
47,2943140.0,373.944,2772.47,5103.65,133.483,8012.8,0.0031188735203302453
48,2942960.0,381.345,2827.51,5212.96,135.267,8178.98,0.003179841942752004
49,2942760.0,388.89,2883.63,5324.44,137.08700000000002,8348.44,0.003247584634331724
50,2942570.0,396.582,2940.86,5438.14,138.94299999999998,8521.26,0.0033119401913324076
51,2942370.0,404.425,2999.21,5554.1,140.836,8697.49,0.0033796828829121273
52,2942170.0,412.42,3058.71,5672.35,142.767,8877.21,0.003447425574491847
53,2941960.0,420.57199999999995,3119.38,5792.95,144.736,9060.48,0.0035185554006506026
54,2941750.0,428.88199999999995,3181.23,5915.94,146.744,9247.37,0.003589685226809358
55,2941530.0,437.35400000000004,3244.3,6041.37,148.791,9437.95,0.0036642021875470387
56,2941310.0,445.99,3308.61,6169.29,150.88,9632.3,0.0037387191482847193
57,2941090.0,454.795,3374.18,6299.74,153.01,9830.49,0.0038132361090224
58,2940860.0,463.77099999999996,3441.03,6432.77,155.181,10032.6,0.0038911402043390053
59,2940620.0,472.921,3509.18,6568.45,157.39600000000002,10238.7,0.003972431434234758
60,2940380.0,482.249,3578.68,6706.8,159.655,10448.8,0.004053722664130399
61,2940140.0,491.75699999999995,3649.53,6847.9,161.959,10663.1,0.004135013894026041
62,2939890.0,501.45,3721.77,6991.8,164.308,10881.6,0.004219692258500718
63,2939640.0,511.33099999999996,3795.41,7138.53,166.703,11104.5,0.004304370622975395
64,2939380.0,521.403,3870.5,7288.18,169.146,11331.7,0.004392436122028998
65,2939120.0,531.67,3947.05,7440.78,171.638,11563.4,0.0044805016210826
66,2938850.0,542.135,4025.1,7596.4,174.178,11799.6,0.004571954254715238
67,2938580.0,552.802,4104.66,7755.1,176.769,12040.5,0.004663406888347876
68,2938300.0,563.6759999999999,4185.78,7916.93,179.41099999999997,12286.2,0.0047582466565594395
69,2938020.0,574.759,4268.48,8081.96,182.105,12536.6,0.004853086424771114
70,2937730.0,586.055,4352.79,8250.26,184.85299999999998,12792.0,0.004951313327561602
71,2937440.0,597.569,4438.73,8421.87,187.655,13052.5,0.005049540230352201
72,2937130.0,609.305,4526.35,8596.87,190.512,13318.0,0.005154541402300761
73,2936830.0,621.266,4615.67,8775.33,193.425,13588.7,0.005256155439670396
74,2936520.0,633.457,4706.73,8957.31,196.396,13864.8,0.005361156611618956
75,2936200.0,645.882,4799.55,9142.88,199.425,14146.3,0.005469544918146552
76,2935870.0,658.545,4894.17,9332.1,202.515,14433.3,0.0055813203592530725
77,2935540.0,671.451,4990.62,9525.06,205.665,14725.9,0.005693095800359593
78,2935200.0,684.6039999999999,5088.95,9721.82,208.877,15024.2,0.00580825837604515
79,2934860.0,698.008,5189.17,9922.45,212.153,15328.4,0.005923420951730596
80,2934510.0,711.668,5291.34,10127.0,215.49200000000002,15638.6,0.0060419706619950775
81,2934150.0,725.59,5395.47,10335.7,218.898,15954.8,0.006163907506838595
82,2933780.0,739.7760000000001,5501.62,10548.4,222.37099999999998,16277.2,0.006289231486261149
83,2933410.0,754.2330000000001,5609.82,10765.3,225.912,16605.9,0.006414555465683591
84,2933030.0,768.9639999999999,5720.1,10986.4,229.523,16941.0,0.00654326657968507
85,2932640.0,783.9760000000001,5832.51,11212.0,233.204,17282.7,0.006675364828265473
86,2932250.0,799.273,5947.09,11441.9,236.958,17631.0,0.006807463076845988
87,2931850.0,814.86,6063.86,11676.4,240.78599999999997,17986.2,0.006942948460005427
88,2931440.0,830.742,6182.88,11915.4,244.68900000000002,18348.2,0.007081820977743791
89,2931020.0,846.924,6304.19,12159.2,248.668,18717.3,0.0072240806300611915
90,2930590.0,863.413,6427.82,12407.7,252.726,19093.6,0.007369727416957628
91,2930160.0,880.212,6553.82,12661.1,256.863,19477.2,0.007515374203854064
92,2929720.0,897.329,6682.24,12919.5,261.08099999999996,19868.3,0.007664408125329425
93,2929270.0,914.768,6813.11,13182.9,265.382,20267.0,0.007816829181383711
94,2928800.0,932.534,6946.49,13451.5,269.767,20673.5,0.007976024506596069
95,2928340.0,950.635,7082.41,13725.4,274.238,21087.8,0.008131832697229502
96,2927860.0,969.074,7220.92,14004.6,278.796,21510.1,0.008294415157020785
97,2927370.0,987.86,7362.08,14289.3,283.443,21940.7,0.008460384751391103
98,2926870.0,1007.0,7505.92,14579.5,288.181,22379.6,0.008629741480340347
99,2926370.0,1026.49,7652.5,14875.4,293.012,22827.0,0.008799098209289702
100,2925850.0,1046.35,7801.86,15177.1,297.937,23283.0,0.008975229207396906
101,2925320.0,1066.58,7954.06,15484.6,302.95799999999997,23747.9,0.009154747340083258
102,2924790.0,1087.18,8109.15,15798.2,308.078,24221.8,0.009334265472769498
103,2924240.0,1108.17,8267.17,16117.9,313.296,24704.8,0.0095205578746137
104,2923680.0,1129.54,8428.18,16443.8,318.617,25197.1,0.009710237411036937
105,2923120.0,1151.31,8592.23,16776.0,324.041,25698.9,0.009899916947460174
106,2922540.0,1173.48,8759.38,17114.7,329.57099999999997,26210.4,0.010096370753041262
107,2921950.0,1196.07,8929.68,17460.0,335.208,26731.8,0.010296211693201496
108,2921350.0,1219.06,9103.18,17812.1,340.955,27263.1,0.010499439767940655
109,2920730.0,1242.49,9279.95,18170.9,346.81300000000005,27804.7,0.010709442111837775
110,2920110.0,1266.34,9460.03,18536.7,352.785,28356.7,0.010919444455734895
111,2919470.0,1290.62,9643.49,18909.6,358.874,28919.2,0.011136221068789975
112,2918820.0,1315.35,9830.39,19289.8,365.08,29492.6,0.011356384816424092
113,2918160.0,1340.54,10020.8,19677.3,371.406,30076.9,0.011579935698637134
114,2917490.0,1366.18,10214.7,20072.3,377.855,30672.4,0.011806873715429211
115,2916800.0,1392.29,10412.3,20474.9,384.42800000000005,31279.3,0.01204058600137925
116,2916100.0,1418.87,10613.5,20885.4,391.129,31897.8,0.012277685421908213
117,2915390.0,1445.93,10818.5,21303.7,397.959,32528.1,0.012518171977016213
118,2914660.0,1473.48,11027.3,21730.2,404.921,33170.5,0.012765432801282284
119,2913920.0,1501.53,11239.9,22164.9,412.017,33825.0,0.013016080760127169
120,2913170.0,1530.08,11456.5,22607.9,419.25,34492.0,0.01327011585355109
121,2912400.0,1559.15,11677.1,23059.5,426.62199999999996,35171.7,0.013530925216133083
122,2911610.0,1588.73,11901.8,23519.8,434.13699999999994,35864.3,0.013798508847872926
123,2910810.0,1618.85,12130.6,23988.9,441.796,36570.0,0.014069479614191804
124,2910000.0,1649.5,12363.6,24467.0,449.602,37289.0,0.014343837515089719
125,2909170.0,1680.69,12600.9,24954.4,457.55699999999996,38021.7,0.014624969685145484
126,2908330.0,1712.44,12842.5,25451.0,465.666,38768.3,0.014909488989780284
127,2907470.0,1744.75,13088.5,25957.2,473.93,39528.9,0.015200782563573156
128,2906590.0,1777.63,13339.0,26473.1,482.352,40303.9,0.015498850406523879
129,2905700.0,1811.09,13594.1,26998.9,490.935,41093.4,0.015800305384053637
130,2904790.0,1845.13,13853.8,27534.7,499.68199999999996,41897.9,0.016108534630741356
131,2903860.0,1879.77,14118.3,28080.7,508.597,42717.4,0.016423538146587036
132,2902920.0,1915.02,14387.5,28637.1,517.681,43552.3,0.01674192879701175
133,2901960.0,1950.87,14661.6,29204.2,526.939,44402.9,0.017067093716594428
134,2900980.0,1987.35,14940.6,29782.1,536.372,45269.3,0.017399032905334955
135,2899980.0,2024.46,15224.6,30370.9,545.986,46152.0,0.017737746363233553
136,2898960.0,2062.21,15513.8,30970.9,555.7819999999999,47051.1,0.018083234090290223
