,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2331470.0,18.5653,13.5736,0.549582,0.00137951,14.0703,1.3725057924074413e-05
1,2331460.0,12.8622,20.4559,1.7005299999999999,0.00426852,22.0768,1.8014138525312973e-05
2,2331460.0,9.78936,24.7503,3.21636,0.0080734,27.8749,1.8014138525312973e-05
3,2331460.0,8.18034,27.6253,4.966880000000001,0.0124674,32.4964,1.8014138525312973e-05
4,2331450.0,7.387589999999999,29.7302,6.8810199999999995,0.0172721,36.5161,2.2303219126551532e-05
5,2331450.0,7.0517,31.4261,8.92051,0.022391400000000002,40.2549,2.2303219126551532e-05
6,2331450.0,6.9732899999999995,32.9143,11.0654,0.0277753,43.8929,2.2303219126551532e-05
7,2331440.0,7.04179,34.3072,13.3059,0.0333992,47.5322,2.6592299727790092e-05
8,2331440.0,7.19596,35.6679,15.6379,0.039252800000000004,51.2316,2.6592299727790092e-05
9,2331430.0,7.40195,37.0323,18.0606,0.045334,55.0259,3.088138032902865e-05
10,2331430.0,6.36108,38.0742,20.5671,0.051625599999999994,58.5752,3.088138032902865e-05
11,2331430.0,5.7832099999999995,38.653,23.1262,0.058049300000000005,61.7165,3.088138032902865e-05
12,2331420.0,5.46241,38.9746,25.7147,0.0645465,64.6314,3.5170460930378233e-05
13,2331420.0,5.284330000000001,39.1535,28.3193,0.0710846,67.4206,3.5170460930378233e-05
14,2331420.0,5.1855,39.2531,30.9331,0.07764539999999999,70.14,3.5170460930378233e-05
15,2331410.0,6.41081,39.6555,33.5598,0.08423860000000001,73.1821,3.945954153161679e-05
16,2331410.0,7.22049,40.5333,36.2303,0.090942,76.7413,3.945954153161679e-05
17,2331400.0,7.80415,41.699,38.9696,0.09781799999999999,80.6563,4.374862213285535e-05
18,2331400.0,8.26722,43.0494,41.7932,0.104905,84.8397,4.374862213285535e-05
19,2331390.0,8.66845,44.5281,44.7112,0.11223,89.2459,4.803770273409391e-05
20,2331390.0,9.040610000000001,46.1047,47.7312,0.11980999999999999,93.852,4.803770273409391e-05
21,2331380.0,9.40211,47.7634,50.858999999999995,0.127662,98.6482,5.232678333533247e-05
22,2331380.0,9.76336,49.4963,54.0999,0.135797,103.632,5.232678333533247e-05
23,2331370.0,10.1303,51.3002,57.4587,0.144227,108.805,5.6615863936682054e-05
24,2331360.0,10.5066,53.1743,60.94,0.15296600000000002,114.171,6.090494453792061e-05
25,2331360.0,10.8944,55.1194,64.5486,0.162024,119.736,6.090494453792061e-05
26,2331350.0,11.295,57.1369,68.2893,0.171413,125.506,6.519402513915917e-05
27,2331340.0,11.7096,59.2291,72.1669,0.181147,131.487,6.948310574039773e-05
28,2331330.0,12.139000000000001,61.3983,76.1865,0.191236,137.688,7.377218634163629e-05
29,2331330.0,12.5839,63.6472,80.3533,0.201695,144.11700000000002,7.377218634163629e-05
30,2331320.0,13.045,65.9785,84.6727,0.212538,150.781,7.806126694298587e-05
31,2331310.0,13.5229,68.3953,89.1504,0.223777,157.689,8.235034754422443e-05
32,2331300.0,14.0183,70.9006,93.7921,0.23542800000000003,164.85,8.6639428145463e-05
33,2331290.0,14.5317,73.4977,98.6038,0.247506,172.274,9.092850874670155e-05
34,2331280.0,15.064,76.1899,103.59200000000001,0.26002600000000003,179.96900000000002,9.521758934794011e-05
35,2331270.0,15.6157,78.9807,108.762,0.273005,187.946,9.95066699492897e-05
36,2331260.0,16.1877,81.8737,114.12200000000001,0.28646,196.21599999999998,0.00010379575055052825
37,2331250.0,16.7805,84.8726,119.679,0.30040700000000004,204.78799999999998,0.00010808483115176681
38,2331240.0,17.3951,87.9813,125.439,0.314865,213.675,0.00011237391175300537
39,2331230.0,18.0322,91.2039,131.41,0.329852,222.886,0.00011666299235424393
40,2331260.0,-6.83943,87.21700000000001,137.428,0.344959,224.804,0.00010379575055052825
41,2331270.0,-16.1966,75.3374,142.873,0.358626,218.334,9.95066699492897e-05
42,2331280.0,-18.1158,61.6296,147.44299999999998,0.37009699999999995,209.19799999999998,9.521758934794011e-05
43,2331290.0,-16.7707,48.7859,151.119,0.379324,200.046,9.092850874670155e-05
44,2331300.0,-14.25,37.8049,153.997,0.38655,191.96400000000003,8.6639428145463e-05
