,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2417970.0,4.818569999999999,1.2256,0.0909653,0.013168299999999999,1.33079,2.8949820448653796e-06
1,2417970.0,6.57223,1.54749,0.204257,0.0295685,1.78377,2.8949820448653796e-06
2,2417960.0,8.91346,1.9957900000000002,0.348967,0.0505171,2.39961,7.030670680530093e-06
3,2417960.0,12.0467,2.6114900000000003,0.537091,0.07775019999999999,3.23317,7.030670680530093e-06
4,2417950.0,16.2463,3.45004,0.784559,0.113574,4.35837,1.1166359316083785e-05
5,2417940.0,21.8806,4.58628,1.1126200000000002,0.161065,5.8746599999999995,1.5302047951637476e-05
6,2417930.0,29.4442,6.12106,1.54969,0.224336,7.915839999999999,1.9437736587191168e-05
7,2417920.0,39.6017,8.19017,2.13385,0.3089,10.6618,2.357342522285588e-05
8,2417900.0,53.2458,10.9762,2.91617,0.42215,14.3544,3.1844802493963265e-05
9,2417870.0,71.5758,14.7249,3.9652,0.574009,19.3185,4.425186840073536e-05
10,2417830.0,96.2031,19.7662,5.37299,0.777804,25.9911,6.079462294306115e-05
11,2417780.0,129.293,26.5439,7.26318,1.0514299999999999,34.9591,8.147306612094063e-05
12,2417770.0,119.713,33.6535,9.748610000000001,1.41123,44.9063,8.560875475660534e-05
13,2417760.0,111.411,39.4419,12.7641,1.84775,54.14,8.974444339215903e-05
14,2417750.0,104.193,44.118,16.2096,2.34652,62.7547,9.388013202771273e-05
15,2417740.0,97.8966,47.8584,20.0008,2.8953599999999997,70.8301,9.801582066326642e-05
16,2417730.0,92.3817,50.812,24.0671,3.484,78.4342,0.00010215150929893113
17,2417700.0,100.18,53.592,28.3621,4.10575,86.1372,0.0001145585752055922
18,2417680.0,108.41,56.7336,32.9007,4.76277,94.48100000000001,0.0001228299524768106
19,2417650.0,117.125,60.2393,37.7129,5.45939,103.50200000000001,0.0001352370183835827
20,2417620.0,126.382,64.1156,42.8288,6.1999699999999995,113.243,0.00014764408429024378
21,2417590.0,136.236,68.3727,48.2793,6.989,123.74700000000001,0.00016005115019701588
22,2417620.0,92.4982,70.8635,54.0367,7.82245,132.79399999999998,0.00014764408429024378
23,2417640.0,60.0287,70.241,59.864,8.666030000000001,138.816,0.0001393727070191364
24,2417650.0,36.205,67.5413,65.5494,9.48905,142.606,0.0001352370183835827
25,2417670.0,18.9796,63.5299,70.9545,10.2715,144.768,0.0001269656411123643
26,2417650.0,30.6989,59.7149,76.0215,11.005,146.763,0.0001352370183835827
27,2417630.0,42.0658,57.1234,80.8252,11.7004,149.68,0.0001435083956546901
28,2417610.0,53.2864,55.6266,85.4609,12.3715,153.499,0.0001517797729259085
29,2417590.0,64.5496,55.1219,90.0145,13.0307,158.216,0.00016005115019701588
30,2417570.0,76.0315,55.5302,94.5641,13.6893,163.842,0.00016832252746823428
31,2417560.0,70.0208,56.1043,99.1639,14.3551,169.67700000000002,0.00017245821610378798
32,2417560.0,64.6879,56.1942,103.791,15.0249,175.05900000000003,0.00017245821610378798
33,2417550.0,59.9394,55.8917,108.40799999999999,15.6933,180.03799999999998,0.00017659390473934167
34,2417550.0,55.6956,55.2736,112.98700000000001,16.3562,184.65900000000002,0.00017659390473934167
35,2417540.0,51.8886,54.4041,117.505,17.0102,188.958,0.00018072959337500638
36,2417540.0,48.4606,53.3371,121.94200000000001,17.6526,192.968,0.00018072959337500638
37,2417530.0,45.3623,52.1172,126.286,18.2813,196.718,0.00018486528201056007
38,2417530.0,42.5515,50.7817,130.524,18.8948,200.231,0.00018486528201056007
39,2417530.0,39.9922,49.3616,134.648,19.4919,203.53,0.00018486528201056007
40,2417480.0,71.6816,49.1455,138.686,20.0765,207.963,0.00020554372518843955
41,2417430.0,111.932,51.6788,142.816,20.6743,215.25599999999997,0.00022622216836631903
42,2417350.0,164.238,57.4959,147.284,21.3211,226.229,0.00025930767745108163
43,2417350.0,144.649,64.0952,152.30200000000002,22.0476,238.558,0.00025930767745108163
44,2417340.0,127.70100000000001,68.7083,157.781,22.8406,249.429,0.0002634433660866353
45,2417340.0,113.01299999999999,71.7008,163.57,23.6788,259.038,0.0002634433660866353
46,2417330.0,100.26100000000001,73.3785,169.551,24.5445,267.552,0.000267579054722189
47,2417330.0,89.1692,73.9965,175.625,25.4238,275.11400000000003,0.000267579054722189
48,2417330.0,79.5022,73.7678,181.71400000000003,26.3053,281.848,0.000267579054722189
49,2417290.0,102.068,74.0581,187.78900000000002,27.1846,289.11,0.0002841218092645148
50,2417250.0,126.406,76.1106,193.959,28.0778,298.245,0.0003006645638068406
51,2417200.0,153.045,79.9222,200.36900000000003,29.0058,309.41700000000003,0.00032134300698472007
52,2417140.0,182.553,85.5319,207.167,29.9898,322.83099999999996,0.00034615713879826426
53,2417080.0,215.55,93.0203,214.502,31.0517,338.74300000000005,0.00037097127061180846
54,2417000.0,252.72099999999998,102.51100000000001,222.53400000000002,32.2144,357.459,0.00040405677969646003
55,2416910.0,294.829,114.171,231.435,33.503,379.342,0.0004412779774166653
56,2416810.0,342.733,128.214,241.392,34.9443,404.82199999999995,0.0004826348637725353
57,2416700.0,397.404,144.906,252.611,36.5684,434.4,0.0005281274387638479
58,2416660.0,374.164,161.304,265.235,38.3959,465.23199999999997,0.0005446701933061737
59,2416620.0,353.94300000000004,174.571,279.078,40.3999,494.33,0.0005612129478484995
60,2416580.0,336.282,185.2,293.903,42.54600000000001,521.9159999999999,0.0005777557023909363
61,2416550.0,320.79200000000003,193.61,309.51099999999997,44.8053,548.179,0.0005901627682975974
62,2416510.0,307.14599999999996,200.15200000000002,325.732,47.1536,573.28,0.0006067055228399232
63,2416470.0,295.067,205.125,342.426,49.5702,597.354,0.000623248277382249
64,2416430.0,284.319,208.78,359.475,52.0382,620.5169999999999,0.0006397910319245748
65,2416400.0,274.70599999999996,211.33,376.778,54.543,642.867,0.0006521980978313469
