,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,1,1
4,0,0,1,1
5,0,0,1,1
6,0,0,2,2
7,0,0,2,2
8,0,0,2,2
9,0,0,2,2
10,0,0,2,2
11,0,0,2,2
12,0,0,2,2
13,0,0,2,2
14,0,0,2,2
15,0,0,2,2
16,0,0,2,2
17,0,0,2,2
18,0,0,2,2
19,0,0,2,2
20,0,0,2,2
21,0,1,1,2
22,0,1,1,2
23,0,2,1,3
24,0,2,4,6
25,0,2,6,8
26,0,3,5,8
27,0,3,10,13
28,1,4,14,19
29,1,5,14,20
30,1,9,30,40
31,1,9,30,40
32,1,9,30,40
33,1,12,31,44
34,1,12,33,46
35,1,12,33,46
36,1,12,44,57
37,1,12,45,58
38,1,13,51,65
39,2,13,63,78
40,2,14,80,96
41,2,14,117,133
42,5,19,154,178
43,29,19,132,180
44,29,24,139,192
45,29,26,151,206
46,32,26,165,223
47,46,27,173,246
48,52,30,168,250
49,75,30,161,266
50,77,33,182,292
51,105,33,165,303
52,120,33,150,303
53,135,33,163,331
54,174,41,180,395
55,182,41,180,403
56,182,41,188,411
57,185,41,192,418
58,204,41,202,447
59,218,51,236,505
60,239,52,235,526
61,263,69,223,555
62,272,72,263,607
63,277,72,267,616
64,298,72,326,696
65,324,72,364,760
66,330,74,377,781
67,362,95,395,852
68,374,109,413,896
69,411,109,443,963
70,451,109,489,1049
71,490,115,476,1081
72,516,115,518,1149
73,569,120,599,1288
74,600,120,646,1366
75,634,120,786,1540
76,653,120,860,1633
77,668,131,903,1702
78,730,135,918,1783
79,798,169,914,1881
80,880,176,880,1936
81,929,176,926,2031
82,1075,179,864,2118
83,1136,182,865,2183
84,1187,182,889,2258
85,1244,182,1000,2426
86,1267,189,1020,2476
87,1296,198,1006,2500
88,1361,204,1087,2652
89,1496,204,1106,2806
90,1733,214,952,2899
91,1793,220,989,3002
92,1845,228,1228,3301
93,1916,234,1265,3415
94,2006,245,1256,3507
95,2108,255,1284,3647
96,2194,261,1401,3856
97,2263,268,1495,4026
98,2420,278,1538,4236
99,2506,294,1673,4473
100,2680,302,1730,4712
101,2774,312,1760,4846
102,2850,319,1827,4996
103,3147,326,1787,5260
104,3242,343,2016,5601
105,3336,345,2129,5810
106,3508,353,2169,6030
107,3661,361,2333,6355
108,3768,375,2433,6576
109,4090,377,2401,6868
110,4203,381,2382,6966
111,4515,382,2269,7166
112,4749,393,2172,7314
113,5031,414,2278,7723
114,5271,420,2264,7955
115,5455,429,2254,8138
116,5662,442,2397,8501
117,5782,452,2512,8746
118,5975,461,2489,8925
119,6108,476,2500,9084
120,6384,482,2637,9503
121,6668,495,2709,9872
122,6856,507,2700,10063
123,7088,515,2835,10438
124,7385,518,2923,10826
125,7688,538,2873,11099
126,7822,540,2980,11342
127,8155,546,3094,11795
128,8318,558,3209,12085
129,8595,562,3394,12551
130,8951,575,3505,13031
131,9164,581,3707,13452
132,9476,583,4049,14108
133,9767,611,4060,14438
134,9942,616,4283,14841
135,10284,623,4457,15364
136,10719,639,4422,15780
137,11004,654,4620,16278
138,11279,666,4913,16858
139,11802,674,4863,17339
140,12178,681,5078,17937
141,12415,692,5192,18299
142,12673,703,5390,18766
143,13214,712,5445,19371
144,13725,732,5532,19989
145,14246,740,5658,20644
146,14573,746,6103,21422
147,14888,750,6411,22049
148,15376,768,6554,22698
149,15872,780,6665,23317
150,16323,794,6799,23916
151,16819,804,7004,24627
152,17220,817,7174,25211
153,18191,837,7045,26073
154,18546,847,7435,26828
155,19194,858,7382,27434
156,19641,869,7588,28098
157,20128,884,7960,28972
158,20797,900,7791,29488
159,21272,908,8047,30227
160,22110,915,7705,30730
161,22473,928,8113,31514
162,22852,935,8080,31867
163,23477,951,8095,32523
164,24466,963,7709,33138
165,24951,996,8280,34227
166,25430,1003,9078,35511
167,25873,1010,9126,36009
168,26177,1023,9921,37121
169,26822,1035,10239,38096
170,28172,1057,9440,38669
171,29483,1065,9061,39609
172,30603,1090,8716,40409
173,31327,1106,8940,41373
174,32218,1115,8708,42041
175,32779,1127,8975,42881
176,33374,1145,8827,43346
177,34263,1162,8795,44220
178,35222,1167,8353,44742
179,35998,1196,8031,45225
180,36657,1211,8044,45912
181,37342,1221,7706,46269
182,37813,1231,7583,46627
183,38604,1235,6909,46748
184,39290,1244,6768,47302
185,39930,1245,6486,47661
186,39930,1245,6486,47661
