,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4720160.0,11552.1,8360.26,20224.2,809.908,29404.5,0.01491230303609603
1,4717970.0,11877.3,8611.56,20893.0,826.794,30341.8,0.015369351537916076
2,4715730.0,12212.2,8868.72,21581.9,844.187,31305.4,0.015836834937037914
3,4713410.0,12557.0,9132.03,22291.2,862.097,32296.2,0.01632101417184273
4,4711040.0,12911.6,9401.78,23021.6,880.5369999999999,33315.1,0.016815628303949337
5,4708590.0,13276.3,9678.23,23773.4,899.5210000000001,34362.7,0.017326938271738923
6,4706080.0,13651.0,9961.63,24547.4,919.062,35439.8,0.01785077011629066
7,4703500.0,14036.0,10252.2,25343.9,939.174,36547.4,0.018389210817065016
8,4700840.0,14431.4,10550.2,26163.7,959.8710000000001,37686.2,0.01894434735352224
9,4698110.0,14837.4,10855.9,27007.2,981.17,38857.0,0.019514092746201972
10,4695310.0,15254.0,11169.5,27875.1,1003.08,40060.8,0.020098446995104324
11,4692420.0,15681.5,11491.2,28768.1,1025.63,41298.3,0.020701584059150013
12,4689460.0,16120.1,11821.1,29686.8,1048.83,42570.5,0.02131932997941821
13,4686410.0,16569.9,12159.6,30631.8,1072.69,43878.2,0.021955858714829746
14,4683280.0,17031.1,12506.8,31603.8,1097.23,45222.3,0.022609083285924148
15,4680070.0,17503.9,12863.0,32603.5,1122.47,46603.8,0.023279003692701417
16,4676770.0,17988.4,13228.3,33631.7,1148.43,48023.6,0.023967706914622133
17,4673370.0,18485.0,13602.9,34689.0,1175.13,49482.7,0.024677279931146323
18,4669890.0,18993.7,13987.1,35776.2,1202.58,50981.9,0.025403548783353602
19,4666310.0,19514.7,14381.0,36894.1,1230.8,52522.4,0.026150687430164465
20,4662640.0,20048.3,14784.9,38043.4,1259.82,54105.1,0.026916608892118554
21,4658860.0,20594.6,15198.9,39225.0,1289.65,55730.9,0.027705487128136808
22,4654990.0,21153.8,15623.3,40439.6,1320.32,57401.0,0.028513148179298287
23,4651010.0,21726.0,16058.2,41688.0,1351.84,59116.3,0.029343766004523708
24,4646930.0,22311.6,16503.8,42971.2,1384.24,60878.0,0.030195253624352825
25,4642740.0,22910.5,16960.3,44289.9,1417.54,62687.0,0.031069698018245995
26,4638440.0,23523.0,17428.0,45645.1,1451.75,64544.5,0.03196709918620322
