,Recovered,Deceased,Infected,I_c
0,0,0,1.0,1
1,0,0,1.0,1
2,0,0,1.0,1
3,0,0,1.0,1
4,0,0,1.1428571428571428,2
5,0,0,1.2857142857142858,2
6,0,0,1.4285714285714286,2
7,0,0,1.4285714285714286,1
8,0,0,1.4285714285714286,1
9,0,0,1.4285714285714286,1
10,0,0,1.5714285714285714,2
11,0,0,1.5714285714285714,2
12,0,0,1.5714285714285714,2
13,0,0,1.5714285714285714,2
14,0,0,1.7142857142857142,2
15,0,0,1.8571428571428568,2
16,0,0,2.0,2
17,0,0,2.0,2
18,1,0,1.8571428571428568,2
19,1,0,1.8571428571428568,3
20,1,0,2.5714285714285716,8
21,1,0,3.2857142857142856,8
22,1,0,4.0,8
23,1,0,4.714285714285714,8
24,1,0,5.428571428571429,8
25,1,0,6.285714285714287,8
26,1,0,7.571428571428571,12
27,1,0,8.142857142857142,12
28,1,0,8.714285714285714,12
29,1,0,9.571428571428571,14
30,1,0,10.714285714285714,16
31,1,0,11.857142857142858,16
32,1,0,13.571428571428573,20
33,5,0,14.285714285714285,21
34,7,0,14.714285714285715,21
35,7,0,16.142857142857142,28
36,7,0,18.428571428571427,36
37,8,0,20.571428571428573,38
38,8,0,22.714285714285715,38
39,8,0,25.0,43
40,11,0,27.714285714285715,46
41,13,0,31.57142857142857,54
42,13,0,34.714285714285715,56
43,15,0,37.42857142857143,63
44,16,0,41.285714285714285,73
45,23,0,45.0,79
46,24,0,49.0,87
47,32,0,56.14285714285714,117
48,45,0,60.85714285714285,119
49,54,0,64.85714285714286,125
50,57,1,68.14285714285714,129
51,58,1,70.14285714285714,130
52,59,2,75.42857142857143,154
53,72,3,78.42857142857143,159
54,78,3,79.0,170
55,85,3,81.14285714285714,177
56,120,4,80.14285714285714,188
57,130,5,80.42857142857143,208
58,131,5,80.71428571428571,209
59,148,5,77.71428571428571,225
60,148,6,75.85714285714286,225
61,148,6,76.85714285714286,250
62,156,6,77.85714285714286,258
63,159,6,84.0,272
64,171,8,88.0,280
65,181,12,92.14285714285714,295
66,194,12,97.28571428571428,314
67,201,12,102.28571428571428,319
68,226,12,101.28571428571428,327
69,230,11,104.57142857142857,360
70,231,11,106.85714285714286,365
71,250,11,108.28571428571428,372
72,259,11,111.57142857142857,395
73,264,12,113.14285714285714,395
74,282,12,114.71428571428572,411
75,292,12,118.28571428571428,418
76,313,13,121.85714285714286,470
77,313,14,127.28571428571428,488
78,333,14,138.28571428571428,535
79,334,14,149.57142857142858,552
80,344,17,164.28571428571428,583
81,355,19,181.7142857142857,613
82,363,24,198.57142857142856,619
83,380,24,217.85714285714286,683
84,380,24,239.85714285714286,719
85,397,29,260.42857142857144,758
86,424,31,285.14285714285717,832
87,456,34,304.14285714285717,845
88,474,35,319.0,852
89,475,36,338.57142857142856,880
90,506,44,349.57142857142856,906
91,506,47,366.0,983
92,571,47,385.0,1083
93,580,47,396.4285714285714,1084
94,612,50,406.71428571428567,1089
95,631,50,424.1428571428572,1146
96,639,54,447.8571428571428,1228
97,661,54,480.28571428571433,1298
98,661,55,511.71428571428567,1366
99,664,56,551.1428571428571,1461
100,673,57,598.1428571428571,1516
101,673,58,657.1428571428571,1571
102,681,61,710.1428571428571,1578
103,761,64,745.8571428571429,1610
104,909,67,768.5714285714287,1718
105,909,68,787.8571428571429,1762
106,1150,68,763.8571428571429,1791
107,1334,69,714.8571428571429,1846
108,1418,73,648.0,1863
109,1421,73,588.4285714285714,1913
110,1434,74,538.0,1940
111,1453,75,494.0,1962
112,1481,77,443.57142857142856,1990
113,1512,78,421.57142857142856,2009
114,1512,78,418.28571428571433,2010
115,1533,79,423.57142857142856,2021
116,1553,79,428.71428571428567,2087
117,1594,79,434.8571428571428,2148
118,1599,85,468.0,2350
119,1618,86,514.2857142857143,2460
120,1623,95,571.8571428571429,2540
121,1697,97,637.8571428571429,2676
122,1721,100,715.2857142857142,2772
123,1733,102,795.7142857142858,2853
124,1755,103,883.8571428571429,2950
125,1769,113,948.7142857142856,3002
126,1794,113,1008.2857142857144,3080
127,1837,114,1081.5714285714287,3286
128,1898,114,1146.5714285714287,3349
129,1989,114,1210.142857142857,3499
130,2074,114,1274.7142857142858,3658
131,2164,116,1326.2857142857142,3733
132,2201,118,1376.857142857143,3793
133,2239,121,1426.857142857143,3883
134,2290,122,1451.0,3916
135,2327,123,1474.0,3948
136,2428,123,1482.857142857143,4009
137,2529,127,1472.2857142857142,4052
138,2612,128,1460.857142857143,4113
139,2793,130,1430.7142857142858,4186
140,2858,130,1393.857142857143,4253
141,2934,132,1361.857142857143,4346
