,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2320470.0,2566.36,4097.04,6942.34,207.43900000000002,11248.9,0.008710050455836948
1,2320170.0,2616.97,4234.27,7009.96,209.882,11456.2,0.0088382085379769
2,2319860.0,2670.97,4373.36,7079.82,212.407,11667.7,0.008970638556188182
3,2319550.0,2728.26,4514.54,7151.96,215.014,11883.7,0.009103068574399353
4,2319220.0,2788.77,4658.04,7226.41,217.705,12104.4,0.0092440424647533
5,2318890.0,2852.44,4804.07,7303.2,220.48,12330.0,0.009385016355107245
6,2318540.0,2919.21,4952.84,7382.39,223.342,12560.9,0.009534534117603854
7,2318190.0,2989.06,5104.54,7464.02,226.292,12797.2,0.009684051880100464
8,2317820.0,3061.94,5259.37,7548.14,229.332,13039.3,0.009842113514739625
9,2317450.0,3137.85,5417.53,7634.79,232.46400000000003,13287.3,0.010000175149378898
10,2317070.0,3216.76,5579.18,7724.04,235.68900000000002,13541.5,0.010162508720089503
11,2316670.0,3298.69,5744.52,7815.95,239.011,13802.1,0.01033338616294277
12,2316260.0,3383.63,5913.72,7910.57,242.43,14069.4,0.01050853554186737
13,2315850.0,3471.6,6086.95,8007.97,245.951,14343.7,0.010683684920791858
14,2315420.0,3562.62,6264.4,8108.22,249.57299999999998,14625.0,0.010867378171859121
15,2314980.0,3656.7,6446.22,8211.38,253.30200000000002,14913.8,0.011055343358997716
16,2314520.0,3753.89,6632.6,8317.53,257.138,15210.3,0.011251852418278974
17,2314060.0,3854.21,6823.7,8426.74,261.085,15514.6,0.01144836147756012
18,2313580.0,3957.71,7019.7,8539.1,265.14599999999996,15827.1,0.011653414408984042
19,2313080.0,4064.44,7220.76,8654.68,269.323,16148.0,0.011867011212550627
20,2312580.0,4174.44,7427.07,8773.56,273.619,16477.6,0.012080608016117211
21,2312060.0,4287.77,7638.79,8895.84,278.038,16816.1,0.012302748691826348
22,2311520.0,4404.49,7856.11,9021.6,282.58299999999997,17163.8,0.01253343323967826
23,2310970.0,4524.67,8079.2,9150.94,287.258,17521.0,0.012768389723601503
24,2310410.0,4648.36,8308.23,9283.94,292.064,17888.0,0.013007618143595967
25,2309830.0,4775.65,8543.4,9420.71,297.007,18264.9,0.013255390435733205
26,2309230.0,4906.6,8784.89,9561.35,302.09,18652.3,0.013511706600013107
27,2308620.0,5041.29,9032.89,9705.97,307.316,19050.2,0.01377229470036423
28,2307990.0,5179.8,9287.58,9854.66,312.69,19459.1,0.014041426672858126
29,2307340.0,5322.23,9549.17,10007.5,318.215,19879.2,0.014319102517494686
30,2306670.0,5468.65,9817.86,10164.7,323.89599999999996,20310.9,0.014605322234273799
31,2305990.0,5619.16,10093.8,10326.3,329.73699999999997,20754.4,0.014895813887124354
32,2305290.0,5773.85,10377.3,10492.5,335.741,21210.2,0.015194849412117573
33,2304560.0,5932.82,10668.5,10663.3,341.915,21678.5,0.015506700745324675
34,2303820.0,6096.18,10967.6,10838.9,348.26099999999997,22159.7,0.01582282401460322
35,2303060.0,6264.01,11274.9,11019.4,354.785,22654.1,0.01614749115602432
36,2302280.0,6436.44,11590.5,11205.0,361.49199999999996,23162.2,0.01648070216958819
37,2301470.0,6613.57,11914.7,11395.8,368.38699999999994,23684.2,0.016826728991365947
38,2300640.0,6795.51,12247.8,11591.9,375.474,24220.6,0.017181299685286477
39,2299790.0,6982.37,12589.9,11793.5,382.76,24771.8,0.01754441425134956
