,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4200140.0,796.5189999999999,7105.19,12334.0,550.354,19993.5,0.005570984475586349
1,4199780.0,776.39,7047.35,12709.9,574.236,20335.3,0.0056562184072145305
2,4199420.0,761.182,6985.28,13082.6,597.915,20669.6,0.005741452338842712
3,4199070.0,749.0160000000001,6920.89,13452.0,621.381,20997.9,0.005824318661259098
4,4198710.0,738.743,6855.32,13817.8,644.627,21321.4,0.005909552592887279
5,4198360.0,729.6560000000001,6789.28,14180.2,667.6510000000001,21640.8,0.0059924189153035545
6,4198020.0,721.325,6723.19,14539.1,690.452,21956.3,0.006072917628507923
7,4197670.0,713.482,6657.32,14894.5,713.03,22268.3,0.0061557839509241985
8,4197340.0,705.965,6591.82,15246.3,735.3860000000001,22577.0,0.006233915054916661
9,4197000.0,698.675,6526.79,15594.7,757.5219999999999,22882.5,0.006314413768121141
10,4196670.0,691.55,6462.29,15939.7,779.44,23184.9,0.0063925448721136036
11,4196340.0,684.551,6398.34,16281.3,801.14,23484.2,0.006470675976106066
12,4196010.0,677.655,6334.97,16619.5,822.6260000000001,23780.4,0.00654880708009864
13,4195690.0,670.8480000000001,6272.18,16954.3,843.8989999999999,24073.7,0.006624570574879196
14,4195370.0,664.12,6209.98,17285.8,864.962,24364.0,0.006700334069659752
15,4195060.0,657.466,6148.36,17614.0,885.815,24651.5,0.0067737299552285135
16,4194740.0,650.882,6087.33,17939.0,906.461,24936.0,0.00684949345000907
17,4194430.0,644.365,6026.89,18260.7,926.9019999999999,25217.7,0.006922889335577831
18,4194130.0,637.913,5967.02,18579.2,947.1410000000001,25496.6,0.006993917611934686
19,4193820.0,631.525,5907.72,18894.6,967.178,25772.7,0.007067313497503336
20,4193520.0,625.2,5848.99,19206.9,987.0160000000001,26046.0,0.007138341773860191
21,4193230.0,618.937,5790.82,19516.0,1006.66,26316.6,0.007207002441005139
22,4192930.0,612.735,5733.22,19822.1,1026.1,26584.5,0.007278030717361883
23,4192640.0,606.595,5676.17,20125.1,1045.35,26849.7,0.007346691384506832
24,4192350.0,600.514,5619.66,20425.1,1064.41,27112.2,0.00741535205165178
25,4192070.0,594.493,5563.7,20722.1,1083.28,27372.1,0.007481645109584822
26,4191780.0,588.531,5508.28,21016.1,1101.97,27629.4,0.007550305776729771
27,4191500.0,582.627,5453.4,21307.3,1120.46,27884.1,0.007616598834662702
28,4191230.0,576.781,5399.05,21595.5,1138.78,28136.2,0.007680524283383838
29,4190950.0,570.992,5345.22,21880.8,1156.91,28385.9,0.007746817341316881
30,4190680.0,565.26,5291.91,22163.3,1174.85,28633.0,0.007810742790038017
31,4190410.0,559.5840000000001,5239.11,22443.0,1192.62,28877.6,0.007874668238759153
32,4190150.0,553.964,5186.83,22719.9,1210.22,29119.8,0.007936226078268382
33,4189880.0,548.399,5135.05,22994.1,1227.63,29359.6,0.008000151526989518
34,4189620.0,542.888,5083.78,23265.5,1244.88,29596.9,0.008061709366498748
35,4189360.0,537.432,5033.0,23534.1,1261.95,29831.9,0.008123267206008089
36,4189110.0,532.03,4982.72,23800.1,1278.85,30064.5,0.008182457436305413
