,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,12875200.0,0.29792399999999997,2.04061,0.015138200000000001,0.0251654,2.0824599999999998,3.5727472702529184e-06
1,12875200.0,0.524143,2.21338,0.031101,0.051701699999999996,2.29891,3.5727472702529184e-06
2,12875200.0,0.71706,2.48941,0.048764499999999995,0.0810651,2.62296,3.5727472702529184e-06
3,12875200.0,0.9007459999999999,2.85609,0.06885219999999999,0.11445899999999999,3.04408,3.5727472702529184e-06
4,12875200.0,1.09111,3.3111900000000003,0.09203430000000001,0.152996,3.5619,3.5727472702529184e-06
5,12875200.0,1.29959,3.8594699999999995,0.118992,0.19780899999999998,4.1830300000000005,3.5727472702529184e-06
6,12875200.0,1.5353299999999999,4.51079,0.15046099999999998,0.25012399999999996,4.91936,3.5727472702529184e-06
7,12875200.0,1.80657,5.2792699999999995,0.18727,0.311313,5.78724,3.5727472702529184e-06
8,12875200.0,2.12149,6.182930000000001,0.230366,0.382956,6.80728,3.5727472702529184e-06
9,12875200.0,2.48884,7.24378,0.28084899999999996,0.46687799999999996,8.00445,3.5727472702529184e-06
10,12875200.0,4.0055,8.76575,0.340685,0.566349,9.693610000000001,3.5727472702529184e-06
11,12875200.0,5.6929,11.074000000000002,0.414889,0.689704,12.2082,3.5727472702529184e-06
12,12875200.0,7.73048,14.2872,0.509777,0.8474430000000001,15.6846,3.5727472702529184e-06
13,12875200.0,10.3018,18.6137,0.632893,1.05211,20.3523,3.5727472702529184e-06
14,12875200.0,8.233319999999999,22.963,0.7902359999999999,1.3136700000000001,25.1098,3.5727472702529184e-06
15,12875200.0,7.1839,26.4439,0.9767950000000001,1.62381,29.0819,3.5727472702529184e-06
16,12875200.0,6.74665,29.485,1.18776,1.9745099999999998,32.6823,3.5727472702529184e-06
17,12875200.0,6.6832199999999995,32.3437,1.42085,2.362,36.1613,3.5727472702529184e-06
18,12875200.0,6.85452,35.1775,1.67533,2.78504,39.6735,3.5727472702529184e-06
19,12875200.0,7.179880000000001,38.0851,1.9514099999999999,3.24399,43.3178,3.5727472702529184e-06
20,12875200.0,13.308,42.6253,2.25365,3.7464199999999996,48.6946,3.5727472702529184e-06
21,12875200.0,19.0632,50.1015,2.60124,4.32425,57.1261,3.5727472702529184e-06
22,12875200.0,25.1118,60.4428,3.01585,5.01348,68.6028,3.5727472702529184e-06
23,12875100.0,31.9663,73.8788,3.51977,5.8512,83.416,1.1339589161996066e-05
24,12875100.0,40.0782,90.8793,4.13797,6.878889999999999,102.105,1.1339589161996066e-05
25,12875100.0,49.8984,112.135,4.89976,8.14528,125.44,1.1339589161996066e-05
26,12875000.0,61.922,138.565,5.84052,9.70918,154.437,1.9106431053850237e-05
