,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,3,3
3,0,0,4,4
4,0,0,4,4
5,0,0,4,4
6,0,0,4,4
7,0,0,4,4
8,0,0,4,4
9,0,0,4,4
10,0,0,4,4
11,0,0,4,4
12,0,0,4,4
13,0,0,4,4
14,0,0,4,4
15,0,0,5,5
16,0,0,9,9
17,0,0,11,11
18,0,0,14,14
19,0,0,16,16
20,1,0,15,16
21,2,0,14,16
22,2,0,14,16
23,3,0,13,16
24,4,0,13,17
25,5,0,12,17
26,5,0,12,17
27,6,0,13,19
28,7,0,12,19
29,7,0,12,19
30,8,0,17,25
31,9,0,16,25
32,10,0,32,42
33,10,0,35,45
34,11,0,43,54
35,12,0,43,55
36,12,0,46,58
37,13,0,46,59
38,14,0,49,63
39,15,0,58,73
40,15,0,65,80
41,16,0,74,90
42,17,0,83,100
43,17,0,83,100
44,18,0,83,101
45,19,0,88,107
46,20,1,86,107
47,20,1,106,127
48,20,1,114,135
49,35,1,102,138
50,37,2,100,139
51,37,2,100,139
52,37,2,107,146
53,40,2,110,152
54,50,2,122,174
55,56,2,123,181
56,63,2,117,182
57,63,2,141,206
58,63,2,147,212
59,63,2,159,224
60,66,2,183,251
61,71,2,186,259
62,75,2,191,268
63,86,2,229,317
64,93,2,236,331
65,128,2,204,334
66,159,2,191,352
67,162,2,193,357
68,188,4,183,375
69,228,6,154,388
70,269,6,148,423
71,274,6,157,437
72,283,7,170,460
73,293,7,165,465
74,306,7,158,471
75,329,7,139,475
76,333,8,140,481
77,334,9,141,484
78,336,9,150,495
79,342,9,160,511
80,353,10,193,556
81,358,10,206,574
82,378,11,203,592
83,381,11,222,614
84,392,11,232,635
85,410,11,241,662
86,411,11,259,681
87,416,11,311,738
88,434,11,302,747
89,466,11,284,761
90,478,12,298,788
91,495,12,324,831
92,523,12,384,919
93,536,12,421,969
94,539,12,431,982
95,598,12,403,1013
96,624,12,410,1046
97,631,12,467,1110
98,647,12,470,1129
99,651,13,490,1154
100,781,13,397,1191
101,809,13,449,1271
102,833,13,479,1325
103,842,13,482,1337
104,897,13,442,1352
105,942,13,411,1366
106,965,13,440,1418
107,1005,14,405,1424
108,1021,14,365,1400
109,1037,14,370,1421
110,1101,15,332,1448
111,1144,15,309,1468
112,1198,15,293,1506
113,1228,15,339,1582
114,1241,15,368,1624
115,1292,15,365,1672
116,1296,15,408,1719
117,1310,16,427,1753
118,1324,16,452,1792
119,1333,17,474,1824
120,1345,19,491,1855
121,1364,19,527,1910
122,1366,21,570,1957
123,1366,21,635,2022
124,1387,22,625,2034
125,1404,23,729,2156
126,1404,23,825,2252
127,1417,23,862,2302
128,1417,24,967,2408
129,1428,24,1031,2483
130,1438,31,1073,2542
131,1460,31,1091,2582
132,1470,34,1146,2650
133,1479,37,1290,2806
134,1497,38,1394,2929
135,1538,40,1550,3128
136,1627,41,1664,3332
137,1711,43,1759,3513
138,1754,45,1905,3704
139,1841,63,2002,3906
140,1898,68,2186,4152
141,1928,70,2496,4494
142,1930,73,2832,4835
143,1978,75,3134,5187
144,1992,77,3363,5432
145,2164,127,3425,5716
146,2174,144,3634,5952
147,2175,151,4086,6412
148,2192,169,4589,6950
149,2259,184,5024,7467
150,2440,190,5351,7981
151,2756,230,5599,8585
152,2884,251,5898,9033
153,3361,263,6212,9836
154,3758,292,6558,10608
155,4116,307,6728,11151
156,4328,325,7264,11917
157,4726,344,7803,12873
158,5664,360,7540,13564
159,6670,365,6960,13995
160,7063,399,7345,14807
161,7432,425,7947,15804
162,7979,446,8429,16854
163,8504,463,8998,17965
164,9775,482,8593,18850
165,10408,504,8756,19668
166,11032,522,8770,20324
167,11507,546,9060,21113
168,12107,582,9689,22378
169,12686,618,10318,23622
170,13239,639,10905,24783
171,14075,670,11437,26182
172,14949,715,11577,27241
173,15607,730,11705,28042
174,16250,752,12531,29533
175,16983,790,13260,31033
176,17727,821,14105,32653
177,18210,847,15444,34501
178,18804,878,16561,36243
179,20154,900,17090,38144
180,21327,1052,17092,39471
181,22480,1108,17273,40861
182,23511,1137,18326,42974
183,24209,1193,19298,44700
184,24840,1243,20921,47004
185,25889,1283,21731,48903
186,28003,1356,21526,50885
187,29865,1358,20830,52053
188,31428,1446,20979,53853
189,32804,1485,21538,55827
190,35203,1522,21278,58003
191,36772,1586,21751,60109
192,38769,1622,21703,62094
193,43460,1676,19105,64241
194,45087,1748,18496,65331
195,46043,1769,19147,66959
196,47761,1827,19255,68843
197,49769,1874,18771,70414
198,52149,1927,17847,71923
199,55096,1942,16520,73558
200,56236,1961,16628,74825
201,58485,1963,15155,75603
202,60403,2012,14233,76648
203,61960,2035,14004,77999
204,61960,2035,14004,77999
