,Recovered,Deceased,Infected,I_c
0,0,0,1.5714285714285714,3
1,0,0,1.8571428571428568,3
2,0,0,2.142857142857143,3
3,0,1,2.4285714285714284,4
4,0,1,2.7142857142857144,4
5,0,1,6.857142857142858,31
6,0,2,10.571428571428571,31
7,0,2,14.285714285714285,31
8,0,2,18.0,31
9,0,2,21.857142857142854,32
10,0,2,25.714285714285715,32
11,0,3,29.57142857142857,33
12,0,3,31.0,43
13,0,4,32.714285714285715,45
14,0,4,34.57142857142857,46
15,0,4,38.0,57
16,1,4,41.142857142857146,57
17,17,4,42.0,57
18,24,4,42.142857142857146,59
19,24,4,42.285714285714285,69
20,29,4,42.857142857142854,78
21,29,4,43.42857142857143,79
22,34,4,41.857142857142854,80
23,37,4,41.714285714285715,92
24,43,4,43.85714285714285,98
25,43,5,46.57142857142857,98
26,43,5,47.85714285714285,98
27,43,5,48.57142857142857,98
28,61,5,47.57142857142857,105
29,69,5,46.0,105
30,69,6,43.42857142857143,108
31,82,6,39.0,108
32,86,6,34.142857142857146,108
33,86,6,29.714285714285715,111
34,91,6,26.285714285714285,123
35,91,6,25.285714285714285,129
36,99,6,25.142857142857146,135
37,102,7,27.285714285714285,157
38,102,7,32.0,162
39,104,7,37.857142857142854,168
40,108,7,42.857142857142854,169
41,110,8,46.57142857142857,170
42,113,8,49.14285714285714,171
43,113,8,52.42857142857143,174
44,116,9,54.28571428571429,186
45,117,9,57.85714285714285,204
46,137,10,57.85714285714285,204
47,151,10,60.714285714285715,235
48,161,10,63.28571428571429,241
49,161,12,65.85714285714286,241
50,164,12,70.85714285714286,264
51,164,12,75.0,266
52,166,12,77.14285714285714,271
53,175,11,82.28571428571429,279
54,175,11,85.42857142857143,282
55,175,11,89.7142857142857,286
56,178,11,95.14285714285714,295
57,178,11,98.57142857142857,301
58,225,11,95.42857142857143,304
59,231,13,91.42857142857143,309
60,231,13,88.7142857142857,318
61,231,13,88.2857142857143,337
62,231,13,88.0,342
63,231,13,87.14285714285714,344
64,234,14,87.7142857142857,364
65,234,14,94.57142857142857,364
66,241,14,101.85714285714286,371
67,241,14,110.28571428571428,388
68,242,14,116.71428571428572,394
69,242,15,124.42857142857143,409
70,242,16,134.28571428571428,427
71,242,18,145.57142857142858,455
72,246,19,162.85714285714286,502
73,248,19,183.7142857142857,529
74,251,21,204.85714285714286,553
75,251,24,227.57142857142856,572
76,252,24,253.0,606
77,254,27,280.0,639
78,256,28,310.2857142857143,691
79,374,28,320.42857142857144,710
80,382,34,327.2857142857143,726
81,403,34,336.14285714285717,780
82,411,34,345.57142857142856,808
83,421,35,360.8571428571428,893
84,457,39,374.0,946
85,463,42,386.4285714285714,999
86,499,46,421.57142857142856,1099
87,533,50,457.1428571428572,1142
88,544,52,496.1428571428572,1212
89,555,52,540.7142857142857,1282
90,619,54,576.7142857142858,1362
91,644,54,608.1428571428571,1368
92,649,57,645.4285714285714,1461
93,679,68,689.8571428571429,1612
94,746,75,734.8571428571429,1695
95,812,77,774.2857142857142,1781
96,843,78,837.5714285714287,2039
97,881,83,925.0,2265
98,904,86,1025.4285714285713,2363
99,923,91,1130.2857142857142,2503
100,944,96,1232.142857142857,2618
101,965,102,1357.142857142857,2816
102,1012,102,1490.4285714285709,2939
103,1083,107,1600.857142857143,3081
104,1249,114,1681.5714285714291,3229
105,1383,115,1747.857142857143,3335
106,1505,125,1797.857142857143,3469
107,1589,129,1833.428571428572,3545
108,1625,134,1859.7142857142856,3692
109,1716,134,1881.428571428572,3827
110,1733,137,1900.2857142857144,3893
111,1763,141,1933.428571428572,4002
112,1823,143,1998.5714285714291,4259
113,1888,143,2080.714285714286,4445
114,2027,143,2177.8571428571427,4677
115,2143,149,2280.285714285714,4942
116,2259,153,2383.285714285714,5110
117,2350,157,2475.428571428572,5175
118,2570,161,2548.714285714286,5342
119,2789,162,2583.142857142857,5485
120,2873,165,2622.142857142857,5725
121,2938,196,2676.142857142857,6019
122,3068,197,2727.5714285714284,6275
123,3165,212,2800.0,6582
124,3227,217,2911.5714285714284,6893
125,3361,225,3050.142857142857,7167
