,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,4,4
4,0,0,7,7
5,0,0,7,7
6,0,0,7,7
7,0,0,11,11
8,0,1,10,11
9,0,1,10,11
10,0,1,10,11
11,0,1,10,11
12,0,1,10,11
13,0,1,10,11
14,0,1,11,12
15,0,1,11,12
16,0,1,17,18
17,0,1,18,19
18,4,1,14,19
19,4,1,14,19
20,4,1,14,19
21,4,1,14,19
22,9,2,11,22
23,9,2,11,22
24,9,2,11,22
25,9,2,11,22
26,10,2,10,22
27,10,2,10,22
28,16,2,4,22
29,16,2,5,23
30,20,2,3,25
31,20,2,3,25
32,20,2,3,25
33,20,2,4,26
34,20,2,10,32
35,20,2,10,32
36,20,2,10,32
37,20,2,10,32
38,20,2,10,32
39,20,3,9,32
40,20,3,9,32
41,20,3,10,33
42,20,3,11,34
43,20,3,12,35
44,27,3,5,35
45,27,3,7,37
46,28,4,5,37
47,28,4,7,39
48,28,4,8,40
49,28,4,8,40
50,28,4,8,40
51,28,4,8,40
52,28,4,8,40
53,28,4,12,44
54,30,4,11,45
55,30,4,14,48
56,30,4,14,48
57,30,4,14,48
58,32,4,30,66
59,33,4,35,72
60,33,6,33,72
61,33,6,33,72
62,36,6,41,83
63,36,5,42,83
64,36,5,42,83
65,41,5,37,83
66,52,5,32,89
67,52,6,32,90
68,52,6,32,90
69,52,7,94,153
70,60,7,98,165
71,70,7,89,166
72,70,7,96,173
73,72,7,96,175
74,72,7,99,178
75,73,8,97,178
76,79,9,91,179
77,83,9,105,197
78,83,9,105,197
79,139,9,60,208
80,143,9,56,208
81,143,9,57,209
82,149,11,76,236
83,149,11,80,240
84,149,11,88,248
85,149,11,119,279
86,149,11,119,279
87,167,11,104,282
88,172,11,126,309
89,172,16,130,318
90,172,16,162,350
91,172,16,172,360
92,173,17,192,382
93,195,17,185,397
94,195,19,224,438
95,198,20,248,466
96,200,20,257,477
97,232,21,238,491
98,295,22,180,497
99,322,23,159,504
100,326,26,164,516
101,360,27,175,562
102,364,30,179,573
103,366,31,191,588
104,414,31,184,629
105,414,32,196,642
106,420,32,203,655
107,436,36,186,658
108,441,38,189,668
109,465,42,171,678
110,482,43,202,727
111,503,43,194,740
112,506,43,347,896
113,515,43,365,923
114,516,46,366,928
115,569,46,350,965
116,595,50,355,1000
117,672,51,365,1088
118,724,51,328,1103
119,754,53,369,1176
120,769,53,360,1182
121,794,53,337,1184
122,809,56,356,1221
123,877,56,326,1259
124,900,57,383,1340
125,923,58,471,1452
126,938,60,603,1601
127,980,60,680,1720
128,1008,60,770,1838
129,1034,60,851,1945
130,1076,62,937,2075
131,1127,65,1026,2218
132,1209,68,1017,2294
133,1220,69,1070,2359
134,1297,74,1278,2649
135,1366,74,1314,2754
136,1462,74,1260,2796
137,1540,77,1280,2897
138,1618,81,1283,2982
139,1782,82,1201,3065
140,1801,83,1285,3169
141,1892,84,1307,3283
142,2136,85,1084,3305
143,2267,86,1046,3399
144,2335,91,1121,3547
145,2442,96,1068,3606
146,2547,97,1050,3694
147,2633,98,1137,3868
148,2673,99,1220,3992
149,2830,100,1107,4037
150,2921,106,1104,4131
151,2999,108,1104,4211
152,3132,109,1076,4317
153,3195,109,1146,4450
154,3268,111,1181,4560
155,3371,111,1190,4672
156,3452,112,1143,4707
157,3598,113,1108,4819
158,3654,113,1111,4878
159,3854,113,974,4941
160,3923,114,952,4989
161,3982,114,972,5068
162,4015,118,1005,5138
163,4164,118,953,5235
164,4336,119,833,5288
165,4410,120,798,5328
166,4410,120,798,5328
