,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2024470.0,7.295,1.4646700000000001,0.0791418,0.00658632,1.55103,2.963729873850518e-06
1,2024460.0,8.26329,1.966,0.189354,0.0157584,2.17252,7.903279663490359e-06
2,2024460.0,9.4283,2.51579,0.333372,0.0277438,2.87925,7.903279663490359e-06
3,2024460.0,10.8181,3.12704,0.514727,0.0428365,3.6880599999999997,7.903279663490359e-06
4,2024460.0,12.4662,3.8142400000000003,0.7378359999999999,0.06140399999999999,4.61825,7.903279663490359e-06
5,2024450.0,14.4122,4.5937,1.00811,0.08389630000000001,5.69203,1.28428294531302e-05
6,2024450.0,16.7029,5.484,1.33206,0.110857,6.93509,1.28428294531302e-05
7,2024440.0,19.3932,6.5063699999999995,1.7175200000000002,0.14293499999999998,8.377139999999999,1.7782379242881063e-05
8,2024440.0,22.5478,7.685219999999999,2.17375,0.180903,10.0527,1.7782379242881063e-05
9,2024430.0,26.2422,9.04872,2.71172,0.22567399999999999,12.0019,2.2721929032520904e-05
10,2024420.0,30.565,10.6295,3.34436,0.278323,14.2714,2.7661478822160745e-05
11,2024410.0,35.62,12.4653,4.0868400000000005,0.34011399999999997,16.9156,3.2601028611800587e-05
12,2024400.0,41.5282,14.6002,4.956980000000001,0.412529,19.9977,3.754057840155145e-05
13,2024390.0,48.4313,17.0852,5.9756599999999995,0.497304,23.5917,4.248012819119129e-05
14,2024370.0,56.4946,19.9799,7.1672899999999995,0.596474,27.7836,5.2359227770581995e-05
15,2024350.0,65.9113,23.3535,8.56045,0.7124159999999999,32.6739,6.223832734986168e-05
16,2024330.0,76.9071,27.2869,10.1885,0.847908,38.3797,7.211742692925238e-05
17,2024340.0,62.3473,30.8097,12.068,1.00432,43.9267,6.717787713961254e-05
18,2024340.0,50.1938,33.065,14.1326,1.17614,48.4087,6.717787713961254e-05
19,2024340.0,40.0765,34.3098,16.3091,1.35727,52.003,6.717787713961254e-05
20,2024350.0,31.6798,34.757,18.5394,1.54288,54.8594,6.223832734986168e-05
21,2024350.0,24.7346,34.5828,20.7778,1.7291599999999998,57.1043,6.223832734986168e-05
22,2024350.0,19.012,33.9321,22.9891,1.9131900000000002,58.8444,6.223832734986168e-05
23,2024350.0,14.3172,32.924,25.1464,2.09273,60.1694,6.223832734986168e-05
24,2024360.0,10.4847,31.6554,27.23,2.26613,61.1547,5.7298777560221836e-05
25,2024360.0,7.374039999999999,30.205,29.2256,2.4322,61.8634,5.7298777560221836e-05
26,2024360.0,4.866280000000001,28.636,31.1235,2.59015,62.3484,5.7298777560221836e-05
27,2024360.0,2.86064,26.9991,32.9179,2.73949,62.6536,5.7298777560221836e-05
28,2024360.0,1.272,25.3343,34.6057,2.87995,62.8158,5.7298777560221836e-05
