,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,11702900.0,26565.3,50483.9,112533.0,3940.1,166992.0,0.02245744253870885
1,11698600.0,27103.0,51406.2,114376.0,3992.04,169810.0,0.02281662128902573
2,11694200.0,27644.8,52350.5,116253.0,4044.94,172684.0,0.023184153033536048
3,11689700.0,28191.4,53316.3,118165.0,4098.8,175616.0,0.023560037772239695
4,11685100.0,28743.5,54303.6,120111.0,4153.67,178605.0,0.02394427550513689
5,11680400.0,29301.7,55312.0,122094.0,4209.55,181653.0,0.024336866232227417
6,11675700.0,29866.5,56341.4,124114.0,4266.47,184759.0,0.02472945695931794
7,11670900.0,30438.3,57391.8,126171.0,4324.44,187926.0,0.025130400680602016
8,11666000.0,31017.7,58463.2,128266.0,4383.51,191152.0,0.02553969739607931
9,11660900.0,31604.9,59555.6,130401.0,4443.67,194440.0,0.02596570009994359
10,11655800.0,32200.4,60669.0,132576.0,4504.96,197790.0,0.02639170280380776
11,11650700.0,32804.4,61803.6,134791.0,4567.39,201203.0,0.02681770550767204
12,11645400.0,33417.3,62959.5,137048.0,4630.99,204680.0,0.02726041419992309
13,11640000.0,34039.3,64136.8,139347.0,4695.79,208222.0,0.027711475886367576
14,11634500.0,34670.8,65335.8,141689.0,4761.79,211829.0,0.02817089056700539
15,11628900.0,35311.9,66556.5,144074.0,4829.03,215504.0,0.028638658241836756
16,11623200.0,35962.9,67799.2,146505.0,4897.52,219246.0,0.02911477891086145
17,11617500.0,36623.9,69064.2,148980.0,4967.29,223057.0,0.029590899579886143
18,11611600.0,37295.2,70351.6,151502.0,5038.36,226938.0,0.030083726237297714
19,11605600.0,37977.1,71661.8,154071.0,5110.76,230890.0,0.030584905888902725
20,11599500.0,38669.5,72994.9,156688.0,5184.5,234914.0,0.031094438534701063
21,11593300.0,39372.8,74351.3,159353.0,5259.62,239012.0,0.03161232417469284
22,11586900.0,40087.1,75731.2,162068.0,5336.13,243184.0,0.032146915803071496
23,11580500.0,40812.6,77135.0,164833.0,5414.05,247431.0,0.03268150743145015
24,11573900.0,41549.4,78562.8,167649.0,5493.43,251755.0,0.033232805048215575
25,11567300.0,42297.7,80015.0,170517.0,5574.27,256158.0,0.033784102664981
26,11560500.0,43057.6,81491.9,173439.0,5656.6,260639.0,0.0343521062701333
27,11553600.0,43829.3,82993.9,176414.0,5740.45,265201.0,0.03492846286947904
28,11546600.0,44612.9,84521.1,179444.0,5825.85,269845.0,0.03551317246301822
29,11539400.0,45408.5,86073.9,182530.0,5912.82,274571.0,0.03611458804494416
30,11532100.0,46216.3,87652.7,185672.0,6001.38,279382.0,0.03672435662106355
31,11524700.0,47036.4,89257.7,188872.0,6091.57,284278.0,0.03734247819137626
32,11517200.0,47868.9,90889.3,192131.0,6183.4,289261.0,0.037968952755882523
33,11509500.0,48714.0,92547.8,195449.0,6276.92,294331.0,0.038612133308775554
34,11501800.0,49571.8,94233.4,198828.0,6372.14,299492.0,0.039255313861668584
35,11493800.0,50442.3,95946.6,202268.0,6469.09,304743.0,0.03992355339714182
36,11485800.0,51325.8,97687.6,205770.0,6567.8,310086.0,0.04059179293261517
