,Recovered,Deceased,Infected,I_c
0,0,0,1.0,1
1,0,0,1.0,1
2,0,0,1.0,1
3,0,0,1.0,1
4,0,0,1.0,1
5,0,0,1.1428571428571428,2
6,0,0,1.2857142857142858,2
7,0,0,1.4285714285714286,2
8,0,0,1.5714285714285714,2
9,0,0,1.7142857142857142,2
10,0,0,1.8571428571428568,2
11,0,0,2.0,2
12,0,0,2.0,2
13,0,0,2.0,2
14,1,0,1.8571428571428568,2
15,2,0,1.7142857142857142,3
16,3,0,1.8571428571428568,6
17,4,0,1.8571428571428568,6
18,4,0,1.8571428571428568,6
19,5,0,1.7142857142857142,6
20,6,0,1.4285714285714286,6
21,7,0,1.1428571428571428,6
22,8,0,0.8571428571428571,7
23,8,0,1.0,12
24,9,0,1.4285714285714286,14
25,10,0,1.8571428571428568,15
26,11,0,2.2857142857142856,15
27,12,0,3.1428571428571432,18
28,12,0,6.7142857142857135,36
29,13,0,11.0,42
30,14,0,14.142857142857142,40
31,15,0,18.142857142857142,48
32,16,0,22.285714285714285,50
33,16,0,26.714285714285715,51
34,17,0,30.57142857142857,50
35,18,0,32.285714285714285,54
36,19,0,33.42857142857143,56
37,20,1,34.857142857142854,57
38,21,1,35.714285714285715,61
39,21,1,37.142857142857146,66
40,23,2,38.42857142857143,69
41,24,3,40.0,71
42,26,3,41.285714285714285,74
43,26,3,42.714285714285715,76
44,28,3,45.28571428571429,85
45,33,3,49.57142857142857,105
46,38,3,60.714285714285715,163
47,43,3,72.85714285714286,175
48,45,3,88.42857142857143,201
49,45,3,105.57142857142857,213
50,45,3,124.28571428571428,226
51,45,3,142.57142857142858,230
52,98,3,155.71428571428572,262
53,98,10,162.14285714285714,275
54,98,10,172.28571428571428,308
55,99,11,181.42857142857144,327
56,99,12,198.0,392
57,99,12,215.85714285714286,414
58,99,16,237.0,445
59,99,16,265.0,472
60,109,16,295.85714285714283,508
61,114,16,324.7142857142857,532
62,194,16,343.14285714285717,556
63,195,17,355.71428571428567,581
64,197,17,369.8571428571428,616
65,298,17,383.71428571428567,742
66,344,17,394.1428571428572,791
67,430,17,396.28571428571433,845
68,488,25,393.57142857142856,896
69,488,26,405.57142857142856,944
70,518,29,417.4285714285714,999
71,549,39,424.8571428571428,1042
72,573,39,434.71428571428567,1108
73,598,41,446.0,1148
74,621,51,465.8571428571428,1209
75,645,51,488.57142857142856,1238
76,704,55,503.4285714285714,1293
77,704,55,525.0,1362
78,717,55,551.4285714285714,1411
79,735,55,573.5714285714286,1441
80,805,55,586.7142857142858,1461
81,926,58,583.7142857142858,1500
82,981,58,582.8571428571429,1575
83,1020,58,586.2857142857142,1636
84,1038,58,588.0,1711
85,1148,64,578.0,1781
86,1163,64,576.5714285714286,1868
87,1247,72,578.2857142857142,1932
88,1307,86,587.2857142857142,1972
89,1320,86,605.1428571428571,2067
90,1412,86,620.8571428571429,2166
91,1469,89,634.2857142857142,2267
92,1519,89,666.0,2399
93,1541,91,702.7142857142858,2530
94,1654,93,741.5714285714287,2632
95,1711,93,788.8571428571429,2714
96,1793,93,837.7142857142858,2889
97,1820,94,909.5714285714287,3085
98,1830,94,997.4285714285713,3248
99,1893,95,1103.0,3518
100,1924,95,1210.4285714285713,3669
101,2003,95,1352.857142857143,3980
102,2127,102,1512.142857142857,4254
103,2186,102,1693.857142857143,4563
104,2355,102,1872.857142857143,4881
105,2536,106,2054.5714285714284,5238
106,2686,106,2235.0,5585
107,2741,106,2426.857142857143,5840
108,2894,110,2601.142857142857,6106
109,3068,119,2768.142857142857,6381
110,3259,125,2914.714285714286,6685
111,3362,142,3089.5714285714284,7152
112,3507,151,3283.714285714286,7613
113,3679,157,3481.0,8010
114,3731,159,3706.142857142857,8459
115,4174,164,3909.714285714286,8865
116,4222,167,4127.857142857143,9110
117,4238,172,4398.285714285715,9604
118,5073,202,4560.142857142857,10056
119,5096,210,4731.142857142857,10458
120,5733,211,4834.428571428572,10841
121,6168,224,4899.0,11413
122,6321,230,5007.142857142857,11835
123,6561,236,5098.285714285715,12156
124,6703,240,5166.714285714285,12616
125,7399,243,5267.0,13125
126,8060,257,5286.428571428572,13605
127,9339,263,5227.857142857143,14089
128,9430,282,5206.0,14580
129,9724,329,5155.285714285715,14982
130,10530,348,5014.0,15248
131,10532,355,4897.571428571428,15745
132,10654,363,4849.142857142857,16161
133,10858,373,4851.857142857143,16538
134,10950,401,5011.428571428572,16955
135,12018,406,5019.571428571428,17349
136,12469,411,5011.714285714285,17754
137,13207,417,5011.0,17989
138,13302,453,4987.142857142857,18446
139,13835,458,4906.857142857143,18875
140,14813,486,4721.142857142857,19306
141,14867,503,4540.142857142857,19707
142,15658,510,4404.428571428572,20143
143,16028,532,4264.857142857143,20457
144,16119,536,4246.714285714285,20893
145,16641,539,4166.142857142857,21307
146,16641,554,4171.285714285715,21813
147,17254,563,4236.142857142857,22278
148,17320,572,4346.857142857143,23004
149,17640,578,4519.571428571428,23402
150,18115,588,4666.285714285715,23627
151,18413,649,4773.285714285715,24049
152,18778,656,4914.0,24546
153,19308,662,4996.142857142857,25163
154,19774,671,5113.285714285715,25726
155,20334,681,5123.857142857143,26201
156,20693,683,5120.428571428572,26536
157,21031,688,5144.571428571428,26812
158,21432,723,5128.428571428572,27029
159,21860,728,5117.285714285715,27622
160,21946,748,5153.857142857143,28143
161,22173,754,5221.142857142857,28679
162,23145,775,5242.857142857143,29258
163,23439,780,5305.714285714285,29819
164,24156,781,5341.714285714285,30282
