,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1535020.0,2073.68,2079.4,2628.06,166.47299999999998,4875.6,0.0063958790886924355
1,1534700.0,2117.24,2139.08,2731.75,170.709,5043.24,0.006603012102393668
2,1534380.0,2162.78,2199.26,2838.39,175.06599999999997,5214.44,0.00681014511609479
3,1534050.0,2210.24,2260.06,2948.0,179.544,5389.37,0.007023751036474235
4,1533710.0,2259.56,2321.61,3060.61,184.145,5568.17,0.00724382986353167
5,1533360.0,2310.7,2384.0,3176.27,188.87099999999998,5750.99,0.007470381597267428
6,1533010.0,2363.61,2447.33,3295.03,193.72299999999998,5937.97,0.007696933331003075
7,1532650.0,2418.27,2511.7,3416.92,198.703,6129.26,0.007929957971416934
8,1532270.0,2474.65,2577.19,3542.0,203.813,6324.98,0.008175928425187107
9,1531890.0,2532.75,2643.88,3670.33,209.05700000000002,6525.29,0.008421898878957279
10,1531500.0,2592.56,2711.84,3801.97,214.435,6730.32,0.008674342239405664
11,1531100.0,2654.07,2781.13,3936.99,219.952,6940.2,0.008933258506532149
12,1530690.0,2717.29,2851.84,4075.44,225.608,7155.06,0.009198647680336847
13,1530270.0,2782.21,2924.01,4217.41,231.40900000000002,7375.06,0.009470509760819645
14,1529840.0,2848.86,2997.72,4362.97,237.356,7600.32,0.009748844747980656
15,1529400.0,2917.23,3073.01,4512.18,243.452,7830.98,0.010033652641819768
16,1528950.0,2987.36,3149.95,4665.14,249.702,8067.18,0.010324933442337092
17,1528490.0,3059.26,3228.58,4821.92,256.107,8309.06,0.010622687149532517
18,1528010.0,3132.94,3308.97,4982.61,262.673,8556.76,0.010933386670084366
19,1527530.0,3208.44,3391.17,5147.3,269.401,8810.44,0.011244086190636216
20,1527030.0,3285.78,3475.23,5316.07,276.297,9070.22,0.011567731524544267
21,1526520.0,3364.98,3561.2,5489.02,283.363,9336.27,0.01189784976513053
22,1526000.0,3446.07,3649.12,5666.25,290.60400000000004,9608.74,0.012234440912395006
23,1525470.0,3529.08,3739.07,5847.85,298.024,9887.76,0.012577504966337694
24,1524920.0,3614.06,3831.07,6033.92,305.626,10173.5,0.012933514833636583
25,1524360.0,3701.01,3925.19,6224.57,313.415,10466.1,0.013295997607613685
26,1523790.0,3790.0,4021.48,6419.89,321.39599999999996,10765.8,0.013664953288269
27,1523200.0,3881.03,4119.98,6620.01,329.57199999999995,11072.7,0.014046854782280516
28,1522600.0,3974.16,4220.75,6825.02,337.94800000000004,11386.9,0.014435229182970355
29,1521990.0,4069.42,4323.83,7035.04,346.529,11708.7,0.014830076490338184
30,1521360.0,4166.85,4429.29,7250.19,355.319,12038.1,0.015237869611062438
31,1520720.0,4266.49,4537.17,7470.58,364.324,12375.5,0.015652135638464904
32,1520060.0,4368.37,4647.53,7696.34,373.54699999999997,12720.9,0.01607934747922357
33,1519380.0,4472.53,4760.42,7927.58,382.995,13074.6,0.016519505133338663
34,1518690.0,4579.02,4875.89,8164.44,392.673,13436.7,0.016966135694131856
35,1517980.0,4687.88,4993.99,8407.04,402.585,13807.4,0.017425712068281363
36,1517260.0,4799.15,5114.79,8655.51,412.736,14186.9,0.01789176134910908
37,1516520.0,4912.87,5238.34,8909.98,423.134,14575.4,0.018370756443293113
38,1515760.0,5029.09,5364.69,9170.6,433.782,14973.1,0.018862697350833457
39,1514980.0,5147.84,5493.89,9437.5,444.686,15380.2,0.019367584071730115
40,1514190.0,5269.17,5626.02,9710.83,455.85400000000004,15796.9,0.019878943699304985
41,1513380.0,5393.13,5761.11,9990.72,467.289,16223.4,0.020403249140236168
42,1512550.0,5519.75,5899.24,10277.3,478.999,16660.0,0.020940500394523665
43,1511700.0,5649.09,6040.46,10570.8,490.99,17106.8,0.021490697462167474
44,1510830.0,5781.18,6184.83,10871.3,503.267,17564.0,0.022053840343167597
45,1509940.0,5916.08,6332.4,11179.0,515.8380000000001,18031.9,0.022629929037524033
46,1509020.0,6053.82,6483.25,11494.0,528.7080000000001,18510.8,0.023225436451914994
47,1508090.0,6194.45,6637.42,11816.5,541.884,19000.7,0.023827416772984167
48,1507140.0,6338.02,6794.99,12146.6,555.374,19502.1,0.024442342907409653
49,1506170.0,6484.57,6956.01,12484.6,569.183,20015.0,0.025070214855191342
50,1505170.0,6634.14,7120.54,12830.6,583.32,20539.8,0.025717505523007667
51,1504150.0,6786.79,7288.65,13184.8,597.7909999999999,21076.7,0.026377742004180194
52,1503110.0,6942.54,7460.4,13547.3,612.602,21625.9,0.027050924298709145
53,1502040.0,7101.46,7635.85,13918.4,627.763,22187.7,0.02774352531327251
54,1500950.0,7263.57,7815.07,14298.2,643.28,22762.3,0.02844907214119219
55,1499840.0,7428.93,7998.11,14686.9,659.16,23350.1,0.02916756478246829
56,1498700.0,7597.58,8185.05,15084.7,675.4119999999999,23951.2,0.02990547614377881
57,1497530.0,7769.56,8375.95,15491.7,692.044,24565.9,0.03066280622512385
58,1496340.0,7944.9,8570.86,15908.3,709.063,25194.6,0.031433082119825206
59,1495130.0,8123.66,8769.86,16334.5,726.4780000000001,25837.3,0.032216303827882875
60,1493890.0,8305.87,8973.01,16770.6,744.296,26494.6,0.03301894425597496
61,1492610.0,8491.57,9180.37,17216.8,762.5269999999999,27166.5,0.03384747631077978
62,1491320.0,8680.8,9392.01,17673.3,781.179,27853.5,0.0346824812722627
63,1489990.0,8873.6,9607.98,18140.4,800.26,28555.7,0.03554337786045836
64,1488640.0,9070.0,9828.36,18618.1,819.779,29273.5,0.03641722026201033
65,1487250.0,9270.04,10053.2,19106.8,839.745,30007.2,0.03731695429027493
66,1485840.0,9473.75,10282.6,19606.7,860.168,30757.0,0.03822963413189584
